aajo	nevetséges	hospitality
aala	határ	border
aanu	együttérzés	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	bénulás	fasting
abala	a rész	division
abeikojopo	örökösnő	subset
abeorile	hazatérés	nation
abesahara	szór	under the sahara
abidi	ábécé	abidi
abidjan	valaha	abidjan
abo	nőies	security
aburunmu	utálatunk	reduced in value, diminished
abálájo	tapasztalt	that is why
abé	tű	under
abínibí	állampolgárság	inborn
abúléko	falu	village
accra	accra	accra
adaba	kényelmes	factor
adabaye	rendben	previously-existing
adarihunrun	tisztító	human
addis	addisz	addis
adeda	természet	creator
adiokan	magányos	stubbornness
adágbà	idősebb	adagba
adúgbò kútò	szomszédok az utcán	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	kőbánya szomszédok	neighborhood
adúgbò ìdí	szomszédsági okokból	area
afida	a család	element
afomo	például	cleansing
afoyemo	szinopszis	abstract
africa	afrika	africa
african	afrikai	ara afrika
africans	africans	africans
aféfé	szélmalom	air
agba	festék	principal
agbado	kukorica	maize
agbara	erő	power
agbaye	a világ	world
agbeinadie	termőföld	semi-conductor
agbà	egy felnőtt	adult
agbàbò	védő	adopted child
agbára	erő	power
agbéiná	tűzoltó	conductor
agio	kiáltás	agio
aintimulo	aintimulo	un-exploited
aisi	hiány	lack
ajagun	egy kutya	ajagun
aje	gazdaság	trade
ajemoroyin	kihallgatás	reporting
ajibola	napirend	ajibola
ajo	utazás	firms
ajoro	utazás	discussion
ajọra	másolat	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	tüzérségi	akinpelu
akokolo	időszak	period
akole	nem tudjuk	title
akoni	nekünk nincs	teacher
akopa	legelőször is	participant
akopo	összeállítás	assembly
akátá	sakál	african american
akíkanjú	bátor	courageous
akíngbógun	csaták	akingbogun
akẹ́kọ̀ọ́	diák	students
ala	le-	limit
alaabo	tiltva	protection
alaadanida	felesleges	individual
alaafia	béke	peace
alaafin	törvénytelen	alaafin
aladaani	magán	privately-owned
aladani	magán	self-owned
aladanida	tetszőleges	private
alaidogba	kiegyensúlyozatlan	unequal
alaigbara	ellenállhatatlan	neutron
alaini	szűkölködő	the poor
alakitiyan	aktivista	activist
alakobere	novícius	primary
alalaye	földes	explanatory
alawose	jövőbelátás	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	függetlenség	independent
alpha	alfa	alpha
alubàbá	apa	drummer
alukuraani	korán	quran
alumoni	gyógyhatású	minerals
alumíníọ̀mù	alumínium	aluminium
alákọ̀bẹ̀rẹ̀	kezdeményező	primary education
alápapò	csere	general
alátise	művész	alatise
aláyèwò	ellenőr	expert
aláísàn	beteg	the sick
alúwo	bumm	traditional cults
alọ́po	pénztárca	tied
amazonas	amazonas	amazonas
americas	americas	americas
amerika	amerika	america
amojeoyipada	átváltható	reform
amosi	mecset	amos
améríkà	amerikai	america
améríkà	amerikai	america
an	egy	him
anabi	a próféta	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	a dél	southern
apaguusuilaorun	délnyugati	south-western
apaguusuiwoorun	délnyugati	part of the south
apailaorun	napkelte	east side
apaiwoorun	nyugati	eastern side
aparapo	kombináció	confederation
apeja	halász	fisherman
apeere	például	example
apis	apis	apis
apòmù	kötény	apomu
apẹ̀rè	kötény	example
arabu	arab	arab
aralíle	tropikus	healthy body
arinkankan	ezt	nationalist
ariso	aris	oral tradition
ariwaarin	közel-kelet	mid-north
ariwaguusu	délnyugati	north-south
arkansas	arkansas	arkansas
aroko	növényzet	composition
aruleyin	szia	carried on the back
arun	betegség	disease
aryan	az aryan	aryan
aráa	fiú testvér	people from
arábíà	betűrendes	arabia
aráròmí	szia	araromi
arópò	megvesztegetés	substitute
arúgbó	öreg kor	elderly
arọ	béna	cripple
asagun	győzelem	intial, first (referring to the 13 colonies)
ascii	kitalál	ascii
aseeto	település	unfair
aseyori	siker	success
asipa	eltérés	first to kill
assessment	értékelés	ayewo
asìko	ostobaság	time; ni asiko=when
asèdá	a természetes	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	elfogadható	from time
atimo	terv	inland
atinrin	nevetés	thin
atun	visszatekerés	also
atunse	javítás	revision
australia	ausztrália	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	ausztronéz	austronesian
austríà	ausztrália	austria
avar	avar	avar
awari	felfedezés	discovery
awo	lemez	of
awonara	érzelem	people of
awoòn	sablon	people
awon	őket	they
awuruju	mágikus	shady
awùjo	udvariasság	society
awújẹ	botrány	root
aya	vers	chest
ayeye	örökkévalóság	celebration
ayàfi	ez rendben van	only if
ayò	igen	game
azikiwe	józan ész	azikwe
aṣòkan	egyedi	united
baa	jelentése	be with
babaláwo	az elválasztó	herbalist
bahrain	bahrain	bahrain
balẹ̀	hadd legyen	settled
bang	bumm	bang
banle	banle	banle
bara	tavaly	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	most	like this
bayìí	most	this
bce	el	bce
beauharnais	beauharnais	beauharnais
beijing	peking	beijing
belarus	belarus	belarus
belgium	belgium	belgium
bengal	bengália	bengal
bengali	bengáli	bengal
benin	pad	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	gyere vissza	bharata
bibeli	biblia	bible
biribiri	összetörték	intense
black	fekete	dudu
bodies	testületek	ara
bojú	nézd meg	take care
bole	fatörzs	ground
bolt	csavar	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	britannia	britain
brítánì	angol	britain
bu	azaz	give
buenaventura	buenaventura	buenaventura
bujumbura	kiterjesztett	bujumbura
burúkú	gonosz	bad
by	által	does not translate directly, does not exist
bàbá	az apa	father
bákannáà	is	likewise
bálè	ballon	lying on the ground
bárakú	függőség	habitual
báyìí	most	this
bèrẹ̀	mindenekelőtt	started
béè	pontosan úgy	than
bòtswánà	a busz	botswana
búburú	rossz	bad
búrú	bátornak lenni	wicked
bẹ̀rẹ̀	az induláshoz	started
bẹ́	törött	also
bẹ́ljíọ̀m	berill	belgium
bẹ́ẹ̀ni	igen	yes
bẹ́ẹ̀sìni	igen	that is it
cairo	düh	cairo
calabar	rágógumi	calabar
canaria	canaria	canaria
cape	köpeny	cape
casablanca	casablanca	casablanca
caslon	kaszinó	caslon
cathedral	székesegyház	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	károly	charles
chaskalson	chaskalson	chaskalson
chebbi	gondol	chebbi
cherished	dédelgetett	mu lokunkundun
china	kína	china
cipollone	cipollone	cipollone
clear	egyértelmű	danmanran
code	kód	code
coetsee	coetsee	coetese
coloured	színezett	alawo dudu
coming	eljövetel	yo jade
compared	képest	does not directly translate
computers	számítógépek	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	torok	cunha
da	és	back; but in this form it is unnecessary
dagbasoke	felnő	developing
dandan	kötelező	a must
dani	holding	hand-held
darapo	csatlakozik	joinedd
daru	elpusztítani	scattered
dates	időpontját,	pada si
delhi	nem	delhi
denver	denver	denver
des	des	des
describes	körülír	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	fejlődés	idagbasoke
didagba	egyenlőség	growing
didasile	intézmény	established
different	különböző	iyato
din	süt	reduced
dinwoju	nézz fel	suitable
divoire	divoire	d'ivoire
doju	szemtől szemben	face
dojú	szemtől szemben	turn face (full phrase is doju ko, to face)
dominic	dominic	dominic
doni	doni	this day
dote	fecseg	rebel
doublehelix	doublehelix	hiliksi abara meji
doublestrand	kettösszái	double-strand
dover	dover	dova
du	du	hustle
due	következtében	nitori
dun	ízletes	sound
dàbíi	mint ez	like
dàpò	cserélje ki őket	mix
dá	készítette	intervene
dágbó	öreg kor	forest
dájó	rendben	pass judgement
dálóríi	köszönöm	about
dáradára	jól	well
dásà	egy casa	peculiar way of saying
dáwó	adományoz	undertake
dé	megérkezett	reach
délànà	elvben	delana
dépò	amennyiben	to a position
dì	lap	be
dìde	merülnek fel	stand
dìró	jobbra	hang on
dìtẹ̀	összeesküszik	rebel
díè	feszült	few
dóko	jó	upstanding
dólà	jól	dollar
dún	hang	sound
dúró	állni	stand (been in existence)
dọ́gba	egyenlő	equal
ea	igen	ea
eba	eba	shore
ebi	család	family
ecomog	ecomog	ecomog
ede	nyelv	language
efrem	effem	efrem
egba	teljesen	cane
egbe	pisztoly	group
egberundun	ezer év	a thousand year
egbo	egy seb	brother
egbé	szomorúság	party
egbò	egy seb	chemicals
egbògi	orvosi	don't know this
eighteen	tizennyolc	ejidinlogun
eka	összetett	branch, department, part
ekeji	a másik	second
eko	oktatás	lagos
elede	sertések	speaker
eleyi	ez	this
eleyii	mint ez	this
elláda	teremtés	ellada
eléde	absztrakt	pig
eléré	sportoló	performer
elòmírà	a alga	freedom
elòmíràn	egy másik	another person
emerging	feltörekvő	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	mindenki	whoever
enter	belép	wole
enì	elefánt	person
eníbá	láz	such person
epa	földimogyoró	groundnut
ernst	ernst	ernst
