$ tỉ	$ miljard	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abchazië	a name
about	over	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	account	account
aceh	aceh	(proper noun) aceh
achilles	achilles	achilles
acia	acia	acia
acid	zuur	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	geavanceerd	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	afrika	(proper noun) africa
african	afrikaanse	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	who	who
ailen	iers	ailen
aim	doel	aim
air	lucht	air
airbus	luchtbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	hallo	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albanië	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandrië	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	alle muziek	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alfer	(proper noun) alpher
alps	alpen	alps
altai	altai	altai
always	altijd	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amine	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	ammoniak	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	een	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolië	anatolia
andalusia	andalusië	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	broer	english
anhmỹ	brits	"(term should be ""anh mỹ"") english or american"
anhpháp	engels frans	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	an nam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	ieder	any
anđêhít	aldehyde	aldehydes
ao	vijver	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	appel	apple
aquinas	aquinas	a name
arab	arab	(proper noun) arab
archetypal	archetypisch	archetypal
archive	archief	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentinië	(proper noun) the south american nation of argentina
argo	argo	argo
arias	aria&#39;s	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristoteles	aristotle
arizona	arizona	arizona, as in the state
ark	ark	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armeens	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenaal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	as	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	azië	asia
asm	asm	asm
asoka	asoka	asoka
association	vereniging	association
assyria	assyrië	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantisch	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	auditie	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australië	(proper noun) australia
austria	oostenrijk	(proper noun) the country of austria
austrian	oostenrijks	austrian
avar	avar	a name
aviation	luchtvaart	aviation
awad	awad	awad
award	prijs	award
axit	zuur	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbeidzjan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	vader	three
babylon	babylon	babylon
bacon	spek	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrein	bahrain
baháí	baháí	bahai
balearic	baleaar	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkan	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	verbod	the
bang	knal	state
banh	bal	ball
banner	banner	banner
bantam	kriel	bantam
bantu	tu ban	bantu
bao	zak	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbarije	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barok	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barça	(proper noun) barca
base	baseren	base
basel	bazel	basel, a city in switzerland
basil	basilicum	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	vlieg	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalt	basalt (n.)
bazơ	eenvoudig	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	ritme	beat
beatles	beatles	the beatles
beauty	schoonheid	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	achter	behind
beijing	peking	beijing
bel	bel	bel
bell	klok	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	beter	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	bier	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	bill	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	vermelding	bien
biếc	groenblauw	a bluish-green color (adj.)
biếm	zorgeloos	"(term should be ""biếm họa"") cartoon (n.)"
biến	uit	other
biếng	lui	lose interest in
biếu	hulde brengen	present
biều	bieu	bieu
biển	zee	ocean
biểuthứcđiềukiện	ken de voorwaarden	conditional expression
biện	verontschuldigen	"(term should be ""biện pháp"") a method (n.)"
biệt	verschillend	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemen	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bom	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	boom	boom
boong	dek	a deck (n.)
boongke	bunkers	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnië	(proper noun) bosnia
botswana	botswana	botswana
bottom	bodem	bottom
boulder	kei	boulder
bourbon	bourbon	bourbon
boxing	boksen	boxing
brain	hersenen	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brazilië	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	brug	bridge
britannic	britannic	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	bruin	brown
browne	browne	browne
browning	bruinen	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brussel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	boedapest	budapest, the capital of hungary
bulgaria	bulgarije	bulgaria
bulletin	bulletin	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	birma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	kolbak	busby
bush	struik	bush
bushy	bossig	bushy
buôn	groothandel	commerce
buông	loslaten	to release, to let loose
buýt	bus	bus
buốt	enthousiast	sharp
buồm	zeil	sail
buồn	verdrietig	sad
buồng	kamer	chamber
buổi	sessie	session
byzantine	byzantijns	byzantine
bà	grootmoeder	woman or lady (n.)
bài	berichten	articles
bàn	tafel	table
bàng	adelaar	eagle
bành	peng	armchair
bào	schaven	compatriot
bàu	bau	bau
bày	presentatie	"(term should be ""trưng bày"") to display (v.)"
bác	oom	doctor
bách	cipres	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	cultus	to bow (v.)
bám	vasthouden	cling
bán	verkopen	sell
báng	knal	"(term should be ""phỉ báng"") to defame or slander"
báo	krant-	newspaper (n.)
bát	kom	eight (n.)
báu	schat	valuable
bây	nu	now
bã	residu	"(term should be ""buồn bã"") sad (adj.)"
bãi	werven	beach
bão	storm	storm
bèn	vervolgens	then
bé	weinig	baby
bén	scherp	sharp (adj.)
béo	vet	fat
bên	kant	side
bênh	ziek	advocate
bì	verpakking	foreskin (n.)
bìa	hoes	cover
bìu	scrotum	sac (n.)
bí	squash	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	pompoen	biro
bò	koe	beef
bó	stelletje	bound (adj.)
bói	waarzeggen	to foretell (v.)
bón	bevruchten	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	bal	sphere or ball
bóp	knijpen	squeeze
bô	vader	"(term should be ""bôxit"") the mineral bauxite"
bôi	besmeurd	to apply (as in oil)
bông	katoen	flower
bù	bedenken	compensate
bùa	amulet	talisman
