$	dollarni tashkil etadi	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ	a	a
అంకారా	anqara	ankara
అంకితం	bag&#39;ishlangan	dedicated
అంకురార్పణ	tashabbus	start
అంకె	raqam	digit
అంకెల	raqam	numbers
అంకెలను	raqamlar	digits
అంకెలు	raqamlar	numerics
అంగదుని	angad	during the period of angadh
అంగారక	mars	mars
అంగారకుడిపై	angarakudipay	on mars
అంగాలు	soley	parts
అంగిలి	tanglay	angali
అంగీకరించరు	qabul qiling	accept
అంగీకరించలేదు	qabul qilingan	did not accept
అంగీకరించారు	qabul qilingan	agreed
అంచనా	hisoblangan	estimate
అంచనాల	hisob-kitoblar	estimates
అంచనాలు	bashorat qilish	estimates
అంజలి	anjali	anjali
అంటాం	chaqirildi	speaken
అంటాడు	deydi	he says
అంటారు	bu	tell
అంటార్కిటికా	antarktida	antarctica
అంటుంటారు	ataladi	tell
అంటున్నారు	deydi	telling
అంటూ	mana	say
అంటే	nima	it menns
అండ	qo&#39;llab-quvvatlash	shelter
అండమాన్	andaman	andaman
అండ్	va	and
అంత	men	that much
అంతం	oxiri	end
అంతకంటే	ko&#39;proq	earlier
అంతకు	avvalroq	then
అంతగా	ko&#39;p	so much
అంతటా	butun davomida	all over
అంతటి	ustida	famous
అంతటితో	shu nuqtada	with that
అంతము	oxiri	end
అంతరించిన	o&#39;chirilgan	ending
అంతరిక్ష	bo&#39;shliq	space
అంతర్	inter	inter
అంతర్గత	ichki	seeply
అంతర్జాతీయ	xalqaro	international
అంతర్జాతీయంగా	xalqaro miqyosda	antarjateeyam
అంతర్జాలం	internet	internet
అంతర్జీవ	antarjiva	inside water
అంతర్భాగం	ichki makon	internal earth
అంతర్ముఖం	interfeysi	interface
అంతర్యుద్ధం	fuqarolar urushi	battle
అంతర్వేది	inter	anthervedi(place name)
అంతస్తుల	hikoya	stories
అంతా	hamma narsa	all
అంతిమ	final	end
అంతిమంగా	va nihoyat	at last
అంతే	bu shunday	thats it
అంతేకాక	va	not only that
అంతేకాదు	the	thats not
అంతేగాక	bundan tashqari	not only this
అంత్య	oxiri	last
అందం	go&#39;zallik	beauty
అందంగా	chiroyli	beautifully
అందకుండా	taqiqlash	not reachable
అందమయిన	chiroyli	beautiful
అందము	xushbichimlik	beautiful
అందమైన	chiroyli	beautiful
అందరి	hamma	of all
అందరికి	hammasi	to everybody
అందరికీ	hamma	for everyone
అందరినీ	hammasi	all
అందరు	hammasi	all
అందరూ	hammasi	all
అందానికి	go&#39;zallik	to beauty
అందాల	go&#39;zallik	beauty
అందించడం	ta&#39;minlash	giving to
అందించాడు	taqdim etilgan	given
అందించారు	taqdim etilgan	has given
అందించింది	taqdim etilgan	gave
అందించిన	taqdim etilgan	provided
అందించే	taklif	giving
అందిన	kvitansiya	received
అందిస్తాయి	taklif	gives
అందిస్తారు	taklif	provided
అందిస్తుంది	takliflar	gives
అందిస్తున్నాయి	taklif	providing
అందుకని	bunaqa,	thats way
అందుకనే	nima uchun?	because
అందుకు	the	thats way
అందుకున్నాడు	qabul qildi	received
అందుకున్నారు	qabul qildi	taken
అందుకే	nima uchun?	thats way
అందుచేత	shuning uchun	so that
అందునా	ichida	in that
అందుబాటులో	mavjud	available
అందుబాటులోకి	mavjud	nearer
అందురు	ma&#39;lum	all
అందువలన	shuning uchun	because of that
అందువల్ల	shuning uchun	because
అందువల్లనే	shuning uchun	that is why
అంపైర్	umid	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	ambedkar	ambedkar
అంశం	mahsulot	topic
అంశాన్ని	mahsulot	the subject
అంశాల	elementlar	subjects
అంశాలను	elementlar	things
అంశాలపై	yoqilgan	issues
అంశాలు	elementlar	parts
అకరణీయ	oqilona	rational
అకస్మాత్తుగా	to&#39;satdan	suddenly
అకాంథేసి	akanthesi	acantaceae
అకాడమీ	akademiya	academy
అకారాది	leksika	alphabatical order
అకృత్యాలు	beparvolik	cases
అక్క	opa	sister
అక్కడ	mana	there
అక్కడకు	mana	there
అక్కడక్కడా	tarqalgan	some places
అక్కడి	the	that place
అక్కడికి	mana	there
అక్కడినుండి	u erdan	that place
అక్కడే	mana	there
అక్కినేని	akkineni	akkineni
అక్క్రీషణ్	akkretsiya	accretion disk
అక్టోబరు	oktyabr	october
అక్టోబర్	oktyabr	october
అక్బరు	akbar	akbar
అక్బర్	akbar	akbar
అక్షర	xarakter	letter
అక్షరం	alifbo	letter
అక్షరమాల	alifbo	alphabets
అక్షరాల	maktublar	letters
అక్షరాస్యత	savodxonlik	literacy
అఖండ	buzilmagan	great
అఖిల	hammasi	all
అగస్త్యుడు	agastya	agasthyudu
అగ్గిపుల్ల	moslik	matchstick
అగ్ని	yong&#39;in	fire
అగ్నికి	yong&#39;in	for fire
అగ్నిపర్వత	vulkanik	volcano
అగ్నిపర్వతం	vulkan	mountains
అగ్నిపర్వతములు	vulkanlar	volcanos
అగ్నిపర్వతాల	vulkanlar	volacano mountains
అగ్నిపర్వతాలు	vulkanlar	volcanos
అగ్ర	yuqoridagi	top
అగ్రచర్వణకాలు	agracarvanakalu	agracharvanakaalu
అగ్రశ్రేణి	yuqoridagi	topline
అచ్చంపేట	akkampeta	acchampet
అచ్చమ్మ	accamma	achhamma
అచ్చుతో	tovush	with a vowel
అజయ్	ajay	ajay
అజర్‌బైజాన్	ozarbayjon	ajarbaijan
అటవీ	o&#39;rmon xo&#39;jaligi	gungle
అటు	the	other side
అటువంటి	bunday	like that
అటూ	biroz	that side
అట్టి	bunday	such
అట్లాంటిక్	atlantika	atlantic
అడవి	o&#39;rmon	forest
అడవిలో	o&#39;rmon	forest
అడవులకు	o&#39;rmon	to the jungle/forest
అడవులలో	yovvoyi tabiatda	in forests
అడవులు	o&#39;rmonlar	forests
అడిగాడు	- deb so‘radi	asked
అడిగి	poz	ask
అడిగిన	- deb so‘radi	asked
అడిగే	- deb so‘radi	ask
అడుగు	oyoq	ask
అడుగున	pastda	below
అడుగులు	ft	steps
అడోబీ	adobe	aadobi
అడ్డం	barrikada	across
అడ్డంకులు	to&#39;siqlar	blockades
అడ్డంగా	gorizontal ravishda	obstracle
అడ్డు	satr	came in between
అణు	yadro	anu
అణుధార్మికత	radiatsiya	radiation
అణువు	atom	molecule
అణువుల	molekulalar	atom's
అణువులు	molekulalar	anuvulu
అణ్వస్త్ర	yadro	nuclear
అణ్వాయుధ	yadro qurollari	nuclear weapons
అతడు	u	him
అతడ్ని	uni	him
అతని	uning	his
అతనికి	unga	him
అతనితో	u bilan	calling him
అతనిని	uni	him
అతను	u	thar person
అతన్ని	uni	him
