$ tỉ	miljarder dollar	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	handla om	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	konto	account
aceh	aceh	(proper noun) aceh
achilles	akilles	achilles
acia	acia	acia
acid	syra	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	avancerad	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	afrika	(proper noun) africa
african	afrikansk	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	who	who
ailen	irish	ailen
aim	syfte	aim
air	luft	air
airbus	flygbuss	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	hallå	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	all musik	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alps	alps
altai	altai	altai
always	alltid	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	en jag	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	ammoniak	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	en	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalusien	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	bror	english
anhmỹ	british	"(term should be ""anh mỹ"") english or american"
anhpháp	engelsk franska	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	en nam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	några	any
anđêhít	aldehyd	aldehydes
ao	damm	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	äpple	apple
aquinas	aquinas	a name
arab	arab	(proper noun) arab
archetypal	arketypiska	archetypal
archive	arkiv	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arior	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotles	aristotle
arizona	arizona	arizona, as in the state
ark	ark	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenian	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	aska	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asien	asia
asm	asm	asm
asoka	asoka	asoka
association	förening	association
assyria	assyrien	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlanten	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audition	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australien	(proper noun) australia
austria	österrike	(proper noun) the country of austria
austrian	österrikiska	austrian
avar	avar	a name
aviation	flyg	aviation
awad	awad	awad
award	tilldela	award
axit	syra	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbajdzjan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	far	three
babylon	babylon	babylon
bacon	bacon	bacon
baden	baden	baden
baghdad	baghdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrain	bahrain
baháí	bahai	bahai
balearic	balearic	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkan	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	förbjuda	the
bang	smäll	state
banh	boll	ball
banner	baner	banner
bantam	bantam	bantam
bantu	tu-förbud	bantu
bao	säck	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barock	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barça	(proper noun) barca
base	bas	base
basel	basel	basel, a city in switzerland
basil	basilika	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	flyga	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalt	basalt (n.)
bazơ	grundläggande	base
bb	bb	bb
bbc	bbc	bbc
bc	före kristus	bc
bchtư	bchtư	central executive
beat	slå	beat
beatles	skalbaggar	the beatles
beauty	skönhet	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloes	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	bakom	behind
beijing	peking	beijing
bel	bel	bel
bell	klocka	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	bättre	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	öl	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	räkningen	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmapp	bitmap
biên	spela in	bien
biếc	kricka	a bluish-green color (adj.)
biếm	slarvig	"(term should be ""biếm họa"") cartoon (n.)"
biến	ut	other
biếng	lat	lose interest in
biếu	hylla	present
biều	bieu	bieu
biển	hav	ocean
biểuthứcđiềukiện	vet villkoren	conditional expression
biện	be om ursäkt	"(term should be ""biện pháp"") a method (n.)"
biệt	distinkt	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	guppa	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemliv	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	bom	boom
boong	däck	a deck (n.)
boongke	bunkrar	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnien	(proper noun) bosnia
botswana	botswana	botswana
bottom	botten	bottom
boulder	flyttblock	boulder
bourbon	bourbon	bourbon
boxing	boxning	boxing
brain	hjärna	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brasilien	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brest-litovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	bro	bridge
britannic	britannic	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	brun	brown
browne	browne	browne
browning	browning	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	bryssel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgarien	bulgaria
bulletin	bulletin	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	buske	bush
bushy	buskig	bushy
buôn	grossist-	commerce
buông	släppa taget om	to release, to let loose
buýt	buss	bus
buốt	angelägen	sharp
buồm	segla	sail
buồn	ledsen	sad
buồng	rum	chamber
buổi	session	session
byzantine	byzantine	byzantine
bà	mormor	woman or lady (n.)
bài	inlägg	articles
bàn	tabell	table
bàng	örn	eagle
bành	peng	armchair
bào	hyvling	compatriot
bàu	bau	bau
bày	presentation	"(term should be ""trưng bày"") to display (v.)"
bác	farbror	doctor
bách	cypress	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	kult	to bow (v.)
bám	hålla fast	cling
bán	sälja	sell
báng	smäll	"(term should be ""phỉ báng"") to defame or slander"
báo	tidning	newspaper (n.)
bát	skål	eight (n.)
báu	skatt	valuable
bây	nu	now
bã	återstod	"(term should be ""buồn bã"") sad (adj.)"
bãi	varv	beach
bão	storm	storm
bèn	sedan	then
bé	liten	baby
bén	skarp	sharp (adj.)
béo	fett	fat
bên	sida	side
bênh	sjuk	advocate
bì	förpackning	foreskin (n.)
bìa	omslag	cover
bìu	scrotum	sac (n.)
bí	squash	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	pumpa	biro
bò	ko	beef
bó	gäng av	bound (adj.)
bói	spådom	to foretell (v.)
bón	befrukta	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	boll	sphere or ball
bóp	pressa	squeeze
bô	far	"(term should be ""bôxit"") the mineral bauxite"
bôi	insmord	to apply (as in oil)
bông	bomull	flower
bù	utgöra	compensate
bùa	amulett	talisman
bùn	lera	mud
bùng	blossa	"(term should be ""bùng nổ"") to break out (v.)"
