$	usd	dollar
+	+	+
a	a	and
abc	abc	abc
abdić	abdic	abdić
abdića	abdiča	abdic
abdul	abduls	abdul
abdulah	abdulah	abdulah (name)
abdullah	abdullah	abdullah
abortus	aborts	abortus
abraham	abraham	abraham,first name
abu	abu	abu
ad	sludinājums	ad
adam	ādams	adam
administrativna	administratīvā	administrative
administrativne	administratīvā	administrative
administrativni	administratīvā	administrative
administrativno	administratīvi	administrative
adnan	adnan	adnan
adobe	adobe	adobe
adolf	ādolfs	adolph
adresa	adrese	address
adresu	adrese	address
adsorpcija	adsorbcija	absorption
aerodrom	lidosta	airport
aerodroma	lidosta	airport
afera	dēka	affair
afganistan	afganistāna	afghanistan
africi	āfrika	africa
afrika	āfrika	africa
afrike	āfrika	africa
afriku	āfrika	africa
afričke	afrikāņu	african
agencija	aģentūra	agency
agencije	aģentūras	agency
agresija	agresija	agression
agresije	agresija	agression
agresora	agresors	aggressor
ahilej	ahillejs	achilles
ahmed	ahmeds	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	aisha	aisha
ajet	dzejolis	ayet
ak	ak	ak
akademija	akadēmija	academy
akademije	akadēmija	academy
akademiji	akadēmija	academy
akademiju	akadēmija	academy
akcija	darbība	action
akcije	darbības	action
ako	ja	if
akrozom	akrosoma	akrosome
akt	tēlot	act
aktivan	aktīvs	active
aktivna	aktīvs	active
aktivni	aktīvs	active
aktivno	aktīvs	active
aktivnost	aktivitāte	activity
aktivnosti	aktivitātes	activities
aktualizirano	atjaunināts	actualized
akumulacije	uzkrājumi	accumulation
akutnog	akūta	acute
al	al	al
alat	rīks	tool
alata	darbarīki	tools
alate	darbarīki	tools
alati	darbarīki	tools
albanaca	albāņi	albanians
albanci	albāņi	albanians
albanija	albānija	albania
albanije	albānija	albania
albaniji	albānija	albania
albanski	albāņu	albanian
albert	alberts	albet
alberto	alberto	aberto
album	albumu	album
albuma	albumus	album
albumi	albumus	albums
albumu	albumu	album
aleksa	aleksa	aleksa
aleksandar	aleksandrs	aleksandar
aleksandra	aleksandrs	alexandra
alen	alen	alen
alexis	aleksis	alexis
alge	aļģes	alga
algi	aļģes	alga
algoritam	algoritms	algorithm
algoritma	algoritms	agorithm
algoritmi	algoritmi	algorithms
alhamijado	alhamijado	alhamijado
ali	bet	but
alija	alija	ali
alije	bet ir	alija
alkini	alkīni	alkyns
alkohol	alkohols	alcohol
alkohola	alkohols	alcohol
alkoholizam	alkoholisms	alcoholism
alkoholizma	alkoholisms	alcoholism
allah	allāhs	allah
allaha	allaha	allah
allahov	no allah	allah's
allahu	allāhs	allah
alma	alma	alma
almir	almir	almir
alpa	alpa	alps
alpha	alfa	alpha
alternativni	alternatīva	alternative
aluminij	alumīnijs	aluminium
aluminija	alumīnijs	aluminium
alžir	alžīrija	algiers
alžira	alžīrija	algeria
amar	mīlestība	amar
american	amerikānis	american
americi	amerika	america
americijum	americium	ameritium
amerika	amerika	america
amerikanci	amerikāņi	americans
amerike	amerika	america
ameriku	amerika	america
američka	amerikāņu	american
američke	amerikāņu	american
američki	amerikāņu	american
američkih	amerikāņu	american
američkim	amerikāņu	american
američkog	amerikāņu	american
američkoj	amerikāņu	american
američkom	amerikāņu	american
amir	amir	amir
amonijum	amonijs	amonium
an	an	an
ana	ana	ana
analiza	analīze	analysis
analize	analīze	analysis
analizi	analīze	analysis
analizu	analīze	analyses
analogni	analogs	analogue
anatomija	anatomija	anatomy
and	un	and
andora	andora	andorra
andrić	andričs	andrić
andrića	andričs	andric
anemije	anēmija	anemia
animacija	animācija	animation
anne	anne	anne
anoda	anoda	anoda
ansambl	ansamblis	group
antarktika	antarktīda	antarctica
ante	ante	ante
antibiotik	antibiotika	antibiotics
antigona	antigone	antigone
antioksidant	antioksidants	anti-oxides
antivirus	antivīruss	anti-virus
antička	senais	antique
antičke	senais	ancient
antički	senais	antique
antičkih	senais	antique
antičko	senais	antique
antičkog	senais	antique
antičkoj	senais	antique
anto	anto	anto
antoaneta	antoaneta	antoanete
anton	antons	anton
antonija	antonija	antonia
antonije	antonije	anthony
antonio	antonio	anthonio
antropologija	antropoloģija	anthropology
antropologije	antropoloģija	anthropology
antropologiju	antropoloģija	anthropology
antropolozi	antropologi	anthropologists
aparat	aparāti	apparatus
aparata	aparāti	device
aplikacija	pieteikums	application
aplikacije	aplikācijas	applications
apostola	apustulis	apostles
april	aprīlī	april
aprila	aprīlī	april
aprilu	aprīlī	april
apsolutna	absolūts	absloute
apsolutni	absolūts	apsolute
apsolutno	absolūti	absolutely
ar	ar	arabic
arabija	arābija	arabia
arabije	arābija	arabia
arabiji	arābija	arabia
arapa	arapa	arab
arapi	arābu valodā	arabs
arapska	arābu valodā	arab
arapske	arābu valodā	arabian
arapski	arābu valodā	arabic
arapskih	arābu valodā	arab
arapskim	arābu valodā	arab
arapskog	arābu valodā	arab
arapskom	arābu valodā	arabic
arbih	arbih	arbih
argentina	argentīna	argentina
arheolozi	arheologi	archaeologists
arheološka	arheoloģisko	archaeological
arheološki	arheoloģiski	archaeological
arhipelag	arhipelāgs	archipelago
arhitekt	arhitekts	architect
arhitekta	arhitekts	architect
arhitektonski	arhitektoniski	architectural
arhitektura	arhitektūra	architecture
arhitekture	arhitektūra	architecture
arhitekturi	arhitektūra	architecture
arhitekturu	arhitektūra	architecture
arhiv	arhīvs	archive
arhiva	arhīvs	archive
arija	ārija	aria
aristotel	aristotelis	aristotle
aristotela	aristotelis	aristotelis name
aritmetika	aritmētika	aritmetics
armija	armija	army
armije	armija	armies
arsen	arsēns	arsenic
arslanagić	arslanagić	arslanagic
art	māksla	art
arterija	artērija	artery
arterije	artērijas	artery
artritis	artrīts	artritis
as	kā	a.s. (peace be upon him)
asim	asim	asim
asocijacija	asociācija	association
aspekt	aspekts	aspect
aspekta	aspekts	aspect
aspekte	aspektiem	aspects
aspirin	aspirīns	aspirin
aspirina	aspirīns	aspirin
at	plkst	at
atina	atēnas	athens
atine	atēnas	athens
atini	atēnas	"(in the picture: olympic torch for oi in athens 2008. those games, in athens 2004., are actually not 28 olympics (since athens 1896th onwards)- which were held - but ""only"" 25. but despite everything, despite all the examples, warnings and threats to the xxviii olympic games in athens, 2004 23 (twenty three) athletes and female athletes were disqualified because of doping."
atlantski	atlantijas okeāns	atlantic
atlantskog	atlantijas okeāns	atlantic
atmosfera	atmosfēra	atmosphere
atmosfere	atmosfēra	athmosphere
atmosferi	atmosfēra	atmosphere
atmosferu	atmosfēra	atmosphere
atom	atoms	atom
atoma	atoms	atom
atomci	atomi	atomci
atomsko	atomu	atomic
atomskog	atomu	atomic
aton	atons	eaton
atp	atp	atp
atrakcija	piesaiste	attraction
atrakcije	atrakcijas	attractions
august	augusts	august
augusta	augusts	august
augustin	augustīns	augustine
augustu	augusts	august
auschwitz	auschwitz	auschwitz
australija	austrālija	australija
australije	austrālija	austria
australiji	austrālija	austria
austrija	austrijā	austria
austrijanci	austrieši	austrians
austrije	austrijas	austria
austriji	austrijā	austria
austrijom	austrijā	austria
austrijska	austrietis	austrian
austrijske	austrietis	austrian
austrijski	austrietis	austrian
austrijskog	austrietis	austrian
austriju	austrijā	austria
austrougarska	austroungārija	austro-hungarian
austrougarske	austroungārija	austro-hungarian
austrougarski	austroungārija	austro-hungarian
austrougarsko	austroungārija	austro-hungarian
austrougarskog	austroungārija	austro-hungarian
autizam	autisms	autizm
automatski	automātiski	automatic
automobila	auto	cars
autonomije	autonomija	autonomy
autonomiju	autonomija	autonomy
autonomna	autonomi	autonomous
autonomne	autonomi	autonomous
autoput	šoseja	highway
autoputa	šoseja	highway
autoputeva	šosejas	highways
autor	autore	author
autora	autore	author
autori	autori	authors
autorima	autori	authors
autoritet	autoritāte	authority
autoru	autoram	author
avaz	avaz	avaz
avgust	augusts	august
avijacija	aviācija	aviation
avion	lidmašīna	aircraft
aviona	lidmašīnas	plane
avioni	lidmašīnas	planes
azerbejdžan	azerbaidžāna	azerbaijan
azija	āzija	asia
azije	āzija	asia
aziji	āzija	asia
aziju	āzija	asia
b	b	b
bacanje	mešana	throwing
bach	bahs	bach,last name
bacte	bacte	throw
bad	slikti	bad
bajram	eid	bayram
bajrama	eid	bayram
bajramović	bajramović	bajramovic
bakar	vara	copper
bakra	vara	copper
bakterija	baktērijas	bacteria
bakterije	baktērijas	bacteries
balada	balāde	ballad
balade	balādes	balads
baljić	baljić	baljic
balkan	balkāns	balkan
balkana	balkāni	balkan
balkanski	balkāni	balkan
balkanskih	balkāni	balkan
balkanskog	balkāni	balkan
balkanskom	balkāni	balkan
balkanu	balkāni	balkans
ban	aizliegums	ban
bana	bana	ban
banja	spa	spa
banje	spa	spas
banjoj	banjoj	banja
banka	banka	bank
banke	bankas	banks
banovina	banovina	banovina
banovine	banovina	banovina
banovići	banovići	banovich
bar	bārs	at least
barbarez	bārbaresa	barbarez(name)
barcelona	barcelona	barcelona
bare	pliks	bare
barem	vismaz	at least
barometar	barometrs	barometer
barry	barijs	barry
bas	bass	bass
basicu	pamatau	basic
baterija	akumulators	battery
baterije	baterijas	battery
bave	bave	deal with
bavi	darījumi	deals
bavili	izklaidēja	dealt with
bavilo	saderinājies	dealt with
baviti	tikt galā ar	do
baza	bāze	base
baze	bāze	base
bazen	baseins	pool
bazena	baseins	pool
bazi	bāze	base
bazilika	bazilika	basilica
bazira	balstīta	based on
baziran	balstīta	based
bazirana	balstīta	based
bazu	bāze	base
baš	vienkārši	exactly
bašagić	башагић	basagic
bašagića	башагића	bašagić
bašeskija	башескија	bašeskija
baština	mantojums	heritage
baštine	mantojums	heritage
baštini	mantojums	inheritance
baščaršija	baščaršija	bascarsija (part of the city of sarajevo)
bdp	bdp	gdp
bdpa	bdpa	bdp
be	būt	be
bebek	bērniņš	bebek
bedema	vaļņi	rampart
beg	ubagot	bey
begova	lūdz	duke
bejrut	beirūta	beirut
belgija	beļģija	belgium
belgije	beļģija	belgium
belgiji	beļģija	belgium
bell	zvans	bell
bend	locīt	band
benda	benda	band
bendu	locīt	band
benjamin	benjamin	benjamin
benu	benu	ben
beograd	belgrada	beograd
beograda	belgrada	belgrade
beogradskom	belgrada	belgrade
beogradu	belgrada	belgrade
berlin	berlīns	berlin
berlinu	berlīns	berlin
besplatni	bez maksas	free
beta	beta	beta
bez	bez	without
beč	vīne	vienna
beča	vīne	wien
beču	vīne	vienna
bešlagić	beslagic	beslagic,last name
bešlić	beslic	beslic
bh	bh	bh
bi	bi	to
biblije	bībeles	bible
bibliji	bībele	bible
bibliografija	bibliogrāfija	bibliography
biblioteka	bibliotēka	library
biblioteke	bibliotēkas	libraries
bici	bibi	battle
bih	es būtu	bih
bihać	bihać	bihać
bihaća	bihaća	bihac
bihaćki	bihaćki	bihac
bihaću	es būšu	bihac
bijaše	tas bija	was
bijela	balts	white
bijele	balts	white
bijeli	balts	white
bijelim	balts	white
bijeljina	baltums	bijeljina
bijelo	balts	white
bijelog	balts	white
bijelu	balts	white
bila	bija	was
bile	žults	were
bileća	bileća	bileca
bili	bija	were
biljaka	augi	plants
bilje	garšaugi	plants
bilješke	piezīmes	notes
bilježe	viņi reģistrē	note
bilježi	piezīmes	notes down
biljka	augs	plant
biljkama	augi	plants
biljke	augi	plants
biljne	augu izcelsmes	herbal
biljnih	augs	plant
biljnog	augs	herbal
bill	rēķins	bill
bilo	bija	was
bin	atkritumu tvertne	bin
binarni	binārs	binary
bint	apsējs	bint
bio	bija	was
biofizika	biofizika	biofysics
biografija	biogrāfija	biogeography
biologija	bioloģija	biology
biološka	bioloģiskā	biological
biološki	bioloģiskā	biological
biosfera	biosfēra	biosphere
bira	alus	elected
biraju	viņi izvēlas	chosen
biseri	pērles	pearls
biskup	bīskaps	bishop
biskupa	bīskaps	bishop
bit	mazliet	will
bitaka	cīņa	battles
bitan	bitāns	important
biti	būt	be
bitka	cīņa	battle
bitke	cīņas	battles
bitki	cīņas	battles
bitku	cīņa	battle
bitna	svarīgs	important
bitne	būtiska	important
bitno	būtiska	important
biva	biva	being
