$ tỉ	miliarde de dolari	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	despre	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	cont	account
aceh	aceh	(proper noun) aceh
achilles	achile	achilles
acia	acia	acia
acid	acid	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	chirpici	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	avansat	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afganistan	afghanistan
africa	africa	(proper noun) africa
african	african	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	oms	who
ailen	irlandez	ailen
aim	scop	aim
air	aer	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	salut	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	toata muzica	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpi	alps
altai	altai	altai
always	mereu	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amină	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amoniac	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	un	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andaluziei	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	frate	english
anhmỹ	britanic	"(term should be ""anh mỹ"") english or american"
anhpháp	engleza franceza	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	un nam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	orice	any
anđêhít	aldehidă	aldehydes
ao	lac	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	măr	apple
aquinas	aquinas	a name
arab	arab	(proper noun) arab
archetypal	arhetipală	archetypal
archive	arhiva	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arii	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotle	aristotle
arizona	arizona	arizona, as in the state
ark	arcă	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armean	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	frasin	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asia	asia
asm	asm	asm
asoka	asoka	asoka
association	asociere	association
assyria	asiria	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantic	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audiție	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australia	(proper noun) australia
austria	austria	(proper noun) the country of austria
austrian	austriac	austrian
avar	avar	a name
aviation	aviaţie	aviation
awad	awad	awad
award	adjudecare	award
axit	acid	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaidjan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	tată	three
babylon	babylon	babylon
bacon	slănină	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrain	bahrain
baháí	bahai	bahai
balearic	balearic	balearic
bali	bali	bali
balkan	balcanic	(proper adjective) balkan
balkans	balkans	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	interzice	the
bang	bubuitură	state
banh	minge	ball
banner	stindard	banner
bantam	găină sau cocoș din bantam	bantam
bantu	banul tău	bantu
bao	sac	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	stil baroc	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	barionic	baryon
barça	barça	(proper noun) barca
base	baza	base
basel	basel	basel, a city in switzerland
basil	busuioc	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	a zbura	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	bazalt	basalt (n.)
bazơ	de bază	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	bate	beat
beatles	beatles	the beatles
beauty	frumuseţe	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethoven	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	in spate	behind
beijing	beijing	beijing
bel	bel	bel
bell	clopot	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermude	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	mai bine	better
betty	betty	betty
bhutan	butan	bhutan
bia	bere	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	factură	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismark	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	record	bien
biếc	turcoaz	a bluish-green color (adj.)
biếm	neglijent	"(term should be ""biếm họa"") cartoon (n.)"
biến	afară	other
biếng	leneş	lose interest in
biếu	a plăti tribut	present
biều	bieu	bieu
biển	mare	ocean
biểuthứcđiềukiện	cunosc condițiile	conditional expression
biện	scuza	"(term should be ""biện pháp"") a method (n.)"
biệt	distinct	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	polițai	bobby, as in bobby day
boeing	boeing	boeing
bohemia	boemia	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bombă	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	bum	boom
boong	punte	a deck (n.)
boongke	buncăre	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnia	(proper noun) bosnia
botswana	botswana	botswana
bottom	fund	bottom
boulder	bolovan	boulder
bourbon	bourbon	bourbon
boxing	box	boxing
brain	creier	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brazilia	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	pod	bridge
britannic	britannic	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	maro	brown
browne	browne	browne
browning	browning	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	bruxelles	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalus	bubalis
budapest	budapesta	budapest, the capital of hungary
bulgaria	bulgaria	bulgaria
bulletin	buletin	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	strangula	(proper noun) burke, as in edmund burke
burkina	burkinei	burkina
burma	birmanez	burma
burundi	burundi	burundi
busan	pusan	a korean city
busby	căciulă de husar	busby
bush	tufiș	bush
bushy	stufos	bushy
buôn	angro	commerce
buông	da drumul	to release, to let loose
buýt	autobuz	bus
buốt	dornici	sharp
buồm	naviga	sail
buồn	trist	sad
buồng	cameră	chamber
buổi	sesiune	session
byzantine	bizantin	byzantine
bà	bunică	woman or lady (n.)
bài	mesaje	articles
bàn	masa	table
bàng	vultur	eagle
bành	peng	armchair
bào	rindeluirea	compatriot
bàu	bau	bau
bày	prezentare	"(term should be ""trưng bày"") to display (v.)"
bác	unchi	doctor
bách	chiparos	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	cult	to bow (v.)
bám	se lipi	cling
bán	vinde	sell
báng	bubuitură	"(term should be ""phỉ báng"") to defame or slander"
báo	ziar	newspaper (n.)
bát	castron	eight (n.)
báu	comoară	valuable
bây	acum	now
bã	reziduu	"(term should be ""buồn bã"") sad (adj.)"
bãi	yards	beach
bão	furtună	storm
bèn	apoi	then
bé	mic	baby
bén	ascuțit	sharp (adj.)
béo	gras	fat
bên	latură	side
bênh	bolnav	advocate
bì	ambalaje	foreskin (n.)
bìa	acoperi	cover
bìu	scrot	sac (n.)
bí	suc de fructe	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	dovleac	biro
bò	vacă	beef
bó	buchet de	bound (adj.)
bói	ghicitul destinului	to foretell (v.)
bón	fertiliza	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	minge	sphere or ball
bóp	stoarce	squeeze
bô	tată	"(term should be ""bôxit"") the mineral bauxite"
bôi	uns	to apply (as in oil)
bông	bumbac	flower
bù	machiaj	compensate
bùa	amuletă	talisman
bùn	noroi	mud
