$	ps	a sign of doller
+	+	+
=	=	equal to
==	==	==
===	===	===
>	&gt;	"mathematical sign for denoting ""greater than"""
|	el |	|
°	°	digree
×	×	into
λ	λ	lambda-a greek alfabet
इतिहास	historia	history [hindi word]
और	y	and
का	de	of
की	de	's [hindi word]
के	k.	's, of [hindi word]
गया	ido	went on [hindi word]
में	en	in [hindi]
है	es	is there [hindi word]
ઃ	otoño	symbol
અ	una	a
અંક	problema	number
અંકલેશ્વર	ankleshwar	ankleshwar
અંકુશ	controlar	control
અંકુશિત	revisado	controlled
અંકુશો	control s	control
અંકો	dígitos	edition
અંગ	organo	part
અંગત	personal	private / personal
અંગીકાર	aceptación	to change religion
અંગે	acerca de	about
અંગેના	acerca de	regarding
અંગેની	acerca de	about
અંગેનું	de	about
અંગેનો	acerca de	about
અંગો	órganos	parts
અંગ્રજોના	de los ingleses	of british
અંગ્રેજ	inglés	foreigner
અંગ્રેજ઼ી	inglés	english
અંગ્રેજી	inglés	english
અંગ્રેજીના	de inglés	of english
અંગ્રેજીનાં	de inglés	of english
અંગ્રેજીની	de inglés	of english
અંગ્રેજીનું	de inglés	english
અંગ્રેજીને	inglés	to english
અંગ્રેજીનો	de inglés	of the english
અંગ્રેજીમાં	en inglés	in the english
અંગ્રેજીમાંથી	de inglés	from english
અંગ્રેજો	el inglés	britishers
અંગ્રેજોએ	el inglés	foreigners
અંગ્રેજોના	de los ingleses	britisher's
અંગ્રેજોની	de los ingleses	britisher
અંગ્રેજોને	a los ingleses	to the british
અંજાર	anjar	anjar [name of a city]
અંત	el fin	at the end
અંતમાં	últimamente	in the end
અંતર	distancia	distance
અંતરના	de distancia	distance
અંતરની	de distancia	distance
અંતરાલ	intervalo	interval
અંતરિયાળ	interior	internal
અંતરે	a una distancia	distance
અંતર્ગત	interno	included
અંતિમ	el final	final
અંતે	en el final	at last
અંદર	dentro	inside
અંદરથી	desde el interior	inner
અંદરના	dentro	inner
અંદરની	dentro	inside
અંદાજ	estimar	approx
અંદાજિત	estimado	approximate
અંદાજે	aprox.	approximate
અંદાજો	estimados	estimates
અંદાઝ	estimados	andaaz
અંદામાન	andaman	andaman
અંધ	ciego	blind
અંબા	amba	amba
અંબાજી	ambaji	ambaji
અંબાણી	ambani	ambani
અંબાણીએ	ambani	by ambani
અંબાણીની	ambani	ambani's
અંબાલિકા	ambalika	ambalika
અંબિકા	ambika	ambika
અંશ	extracto	part
અંશતઃ	en parte	partly
અંશે	hasta cierto punto	by percentage
અંશો	extracto	parts / particles
અંહી	aquí	here
અંહીના	aquí	this
અકબંધ	intacto	intact
અકબર	akbar	akbar
અકબરના	akbar&#39;s	of akbar
અકબરે	akbar	akbar
અકાદમી	academia	academy
અક્ષર	personaje	letter
અક્ષરજ્ઞાન	literatura	literacy
અક્ષરધામ	akshardham	akshardham
અક્ષરબ્રહ્મ	aksharbrahm	aksharbrahm
અક્ષરો	letras	letters
અક્ષાંશ	latitud	latitude
અખંડ	intacto	intact
અખબાર	periódico	newspaper
અખબારો	periódicos	news paper
અખાત	golfo	gulf
અખિલ	akhil	all
અગત્યતા	importancia	importance
અગત્યના	importante	important
અગત્યની	importante	important, of importance
અગત્યનું	importante	important
અગત્યનો	importante	important
અગાઉ	previamente	previously
અગાઉથી	por adelantado	from ahead
અગાઉના	anterior	earlier
અગાઉની	anterior	past
અગિયાર	once	eleven
અગ્નિ	fuego	fire
અગ્ની	fuego	fire
અગ્ર	interfaz	or / principal
અગ્રગણ્ય	principal	famous
અગ્રણી	líder	front-runner / trialblazer
અગ્રેસર	líder	leading
અઘરી	difícil	hard
અચાનક	de repente	suddenly
અચોક્કસ	incorrecto	indefinite
અજ઼ીજ઼	azeezo	aziz [arabic written in gujarati script]
અજાણ	inconsciente	unknown
અજાણ્યા	extraños	stranger
અજાયબી	preguntarse	wonder
અજાયબીઓ	maravillas	wonders
અજાયબીઓની	de maravillas	of wonderful things
અજેય	invencible	unbrakable
અજોડ	único	uncomparable
અજ્ઞાત	desconocido	unknown
અજ્ઞાન	ignorancia	unknown,
અટકાવવા	para prevenir	to prevent
અટકાવી	prevenido	prevent
અટકાવે	previene	prevents
અટકાવ્યા	detenido	prevented
અટકી	colgando	stopped
અટલ	irresistible	surname
અઠવાડિયા	semanas	week
અઠવાડિયાનો	de la semana	of the week
અઠવાડિયામાં	en una semana	in a week
અડધા	medio	half
અડધી	medio	half
અડધું	medio	half
અડીને	adyacente	touch
અડે	toques	touch
અઢાર	dieciocho	eighteen
અણનમ	invicto	not out
