$ tỉ	十亿美元	$ billion
abc	abc	abc
abdul	阿卜杜勒	abdul
abkhazia	阿布哈兹	a name
about	关于	about
abraham	亚伯拉罕	abraham
abrams	阿布拉姆斯	abrams
abscbn	绝对	abscbn
account	户口	account
aceh	ace	(proper noun) aceh
achilles	阿喀琉斯	achilles
acia	相思	acia
acid	酸	acid
ada	阿达	ada
adams	亚当斯	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	土坯	adobe
adrian	阿德里安	(proper noun) adrian
adsl	adsl	adsl
advanced	进阶的	advanced
aedes	伊蚊	aedes
aegypti	埃及	aegypti
aero	航空	(proper noun) aero, as in the aero l-39 albatros jet
afc	非洲联盟	afc
aff	事后	aff
afghanistan	阿富汗	afghanistan
africa	非洲	(proper noun) africa
african	非洲的	african
ag	g	ag
agasa	阿加萨	(proper noun) agasa, as in hiroshi agasa
agassi	阿加西	agassi
ai	谁	who
ailen	爱尔兰人	ailen
aim	瞄准	aim
air	空气	air
airbus	空客	airbus
aisne	埃森	aisne
ajax	阿贾克斯	ajax
ak	ak	ak
akatsuki	赤月	akastuki
akms	阿克姆斯	akms
akô	你好	ako
al	人	al
alabama	阿拉巴马州	alabama
alaska	阿拉斯加	alaska
albania	阿尔巴尼亚	albania
albatros	信天翁	(proper noun) albatros, as in the aero l-39 albatros
albert	阿尔伯特	(proper noun) albert
alberto	阿尔贝托	(proper noun) alberto
albion	阿尔比恩	albion, an ancient name for great britain
albuquerque	阿尔伯克基	albuquerque
albus	阿不思	albus
alexa	亚历克斯	alexa
alexandra	亚历山德拉	alexandra
alexandria	亚历山大	alexandria
alexandros	亚历山德罗斯	alexandros
alexey	亚历克斯	alexey
alfred	阿尔弗雷德	(proper noun) alfred, as in alfred kinsey
algérie	阿尔及利亚	algerie
ali	阿里	ali
alice	爱丽丝	this is a name
allan	艾伦	(proper noun) allan, as in edgar allan poe
allen	艾伦	(proper noun) allen
allmusic	音乐	allmusíc
alois	阿洛瓦	alois
alonso	阿隆索	alonso
alpher	阿尔法	(proper noun) alpher
alps	阿尔卑斯山	alps
altai	阿尔泰	altai
always	总是	luon luon
amaravati	阿马拉瓦蒂	amaravati
amazon	亚马逊	amazon
amdo	安多	(proper noun) amdo
ame	阿美	ame
ami	ami	ami
amiens	亚眠	amiens
amin	胺类	(proper noun) amin, as in nagib amin
amm	嗯	amm
amoniac	氨水	ammonium (n.)
amphitrite	闪石	(proper noun) amphitrite, a greek sea goddess
an	安全	"(should be ""an toàn"") safe"
anand	阿南德	anand
anata	阿纳塔	anata
anatolia	安那托利亚	anatolia
andalusia	安大路西亚	andalusia
andaman	安达曼	andaman
anderson	安德森	anderson
andes	安第斯山脉	andes
andorra	安道尔	andorra
andrew	安德鲁	andrew
andré	安德烈	andre, as in andre morval
andy	安迪	(proper noun) andy, as in andy warhol
anfield	安菲尔德	anfield
ang	ang	ang
angkor	吴哥	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	盎格鲁撒克逊	anglo-saxon
anh	他	english
anhmỹ	英式	"(term should be ""anh mỹ"") english or american"
anhpháp	法国先生	england-france
ankara	安卡拉	ankara
ankyl	烷基	ankly
anna	安娜	anna
annam	安南	a name the way french called middle vietnam as a colony
annan	安南	annan
anne	安妮	anne, a name
anorthosit	厌食症	anorthosit, a type of igneous rock (n.)
anthony	安东尼	anthony
antigua	安提瓜岛	(proper noun) antigua
anton	安东	anton
antonov	安东诺夫	antonov
any	任何	any
anđêhít	醛类	aldehydes
ao	池塘	pond
aotearoa	奥泰罗阿	aotearoa
apollo	阿波罗	apollo
apple	苹果	apple
aquinas	阿奎那	a name
arab	阿拉伯人	(proper noun) arab
archetypal	原型的	archetypal
archive	封存	archive
arctan	arctan	a function
ares	战神	ares
argentina	阿根廷	(proper noun) the south american nation of argentina
argo	argo	argo
arias	咏叹调	arias
aringarosa	阿林加洛萨	aringarosa, as in manuel aringarosa
aristotle	亚里士多德	aristotle
arizona	亚利桑那州	arizona, as in the state
ark	方舟	ark
