$ tỉ	$ biliwn	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	am	about
abraham	abraham	abraham
abrams	abramau	abrams
abscbn	abscbn	abscbn
account	cyfrif	account
aceh	aceh	(proper noun) aceh
achilles	achilles	achilles
acia	acia	acia
acid	asid	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	uwch	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	africa	(proper noun) africa
african	african	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	pwy	who
ailen	gwyddeleg	ailen
aim	nod	aim
air	aer	air
airbus	airbus	airbus
aisne	eil	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	helo	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albws	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpau	alps
altai	altai	altai
always	bob amser	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amonia	ammonium (n.)
amphitrite	amffitrite	(proper noun) amphitrite, a greek sea goddess
an	an	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalusia	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	ef	english
anhmỹ	prydeinig	"(term should be ""anh mỹ"") english or american"
anhpháp	ffrainc mr.	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	unrhyw	any
anđêhít	aldehyde	aldehydes
ao	pwll	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	afal	apple
aquinas	aquinas	a name
arab	arab	(proper noun) arab
archetypal	archetypal	archetypal
archive	archif	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotle	aristotle
arizona	arizona	arizona, as in the state
ark	arch	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenian	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	lludw	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asia	asia
asm	asm	asm
asoka	asoka	asoka
association	cymdeithas	association
assyria	assyria	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantig	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	clyweliad	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	awstralia	(proper noun) australia
austria	austria	(proper noun) the country of austria
austrian	awstralia	austrian
avar	avar	a name
aviation	hedfan	aviation
awad	awad	awad
award	gwobr	award
axit	asid	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaijan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	tri	three
babylon	babilon	babylon
bacon	cig moch	bacon
baden	baden	baden
baghdad	baghdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrain	bahrain
baháí	baháí	bahai
balearic	balearig	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balcanau	balkans
ballard	baled	ballard
bamar	bamar	bamar
ban	gwaharddiad	the
bang	bang	state
banh	bêl	ball
banner	baner	banner
bantam	bantam	bantam
bantu	bantu	bantu
bao	sach	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	ysguboriau	barnes
barone	barwn	barone
baroque	baróc	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barça	(proper noun) barca
base	sylfaen	base
basel	basel	basel, a city in switzerland
basil	basil	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	hedfan	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalt	basalt (n.)
bazơ	sylfaenol	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	curo	beat
beatles	beatles	the beatles
beauty	harddwch	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	bicer	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	y tu ôl	behind
beijing	beijing	beijing
bel	bel	bel
bell	gloch	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	diflas	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	gwell	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	cwrw	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	bil	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	map did	bitmap
biên	ffin	bien
biếc	corhwyaid	a bluish-green color (adj.)
biếm	diofal	"(term should be ""biếm họa"") cartoon (n.)"
biến	amrywiol	other
biếng	diog	lose interest in
biếu	cwrteisi	present
biều	bieu	bieu
biển	y môr	ocean
biểuthứcđiềukiện	gwybod yr amodau	conditional expression
biện	ymddiheuro	"(term should be ""biện pháp"") a method (n.)"
biệt	gwahanol	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	beio	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemia	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bom	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	ffyniant	boom
boong	dec	a deck (n.)
boongke	bynceri	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnia	(proper noun) bosnia
botswana	botswana	botswana
bottom	gwaelod	bottom
boulder	clogfaen	boulder
bourbon	bourbon	bourbon
boxing	paffio	boxing
brain	ymennydd	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brazil	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	bont	bridge
britannic	britannig	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	brown	brown
browne	browne	browne
browning	brownio	(proper noun) browning
bruce	brws	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brwsel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bwlgaria	bulgaria
bulletin	bwletin	thong bao
bungary	bungary	bungary
bungo	byngo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	llwyn	bush
bushy	prysur	bushy
buôn	cyfanwerth	commerce
buông	gadewch i ni fynd	to release, to let loose
buýt	bws	bus
buốt	oer	sharp
buồm	hwylio	sail
buồn	trist	sad
buồng	siambr	chamber
buổi	sesiwn	session
byzantine	byzantine	byzantine
bà	nain	woman or lady (n.)
bài	post	articles
bàn	bwrdd	table
bàng	eryr	eagle
bành	peng	armchair
bào	cynllunio	compatriot
bàu	bau	bau
bày	cyflwyniad	"(term should be ""trưng bày"") to display (v.)"
bác	ewythr	doctor
bách	cypreswydden	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	cwlt	to bow (v.)
bám	glynu	cling
bán	gwerthu	sell
báng	stoc	"(term should be ""phỉ báng"") to defame or slander"
báo	papur newydd	newspaper (n.)
bát	bowlen	eight (n.)
báu	trysor	valuable
bây	nawr	now
bã	gweddillion	"(term should be ""buồn bã"") sad (adj.)"
bãi	llath	beach
bão	storm	storm
bèn	yna	then
bé	babi	baby
bén	miniog	sharp (adj.)
béo	braster	fat
bên	parti	side
bênh	yn sâl	advocate
bì	pecynnu	foreskin (n.)
bìa	gorchudd	cover
bìu	scrotwm	sac (n.)
bí	sboncen	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	pwmpen	biro
bò	buwch	beef
bó	criw	bound (adj.)
bói	dweud ffortiwn	to foretell (v.)
bón	ffrwythloni	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	y bêl	sphere or ball
bóp	gwasgfa	squeeze
bô	poti	"(term should be ""bôxit"") the mineral bauxite"
