$  	usd	dollar
=	=	=
>	&gt;	>
a		the
ab	ab	ab
aba	aba	aba
abba	tajā	into
abban	tajā	"in that ""abban az esetben"" means ""in (that) case"""
abból	no tā	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absints	absynth
abszintot	absints	absinthe
abszolút	absolūts	absolute
abu	abu	abu
ac	ac	ac milan (football)
acdc	acdc	acdc
achát	ahāts	agate
act	tēlot	act
acél	tērauda	steel
ad	dot	give
adam	ādams	adam
adams	adams	adams
adat	dati	data
adatai	informācija	data
adatait	informācija	data of
adatok	dati	data
adatokat	dati	data
adatot	dati	data
addig	līdz tam	will
addigi	iepriekšējā	current
addigra	līdz tam	by then
adja	ievadiet	give
adjon	dot	so he give
adminisztratív	administratīvā	administrative
admirális	admirālis	admiral
adnak	viņi	they
adni	dot	to give
adolf	ādolfs	adolf
adott	dots	specific
adrian	adrians	adrian
adta	deva	he performed
adtak	viņi	gave
adták	atbrīvots	gave
ady	ady	ady
adó	nodoklis	provider
adódik	pienāk	given
adók	es dodu	taxes
adót	nodokļi	tax
afganisztán	afganistāna	afghanistan
afganisztáni	afganistāna	of afghanistan
afgán	afgāņu	afghani
afrika	āfrika	africa
afrikai	afrikāņu	african
afrikában	āfrika	in africa
agatha	agata	agatha
agy	smadzenes	brain
ahhoz	uz to	thereto
ahogy	kā	as
ahogyan	kā	as
ahol	kur	where
ahonnan	no kurienes	from where
ahova	kur	to where
ahová	kur	where
ai	ai	this word does not make sense on its own
aids	aids	aids
air	gaiss	air
aires	aires	aires
airsoft	airsoft	airsoft
ajánlatot	piedāvājums	offer
ajánlott	ieteicams	recommended, offered
ajánlotta	ieteicams	recommended
akad	atpaliek	there
akadt	nozvejotas	had
akadtak	tur bija	could be found
akadályozta	novērš	obstructed
akadémia	akadēmija	academy
akadémiai	akadēmiskais	academical
akadémián	akadēmija	academy
akar	būs	wants to
akarat	būs	will
akarata	būs	will of
akarja	uz	wants
akarnak	viņi grib	they want
akart	gribēja	he wanted
akarta	gribēja	wanted
akartak	viņi vēlējās	wanted
akarták	viņi vēlējās	wanted
akció	darbība	action
akhilleusz	ahillejs	achilles
aki	pvo	who
akik	pvo	who
akiket	pvo	who
akikkel	ar ko	with whom
akiknek	kam	whom
akinek	kam	whom
akiről	pvo	of whom
akit	kam	whom
akitől	kam	from whom
akivel	ar ko	whom
akkor	tad	then
akkora	izmērs	the size
akkori	tad	then
akkoriban	toreiz	at that time
aktuális	pašreizējais	actual
aktív	aktīvs	active
aktívan	aktīvi	actively
akusztikus	akustisks	acoustic
akác	akācija	akacia
akár	būs	just like
akárcsak	vienkārši	just like
al	al	al
alacsony	zems	low
alacsonyabb	zemāks	shorter
aladár	aladar	aladar
alagút	tunelis	tunnel
alajos	alajos	alajos (forename)
alak	forma	shape
alakban	forma	in form
alakja	forma	person of sg
alakjai	skaitļi	characters of sy's
alakjában	forma	in the form of
alakját	forma	shape
alakok	skaitļi	shapes
alakot	forma	character
alakul	attīstās	evolve
alakulat	veidošanās	formation
alakulatok	spēki	corps
alakulnak	attīstīties	are formed
alakult	dibināta	developed
