aajo	ไร้สาระ	hospitality
aala	ชายแดน	border
aanu	ความเห็นอกเห็นใจ	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	อัมพาต	fasting
abala	ส่วนหนึ่ง	division
abeikojopo	ผู้รับพินัยกรรม	subset
abeorile	การกลับบ้าน	nation
abesahara	โรย	under the sahara
abidi	ตัวอักษร	abidi
abidjan	เคย	abidjan
abo	ของผู้หญิง	security
aburunmu	ความรู้สึกของเรา	reduced in value, diminished
abálájo	ที่มีประสบการณ์	that is why
abé	เข็ม	under
abínibí	สัญชาติ	inborn
abúléko	หมู่บ้าน	village
accra	อักกรา	accra
adaba	สะดวกสบาย	factor
adabaye	เอาล่ะ	previously-existing
adarihunrun	ทำความสะอาด	human
addis	addis	addis
adeda	ธรรมชาติ	creator
adiokan	โดดเดี่ยว	stubbornness
adágbà	ผู้สูงอายุ	adagba
adúgbò kútò	เพื่อนบ้านในถนน	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	เพื่อนบ้านเหมืองหิน	neighborhood
adúgbò ìdí	เหตุผลที่ใกล้เคียง	area
afida	ครอบครัว	element
afomo	ตัวอย่างเช่น	cleansing
afoyemo	สรุป	abstract
africa	แอฟริกา	africa
african	แอฟริกัน	ara afrika
africans	แอฟริกัน	africans
aféfé	สีลม	air
agba	สี	principal
agbado	ข้าวโพด	maize
agbara	อำนาจ	power
agbaye	โลก	world
agbeinadie	เกษตร	semi-conductor
agbà	ผู้ใหญ่	adult
agbàbò	ผู้คุ้มครอง	adopted child
agbára	อำนาจ	power
agbéiná	เจ้าหน้าที่ดับเพลิง	conductor
agio	ร้องไห้	agio
aintimulo	aintimulo	un-exploited
aisi	ไม่มี	lack
ajagun	สุนัข	ajagun
aje	เศรษฐกิจ	trade
ajemoroyin	คำถาม	reporting
ajibola	ระเบียบวาระการประชุม	ajibola
ajo	การท่องเที่ยว	firms
ajoro	การท่องเที่ยว	discussion
ajọra	แบบจำลอง	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	ปืนใหญ่	akinpelu
akokolo	ระยะเวลา	period
akole	เราไม่สามารถ	title
akoni	เราไม่มี	teacher
akopa	ก่อนอื่น	participant
akopo	การรวบรวม	assembly
akátá	ลิ่วล้อ	african american
akíkanjú	กล้าหาญ	courageous
akíngbógun	กองพัน	akingbogun
akẹ́kọ̀ọ́	นักเรียน	students
ala	ลง	limit
alaabo	พิการ	protection
alaadanida	ที่ไม่พึงประสงค์	individual
alaafia	ความสงบ	peace
alaafin	นอกกฎหมาย	alaafin
aladaani	เอกชน	privately-owned
aladani	เอกชน	self-owned
aladanida	โดยพลการ	private
alaidogba	ไม่สมดุลย์	unequal
alaigbara	ต่อต้านไม่ได้	neutron
alaini	ยากจน	the poor
alakitiyan	กิจกรรม	activist
alakobere	สามเณร	primary
alalaye	เหมือนดิน	explanatory
alawose	ดวงชะตา	mentor
albany	อัลบานี	albany
albert	อัลเบิร์	albert
alexandra	อเล็กซาน	alexandra
alicia	อลิเซีย	alicia
allāh	อัล	allah
alominira	ความเป็นอิสระ	independent
alpha	แอลฟา	alpha
alubàbá	พ่อ	drummer
alukuraani	คัมภีร์โกหร่าน	quran
alumoni	แก้	minerals
alumíníọ̀mù	อลูมิเนียม	aluminium
alákọ̀bẹ̀rẹ̀	เจ้าตำรับ	primary education
alápapò	การแทนที่	general
alátise	ศิลปิน	alatise
aláyèwò	ผู้ตรวจการ	expert
aláísàn	ป่วย	the sick
alúwo	ความเจริญ	traditional cults
alọ́po	กระเป๋าสตางค์	tied
amazonas	amazonas	amazonas
americas	อเมริกา	americas
amerika	สหรัฐอเมริกา	america
amojeoyipada	แปลงสภาพ	reform
amosi	มัสยิด	amos
améríkà	อเมริกัน	america
améríkà	อเมริกัน	america
an		him
anabi	ผู้เผยพระวจนะ	prophet
anc	anc	anc
andaman	andman	andaman
angkor	อังกอร์	angkor
anita	แอนนิต้า	anita
anschluss	เวียนนา	anschluss
apagusu	ใต้	southern
apaguusuilaorun	ทิศตะวันตกเฉียงใต้	south-western
apaguusuiwoorun	ทิศตะวันตกเฉียงใต้	part of the south
apailaorun	พระอาทิตย์ขึ้น	east side
apaiwoorun	ตะวันตก	eastern side
aparapo	การรวมกัน	confederation
apeja	ชาวประมง	fisherman
apeere	ตัวอย่างเช่น	example
apis	apis	apis
apòmù	ผ้ากันเปื้อน	apomu
apẹ̀rè	ผ้ากันเปื้อน	example
arabu	อาหรับ	arab
aralíle	เขตร้อน	healthy body
arinkankan	อันนี้	nationalist
ariso	aris	oral tradition
ariwaarin	ตะวันออกกลาง	mid-north
ariwaguusu	ทางตะวันตกเฉียงใต้	north-south
arkansas	อาร์คันซอ	arkansas
aroko	พืชพันธุ์	composition
