$	usd	(dollar sign)
=	=	=
a	plkst	has
ab	ab	ab
abandon	padošanās	abandonment
abandonne	pamests	abandoned
abandonner	pamest	abandon
abandonné	pamests	abandoned
abandonnée	pamests	abandoned
abandonnés	pamests	abandonned
abc	abc	abc
abd	abd	abd
abondante	bagātīgs	abundant
aborde	risina	addresses
aborigènes	aborigēni	aborigines
abou	abou	abou
about	par	about
abouti	veiksmīgs	led
aboutir	izdodas	lead
aboutit	rezultātā	results
abraham	ābrahams	abraham
abrite	patversmes	shelter
absence	prombūtne	lack of
absent	prombūtnē	absent
absolu	absolūts	absolute
absolue	absolūts	absolute
absolument	absolūti	absolutely
absurde	absurds	absurd
abu	ir dzēris	(name)
abus	ļaunprātīga izmantošana	abuse
ac	ac	ac
académie	akadēmija	academy
académique	akadēmiskais	academical
accepte	pieņemts	agrees
acceptent	pieņemt	agree
accepter	pieņemt	accept
accepté	pieņemts	agreed
accessible	pieejams	accessible
accessibles	pieejams	accessible
accident	avārija	accident
accidents	nelaimes gadījumi	accidents
accompagne	pavada	accompanied
accompagné	pavada	accompanied
accompagnée	pavada	accompanied
accompagnés	pavada	accompanied
accompli	paveikts	accomplished
accord	vienošanās	agreement
accorde	atļauts	grants
accorder	dotācija	to give
accords	akordi	agreements
accordé	atļauts	provided
accordée	piešķirts	assigned
accrue	palielināts	increased
accueil	mājas	welcoming center
accueille	laipni gaidīti	welcome
accueillent	laipni gaidīti	welcome
accueilli	sveica	welcomed
accueillir	sveikt	welcome
accusations	apsūdzības	charges
accuse	apsūdzētais	accuses
accusé	apsūdzētais	accused
accusés	apsūdzētais	accused
accède	piekļūst	access
accès	piekļuvi	access
accéder	piekļūt	access
acdc	maiņstrāvas līdzstrāva	ac/dc (rock band)
ace	dūzis	ace
acheter	pirkt	buy
acheté	nopirkts	purchased
achevé	pabeigts	complete
achevée	pabeigts	completed
achille	ahillejs	achille
achromatie	ahromatika	a
achète	nopirkts	buy
achève	pabeigts	achieves
acide	skābe	acid
acides	skābes	acidic
acier	tērauda	steel
aciers	tēraudi	steel
acoustique	akustisks	acoustic
acquiert	iegūst	acquire
acquis	iegūts	acquired
acquise	iegūts	acquired
acquérir	iegūt	acquire
act	tēlot	act
acte	tēlot	deed
actes	akti	acts
acteur	aktieris	actor
acteurs	aktieri	actors
actif	aktīvs	active
actifs	aktīvs	active
action	darbība	action
actionnaires	akcionāriem	shareholders
actions	darbības	actions
active	aktīvs	active
activement	aktīvi	actively
activité	aktivitāte	activity
activités	aktivitātes	activities
actors	aktieri	actors
actrice	aktrise	actress
actrices	aktrises	actresses
actuel	pašreizējais	current
actuelle	pašreizējais	current
actuellement	šobrīd	current
actuelles	pašreizējais	current
actuels	pašreizējais	current
adam	ādams	adam
adams	adams	adams
adaptation	adaptācija	adaptation
adaptations	pielāgojumi	adaptations
adapté	pielāgots	adapted
adaptée	pielāgots	adapted
adaptées	pielāgots	suited
