$	dollar təşkil edib	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ	a	a
అంకారా	ankara	ankara
అంకితం	həsr olunmuşdur	dedicated
అంకురార్పణ	təşəbbüs	start
అంకె	nömrə	digit
అంకెల	rəqəm	numbers
అంకెలను	rəqəmlər	digits
అంకెలు	rəqəmlər	numerics
అంగదుని	angad	during the period of angadh
అంగారక	mars	mars
అంగారకుడిపై	anqarakudipai	on mars
అంగాలు	sole	parts
అంగిలి	damaq	angali
అంగీకరించరు	qəbul edin	accept
అంగీకరించలేదు	qəbul edildi	did not accept
అంగీకరించారు	qəbul edildi	agreed
అంచనా	təxmini	estimate
అంచనాల	təxmini	estimates
అంచనాలు	proqnozlar	estimates
అంజలి	anjali	anjali
అంటాం	çağırıldı	speaken
అంటాడు	deyir	he says
అంటారు	edir	tell
అంటార్కిటికా	antarktida	antarctica
అంటుంటారు	i̇stinadən	tell
అంటున్నారు	deyir	telling
అంటూ	orada	say
అంటే	nə	it menns
అండ	dəstək	shelter
అండమాన్	andaman	andaman
అండ్	və	and
అంత	mən	that much
అంతం	son	end
అంతకంటే	daha çox	earlier
అంతకు	əvvəllər	then
అంతగా	çox şey	so much
అంతటా	boyunca	all over
అంతటి	artıq	famous
అంతటితో	o nöqtədə	with that
అంతము	son	end
అంతరించిన	sönmüş	ending
అంతరిక్ష	məkan	space
అంతర్	i̇nter	inter
అంతర్గత	daxili	seeply
అంతర్జాతీయ	beynəlxalq	international
అంతర్జాతీయంగా	beynəlxalq	antarjateeyam
అంతర్జాలం	i̇nternet	internet
అంతర్జీవ	antarjiva	inside water
అంతర్భాగం	daxili	internal earth
అంతర్ముఖం	i̇nterfeys	interface
అంతర్యుద్ధం	vətəndaş müharibəsi	battle
అంతర్వేది	i̇nter	anthervedi(place name)
అంతస్తుల	hekayə	stories
అంతా	hər şey	all
అంతిమ	son	end
అంతిమంగా	nəhayət	at last
అంతే	budur	thats it
అంతేకాక	və	not only that
అంతేకాదు	the	thats not
అంతేగాక	daha,	not only this
అంత్య	son	last
అందం	gözəllik	beauty
అందంగా	gözəldir	beautifully
అందకుండా	qadağan	not reachable
అందమయిన	gözəldir	beautiful
అందము	əl əməyi	beautiful
అందమైన	gözəldir	beautiful
అందరి	hər kəs	of all
అందరికి	hamısı	to everybody
అందరికీ	hər kəs	for everyone
అందరినీ	hamısı	all
అందరు	hamısı	all
అందరూ	hamısı	all
అందానికి	gözəllik	to beauty
అందాల	gözəllik	beauty
అందించడం	təmin edir	giving to
అందించాడు	təmin edilmişdir	given
అందించారు	təmin edilmişdir	has given
అందించింది	təmin edilmişdir	gave
అందించిన	təmin edilmişdir	provided
అందించే	təklif	giving
అందిన	qəbz	received
అందిస్తాయి	təklif	gives
అందిస్తారు	təklif	provided
అందిస్తుంది	təkliflər	gives
అందిస్తున్నాయి	təklif	providing
అందుకని	kimi,	thats way
అందుకనే	niyə	because
అందుకు	the	thats way
అందుకున్నాడు	alinib	received
అందుకున్నారు	alinib	taken
అందుకే	niyə	thats way
అందుచేత	buna görə	so that
అందునా	i̇çərisində	in that
అందుబాటులో	mövcuddur	available
అందుబాటులోకి	mövcuddur	nearer
అందురు	məlumdur	all
అందువలన	buna görə	because of that
అందువల్ల	buna görə	because
అందువల్లనే	buna görə də	that is why
అంపైర్	ümüd	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	ambedkar	ambedkar
అంశం	element	topic
అంశాన్ని	element	the subject
అంశాల	əşyalar	subjects
అంశాలను	əşyalar	things
అంశాలపై	yandır	issues
అంశాలు	əşyalar	parts
అకరణీయ	rasional	rational
అకస్మాత్తుగా	birdən	suddenly
అకాంథేసి	akanthesi	acantaceae
అకాడమీ	akademiya	academy
అకారాది	leksika	alphabatical order
అకృత్యాలు	laqeydlik	cases
అక్క	bacı	sister
అక్కడ	orada	there
అక్కడకు	orada	there
అక్కడక్కడా	səpələnmiş	some places
అక్కడి	the	that place
అక్కడికి	orada	there
అక్కడినుండి	oradan	that place
అక్కడే	orada	there
అక్కినేని	akkineni	akkineni
అక్క్రీషణ్	akkresiya	accretion disk
అక్టోబరు	oktyabr	october
అక్టోబర్	oktyabr	october
అక్బరు	əkbər	akbar
అక్బర్	əkbər	akbar
అక్షర	xarakter	letter
అక్షరం	əlifba	letter
అక్షరమాల	əlifba	alphabets
అక్షరాల	məktublar	letters
అక్షరాస్యత	savadlılıq	literacy
అఖండ	bütöv	great
అఖిల	hamısı	all
అగస్త్యుడు	agastya	agasthyudu
అగ్గిపుల్ల	uyğunluq	matchstick
అగ్ని	atəş	fire
అగ్నికి	atəş	for fire
అగ్నిపర్వత	vulkanik	volcano
అగ్నిపర్వతం	vulkan	mountains
అగ్నిపర్వతములు	vulkanlar	volcanos
అగ్నిపర్వతాల	vulkanlar	volacano mountains
అగ్నిపర్వతాలు	vulkanlar	volcanos
అగ్ర	üst	top
అగ్రచర్వణకాలు	aqroqarvanakalu	agracharvanakaalu
అగ్రశ్రేణి	üst	topline
అచ్చంపేట	accampeta	acchampet
అచ్చమ్మ	accamma	achhamma
అచ్చుతో	sait	with a vowel
అజయ్	ajay	ajay
అజర్‌బైజాన్	azərbaycan	ajarbaijan
అటవీ	meşəçilik	gungle
అటు	the	other side
అటువంటి	bu cür	like that
అటూ	biraz	that side
అట్టి	bu cür	such
అట్లాంటిక్	atlantik	atlantic
అడవి	meşə	forest
అడవిలో	meşə	forest
అడవులకు	meşə	to the jungle/forest
అడవులలో	təbiətdə	in forests
అడవులు	meşələr	forests
అడిగాడు	soruşdu	asked
అడిగి	duruş	ask
అడిగిన	soruşdu	asked
అడిగే	soruşdu	ask
అడుగు	ayaq	ask
అడుగున	altında	below
అడుగులు	ft	steps
అడోబీ	adobe	aadobi
అడ్డం	barrikada	across
అడ్డంకులు	maneələr	blockades
అడ్డంగా	üfüqi olaraq	obstracle
అడ్డు	sıra	came in between
అణు	nüvə	anu
అణుధార్మికత	radiasiya	radiation
అణువు	atom	molecule
అణువుల	molekullar	atom's
అణువులు	molekullar	anuvulu
అణ్వస్త్ర	nüvə	nuclear
అణ్వాయుధ	nüvə silahları	nuclear weapons
అతడు	o	him
అతడ్ని	ona	him
అతని	onun	his
అతనికి	ona	him
అతనితో	onunla	calling him
అతనిని	ona	him
అతను	o	thar person
అతన్ని	ona	him
అతి	ən çox	ati
అతిగా	overeating	over
అతిధి	qonaq	guest
అతిపెద్ద	ən böyük	athipeddha
అతిముఖ్యమైన	ən əhəmiyyətli	very important
అతివాద	ekstremist	over arguing
అతివేగంగా	ən tez	with high speed
