$	dollar təşkil edib	dollarsign
+	+	+
=	=	=
>	&gt;	>
a	a	a
aa	aa	aa
aad	aad	aad
aan	yandır	on
aanbevolen	tövsiyə	featured
aanbidden	ibadət etmək	to worship
aanbieden	təklif etmək	kerstman
aanbod	təklif	offer/ demand
aanbrengen	müraciət edin	apply
aandacht	diqqət	attention
aandeel	hissəsi	share
aandeelhouders	səhmdarlar	shareholders
aandelen	səhmlər	shares
aandoening	şərtdir	ailment
aandoeningen	xəstəliklər	sicknesses
aandringen	israr et	urge
aanduiding	təyinatı	indication
aangeboden	təklif etdi	offered
aangeboren	doğma	congenital
aangebracht	tətbiq olunur	attached
aangedaan	təsirləndi	call in
aangedreven	gücə malikdir	driven
aangeduid	göstərilmiş	indicated
aangeeft	göstərir	indicates
aangegeven	göstərilmiş	indicated
aangehaald	sitat gətirir	quote/ engage
aangekomen	gəldi	arrived
aangekondigd	elan etdi	announced
aangelegd	qoydu	applied
aangelegde	mənzərəli	landscaped
aangelegenheden	məsələlər	affairs
aangemerkt	qeyd	regarded
aangemoedigd	təşviq etdi	encouraged
aangenomen	qəbul edilmişdir	accepted
aangepast	tənzimlənmişdir	adapted
aangeraden	tövsiyə	recommended
aangesloten	qoşulub	connected
aangesteld	təyin edildi	appointed
aangetast	təsirləndi	corroded
aangetoond	nümayiş etdirdi	shown
aangetroffen	tapdı	found
aangetrokken	cəlb etmişdir	attracted
aangevallen	hücum etdi	attacked
aangevoerd	torpaqladı	delivered
aangevuld	əlavə olunur	supplemented
aangewezen	təyin olunmuşdur	designated
aangezien	bəri	as
aangrenzende	bitişik	adjoining
aanhang	ardıcılları	followers
aanhanger	qoşqu	follower
aanhangers	ardıcılları	supporters
aanhoudende	israrlı	ongoing
aanklacht	iddianamə	accusation
aankomst	gəliş	arrival
aankoop	alış	purchase
aanleg	qabiliyyət	construction
aanleiding	səbəb	occasion
aanloop	qaçmaq	run-up
aanmerkelijk	mənalı	considerably
aanmerking	nəzərə alınması	consider
aannemen	götürmək	assume
aanpak	yanaşma	approach
aanpassen	nizamlamaq	adapt
aanpassing	tənzimləmə	adjustment
aanpassingen	dəyişikliklər	adjustments
aanraking	toxunmaq	touch
aanslag	hücum	assault
aanslagen	hücumlar	attacks
aansluiten	qoşulmaq	join
aansluiting	əlaqə	entry
aanspraak	iddia	claim
aanstelling	təyinat	appointment
aantal	nömrə	amound
aantallen	nömrələri	numbers
aantonen	nümayiş etdirmək	demonstrate
aantreden	vəzifəyə götürmək	make entry
aantrekkelijk	cəlbedici	appealing
aantrekken	cəlb etmək	tighten
aantrekkingskracht	cazibə	attraction
aanvaard	qəbul edildi	accepted
aanvaarden	qəbul edin	accept
aanval	hücum	attack
aanvallen	hücum etmək	attacks
aanvaller	təcavüzkar	attacker
aanvallers	təcavüzkarlar	attackers
aanvang	ilkin	started
aanvankelijk	əvvəlcə	at first
aanvankelijke	ilkin	initial
aanvaring	toqquşma	collision
aanvoer	təchizatı	landing
aanvoerder	kapitan	leader
aanvraag	tətbiqi	application
aanvulling	əlavə	addition
aanwezig	indiki	present
aanwezigheid	varlığı	presence
aanwijzing	təyinat	instruction
aanwijzingen	i̇puçları	instructions
