$ tỉ	милиард долара	$ billion
abc	абв	abc
abdul	абдул	abdul
abkhazia	абхазия	a name
about	относно	about
abraham	аврам	abraham
abrams	ейбрамс	abrams
abscbn	abscbn	abscbn
account	сметка	account
aceh	ачех	(proper noun) aceh
achilles	ахил	achilles
acia	acia	acia
acid	киселина	acid
ada	ада	ada
adams	адамс	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	кирпич	adobe
adrian	адриан	(proper noun) adrian
adsl	adsl	adsl
advanced	напреднал	advanced
aedes	aedes	aedes
aegypti	египти	aegypti
aero	аеро	(proper noun) aero, as in the aero l-39 albatros jet
afc	афк	afc
aff	aff	aff
afghanistan	афганистан	afghanistan
africa	африка	(proper noun) africa
african	африкански	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	агаси	agassi
ai	сзо	who
ailen	ирландски	ailen
aim	цел	aim
air	въздух	air
airbus	редовен пътнически самолет	airbus
aisne	aisne	aisne
ajax	аякс	ajax
ak	ак	ak
akatsuki	akatsuki	akastuki
akms	акмс	akms
akô	здравейте	ako
al	ал	al
alabama	алабама	alabama
alaska	аляска	alaska
albania	албания	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	алберт	(proper noun) albert
alberto	алберто	(proper noun) alberto
albion	албион	albion, an ancient name for great britain
albuquerque	албакърки	albuquerque
albus	албус	albus
alexa	алекса	alexa
alexandra	александра	alexandra
alexandria	александрия	alexandria
alexandros	александрос	alexandros
alexey	алексей	alexey
alfred	алфред	(proper noun) alfred, as in alfred kinsey
algérie	алжир	algerie
ali	али	ali
alice	алис	this is a name
allan	алън	(proper noun) allan, as in edgar allan poe
allen	алън	(proper noun) allen
allmusic	allmusic	allmusíc
alois	алоис	alois
alonso	алонсо	alonso
alpher	alpher	(proper noun) alpher
alps	алпи	alps
altai	алтай	altai
always	винаги	luon luon
amaravati	amaravati	amaravati
amazon	амазонка	amazon
amdo	амдо	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	амиен	amiens
amin	амин	(proper noun) amin, as in nagib amin
amm	амм	amm
amoniac	амоняк	ammonium (n.)
amphitrite	амфитрита	(proper noun) amphitrite, a greek sea goddess
an	един	"(should be ""an toàn"") safe"
anand	ананд	anand
anata	аната	anata
anatolia	анадола	anatolia
andalusia	андалусия	andalusia
andaman	андаманско	andaman
anderson	андерсън	anderson
andes	andes	andes
andorra	андора	andorra
andrew	андрю	andrew
andré	андре	andre, as in andre morval
andy	анди	(proper noun) andy, as in andy warhol
anfield	анфийлд	anfield
ang	анг	ang
angkor	ангкор	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	брат	english
anhmỹ	британски	"(term should be ""anh mỹ"") english or american"
anhpháp	английски френски	england-france
ankara	анкара	ankara
ankyl	ankyl	ankly
anna	анна	anna
annam	нам	a name the way french called middle vietnam as a colony
annan	анан	annan
anne	ан	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	антъни	anthony
antigua	антигуа	(proper noun) antigua
anton	антон	anton
antonov	антонов	antonov
any	който и да е	any
