$	ps	dollars
<	&lt;	<
 г	re	y. (year)
 година	año	year
 €	€	euro
­	­	-
°	°	degrees
°с	° s	degree celsius
π	π	pi
φ	φ	f
а	una	a
абдикира	abdica	abdicate
абридж	abreviar	abridge
абритус	abritus	abrittus
абсолютна	absoluto	absolute
абсолютно	absolutamente	absolutely
абу	abu	abu
абълин	abulin	ablin
аварията	el accidente	breakdown
август	agosto	august
авиация	aviación	aviation
авив	aviv	aviv
австралия	australia	australia
австрийска	austriaco	austrian
австрия	austria	austria
австроунгария	austria-hungría	austria-hungary
автобуси	autobuses	buss
автогара	estación de autobuses	bus station
автомагистрала	autopista	motorway
автоматично	automáticamente	automatic
автомобил	coche	automobile
автомобила	coche	car
автомобили	coches	automobiles
автомобилите	coches	cars
автономен	autónomo	self-governing
автономия	autonomía	autonomy
автономна	autónomo	autonomous
автономни	autónomo	autonomous
автор	autor	author
автора	autor	author
автори	autores	authors
авторите	los autores	the autors
авторитет	autoridad	authority
авторитета	autoridad	authority
авторски	derechos de autor	author's
авторът	el autor	author
ага	si	agha
агамемнон	agamenón	agamemnon
агент	agente	agent
агенти	agentes	agents
агенция	agencia	agency
агенцията	la agencia	the agency
агрипина	agrippina	agrippina
ад	de	ad
адам	adán	adam
адаптация	adaptación	adaptation
адекватно	adecuadamente	adequate
административен	administrativo	administrative
административна	administrativo	administrative
административната	administrativo	the administrative
административни	administrativo	administrative
административните	administrativo	administrative
административно	administrativamente	administrative
администрация	administración	administration
администрацията	administración	administration
адолф	adolf	adolf
адрес	habla a	address
адреси	direcciones	addresses
адрианопол	adrianople	adrianopol
адриатическо	adriático	adriatic
аз	yo	i
азбука	alfabeto	alphabet
азбуката	el alfabeto	alphabet
азбуки	alfabetos	alphabets
азбучен	alfabético	alfabetic
азербайджан	azerbaiyán	azerbaijan
азид	azida	azide
азис	azis	azis
азия	asia	asia
азот	nitrógeno	nitrogen
азотът	nitrógeno	nitrogen
айлънд	isla	island
айнщайн	einstein	einstein
айнщайний	einstein	ainsteinium
айрес	aires	aires
айсберг	iceberg	iceberg
айфеловата	la eiffel	eiffel
ак	alaska	ak
акад	acad	prof.
академик	académico	academician
академия	academia	academy
академията	la academia	academy
ако	si	if
акт	actuar	act
активен	activo	active
активи	bienes	assets
активите	bienes	assets
активна	activo	active
активната	el activo	active
активни	activo	active
активните	activo	active
активно	activo	actively
активност	actividad	activity
активността	actividad	activity
актове	hechos	acts
актриса	actriz	actress
актриси	actrices	actresses
актуална	actual	current
актьор	actor	actor
актьори	actores	actors
ал	alabama	al
албания	albania	albania
албански	albanés	albanian
албанци	albaneses	albanians
албена	albena	albena
алберт	albert	albert
албум	álbum	album
албума	álbum	album
албуми	álbumes	album
албумът	el álbum	album
алгоритъм	algoritmo	algorithm
алдехид	aldehído	aldehyde
александрия	alejandria	alexandria
александров	de alexandrov	alexandrov
александър	alejandro	alexander
алексей	alexey	alexei
алексий	alexius	alexy
алел	alelo	allele
алеманда	alemanda	alemanda
алжир	argelia	algeria
али	pero	ali
алкохол	alcohol	alcohol
аллах	alá	allah
алпийски	alpino	alpine
алпите	los alpes	alps
алтаир	altair	altair
алтерация	modificación	aletro
алтернативни	alternativa	alternative
алуминий	aluminio	aluminium
алфа	alfa	alpha
алфред	alfredo	alfred
алън	alan	allen
аляска	alaska	alaska
амадеус	amadeo	amadeus
амазонка	amazonas	amazon
амбивалентност	ambivalencia	ambivalence
америка	america	america
американска	americano	american
американската	el americano	american
американски	americano	american
американските	americano	american
американския	el americano	american
американският	el americano	american
американското	el americano	american
американците	los americanos	americans
аминокиселини	aminoácidos	amino acids
аминокиселините	aminoácidos	amino acids
амоняк	amoníaco	ammonia
амплитуда	amplitud	amplitude
амстердам	amsterdam	amsterdam
амфора	ánfora	amphora
ан	un	an
ана	ana	anna
анаконда	anaconda	anacond
анален	anal	anal
анализ	análisis	analysis
анализи	análisis	analysis
ананке	ananke	ananke
анастилоза	anastilosis	anastylosis
анатомия	anatomía	anatomy
анатомията	anatomía	anatomy
ангажира	se compromete	committed
ангел	ángel	angel
ангелите	los angeles	angels
ангелов	ángeles	angelov
англ	inglés	engl.
английска	inglés	english
английската	inglés	the english
английски	inglés	english
английските	el inglés	еnglish
английския	inglés	english
английският	el inglés	english
английското	el inglés	english
англичаните	el inglés	the englishman
англия	inglaterra	england
ангола	angola	angola
андерсън	anderson	anderson
