$	ps	dollarsign
+	+	+
=	=	=
>	&gt;	>
a	una	a
aa	automóvil club británico	aa
aad	aad	aad
aan	en	on
aanbevolen	recomendado	featured
aanbidden	adorar	to worship
aanbieden	ofrecer	kerstman
aanbod	oferta	offer/ demand
aanbrengen	aplicar	apply
aandacht	atención	attention
aandeel	parte	share
aandeelhouders	accionistas	shareholders
aandelen	comparte	shares
aandoening	condición	ailment
aandoeningen	enfermedades	sicknesses
aandringen	insistir	urge
aanduiding	designacion	indication
aangeboden	ofrecido	offered
aangeboren	innato	congenital
aangebracht	aplicado	attached
aangedaan	afectado	call in
aangedreven	motorizado	driven
aangeduid	indicado	indicated
aangeeft	indica	indicates
aangegeven	indicado	indicated
aangehaald	citado	quote/ engage
aangekomen	llegado	arrived
aangekondigd	anunciado	announced
aangelegd	dispuesto	applied
aangelegde	ajardinado	landscaped
aangelegenheden	importa	affairs
aangemerkt	marcado	regarded
aangemoedigd	alentado	encouraged
aangenomen	adoptado	accepted
aangepast	equilibrado	adapted
aangeraden	recomendado	recommended
aangesloten	conectado	connected
aangesteld	fijado	appointed
aangetast	afectado	corroded
aangetoond	demostrado	shown
aangetroffen	encontró	found
aangetrokken	atraído	attracted
aangevallen	atacado	attacked
aangevoerd	aterrizado	delivered
aangevuld	complementado	supplemented
aangewezen	designado	designated
aangezien	ya que	as
aangrenzende	adyacente	adjoining
aanhang	seguidores	followers
aanhanger	remolque	follower
aanhangers	seguidores	supporters
aanhoudende	persistente	ongoing
aanklacht	acusación	accusation
aankomst	llegada	arrival
aankoop	compra	purchase
aanleg	aptitud	construction
aanleiding	razón	occasion
aanloop	período previo	run-up
aanmerkelijk	significativo	considerably
aanmerking	consideración	consider
aannemen	tomar	assume
aanpak	acercarse	approach
aanpassen	ajustar	adapt
aanpassing	ajustamiento	adjustment
aanpassingen	modificaciones	adjustments
aanraking	toque	touch
aanslag	ataque	assault
aanslagen	ataques	attacks
aansluiten	conectar	join
aansluiting	conexión	entry
aanspraak	reclamación	claim
aanstelling	cita	appointment
aantal	número	amound
aantallen	números	numbers
aantonen	demostrar	demonstrate
aantreden	tomar posesión del cargo	make entry
aantrekkelijk	atractivo	appealing
aantrekken	atraer	tighten
aantrekkingskracht	atracción	attraction
aanvaard	aceptado	accepted
aanvaarden	aceptar	accept
aanval	ataque	attack
aanvallen	atacar	attacks
aanvaller	agresor	attacker
aanvallers	atacantes	attackers
aanvang	comienzo	started
aanvankelijk	primero	at first
aanvankelijke	inicial	initial
aanvaring	colisión	collision
aanvoer	suministro	landing
aanvoerder	capitán	leader
aanvraag	solicitud	application
aanvulling	adición	addition
aanwezig	presente	present
aanwezigheid	presencia	presence
aanwijzing	designacion	instruction
aanwijzingen	pistas	instructions
aanzet	comienzo	onset
aanzien	considerado	appearance
aanzienlijk	significativo	considerably
aanzienlijke	significativo	significant
aap	mono	monkey
aard	naturaleza	nature
aardappel	patata	potato
aardappelen	papas	potatoes
aardappels	papas	potatoes
aardbeving	terremoto	earthquake
aardbevingen	temblores	earthquake
aarde	suelo	earth
aardewerk	cerámica	pottery
aardgas	gas natural	natural gas
aardkorst	la corteza terrestre	earth's crust
aardolie	petróleo	crude oil
