$	ps	dollar
+	+	+
a	una	and
abc	a b c	abc
abdić	abdic	abdić
abdića	abdića	abdic
abdul	abdul	abdul
abdulah	abdulah	abdulah (name)
abdullah	abdullah	abdullah
abortus	aborto	abortus
abraham	abrahán	abraham,first name
abu	abu	abu
ad	anuncio	ad
adam	adán	adam
administrativna	administrativo	administrative
administrativne	administrativo	administrative
administrativni	administrativo	administrative
administrativno	administrativamente	administrative
adnan	adnan	adnan
adobe	adobe	adobe
adolf	adolf	adolph
adresa	habla a	address
adresu	habla a	address
adsorpcija	adsorción	absorption
aerodrom	aeropuerto	airport
aerodroma	aeropuerto	airport
afera	asunto	affair
afganistan	afganistán	afghanistan
africi	áfrica	africa
afrika	áfrica	africa
afrike	áfrica	africa
afriku	áfrica	africa
afričke	africano	african
agencija	agencia	agency
agencije	agencias	agency
agresija	agresión	agression
agresije	agresión	agression
agresora	agresor	aggressor
ahilej	aquiles	achilles
ahmed	ahmed	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	aisha	aisha
ajet	verso	ayet
ak	alaska	ak
akademija	academia	academy
akademije	academia	academy
akademiji	academia	academy
akademiju	academia	academy
akcija	acción	action
akcije	comportamiento	action
ako	si	if
akrozom	acrosoma	akrosome
akt	actuar	act
aktivan	activo	active
aktivna	activo	active
aktivni	activo	active
aktivno	activo	active
aktivnost	actividad	activity
aktivnosti	ocupaciones	activities
aktualizirano	actualizado	actualized
akumulacije	acumulaciones	accumulation
akutnog	agudo	acute
al	alabama	al
alat	herramienta	tool
alata	herramientas	tools
alate	herramientas	tools
alati	herramientas	tools
albanaca	albaneses	albanians
albanci	albaneses	albanians
albanija	albania	albania
albanije	albania	albania
albaniji	albania	albania
albanski	albanés	albanian
albert	albert	albet
alberto	alberto	aberto
album	álbum	album
albuma	álbumes	album
albumi	álbumes	albums
albumu	álbum	album
aleksa	alexa	aleksa
aleksandar	alejandro	aleksandar
aleksandra	alejandro	alexandra
alen	alen	alen
alexis	alexis	alexis
alge	algas	alga
algi	algas	alga
algoritam	algoritmo	algorithm
algoritma	algoritmo	agorithm
algoritmi	algoritmos	algorithms
alhamijado	alhamijado	alhamijado
ali	pero	but
alija	alija	ali
alije	pero es	alija
alkini	alquinos	alkyns
alkohol	alcohol	alcohol
alkohola	alcohol	alcohol
alkoholizam	alcoholismo	alcoholism
alkoholizma	alcoholismo	alcoholism
allah	alá	allah
allaha	allaha	allah
allahov	de allah	allah's
allahu	alá	allah
alma	alma	alma
almir	almir	almir
alpa	alpa	alps
alpha	alfa	alpha
alternativni	alternativa	alternative
aluminij	aluminio	aluminium
aluminija	aluminio	aluminium
alžir	argelia	algiers
alžira	argelia	algeria
amar	amor	amar
american	americano	american
americi	america	america
americijum	americio	ameritium
amerika	america	america
amerikanci	estadounidenses	americans
amerike	america	america
ameriku	america	america
američka	americano	american
američke	americano	american
američki	americano	american
američkih	americano	american
američkim	americano	american
američkog	americano	american
američkoj	americano	american
američkom	americano	american
amir	amir	amir
amonijum	amonio	amonium
an	un	an
ana	ana	ana
analiza	análisis	analysis
