$	dollar təşkil edib	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	°	degrees
°م	° c	°c
آثار	effektlər	ruins
آثارها	təsirləri	its antiques
آخر	başqası	last
آخرها	ən yeni	last one
آخرون	digərləri	others
آخرين	digərləri	others
آخيل	axilles	acheles
آدم	adəm	adam
آراء	rəylər	opinions
آسكي	ascii	ascian
آسيا	asiya	asia
آشوربانيبال	aşurbanipal	ashorbanibal
آل	əl	the
آلات	maşınlar	tools
آلاف	minlərlə	thousands
آلام	ağrılar	pain
آلة	maşın	machine
آلهة	tanrılar	gods
آلية	mexanizm	mechanism
آمن	təhlükəsizdir	safe
آمنة	təhlükəsizdir	amina
آمون	amon	amon
آن	ann	the same time
آنذاك	geriyə	by then
آي	mən	i
آيات	ayələr	quran verses
آية	ayə	verse
أ	ə.	a
أئمة	i̇mamlar	leaders
أب	bir ata	august
أبا	oppa	aba
أباتيت	apatit	apatit
أباه	atası	his father
أبحاث	tədqiqat	researches
أبدا	heç vaxt	never
أبداً	heç vaxt	at all
أبدًا	heç vaxt	never
أبرز	ən diqqətəlayiqdir	most conspicuous
أبرزها	ən diqqətəlayiqdir	the most obvious of them
أبريل	aprel	april
أبطال	qəhrəmanlar	heroes
أبعد	əlavə	far
أبناء	oğulları	sons
أبنائه	oğulları	his sons
أبو	əbu	abou
أبواب	qapılar	gates
أبوظبي	abu dabi	abu dhabi
أبوه	atası	his father
أبى	baba	dad
أبي	baba	father of
أبيب	tel	aviv
أبيه	atası	his father
أتاتورك	atatürk	atatork
أتباع	i̇zləyicilər	followers
أتباعه	onun davamçıları	his followers
أتت	gəldi	came
أتى	gəldi	came up
أثار	böyüdü	effected
أثارت	aroused	provoked
أثبت	sübut edin	proofed
أثبتت	nümayiş olunur	proved
أثر	effekt	effect
أثرت	təsirə məruz qalmışdır	affect
أثره	təsiri	his trace
أثرية	antik	antique
أثناء	hələ	during
أثينا	afina	athene
أجبر	zorlandı	forced
أجرام	cisimlər	celestial bodies
أجراها	tərəfindən hazırlanmışdır	conducted by the
أجرى	keçirilmiş	conducted
أجريت	keçirilmiş	conducted
أجزاء	hissələr	parts
أجسام	cisimlər	bodies
أجل	bəli	sake
أجمع	yığıram	agreed
أجمل	ən gözəl	the most beautiful
أجنبية	xarici	foreign
أجنحة	qanadlar	sections
أجهزة	cihazlar	equipment
أحادي	mono	single
أحاديث	hədislər	ahaadeeth
أحب	sevirem	the most loved
أحجية	puzzle	mystery
أحد	biri	one of
أحداث	hadisələr	event
أحدث	ən son	the latest
أحدهم	biri	one of them
أحدهما	onlardan biri	one of them
أحزاب	tərəflər	parties
أحسن	daha yaxşıdır	best
أحكام	qaydalar	decisions
أحلام	xəyallar	ahlam
أحمد	əhməd	ahmed
أحمدي	əhmədi	ahmade
أحمر	qırmızı	red
أحوال	şərtlər	matters
أحياء	canlı	districts
أحيان	bəzən	sometimes
أحيانا	bəzən	sometimes
أحياناً	bəzən	often
أحيانًا	bəzən	sometimes
أخاه	qardaşı	his brother
أخبار	xəbərlər	news
أخت	bacı	sister
أخته	bacısı	his sister
أخذ	aldı	take
أخذت	aldı	took
أخر	başqası	another
أخرج	çıxıram	go out
أخرى	digərləri	other
أخطاء	səhvlər	mistakes
أخطر	ən təhlükəlidir	the most serious
أخلاقية	etik	morality
أخوه	qardaşı	his brother
أخيرا	nəhayət	finally
أخيه	qardaşı	his brother
أخيون	qardaş	achaens
أداء	i̇fa edin	performance
أداة	vasitə	tool
أدب	ədəbiyyat	literature
أدبية	ədəbi	literary
أدت	led	resulted
أدخل	daxil edin	have been entered
أدرك	həyata keçir	realized
أدلة	sübut	evidences
أدناه	aşağıda	down
أدنى	ən aşağı	lowest
أدوار	atışlar	roles
أدولف	adolf	adolf
أدوية	dərman dərmanları	drugs
أدى	led	resulted
أدّت	i̇fa etdi	it caused
أدّى	i̇fa etdi	led to
