$ tỉ	$ mil millones	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abjasia	a name
about	acerca de	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	cuenta	account
aceh	aceh	(proper noun) aceh
achilles	aquiles	achilles
acia	acia	acia
acid	acido	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	avanzado	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afganistán	afghanistan
africa	áfrica	(proper noun) africa
african	africana	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	quien	who
ailen	irlandeses	ailen
aim	apuntar	aim
air	aire	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	hola	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alejandría	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alicia	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpes	alps
altai	altai	altai
always	siempre	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amina	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amoniaco	ammonium (n.)
amphitrite	anfitrita	(proper noun) amphitrite, a greek sea goddess
an	un	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalucia	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	el	english
anhmỹ	británico	"(term should be ""anh mỹ"") english or american"
anhpháp	señor francia	england-france
ankara	ankara	ankara
ankyl	anquilo	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	cualquier	any
anđêhít	aldehído	aldehydes
ao	estanque	pond
aotearoa	aotearoa	aotearoa
apollo	apolo	apollo
apple	manzana	apple
aquinas	aquino	a name
arab	árabe	(proper noun) arab
archetypal	arquetipo	archetypal
archive	archivo	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristóteles	aristotle
arizona	arizona	arizona, as in the state
ark	arca	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenio	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemisa	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	ceniza	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asia	asia
asm	asm	asm
asoka	asoka	asoka
association	asociación	association
assyria	asiria	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlántico	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audición	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australia	(proper noun) australia
austria	austria	(proper noun) the country of austria
austrian	austriaco	austrian
avar	avar	a name
aviation	aviación	aviation
awad	awad	awad
award	premio	award
axit	acido	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaiyán	(proper noun) azerbaijan
aztec	azteca	aztec, as in the aztec people (adj.)
ba	tres	three
babylon	babilonia	babylon
bacon	tocino	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrein	bahrain
baháí	baháí	bahai
balearic	balear	balearic
bali	bali	bali
balkan	balcan	(proper adjective) balkan
balkans	balcanes	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	prohibir	the
bang	explosión	state
banh	pelota	ball
banner	estandarte	banner
bantam	gallo	bantam
bantu	bantu	bantu
bao	saco	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barroco	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	barión	baryon
barça	barça	(proper noun) barca
base	base	base
basel	basilea	basel, a city in switzerland
basil	albahaca	basil
baskervilles	baskerville	baskervilles
bass	bajo	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	volar	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalto	basalt (n.)
bazơ	basico	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	latir	beat
beatles	los beatles	the beatles
beauty	belleza	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	detras	behind
beijing	beijing	beijing
bel	bel	bel
bell	campana	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedicto	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	bereber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermudas	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	mejor	better
betty	betty	betty
bhutan	bután	bhutan
bia	cerveza	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	factura	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	mapa de bits	bitmap
biên	frontera	bien
biếc	verde azulado	a bluish-green color (adj.)
biếm	descuidado	"(term should be ""biếm họa"") cartoon (n.)"
biến	variable	other
biếng	perezoso	lose interest in
biếu	cortesía	present
biều	adiós	bieu
biển	el mar	ocean
biểuthứcđiềukiện	conoce las condiciones	conditional expression
biện	disculparse	"(term should be ""biện pháp"") a method (n.)"
biệt	distinto	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemia	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	booleano	(proper adjective) boolean, as in boolean algebra
boom	boom	boom
boong	cubierta	a deck (n.)
boongke	bunkers	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnia	(proper noun) bosnia
botswana	botswana	botswana
bottom	abajo	bottom
boulder	canto rodado	boulder
bourbon	bourbon	bourbon
boxing	boxeo	boxing
brain	cerebro	brain
brandenburg	brandeburgo	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brasil	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	bretón	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	puente	bridge
britannic	británico	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	marrón	brown
browne	browne	browne
browning	dorado	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	bruselas	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgaria	bulgaria
bulletin	boletín	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	birmania	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	arbusto	bush
bushy	espeso	bushy
buôn	mayorista	commerce
buông	dejar ir	to release, to let loose
buýt	bus	bus
buốt	frio	sharp
buồm	navegar	sail
buồn	triste	sad
buồng	cámara	chamber
buổi	sesión	session
byzantine	bizantino	byzantine
bà	abuela	woman or lady (n.)
bài	publicar	articles
bàn	mesa	table
bàng	aguila	eagle
bành	peng	armchair
bào	cepillado	compatriot
bàu	bau	bau
bày	presentación	"(term should be ""trưng bày"") to display (v.)"
bác	tio	doctor
bách	ciprés	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	culto	to bow (v.)
bám	aferrarse	cling
bán	vendido	sell
báng	stock	"(term should be ""phỉ báng"") to defame or slander"
báo	periódico	newspaper (n.)
bát	tazón	eight (n.)
báu	tesoro	valuable
bây	ahora	now
bã	residuo	"(term should be ""buồn bã"") sad (adj.)"
bãi	yardas	beach
bão	tormenta	storm
bèn	entonces	then
bé	bebe	baby
bén	agudo	sharp (adj.)
béo	gordo	fat
bên	fiesta	side
bênh	enfermo	advocate
bì	embalaje	foreskin (n.)
bìa	cubrir	cover
bìu	escroto	sac (n.)
bí	la calabaza	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	calabaza	biro
bò	vaca	beef
bó	manojo	bound (adj.)
bói	adivinación	to foretell (v.)
bón	fertilizar	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	la pelota	sphere or ball
bóp	apretar	squeeze
bô	orinal	"(term should be ""bôxit"") the mineral bauxite"
bôi	manchado	to apply (as in oil)
bông	algodon	flower
bù	maquillar	compensate
bùa	amuleto	talisman
bùn	barro	mud
