aajo	lächerlich	hospitality
aala	rand	border
aanu	barmherzigkeit	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	lähmung	fasting
abala	das teil	division
abeikojopo	erbin	subset
abeorile	heimkehr	nation
abesahara	streuen	under the sahara
abidi	alphabet	abidi
abidjan	je	abidjan
abo	feminin	security
aburunmu	unsere sinne	reduced in value, diminished
abálájo	erfahren	that is why
abé	nadel	under
abínibí	staatsangehörigkeit	inborn
abúléko	dorf	village
accra	accra	accra
adaba	praktisch	factor
adabaye	gut	previously-existing
adarihunrun	reiniger	human
addis	addis	addis
adeda	natur	creator
adiokan	einsam	stubbornness
adágbà	ältere	adagba
adúgbò kútò	nachbarschaftsplanung	kuto area
adúgbò mókóla	mucola mucosa	mokola area
adúgbò quarry	steinbruchnachbarn	neighborhood
adúgbò ìdí	gründe für die nachbarschaft	area
afida	die familie	element
afomo	beispielsweise	cleansing
afoyemo	zusammenfassung	abstract
africa	afrika	africa
african	afrikanisch	ara afrika
africans	afrikaner	africans
aféfé	windmühle	air
agba	farbe	principal
agbado	mais	maize
agbara	leistung	power
agbaye	die welt	world
agbeinadie	ackerland	semi-conductor
agbà	ein erwachsener	adult
agbàbò	schutz	adopted child
agbára	leistung	power
agbéiná	feuerwehrmann	conductor
agio	schrei	agio
aintimulo	aintimulo	un-exploited
aisi	mangel	lack
ajagun	ein hund	ajagun
aje	wirtschaft	trade
ajemoroyin	verhör	reporting
ajibola	agenda	ajibola
ajo	reise	firms
ajoro	reise	discussion
ajọra	replik	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artillerie	akinpelu
akokolo	zeitraum	period
akole	wir können nicht	title
akoni	wir haben keine	teacher
akopa	zuallererst	participant
akopo	zusammenstellung	assembly
akátá	schakal	african american
akíkanjú	tapfer	courageous
akíngbógun	bataillon	akingbogun
akẹ́kọ̀ọ́	student	students
ala	nieder	limit
alaabo	behindert	protection
alaadanida	unerwünscht	individual
alaafia	frieden	peace
alaafin	illegitim	alaafin
aladaani	privat	privately-owned
aladani	privat	self-owned
aladanida	willkürlich	private
alaidogba	unausgeglichen	unequal
alaigbara	unwiderstehlich	neutron
alaini	bedürftige	the poor
alakitiyan	aktivist	activist
alakobere	anfänger	primary
alalaye	erdig	explanatory
alawose	divination	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	unabhängigkeit	independent
alpha	alpha	alpha
alubàbá	vater	drummer
