$  	dollarni tashkil etadi	dollar
=	=	=
>	&gt;	>
a	the	the
ab	ab	ab
aba	aba	aba
abba	ichiga	into
abban	unda	"in that ""abban az esetben"" means ""in (that) case"""
abból	shundan	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absinte	absynth
abszintot	absinte	absinthe
abszolút	mutlaq	absolute
abu	abu	abu
ac	ak	ac milan (football)
acdc	akc	acdc
achát	agat	agate
act	harakat qilmoq	act
acél	po&#39;lat	steel
ad	bermoq	give
adam	odam	adam
adams	adams	adams
adat	ma&#39;lumotlar	data
adatai	ma `lumot	data
adatait	ma `lumot	data of
adatok	ma&#39;lumotlar	data
adatokat	ma&#39;lumotlar	data
adatot	ma&#39;lumotlar	data
addig	shu vaqtgacha	will
addigi	oldingi	current
addigra	shu paytgacha	by then
adja	kiriting	give
adjon	bermoq	so he give
adminisztratív	ma&#39;muriy	administrative
admirális	admiral	admiral
adnak	ular	they
adni	bermoq	to give
adolf	adolf	adolf
adott	berilgan	specific
adrian	adrian	adrian
adta	berdi	he performed
adtak	ular	gave
adták	ozod qilindi	gave
ady	ady	ady
adó	soliq	provider
adódik	lozim	given
adók	men beraman	taxes
adót	soliqlar	tax
afganisztán	afg&#39;oniston	afghanistan
afganisztáni	afg&#39;oniston	of afghanistan
afgán	afg‘on	afghani
afrika	afrika	africa
afrikai	afrika	african
afrikában	afrika	in africa
agatha	agata	agatha
agy	miya	brain
ahhoz	unga	thereto
ahogy	sifatida	as
ahogyan	sifatida	as
ahol	qayerda	where
ahonnan	qayerdan	from where
ahova	qayerda	to where
ahová	qayerda	where
ai	ai	this word does not make sense on its own
aids	oits	aids
air	havo	air
aires	havolar	aires
airsoft	airsoft	airsoft
ajánlatot	taklif	offer
ajánlott	tavsiya etiladi	recommended, offered
ajánlotta	tavsiya etiladi	recommended
akad	laglar	there
akadt	ushlandi	had
akadtak	bor edi	could be found
akadályozta	oldini oldi	obstructed
akadémia	akademiyasi	academy
akadémiai	akademik	academical
akadémián	akademiyasi	academy
akar	irodasi	wants to
akarat	irodasi	will
akarata	irodasi	will of
akarja	kimga	wants
akarnak	ular xohlashadi	they want
akart	qidirildi	he wanted
akarta	qidirildi	wanted
akartak	ular xohladilar	wanted
akarták	ular xohladilar	wanted
akció	harakat	action
akhilleusz	axilles	achilles
aki	jssv	who
akik	jssv	who
akiket	jssv	who
akikkel	kim bilan	with whom
akiknek	kimga	whom
akinek	kimga	whom
akiről	jssv	of whom
akit	kimga	whom
akitől	kimga	from whom
akivel	kim bilan	whom
akkor	keyin	then
akkora	hajmi	the size
akkori	keyin	then
akkoriban	orqaga	at that time
aktuális	joriy	actual
aktív	faol	active
aktívan	faol ravishda	actively
akusztikus	akustik	acoustic
akác	akatsiya	akacia
akár	irodasi	just like
akárcsak	shunchaki	just like
al	al	al
alacsony	past	low
alacsonyabb	pastki	shorter
aladár	aladar	aladar
alagút	tunnel	tunnel
alajos	alajos	alajos (forename)
alak	shakl	shape
alakban	shakli	in form
alakja	shakli	person of sg
alakjai	raqamlar	characters of sy's
alakjában	shakl	in the form of
