$ tỉ	مليار دولار	$ billion
abc	أ ب	abc
abdul	عبد	abdul
abkhazia	أبخازيا	a name
about	عن	about
abraham	ابراهيم	abraham
abrams	أبرامز	abrams
abscbn	abscbn	abscbn
account	الحساب	account
aceh	آسيه	(proper noun) aceh
achilles	أخيل	achilles
acia	acia	acia
acid	حمض	acid
ada	ادا	ada
adams	آدمز	(proper noun) adams
addisonwesley	أديسون ويسلي	(proper noun) addison-wesley
adn	adn	adn
adobe	أدوبي	adobe
adrian	أدريان	(proper noun) adrian
adsl	adsl	adsl
advanced	متقدم	advanced
aedes	الزاعجة	aedes
aegypti	مصر	aegypti
aero	ايرو	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	أفغانستان	afghanistan
africa	أفريقيا	(proper noun) africa
african	أفريقي	african
ag	حج	ag
agasa	أجاسا	(proper noun) agasa, as in hiroshi agasa
agassi	اغاسي	agassi
ai	من	who
ailen	أيرلندي	ailen
aim	الهدف	aim
air	الهواء	air
airbus	ايرباص	airbus
aisne	أيسن	aisne
ajax	اجاكس	ajax
ak	حزب العدالة	ak
akatsuki	الاكاتسوكي	akastuki
akms	كيلومترات	akms
akô	مرحبًا	ako
al	آل	al
alabama	ألاباما	alabama
alaska	ألاسكا	alaska
albania	ألبانيا	albania
albatros	الباتروس	(proper noun) albatros, as in the aero l-39 albatros
albert	ألبرت	(proper noun) albert
alberto	ألبرتو	(proper noun) alberto
albion	ألبيون	albion, an ancient name for great britain
albuquerque	البوكيرك	albuquerque
albus	ألبوس	albus
alexa	اليكسا	alexa
alexandra	الكسندرا	alexandra
alexandria	الاسكندرية	alexandria
alexandros	الكسندروس	alexandros
alexey	اليكسي	alexey
alfred	الفريد	(proper noun) alfred, as in alfred kinsey
algérie	الجزائر	algerie
ali	علي	ali
alice	أليس	this is a name
allan	ألان	(proper noun) allan, as in edgar allan poe
allen	ألين	(proper noun) allen
allmusic	موسيقى	allmusíc
alois	الويس	alois
alonso	ألونسو	alonso
alpher	ألفر	(proper noun) alpher
alps	جبال الألب	alps
altai	ألتاي	altai
always	دائما	luon luon
amaravati	أمارافاتي	amaravati
amazon	أمازون	amazon
amdo	أمدو	(proper noun) amdo
ame	آمي	ame
ami	عامي	ami
amiens	أميان	amiens
amin	أمين	(proper noun) amin, as in nagib amin
amm	صباحا	amm
amoniac	الأمونيا	ammonium (n.)
amphitrite	أمفيتريت	(proper noun) amphitrite, a greek sea goddess
an	أ	"(should be ""an toàn"") safe"
anand	أناند	anand
anata	عناتا	anata
anatolia	الأناضول	anatolia
andalusia	الأندلس	andalusia
andaman	أندامان	andaman
anderson	أندرسون	anderson
andes	الأنديز	andes
andorra	أندورا	andorra
andrew	اندرو	andrew
andré	أندريه	andre, as in andre morval
andy	اندي	(proper noun) andy, as in andy warhol
anfield	أنفيلد	anfield
ang	انج	ang
angkor	أنغكور	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	الأنجلوكسون	anglo-saxon
anh	له	english
anhmỹ	بريطاني	"(term should be ""anh mỹ"") english or american"
anhpháp	السيد فرنسا	england-france
ankara	أنقرة	ankara
ankyl	الكاحل	ankly
anna	آنا	anna
annam	أنام	a name the way french called middle vietnam as a colony
annan	عنان	annan
anne	آن	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	أنتوني	anthony
antigua	أنتيغوا	(proper noun) antigua
anton	أنتون	anton
antonov	أنتونوف	antonov
any	أي	any
anđêhít	ألدهيد	aldehydes
ao	بركة	pond
aotearoa	أوتياروا	aotearoa
apollo	أبولو	apollo
apple	تفاح	apple
aquinas	الاكويني	a name
arab	عربي	(proper noun) arab
archetypal	الأصلي	archetypal
archive	أرشيف	archive
arctan	القطب الشمالي	a function
ares	آريس	ares
argentina	الأرجنتين	(proper noun) the south american nation of argentina
argo	أرغو	argo
arias	الآلهة	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	أرسطو	aristotle
arizona	أريزونا	arizona, as in the state
ark	تابوت	ark
arkansas	أركنساس	arkansas
arlington	أرلينغتون	(proper noun) arlington
armenia	الأرمينية	(proper noun) armenia
armstrong	ارمسترونغ	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	أرنولد	arnold
arsenal	ترسانة	arsenal
artemis	أرتميس	(proper noun) artemis, the greek goddess of the hunt
aruba	أروبا	aruba
arunachal	أروناشال	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	تصاعدي	asc
ash	الرماد	a name
ashikaga	أشيكاغا	ashikaga
ashley	اشلي	(proper noun) ashley
asia	آسيا	asia
asm	asm	asm
asoka	أسوكا	asoka
association	جمعية	association
assyria	اشور	assyria
aston	أستون	(proper noun) aston, as in aston villa
atkinson	أتكينسون	atkinson
atlanta	أتلانتا	atlanta
atlantic	الأطلسي	atlantic
aua	أوا	aua
aubrac	اوبراك	aubrac
audition	الاختبار	audition
auflage	نفق	auflage
auguste	أغسطس	auguste
australia	أستراليا	(proper noun) australia
austria	النمسا	(proper noun) the country of austria
austrian	نمساوي	austrian
avar	أفار	a name
aviation	طيران	aviation
awad	عوض	awad
award	جائزة	award
axit	حمض	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ايومي	(proper noun) ayumi
ayutthaya	أيوثايا	(proper noun) ayutthaya
azerbaijan	أذربيجان	(proper noun) azerbaijan
aztec	ازتيك	aztec, as in the aztec people (adj.)
ba	ثلاثة	three
babylon	بابل	babylon
bacon	لحم الخنزير المقدد	bacon
baden	بادن	baden
baghdad	بغداد	(proper noun) baghdad
bago	باغو	bago
bahamas	جزر البهاما	bahamas
bahrain	البحرين	bahrain
baháí	بهائي	bahai
balearic	البليار	balearic
bali	بالي	bali
balkan	البلقان	(proper adjective) balkan
balkans	البلقان	balkans
ballard	بالارد	ballard
bamar	بامار	bamar
ban	حظر	the
bang	ضجة	state
banh	كرة	ball
banner	لافتة	banner
bantam	بانتام	bantam
bantu	البانتو	bantu
bao	كيس	bao giờ= ever
barack	باراك	barack
barak	باراك	barak
barbados	بربادوس	(proper noun) barbados
barbara	باربرا	barbara
barbary	البربري	barbary
barca	برشلونة	barca
barnes	بارنز	barnes
barone	البارون	barone
baroque	الباروك	baroque
barquin	باركوين	barquin, as in ramon barquin, the cuban military colonel
barrichello	باريكيللو	barrichello
bartholdi	بارتولدي	bartholdi
baryon	باريون	baryon
barça	برشلونة	(proper noun) barca
base	القاعدة	base
basel	بازل	basel, a city in switzerland
basil	الريحان	basil
baskervilles	baskervilles	baskervilles
bass	باس	bass
bator	باتور	bator
battambang	باتامبانج	battambang
bauer	باور	bauer
bay	تطير	"(should be ""tuyến bay"") an airline"
bayern	بايرن	bayern
bazan	البازلت	basalt (n.)
bazơ	أساسي	base
bb	ب	bb
bbc	بي بي سي	bbc
bc	قبل الميلاد	bc
bchtư	bchtư	central executive
beat	فاز	beat
beatles	البيتلز	the beatles
beauty	جمال	beauty
beckenbauer	بيكنباور	beckenbauer, as in franz beckenbauer
becker	بيكر	(proper noun) becker
beckham	بيكهام	beckam
bedloe	bedloe	bedloe
beethoven	بيتهوفن	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	مصفوفة البداية	this is a code
behind	خلف	behind
beijing	بكين	beijing
bel	بيل	bel
bell	جرس	bell
bella	بيلا	bella
bellatrix	بيلاتريكس	bellatrix
benedict	بنديكت	benedict
benetton	بينيتون	benetton
benfica	بنفيكا	benfica
benito	بينيتو	benito
benjamin	بنيامين	(proper noun) benjamin
bennington	بنينجتون	bennigton
berber	بربري	berber
bergen	بيرجن	(proper noun) bergen
berger	برجر	berger
bering	ممل	(proper noun) bering, as in the bering strait
