$ tỉ	$ miliar	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	tentang	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	akun	account
aceh	aceh	(proper noun) aceh
achilles	achilles	achilles
acia	acia	acia
acid	asam	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	lanjut	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	afrika	(proper noun) africa
african	afrika	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	siapa	who
ailen	orang lrlandia	ailen
aim	bertujuan	aim
air	udara	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	halo	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpen	alps
altai	altai	altai
always	selalu	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amina	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amonia	ammonium (n.)
amphitrite	amfitrit	(proper noun) amphitrite, a greek sea goddess
an	sebuah	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalusia	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	dia	english
anhmỹ	inggris	"(term should be ""anh mỹ"") english or american"
anhpháp	tuan prancis	england-france
ankara	ankara	ankara
ankyl	pergelangan kaki	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	apapun	any
anđêhít	aldehida	aldehydes
ao	kolam	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	apel	apple
aquinas	aquinas	a name
arab	arab	(proper noun) arab
archetypal	pola dasar	archetypal
archive	arsip	archive
arctan	arktan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotle	aristotle
arizona	arizona	arizona, as in the state
ark	bahtera	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenia	(proper noun) armenia
armstrong	amstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	gudang senjata	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	abu	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asia	asia
asm	asm	asm
asoka	asoka	asoka
association	asosiasi	association
assyria	assyria	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantik	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audisi	audition
auflage	auflage	auflage
auguste	agustus	auguste
australia	australia	(proper noun) australia
austria	austria	(proper noun) the country of austria
austrian	austria	austrian
avar	avar	a name
aviation	penerbangan	aviation
awad	awad	awad
award	penghargaan	award
axit	asam	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaijan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	tiga	three
babylon	babel	babylon
bacon	daging asap	bacon
baden	baden	baden
baghdad	baghdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahama	bahamas
bahrain	bahrain	bahrain
baháí	baháí	bahai
balearic	balearic	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkan	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	larangan	the
bang	bang	state
banh	bola	ball
banner	spanduk	banner
bantam	bantam	bantam
bantu	bantu	bantu
bao	karung	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	orang barbar	(proper noun) barbados
barbara	barbara	barbara
barbary	biadab	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barok	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barca	(proper noun) barca
base	dasar	base
basel	basel	basel, a city in switzerland
basil	kemangi	basil
baskervilles	baskervilles	baskervilles
bass	bass	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	terbang	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basal	basalt (n.)
bazơ	dasar	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	mengalahkan	beat
beatles	beatles	the beatles
beauty	kecantikan	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	di belakang	behind
beijing	beijing	beijing
bel	bel	bel
bell	bel	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benediktus	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	lebih baik	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	bir	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	tagihan	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	perbatasan	bien
biếc	teal	a bluish-green color (adj.)
biếm	ceroboh	"(term should be ""biếm họa"") cartoon (n.)"
biến	variabel	other
biếng	malas	lose interest in
biếu	kesopanan	present
biều	bieu	bieu
biển	laut	ocean
biểuthứcđiềukiện	tahu kondisinya	conditional expression
biện	minta maaf	"(term should be ""biện pháp"") a method (n.)"
biệt	berbeda	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemia	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bom	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	booming	boom
boong	geladak	a deck (n.)
boongke	bunker	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnia	(proper noun) bosnia
botswana	botswana	botswana
bottom	bawah	bottom
boulder	batu besar	boulder
bourbon	bourbon	bourbon
boxing	tinju	boxing
brain	otak	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brazil	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	jembatan	bridge
britannic	britania	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	coklat	brown
browne	alis	browne
browning	kecoklatan	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brussel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgaria	bulgaria
bulletin	buletin	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	semak	bush
bushy	lebat	bushy
buôn	grosir	commerce
buông	lepaskan	to release, to let loose
buýt	bus	bus
buốt	dingin	sharp
buồm	berlayar	sail
buồn	sedih	sad
buồng	ruang	chamber
buổi	sesi	session
byzantine	bizantium	byzantine
bà	nenek	woman or lady (n.)
bài	pos	articles
bàn	meja	table
bàng	elang	eagle
bành	peng	armchair
bào	perencanaan	compatriot
bàu	bau	bau
bày	presentasi	"(term should be ""trưng bày"") to display (v.)"
bác	paman	doctor
bách	cemara	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	kultus	to bow (v.)
bám	melekat	cling
bán	dijual	sell
báng	stok	"(term should be ""phỉ báng"") to defame or slander"
báo	koran	newspaper (n.)
bát	mangkuk	eight (n.)
báu	harta karun	valuable
bây	sekarang	now
bã	residu	"(term should be ""buồn bã"") sad (adj.)"
bãi	yard	beach
bão	badai	storm
bèn	lalu	then
bé	sayang	baby
bén	tajam	sharp (adj.)
béo	gendut	fat
bên	pesta	side
bênh	sakit	advocate
bì	kemasan	foreskin (n.)
bìa	penutup	cover
bìu	skrotum	sac (n.)
bí	squash	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	labu	biro
bò	sapi	beef
bó	banyak	bound (adj.)
bói	meramal	to foretell (v.)
bón	pupuk	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	bolanya	sphere or ball
bóp	memeras	squeeze
bô	toilet	"(term should be ""bôxit"") the mineral bauxite"
bôi	dioleskan	to apply (as in oil)
bông	kapas	flower
bù	berdandan	compensate
bùa	jimat	talisman
bùn	lumpur	mud
