$ tỉ	en milliards de dollars	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazie	a name
about	à propos	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	compte	account
aceh	aceh	(proper noun) aceh
achilles	achille	achilles
acia	acia	acia
acid	acide	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	avancé	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aéro	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	afrique	(proper noun) africa
african	africain	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	qui	who
ailen	irlandais	ailen
aim	viser	aim
air	l&#39;air	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	bonjour	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albanie	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandrie	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpes	alps
altai	altai	altai
always	toujours	luon luon
amaravati	amaravati	amaravati
amazon	amazone	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amine	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	l&#39;ammoniac	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	un	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolie	anatolia
andalusia	andalousie	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorre	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	lui	english
anhmỹ	britannique	"(term should be ""anh mỹ"") english or american"
anhpháp	monsieur france	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	tout	any
anđêhít	aldéhyde	aldehydes
ao	étang	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	pomme	apple
aquinas	aquinas	a name
arab	arabe	(proper noun) arab
archetypal	archétypal	archetypal
archive	archiver	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentine	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristote	aristotle
arizona	arizona	arizona, as in the state
ark	arche	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	arménien	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	cendre	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asie	asia
asm	asm	asm
asoka	asoka	asoka
association	association	association
assyria	assyrie	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantique	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audition	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australie	(proper noun) australia
austria	autriche	(proper noun) the country of austria
austrian	autrichien	austrian
avar	avar	a name
aviation	aviation	aviation
awad	awad	awad
award	récompense	award
axit	acide	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaïdjan	(proper noun) azerbaijan
aztec	aztèque	aztec, as in the aztec people (adj.)
ba	trois	three
babylon	babylon	babylon
bacon	bacon	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahreïn	bahrain
baháí	baháí	bahai
balearic	baléares	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkans	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	interdire	the
bang	coup	state
banh	balle	ball
banner	bannière	banner
bantam	bantam	bantam
bantu	bantou	bantu
bao	sac	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbade	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	baroque	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barça	(proper noun) barca
base	base	base
basel	bâle	basel, a city in switzerland
basil	basilic	basil
baskervilles	baskerville	baskervilles
bass	basse	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	voler	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalte	basalt (n.)
bazơ	basique	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	battre	beat
beatles	beatles	the beatles
beauty	la beauté	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	derrière	behind
beijing	pékin	beijing
bel	bel	bel
bell	cloche	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berbère	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermudes	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	mieux	better
betty	betty	betty
bhutan	bhoutan	bhutan
bia	la bière	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	facture	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	frontière	bien
biếc	turquoise	a bluish-green color (adj.)
biếm	insouciant	"(term should be ""biếm họa"") cartoon (n.)"
biến	variable	other
biếng	paresseux	lose interest in
biếu	courtoisie	present
biều	bieu	bieu
biển	la mer	ocean
biểuthứcđiềukiện	connaître les conditions	conditional expression
biện	s&#39;excuser	"(term should be ""biện pháp"") a method (n.)"
biệt	distinct	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohème	bohemia
bolivia	la bolivie	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bombe	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	booléen	(proper adjective) boolean, as in boolean algebra
boom	boum	boom
boong	pont	a deck (n.)
boongke	bunkers	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnie	(proper noun) bosnia
botswana	botswana	botswana
bottom	en bas	bottom
boulder	rocher	boulder
bourbon	bourbon	bourbon
boxing	boxe	boxing
brain	cerveau	brain
brandenburg	brandebourg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brésil	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brejnev	brezhnev
brian	brian	a name
bridge	pont	bridge
britannic	britannique	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	brun	brown
browne	browne	browne
browning	brunir	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	bruxelles	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgarie	bulgaria
bulletin	bulletin	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	birmanie	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	fougueux	busby
bush	buisson	bush
bushy	touffue	bushy
buôn	en gros	commerce
buông	lâchez prise	to release, to let loose
buýt	bus	bus
buốt	froid	sharp
buồm	voile	sail
buồn	triste	sad
buồng	chambre	chamber
buổi	session	session
byzantine	byzantin	byzantine
bà	grand-mère	woman or lady (n.)
bài	poster	articles
bàn	table	table
bàng	aigle	eagle
bành	peng	armchair
bào	rabotage	compatriot
bàu	bau	bau
bày	présentation	"(term should be ""trưng bày"") to display (v.)"
bác	oncle	doctor
bách	cyprès	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	culte	to bow (v.)
bám	s&#39;accrocher	cling
bán	vendu	sell
báng	stock	"(term should be ""phỉ báng"") to defame or slander"
báo	journal	newspaper (n.)
bát	bol	eight (n.)
báu	trésor	valuable
bây	maintenant	now
bã	résidu	"(term should be ""buồn bã"") sad (adj.)"
bãi	yards	beach
bão	tempête	storm
bèn	alors	then
bé	bébé	baby
bén	tranchant	sharp (adj.)
béo	graisse	fat
bên	fête	side
bênh	malade	advocate
bì	emballage	foreskin (n.)
bìa	couverture	cover
bìu	scrotum	sac (n.)
bí	courge	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	citrouille	biro
bò	vache	beef
bó	tas	bound (adj.)
bói	voyance	to foretell (v.)
bón	fertiliser	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	le ballon	sphere or ball
bóp	serrer	squeeze
bô	pot	"(term should be ""bôxit"") the mineral bauxite"
bôi	enduit	to apply (as in oil)
bông	coton	flower
bù	maquiller	compensate
bùa	amulette	talisman
bùn	boue	mud
