aajo	அபத்தமானது	hospitality
aala	எல்லை	border
aanu	இரக்கம்	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	முடக்கம்	fasting
abala	பகுதி	division
abeikojopo	வாரிசு	subset
abeorile	வீடு திரும்புவது	nation
abesahara	தெளிக்கவும்	under the sahara
abidi	எழுத்துக்கள்	abidi
abidjan	எப்போதும்	abidjan
abo	பெண்பால்	security
aburunmu	எங்கள் அருவருப்பானது	reduced in value, diminished
abálájo	அனுபவம் வாய்ந்த	that is why
abé	ஊசி	under
abínibí	தேசியம்	inborn
abúléko	கிராமம்	village
accra	accra	accra
adaba	வசதியானது	factor
adabaye	எல்லாம் சரி	previously-existing
adarihunrun	கிளீனர்	human
addis	addis	addis
adeda	இயற்கை	creator
adiokan	தனி	stubbornness
adágbà	மூத்தவர்	adagba
adúgbò kútò	தெருவில் அயலவர்கள்	kuto area
adúgbò mókóla	சளி சளி	mokola area
adúgbò quarry	குவாரி அண்டை	neighborhood
adúgbò ìdí	அண்டை காரணங்கள்	area
afida	அந்த குடும்பம்	element
afomo	உதாரணத்திற்கு	cleansing
afoyemo	சுருக்கம்	abstract
africa	ஆப்பிரிக்கா	africa
african	ஆப்பிரிக்க	ara afrika
africans	ஆப்பிரிக்கர்கள்	africans
aféfé	காற்றாலை	air
agba	பெயிண்ட்	principal
agbado	சோளம்	maize
agbara	சக்தி	power
agbaye	உலகம்	world
agbeinadie	விவசாய நிலம்	semi-conductor
agbà	ஒரு வயது வந்தவர்	adult
agbàbò	பாதுகாவலர்	adopted child
agbára	சக்தி	power
agbéiná	தீயணைப்பு வீரர்	conductor
agio	கலங்குவது	agio
aintimulo	aintimulo	un-exploited
aisi	பற்றாக்குறை	lack
ajagun	ஒரு நாய்	ajagun
aje	பொருளாதாரம்	trade
ajemoroyin	விசாரணை	reporting
ajibola	நிகழ்ச்சி நிரல்	ajibola
ajo	பயணம்	firms
ajoro	பயணம்	discussion
ajọra	பிரதி	resemblance
akiidah	கோரிடா	(non-standard yoruba, this maybe from benin)
akinpelu	பீரங்கிகள்	akinpelu
akokolo	காலம்	period
akole	எங்களால் முடியாது	title
akoni	எங்களிடம் இல்லை	teacher
akopa	முதலிலும் முக்கியமானதுமாக	participant
akopo	தொகுப்பு	assembly
akátá	குள்ளநரி	african american
akíkanjú	வீரம்	courageous
akíngbógun	பட்டாலியன்	akingbogun
akẹ́kọ̀ọ́	மாணவர்	students
ala	கீழ்	limit
alaabo	முடக்கப்பட்டது	protection
alaadanida	தேவையற்றது	individual
alaafia	சமாதானம்	peace
alaafin	முறைகேடானது	alaafin
aladaani	தனிப்பட்ட	privately-owned
aladani	தனிப்பட்ட	self-owned
aladanida	தன்னிச்சையான	private
alaidogba	சமநிலையற்றது	unequal
alaigbara	தவிர்க்கமுடியாதது	neutron
