$	dollar təşkil edib	dollar
+	+	+
a	a	and
abc	abc	abc
abdić	qarın	abdić
abdića	abdića	abdic
abdul	abdul	abdul
abdulah	abdulah	abdulah (name)
abdullah	abdullah	abdullah
abortus	abort	abortus
abraham	abraham	abraham,first name
abu	abu	abu
ad	elan	ad
adam	adam	adam
administrativna	inzibati	administrative
administrativne	inzibati	administrative
administrativni	inzibati	administrative
administrativno	inzibati qaydada	administrative
adnan	adnan	adnan
adobe	adobe	adobe
adolf	adolf	adolph
adresa	ünvanı	address
adresu	ünvanı	address
adsorpcija	adsorbsiya	absorption
aerodrom	hava limanı	airport
aerodroma	hava limanı	airport
afera	iş	affair
afganistan	əfqanıstan	afghanistan
africi	afrika	africa
afrika	afrika	africa
afrike	afrika	africa
afriku	afrika	africa
afričke	afrika	african
agencija	agentlik	agency
agencije	agentlikləri	agency
agresija	təcavüz	agression
agresije	təcavüz	agression
agresora	təcavüzkar	aggressor
ahilej	axilles	achilles
ahmed	ahmed	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	aişə	aisha
ajet	ayə	ayet
ak	ak	ak
akademija	akademiya	academy
akademije	akademiya	academy
akademiji	akademiya	academy
akademiju	akademiya	academy
akcija	fəaliyyət	action
akcije	tədbirlər	action
ako	əgər	if
akrozom	akrosom	akrosome
akt	hərəkət etmək	act
aktivan	aktivdir	active
aktivna	aktivdir	active
aktivni	aktivdir	active
aktivno	aktivdir	active
aktivnost	fəaliyyət	activity
aktivnosti	fəaliyyətlər	activities
aktualizirano	yeniləndi	actualized
akumulacije	yığımlar	accumulation
akutnog	kəskin	acute
al	əl	al
alat	vasitə	tool
alata	alətlər	tools
alate	alətlər	tools
alati	alətlər	tools
albanaca	albanlar	albanians
albanci	albanlar	albanians
albanija	albaniya	albania
albanije	albaniya	albania
albaniji	albaniya	albania
albanski	alban	albanian
albert	albert	albet
alberto	alberto	aberto
album	albom	album
albuma	albomlar	album
albumi	albomlar	albums
albumu	albom	album
aleksa	alexa	aleksa
aleksandar	i̇skəndər	aleksandar
aleksandra	i̇skəndər	alexandra
alen	alen	alen
alexis	alexis	alexis
alge	yosun	alga
algi	yosun	alga
algoritam	alqoritm	algorithm
algoritma	alqoritm	agorithm
algoritmi	alqoritmlər	algorithms
alhamijado	alhamijado	alhamijado
ali	amma	but
alija	aliya	ali
alije	ama	alija
alkini	alkinlər	alkyns
alkohol	alkoqol	alcohol
alkohola	alkoqol	alcohol
alkoholizam	alkoqolizm	alcoholism
alkoholizma	alkoqolizm	alcoholism
allah	allah	allah
allaha	allah	allah
allahov	allahın	allah's
allahu	allah	allah
alma	alma	alma
almir	almir	almir
alpa	alpa	alps
alpha	alfa	alpha
alternativni	alternativ	alternative
aluminij	alüminium	aluminium
aluminija	alüminium	aluminium
alžir	əlcəzair	algiers
alžira	əlcəzair	algeria
amar	sevgi	amar
american	amerikalı	american
americi	amerika	america
americijum	americium	ameritium
amerika	amerika	america
amerikanci	amerikalılar	americans
amerike	amerika	america
ameriku	amerika	america
američka	amerika	american
američke	amerika	american
američki	amerika	american
američkih	amerika	american
američkim	amerika	american
američkog	amerika	american
američkoj	amerika	american
američkom	amerika	american
amir	amir	amir
amonijum	ammonium	amonium
an	bir	an
ana	ana	ana
analiza	analiz	analysis
analize	analiz	analysis
analizi	analiz	analysis
analizu	analiz	analyses
analogni	analoq	analogue
anatomija	anatomiya	anatomy
and	və	and
andora	andorra	andorra
andrić	andrić	andrić
andrića	andrić	andric
anemije	anemiya	anemia
animacija	animasiya	animation
anne	anne	anne
anoda	anod	anoda
ansambl	ansamblı	group
antarktika	antarktida	antarctica
ante	ante	ante
antibiotik	antibiotik	antibiotics
antigona	antigon	antigone
antioksidant	antioksidan	anti-oxides
antivirus	antivirus	anti-virus
antička	qədim	antique
antičke	qədim	ancient
antički	qədim	antique
antičkih	qədim	antique
antičko	qədim	antique
antičkog	qədim	antique
antičkoj	qədim	antique
anto	anto	anto
antoaneta	antoaneta	antoanete
anton	anton	anton
antonija	antoniya	antonia
antonije	antonije	anthony
antonio	antonio	anthonio
antropologija	antropologiya	anthropology
antropologije	antropologiya	anthropology
antropologiju	antropologiya	anthropology
antropolozi	antropoloqlar	anthropologists
aparat	aparatlar	apparatus
aparata	aparatlar	device
aplikacija	tətbiqi	application
aplikacije	tətbiqlər	applications
apostola	həvari	apostles
april	aprel	april
aprila	aprel	april
aprilu	aprel	april
apsolutna	mütləq	absloute
apsolutni	mütləq	apsolute
apsolutno	tamamilə	absolutely
ar	ar	arabic
arabija	ərəbistan	arabia
arabije	ərəbistan	arabia
arabiji	ərəbistan	arabia
arapa	arapa	arab
arapi	ərəb	arabs
arapska	ərəb	arab
arapske	ərəb	arabian
arapski	ərəb	arabic
arapskih	ərəb	arab
arapskim	ərəb	arab
arapskog	ərəb	arab
arapskom	ərəb	arabic
arbih	arbih	arbih
argentina	argentina	argentina
arheolozi	arxeoloqlar	archaeologists
arheološka	arxeoloji	archaeological
arheološki	arxeoloji cəhətdən	archaeological
arhipelag	arxipelaq	archipelago
arhitekt	memar	architect
arhitekta	memar	architect
arhitektonski	memarlıq baxımından	architectural
arhitektura	memarlıq	architecture
arhitekture	memarlıq	architecture
arhitekturi	memarlıq	architecture
arhitekturu	memarlıq	architecture
arhiv	arxiv	archive
arhiva	arxiv	archive
arija	ariya	aria
aristotel	aristotel	aristotle
aristotela	aristotel	aristotelis name
aritmetika	hesab	aritmetics
armija	ordu	army
armije	ordu	armies
arsen	arsen	arsenic
arslanagić	arslanagić	arslanagic
art	incəsənət	art
arterija	arteriya	artery
arterije	arteriyalar	artery
artritis	artrit	artritis
as	kimi	a.s. (peace be upon him)
asim	asim	asim
asocijacija	dərnək	association
aspekt	aspekt	aspect
aspekta	aspekt	aspect
aspekte	cəhətləri	aspects
aspirin	aspirin	aspirin
aspirina	aspirin	aspirin
at	at	at
atina	afina	athens
atine	afina	athens
atini	afina	"(in the picture: olympic torch for oi in athens 2008. those games, in athens 2004., are actually not 28 olympics (since athens 1896th onwards)- which were held - but ""only"" 25. but despite everything, despite all the examples, warnings and threats to the xxviii olympic games in athens, 2004 23 (twenty three) athletes and female athletes were disqualified because of doping."
atlantski	atlantik	atlantic
atlantskog	atlantik	atlantic
atmosfera	atmosfer	atmosphere
atmosfere	atmosfer	athmosphere
atmosferi	atmosfer	atmosphere
atmosferu	atmosfer	atmosphere
atom	atom	atom
atoma	atom	atom
atomci	atomları	atomci
atomsko	atom	atomic
atomskog	atom	atomic
aton	aton	eaton
atp	atp	atp
atrakcija	cazibə	attraction
atrakcije	attraksionlar	attractions
august	avqust	august
augusta	avqust	august
augustin	avqust	augustine
augustu	avqust	august
auschwitz	auschwitz	auschwitz
australija	avstraliya	australija
australije	avstraliya	austria
australiji	avstraliya	austria
austrija	avstriya	austria
austrijanci	avstriyalılar	austrians
austrije	avstriyanın	austria
austriji	avstriya	austria
austrijom	avstriya	austria
austrijska	avstriya	austrian
austrijske	avstriya	austrian
austrijski	avstriya	austrian
austrijskog	avstriya	austrian
austriju	avstriya	austria
austrougarska	avstriya-macar	austro-hungarian
austrougarske	avstriya-macar	austro-hungarian
austrougarski	avstriya-macar	austro-hungarian
austrougarsko	avstriya-macar	austro-hungarian
austrougarskog	avstriya-macar	austro-hungarian
autizam	autizm	autizm
automatski	avtomatik olaraq	automatic
automobila	avtomobillər	cars
autonomije	muxtariyyət	autonomy
autonomiju	muxtariyyət	autonomy
autonomna	muxtar	autonomous
autonomne	muxtar	autonomous
autoput	magistral yol	highway
autoputa	magistral yol	highway
autoputeva	avtomobil yolları	highways
autor	müəllif	author
autora	müəllif	author
autori	müəlliflər	authors
autorima	müəlliflər	authors
autoritet	səlahiyyət	authority
autoru	müəllifə	author
avaz	avaz	avaz
avgust	avqust	august
avijacija	aviasiya	aviation
avion	təyyarə	aircraft
aviona	təyyarə	plane
avioni	təyyarələr	planes
azerbejdžan	azərbaycan	azerbaijan
azija	asiya	asia
azije	asiya	asia
aziji	asiya	asia
aziju	asiya	asia
b	b	b
bacanje	atmaq	throwing
bach	baq	bach,last name
bacte	bakte	throw
bad	pis	bad
bajram	bayram	bayram
bajrama	bayram	bayram
bajramović	bajramović	bajramovic
bakar	mis	copper
bakra	mis	copper
bakterija	bakteriya	bacteria
bakterije	bakteriya	bacteries
balada	ballada	ballad
balade	ballada	balads
baljić	baljić	baljic
balkan	balkan	balkan
balkana	balkanlar	balkan
balkanski	balkan	balkan
balkanskih	balkan	balkan
balkanskog	balkan	balkan
balkanskom	balkan	balkan
balkanu	balkanlar	balkans
ban	qadağan	ban
bana	bana	ban
banja	spa	spa
banje	spa	spas
banjoj	banjoj	banja
banka	bank	bank
banke	banklar	banks
banovina	banovina	banovina
banovine	banovina	banovina
banovići	banovići	banovich
bar	bar	at least
barbarez	barbarez	barbarez(name)
barcelona	barselona	barcelona
bare	çılpaq	bare
barem	ən azı	at least
barometar	barometr	barometer
barry	bərə	barry
bas	bas	bass
basicu	əsas	basic
baterija	batareya	battery
baterije	batareyalar	battery
bave	çörək	deal with
bavi	sövdələşmələr	deals
bavili	əyləndi	dealt with
bavilo	məşğuldur	dealt with
baviti	ilə məşğul olmaq	do
baza	baza	base
baze	baza	base
bazen	hovuz	pool
bazena	hovuz	pool
bazi	baza	base
bazilika	bazilik	basilica
bazira	əsaslı	based on
baziran	əsaslı	based
bazirana	əsaslı	based
bazu	baza	base
baš	sadəcə	exactly
bašagić	başagiћ	basagic
bašagića	başagiћa	bašagić
bašeskija	başeskiјa	bašeskija
baština	irsi	heritage
baštine	irsi	heritage
baštini	irsi	inheritance
baščaršija	basšaršija	bascarsija (part of the city of sarajevo)
bdp	bdp	gdp
bdpa	bdpa	bdp
be	olmaq	be
bebek	bala	bebek
bedema	pərçimlər	rampart
beg	yalvarmaq	bey
begova	yalvarir	duke
bejrut	beyrut	beirut
belgija	belçika	belgium
belgije	belçika	belgium
belgiji	belçika	belgium
bell	zəng	bell
bend	əyilmək	band
benda	benda	band
bendu	əyilmək	band
benjamin	benjamin	benjamin
benu	benu	ben
beograd	belqrad	beograd
beograda	belqrad	belgrade
beogradskom	belqrad	belgrade
beogradu	belqrad	belgrade
berlin	berlin	berlin
berlinu	berlin	berlin
besplatni	sərbəst	free
beta	beta	beta
bez	olmadan	without
beč	vyana	vienna
beča	vyana	wien
beču	vyana	vienna
bešlagić	beslagic	beslagic,last name
bešlić	yalvarir	beslic
bh	bh	bh
bi	bi	to
biblije	kitablar	bible
bibliji	bibliya	bible
bibliografija	biblioqrafiya	bibliography
biblioteka	kitabxana	library
biblioteke	kitabxanalar	libraries
bici	bibi	battle
bih	mən istərdim ki	bih
bihać	bihać	bihać
bihaća	bihaća	bihac
bihaćki	bihaćki	bihac
bihaću	edərəm	bihac
bijaše	idi	was
bijela	ağ	white
bijele	ağ	white
bijeli	ağ	white
bijelim	ağ	white
bijeljina	ağlıq	bijeljina
bijelo	ağ	white
bijelog	ağ	white
bijelu	ağ	white
bila	idi	was
bile	safra	were
bileća	safra	bileca
bili	idi	were
biljaka	bitkilər	plants
bilje	otlar	plants
bilješke	qeydlər	notes
bilježe	qeyd edirlər	note
bilježi	qeydlər	notes down
biljka	bitki	plant
biljkama	bitkilər	plants
biljke	bitkilər	plants
biljne	bitki mənşəli	herbal
biljnih	bitki	plant
biljnog	bitki	herbal
bill	faktura	bill
bilo	idi	was
bin	zibil qabı	bin
binarni	ikili	binary
bint	bandaj	bint
bio	idi	was
biofizika	biofizika	biofysics
biografija	tərcümeyi-hal	biogeography
biologija	biologiya	biology
biološka	bioloji	biological
biološki	bioloji	biological
biosfera	biosfer	biosphere
bira	pivə	elected
biraju	seçirlər	chosen
biseri	incilər	pearls
biskup	yepiskop	bishop
biskupa	yepiskop	bishop
bit	bit	will
bitaka	döyüş	battles
bitan	bitan	important
biti	olmaq	be
bitka	döyüş	battle
bitke	döyüşlər	battles
bitki	döyüşlər	battles
bitku	döyüş	battle
bitna	vacibdir	important
