aajo	смешно	hospitality
aala	граница	border
aanu	саосећање	compassion
aapon	оружје	bachelor or spinster (bachelorette)
aare	ааре	president
aawe	парализа	fasting
abala	део	division
abeikojopo	насљедница	subset
abeorile	повратак кући	nation
abesahara	посипати	under the sahara
abidi	абецеда	abidi
abidjan	икад	abidjan
abo	женствено	security
aburunmu	наша чула	reduced in value, diminished
abálájo	искусан	that is why
abé	игла	under
abínibí	националност	inborn
abúléko	село	village
accra	ацра	accra
adaba	повољно	factor
adabaye	у реду	previously-existing
adarihunrun	чистач	human
addis	аддис	addis
adeda	природа	creator
adiokan	усамљен	stubbornness
adágbà	старији	adagba
adúgbò kútò	комшије на улици	kuto area
adúgbò mókóla	мукокула	mokola area
adúgbò quarry	каменоломе комшије	neighborhood
adúgbò ìdí	суседски разлози	area
afida	породица	element
afomo	на пример	cleansing
afoyemo	синопсис	abstract
africa	африка	africa
african	афрички	ara afrika
africans	африканци	africans
aféfé	ветрењача	air
agba	фарбати	principal
agbado	кукуруз	maize
agbara	снага	power
agbaye	свет	world
agbeinadie	пољопривредне површине	semi-conductor
agbà	одрасла особа	adult
agbàbò	заштитник	adopted child
agbára	снага	power
agbéiná	ватрогасац	conductor
agio	плакати	agio
aintimulo	аинтимуло	un-exploited
aisi	недостатак	lack
ajagun	пас	ajagun
aje	економија	trade
ajemoroyin	испитивање	reporting
ajibola	дневни ред	ajibola
ajo	путовати	firms
ajoro	путовати	discussion
ajọra	реплика	resemblance
akiidah	цоридах	(non-standard yoruba, this maybe from benin)
akinpelu	артиљерија	akinpelu
akokolo	раздобље	period
akole	не можемо	title
akoni	немамо	teacher
akopa	прво и основно	participant
akopo	компилација	assembly
akátá	шакал	african american
akíkanjú	с периком	courageous
akíngbógun	батаљона	akingbogun
akẹ́kọ̀ọ́	ученик	students
ala	доле	limit
alaabo	онеспособљено	protection
alaadanida	нежељено	individual
alaafia	мир	peace
alaafin	нелегитиман	alaafin
aladaani	приватно	privately-owned
aladani	приватно	self-owned
aladanida	произвољан	private
alaidogba	неуравнотежен	unequal
alaigbara	неодољиво	neutron
alaini	потребан	the poor
alakitiyan	активиста	activist
alakobere	новак	primary
alalaye	земљани	explanatory
alawose	гатање	mentor
albany	албани	albany
albert	алберт	albert
alexandra	александра	alexandra
alicia	алициа	alicia
allāh	аллах	allah
alominira	независност	independent
alpha	алфа	alpha
alubàbá	отац	drummer
alukuraani	коран	quran
alumoni	лековито	minerals
alumíníọ̀mù	алуминијум	aluminium
alákọ̀bẹ̀rẹ̀	иницијатор	primary education
alápapò	замена	general
alátise	уметник	alatise
aláyèwò	инспекторе	expert
aláísàn	болестан	the sick
alúwo	бум	traditional cults
alọ́po	новчаник	tied
amazonas	амазонас	amazonas
americas	америцас	americas
amerika	америка	america
amojeoyipada	кабриолет	reform
amosi	џамија	amos
améríkà	американац	america
améríkà	американац	america
an	ан	him
anabi	пророк	prophet
anc	анц	anc
andaman	андман	andaman
angkor	ангкор	angkor
anita	анита	anita
anschluss	ансцхлусс	anschluss
apagusu	југ	southern
apaguusuilaorun	југозапад	south-western
apaguusuiwoorun	југозапад	part of the south
apailaorun	излазак сунца	east side
apaiwoorun	западни	eastern side
aparapo	комбинација	confederation
apeja	рибар	fisherman
apeere	на пример	example
apis	апис	apis
apòmù	прегача	apomu
apẹ̀rè	прегача	example
arabu	арапски	arab
aralíle	тропски	healthy body
arinkankan	овај	nationalist
ariso	настао	oral tradition
ariwaarin	блиски исток	mid-north
ariwaguusu	југозападни	north-south
arkansas	арканзас	arkansas
aroko	вегетација	composition
aruleyin	здраво	carried on the back
arun	болест	disease
aryan	аријан	aryan
aráa	брате	people from
arábíà	абецедно	arabia
aráròmí	здраво	araromi
arópò	подмићивање	substitute
arúgbó	старост	elderly
arọ	хром	cripple
asagun	победа	intial, first (referring to the 13 colonies)
ascii	сазнати	ascii
aseeto	поравнање	unfair
aseyori	успех	success
asipa	одступање	first to kill
assessment	процена	ayewo
asìko	глупости	time; ni asiko=when
asèdá	природно	origination
atangbona	атом	emission
atanna	атом	emitter
atigba	прихватљиво	from time
atimo	план	inland
atinrin	смејати се	thin
atun	премотавање	also
atunse	исправка	revision
australia	аустралиа	australia
austriahumgary	аустриахумгари	austria-hungary
austronesian	аустронесиан	austronesian
austríà	аустралиа	austria
avar	авар	avar
awari	откриће	discovery
awo	тањир	of
awonara	емоција	people of
awoòn	образац	people
awon	њих	they
awuruju	магичан	shady
awùjo	учтивост	society
awújẹ	скандал	root
aya	стих	chest
ayeye	вечност	celebration
ayàfi	то је у реду	only if
ayò	аи	game
azikiwe	здрав разум	azikwe
aṣòkan	појединац	united
baa	је	be with
babaláwo	врачар	herbalist
bahrain	бахреин	bahrain
balẹ̀	нека буде	settled
bang	прасак	bang
banle	банле	banle
bara	прошле године	themselves
bauxitealumina	бокситеалумина	bauxite/aluminum
bayelsa	баиелса	beyelsa
bayi	сада	like this
bayìí	сада	this
bce	далеко	bce
beauharnais	беаухарнаис	beauharnais
beijing	пекинг	beijing
belarus	белорусија	belarus
belgium	белгија	belgium
bengal	бенгал	bengal
bengali	бенгали	bengal
benin	клупа	benin
berber	бербер	berber
berlin	берлин	berlin
bernstein	бернстеин	bernstein
bharat	бхарат	bharat
bharata	врати се	bharata
bibeli	библија	bible
biribiri	био је сломљен	intense
black	црн	dudu
bodies	тела	ara
bojú	погледај	take care
bole	боле	ground
bolt	завртањ	bolt
bolívar	боливар	bolivar
brasil	брасил	brazil
brazzaville	браззавилле	brazzaville
bridgeport	мост	bridgeport
britain	британија	britain
brítánì	британци	britain
bu	то је	give
buenaventura	буенавентура	buenaventura
bujumbura	проширен	bujumbura
burúkú	зло	bad
by	од стране	does not translate directly, does not exist
bàbá	отац	father
bákannáà	такође	likewise
bálè	балон	lying on the ground
bárakú	зависност	habitual
báyìí	сада	this
bèrẹ̀	почети са	started
béè	управо тако	than
bòtswánà	аутобус	botswana
búburú	лоше	bad
búrú	буди храбар	wicked
bẹ̀rẹ̀	започети	started
bẹ́	сломио	also
bẹ́ljíọ̀m	берил	belgium
bẹ́ẹ̀ni	да	yes
bẹ́ẹ̀sìni	да	that is it
cairo	бес	cairo
calabar	жвакаћа гума	calabar
canaria	канарија	canaria
cape	рт	cape
casablanca	цасабланца	casablanca
caslon	цасино	caslon
cathedral	катедрала	cathedral (katidral)
catherine	катарина	catherine
cauchy	кашасти	cauchy
cbc	цбц	cbc
chamorro	цхаморро	chamorro
