$ tỉ	мільярд доларів	$ billion
abc	абс	abc
abdul	абдул	abdul
abkhazia	абхазія	a name
about	о	about
abraham	абрахам	abraham
abrams	абрами	abrams
abscbn	абсбн	abscbn
account	рахунок	account
aceh	ацех	(proper noun) aceh
achilles	ахілл	achilles
acia	ація	acia
acid	кислота	acid
ada	ада	ada
adams	адамс	(proper noun) adams
addisonwesley	аддісонвеслі	(proper noun) addison-wesley
adn	adn	adn
adobe	гнучко	adobe
adrian	адріан	(proper noun) adrian
adsl	adsl	adsl
advanced	передовий	advanced
aedes	аїди	aedes
aegypti	аегіпти	aegypti
aero	аеро	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	афі	aff
afghanistan	афганістан	afghanistan
africa	африка	(proper noun) africa
african	африканський	african
ag	аг	ag
agasa	агаса	(proper noun) agasa, as in hiroshi agasa
agassi	агассі	agassi
ai	вооз	who
ailen	ірландська	ailen
aim	мета	aim
air	повітря	air
airbus	аеробус	airbus
aisne	aisne	aisne
ajax	аякс	ajax
ak	ак	ak
akatsuki	акацукі	akastuki
akms	акми	akms
akô	здравствуйте	ako
al	ін	al
alabama	алабама	alabama
alaska	аляска	alaska
albania	албанія	albania
albatros	альбатроси	(proper noun) albatros, as in the aero l-39 albatros
albert	альберт	(proper noun) albert
alberto	альберто	(proper noun) alberto
albion	альбіон	albion, an ancient name for great britain
albuquerque	альбукерке	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	александра	alexandra
alexandria	олександрія	alexandria
alexandros	александрос	alexandros
alexey	alexey	alexey
alfred	альфред	(proper noun) alfred, as in alfred kinsey
algérie	алгерія	algerie
ali	алі	ali
alice	аліса	this is a name
allan	аллан	(proper noun) allan, as in edgar allan poe
allen	аллен	(proper noun) allen
allmusic	всемузичний	allmusíc
alois	алоїз	alois
alonso	алонсо	alonso
alpher	альфер	(proper noun) alpher
alps	альпи	alps
altai	алтай	altai
always	завжди	luon luon
amaravati	amaravati	amaravati
amazon	амазонка	amazon
amdo	amdo	(proper noun) amdo
ame	аме	ame
ami	амі	ami
amiens	амієн	amiens
amin	амін	(proper noun) amin, as in nagib amin
amm	ам	amm
amoniac	аміак	ammonium (n.)
amphitrite	амфітрит	(proper noun) amphitrite, a greek sea goddess
an	ан	"(should be ""an toàn"") safe"
anand	anand	anand
anata	аната	anata
anatolia	анатолія	anatolia
andalusia	андалузія	andalusia
andaman	андаман	andaman
anderson	андерсон	anderson
andes	анде	andes
andorra	андорра	andorra
andrew	andrew	andrew
andré	андре	andre, as in andre morval
andy	енді	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	анг	ang
angkor	ангкор	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	англосаксон	anglo-saxon
anh	брат	english
anhmỹ	британці	"(term should be ""anh mỹ"") english or american"
anhpháp	англійська французька	england-france
ankara	анкара	ankara
ankyl	анкіл	ankly
anna	анна	anna
annam	нам	a name the way french called middle vietnam as a colony
annan	аннан	annan
anne	енн	anne, a name
anorthosit	анортосіт	anorthosit, a type of igneous rock (n.)
anthony	антоній	anthony
antigua	антигуа	(proper noun) antigua
anton	антон	anton
antonov	антонов	antonov
any	будь-який	any
anđêhít	альдегід	aldehydes
ao	ставок	pond
aotearoa	aotearoa	aotearoa
apollo	аполлон	apollo
apple	яблуко	apple
aquinas	аквінські	a name
arab	арабська	(proper noun) arab
archetypal	архетип	archetypal
archive	архів	archive
arctan	арктан	a function
ares	арів	ares
argentina	аргентина	(proper noun) the south american nation of argentina
argo	арго	argo
arias	арії	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	аристотель	aristotle
arizona	арізона	arizona, as in the state
ark	ковчег	ark
arkansas	арканзас	arkansas
arlington	арлінгтон	(proper noun) arlington
armenia	арм	(proper noun) armenia
armstrong	армстронг	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	арнольд	arnold
arsenal	арсенал	arsenal
artemis	артеміди	(proper noun) artemis, the greek goddess of the hunt
aruba	аруба	aruba
arunachal	рунахальний	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	вх	asc
ash	зола	a name
ashikaga	ашикага	ashikaga
ashley	ешлі	(proper noun) ashley
asia	азія	asia
asm	зом	asm
asoka	asoka	asoka
association	об&#39;єднання	association
assyria	ассірія	assyria
aston	здивований	(proper noun) aston, as in aston villa
atkinson	аткінсон	atkinson
atlanta	атланта	atlanta
atlantic	атлантичний	atlantic
aua	ауа	aua
aubrac	aubrac	aubrac
audition	прослуховування	audition
auflage	леща	auflage
auguste	auguste	auguste
australia	австралія	(proper noun) australia
austria	австрія	(proper noun) the country of austria
austrian	австрійський	austrian
avar	авар	a name
aviation	авіація	aviation
awad	awad	awad
award	нагорода	award
axit	кислота	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	аюмі	(proper noun) ayumi
ayutthaya	аюттхая	(proper noun) ayutthaya
azerbaijan	азербайджан	(proper noun) azerbaijan
aztec	ацтек	aztec, as in the aztec people (adj.)
ba	батько	three
babylon	вавилон	babylon
bacon	бекон	bacon
baden	баден	baden
baghdad	багдад	(proper noun) baghdad
bago	баго	bago
