$	ps	dollar
+	+	+
<	&lt;	<
=	=	equal
a	una	and
abc	a b c	abc
ac	c.a	ac
ako	si	if
al	alabama	al
alat	herramienta	tool
ali	pero	but
alveolata	alvéolo	regnum
amor	amor	amor
and	y	and
at	a	at
atmosfere	atmósfera	atmosphere
autora	autor	authors
autorsko	autor	copyright
autorskog	autor	authorial
b	si	b
beograd	ciudad blanca	beograd
beograda	belgrado	belgrad
beogradu	belgrado	belgrade
berlin	berlina	berlin
bez	sin	without
bi	sería	to
bila	estado	was
bile	bilis	were
bili	fueron	were
bilo	había	was
bio	estaba	was/nije bio-wasn't
biti	ser - estar	be
bolesnika	pacientes	patients
bolest	enfermedad	illness
bolesti	enfermedades	diseases
brena	brena	brena
broj	número	number
bwv	bwv	bmw
by	por	by
c	c	s (letter)
cd	discos compactos	cd
colorgray	color gris	color gray
colors	colores	colors
d	re	d
da	si	yes
daje	ese	gives
dan	día	day
dana	del día	days
danas	hoy	today
dece	niños	kids
del	del	del
dela	trabajos	work
delo	trabajo	the act
delu	parte	part
deo	una parte de	part
di	di	di
dijego	diego	diego
do	al	to
dobija	recibido	obtained
dok	mientras	until
dovodi	guías	leads
dr	dr	dr
druga	el otro	second
druge	otros	other
drugi	el segundo	second
drugih	otros	other
dva	dos	two
dvd	dvd	dvd
dve	dos	two
e	mi	e
epizoda	episodio	episode
epizode	episodios	episodes
fefec	fefec	fefec
film	película	movie
filmu	película	movie
for	para	for
free	gratis	free
freud	freud	freud
ftp	ftp	ftp
g	gramo	g
ga	georgia	to
gde	dónde	where
glavni	principal	major
gledaoci	espectadores	auditory
godina	años	year
godine	años	age
google	google	google
goriva	combustible	fuel
gps	gps	gps
grupa	un grupo	group
grupe	grupos	group
h	h	h
hdi	hdi	hdi
hipi	hippie	hippie
history	historia	history
hn	hn	hn
homo	homo	homo
hrvatska	croacia	croatia
html	html	html
http	http	http
i	yo	i
iako	y si	strong
ieee	ieee	ieee
if	si	if
ih	ellos	them
ii	ii	ii
iii	iii	iii
il	illinois	or
ili	o	or
im	y m	them
ima	tiene	there are
imaju	tener	have
imala	tenido	has
imati	tener	having
ime	nombre	name
international	internacional	international
internet	internet	internet
ip	ip	ip
ipak	todavía	still
ipv	ipv	ipv
isbn	isbn	isbn
istorija	la historia	history
istraživanja	investigación	researches
it	eso	it
ix	ix	9
iz	de	from
između	entre	between
j	j	j (letter)
ja	si	i
jako	yo quien	very
java	java	java
javlja	informes	checks in
javnosti	el público	public
je	es	is
jedan	uno	one
jedna	uno	one of
jednog	uno	one
jednom	una vez	once
jer	porque	because
jesus	jesús	jesus
joj	su	her
još	todavía	still
k	k	k
ka	ka	to
kada	cuando	when
kako	cómo	how
kaligrafija	caligrafía	calligraphy
kao	me gusta	as
kasnije	luego	thereafter
km	km	kilometer
kod	código	with
koja	cual	whom
koje	quien es	who
koji	cúal	which
kojih	cual	whose
kojima	cual	which
kojoj	quién	which
koju	cual	which
koriste	utilizar	used
koristi	usos	use
kraj	el fin	end
kraju	en el final	end
kroz	a través de	through
krvi	sangre	blood
l	l	i
latinica	latín	latin
le	le	french word
lekovi	drogas	drugs
lepa	bonita	beautiful
letter	letra	letter
lečenje	tratamiento	treatment
life	vida	life
lik	personaje	character
likova	caracteres	characters
likovi	caracteres	characters
link	enlace	link
ljubav	amor	love
ljudi	personas	people
london	londres	london
los	los	los
m	metro	m
mac	espada	mac
majkl	miguel	michael
man	hombre	man
maplandia	maplandia	maplandia
marija	maria	mary
me	yo	me
među	entre	among
međutim	sin embargo	however
mi	nosotros	we
mitrovica	mitrovica	mitrovica
mišića	músculo	muscles
mm	mm	mm
mnoge	muchos	many
mnogi	muchos	many
mnogo	mucho	a lot
mogu	puedo	may
mora	debe	have to
most	puente	bridge
mosta	puente	bridge
motora	motor	engine
motori	motores	combustions
mozga	cerebro	brain
može	lata	may
mreža	red	net
mreže	redes	nets
mu	mu	him
multipla	múltiple	multiple
n	norte	n
na	sobre el	on
nagrade	premios	rewards
najčešće	generalmente	most commonly
nakon	después	after
nalazi	resultados	located
name	nombre	name
naruta	naruta	naruta (name)
naruto	naruto	naruto
naziv	nombre	name
način	la manera	way
ne	no	can't
nedostatak	una falta	deficiency
nego	él	but
neke	algunos	some
neki	algunos	some
nekoliko	unos pocos	a few
nema	no tiene	have no
nervnog	nervioso	nervous
newton	newton	newton
nešto	alguna cosa	some
ni	ni	not
nije	no es	not
nikola	nikola	nikola
nisu	ellos no son	not
njega	él	his
njih	ellos	them
njihov	su propio	their
njihova	suyo	their
njima	a ellos	them
no	no	than
nove	nuevo	new
novi	nuevo	new
npr	por ejemplo	for example
o	acerca de	about
obično	generalmente	usually
oblik	forma	shape
obliku	formar	shape
od	desde el	from
odnosno	es decir	respectively
oko	ojo	about
on	él	it
ona	ella	she
one	oh no	they
oni	ellos	they
online	en linea	online
opnokrilci	membranas	hymenoptera (latin - it's a group of insects)
os	os	os
osim	excepto	exept
osnovu	base	based on
osoba	una persona	person
ostali	los demás	other
ostrvu	isla	island
ova	esta	this
ovaj	éste	this
ove	estas	this
ovim	con este	this
ovo	esta	this
ovog	de esta	this
ovom	esta m	this
ovu	éste	this
oštećenja	dañar	damages
p	pags	p
pa	bien	and
panthera	pantera	panthera
pc	ordenador personal	pc
period	período de tiempo	period
php	php	php
po	por	on
pod	piso	under
podataka	datos	informations
pojava	ocurrencia	appearance
pomoć	ayuda	help
ponovo	de nuevo	again
pored	cerca de	beside
porodica	la familia	family
posle	mas tarde	after
postoje	ya que	exist
postoji	existe	exist
potrebe	necesidades	needs
pozicije	posiciones	positions
početku	al principio	start
pošto	ya que	because
prava	derechos	right
pravo	derecha	right
pre	antes de	before
preko	a través de	over
prema	de acuerdo a	according to
prenos	transmisión	transmission
pri	a	during
prijemnika	receptor	receiver
primer	ejemplo	example
promene	cambios	changes
prva	primero	first
prvi	primero	first
psilocibin	psilocibina	psilocybin
put	el camino	way
puta	veces	way
q	q	q
r	r	r
rad	trabajo	work
radi	porque	works
radio	radio	radio
različitih	diferente	different
različitim	diferente	different
razvoj	desarrollo	development
realizam	realismo	realism
reference	referencia	reference
región	región	region
regnum	regnum	regnum
rh	rh	rh
rizik	riesgo	risk
roma	roma	rome
s	s	s
sa	con	from
sad	estados unidos	sad
sada	ahora	now
sadrži	contiene	contains
samo	solamente	only
san	sueño	san
santa	papa noel	santa
sarkofag	sarcófago	sarcophagus
sastoji	consiste	contains
satelita	satélite	satellite
se	se	is
sekreta	secreción	discharge
serano	serano	serano
serija	serie	series
serije	serie	series
seriji	serie	series
seriju	serie	series
server	servidor	server
sezona	temporada	season
sezone	temporada	season
signal	señal	signal
signala	señal	signals
simptoma	síntomas	symptoms
simptomi	síntomas	symptoms
sistem	el sistema	system
sistema	sistema	system
skleroza	esclerosis	sclerosis
skleroze	esclerosis	sclerosis
sloj	capa	layer
slova	palabras	letters
smatra	considerado	considered
spoljašnje	externo	external
srbije	de serbia	serbia
srbiji	serbia	serbia
srpska	serbio	sebian
srpske	serbio	serbian
start	comienzo	start
strane	lados	side of
stvari	cosas	things
su	son	"are /in ""kao sto su hlamidije""doesn't translate, just ""such as chlamydia"", etc/"
svaki	cada	every
sve	todas	all
svet	el mundo	world
sveta	santo	world
svetu	el mundo	world
svi	todo	all
svih	de todo	all
svog	de su	his
svoj	propio	own
svoje	su propio	own
svojim	sus	my
svoju	tu propio	own
t	t	t
ta	y	these
tada	luego	then
taj	ese	that
tako	entonces	so
takođe	también	also
tardigrada	tardigrada	tardigrad
tcp	tcp	tcp
te	y	theese
tehnika	técnica	technique
tela	cuerpos	body
telenovela	telenovela	telenovela
telenovele	telenovelas	telenovelas
terapija	terapia	territory
tesla	tesla	tesla
the	el	the
thriller	novela de suspenso	thriller (music album)
ti	tú	those
tim	el equipo	those
time	hora	thereby
timeaxis	eje temporal	time axis
tj	es decir	that is
to	ese	that
toga	ese	this
tokom	durante	during
toku	actual	during
tom	tom	that
treba	debería	shall
tri	tres	three
tu	tú	that
tuja	exterior	tuja
tv	televisión	tv
u	tu	in
uloge	roles	part
ulogu	papel	part
umesto	en vez de	instead
umetnosti	arte	arts
un	naciones unidas	un
university	universidad	university
uspeh	éxito	succes
utc	utc	utc
uvek	siempre	always
uz	uz	through
v	v	v
van	camioneta	d. van nostrand company
veliki	un gran	large
veoma	muy	very
verzija	versión	version
veze	conexiones	connection
već	ya	already
vi	tú	vi
vidi	ver	see
viii	viii	viii
vitamin	vitamina	vitamin
vitamina	vitamina	vitamin
više	más	more
vreme	hora	time
vremena	veces	time
vrlo	muy	very
vrste	tipos de	types
w	w	w
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii  (thirteen )
xiv	xiv	hiv
xix	xix	xix
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii (18)
xx	xx	xx
y	y	in
yo	yo	me
za	por	for
zagreb	zagreb	zagreb
zajedno	juntos	together
zato	por lo tanto	because
zatvora	prisión	prison
zbog	porque	because
značajno	significativamente	significantly
||	||	||
|гшир=	| ancho =	gsir
|датум	fecha	date
|држава	| estado	country
|име	nombre	name
|место	| lugar	place
|позивни	| llamar	positive
|поп=	| pop =	pop
|поштански	| postal	postal
|приступница	| formulario de solicitud	application form
|регион=	| region =	region
|регистарска	registro	|registration
|слика	imagen	picture
~	~	~
°с	° s	celsius
×	×	multiply (in mathematics)
će	será	will
ćelija	célula	cell
čak	incluso	even
često	a menudo	often
četiri	cuatro	four
što	la mesa	what
žena	mujer	woman
žene	mujer	womens
život	vida	life
života	de vida	life
а	una	and
абу	abu	abu
авганистан	afganistán	avganistan
авганистану	afganistán	avganistan
август	agosto	august
августа	agosto	august
августу	agosto	august
авион	un avion	airplane
авиона	aeronave	airplane
авионе	aeronave	airplanes
авиони	aviones	airplanes
авионима	en avión	airplanes
авионом	en avión	airplane
авиону	en el avión	airplane
авијација	aviación	aviation
авијације	aviación	aviation
авноја	avnoja	avnoj
агенција	agencia	agency
агенције	agencias	agency
агломерација	aglomeración	agglomeration
агресије	agresión	aggression
ада	isla de río	ada
адам	adán	adam
адаптација	adaptación	adaptation
административна	administrativo	administrative
административни	administrativo	administrational
административно	administrativamente	administrative
адолф	adolf	adolph
адреса	habla a	adress
адресе	direcciones	addresses
адресу	habla a	address
аеродром	aeropuerto	airport
аеродрома	aeropuerto	airport
аеродроми	aeropuertos	airports
аеродрому	aeropuerto	airport
азербејџан	azerbaiyán	azerbaijan
азербејџана	azerbaiyán	azerbaijan
азија	asia	asia
азије	asia	asia
азији	asia	asia
азот	nitrógeno	nitrogen
азра	azra	azra
академик	académico	academician
академија	academia	academy
академије	academia	academy
академији	academia	academy
академију	academia	academy
ако	si	if
акредитација	acreditación	acreditation
акт	actuar	deed
активан	activo	active
активна	activo	active
активни	activo	active
активно	activo	active
активност	actividad	activity
активности	ocupaciones	activities
активностима	ocupaciones	activities
акценат	acento	accent
акција	acción	action
акцијама	comparte	actions
акције	comportamiento	actions
акцију	acción	action
алата	herramientas	tool
албанаца	albaneses	albanians
албанија	albania	albania
албаније	albania	albania
албанији	albania	albania
албанијом	albania	albania
албанију	albania	albania
албанска	albanés	albanian
албанске	albanés	albanian
албански	albanés	albanian
албанских	albanés	albanian
албанског	albanés	albanian
албанском	albanés	albanian
албанце	albanés	albanians
албанци	albaneses	albanians
алберт	albert	albert
алберта	alberta	albert
албум	álbum	album
албума	álbumes	album
албуми	álbumes	albums
албуму	álbum	album
алгоритам	algoritmo	algorithm
алгоритама	algoritmos	algorithms
алгоритма	algoritmo	algorithm
алгоритми	algoritmos	algorithms
алдехид	aldehído	aldehide
алекса	alexa	alexa
александар	alejandro	alexander
александра	alejandro	alexandra
александру	alejandro	aleksandar
алексић	aleksic	aleksic
алел	alelo	allele
алеји	paseos	mall
али	pero	but
алија	pero yo	alija
алпа	alpa	alps
алпи	alpes	alpes
алфабет	alfabeto	alphabet
амбасаде	embajada	embassies
амбасадор	embajador	ambassador
амбиваленција	ambivalencia	ambivalence
аменореја	amenorrea	amanorrhea
америка	america	america
американци	estadounidenses	american
америке	america	america
америку	america	america
америци	america	america
америчка	americano	american
америчке	americano	american
амерички	americano	american
америчким	americano	american
америчких	americano	u.s.
америчког	americano	american
америчком	americano	american
америчкој	americano	american
амино	aminado	amino
амфора	ánfora	amphora
ана	ana	ana
анализа	análisis	analysis
анализе	análisis	analysis
анализом	análisis	analysis
анални	anal	anal
анатомија	anatomía	anatomy
анатомије	anatomía	anatomy
анда	anda	andes
андреј	andrej	andrej
андрић	andrić	andric
андромеда	andrómeda	andromed
андроника	andronics	andronikos
ане	no	ane
анкара	ankara	ankara
антанте	antes de	entente
антарктик	antártida	antarctic
антарктика	antártida	antartics
анте	apuesta inicial	ante
антике	antigüedad	antique
антипатија	antipatía	aversion
антисемитизам	antisemitismo	antisemitism
антитела	anticuerpos	antibodies
античке	antiguo	antique
антички	antiguo	antique
античких	antiguo	antique
античко	antiguo	antique
античког	antiguo	antique
античкој	antiguo	antique
антонио	antonio	antonio
антонија	antonija	anthony
анубис	anubis	anubis
анђела	ángeles	andjela
анђелес	ángeles	angeles
анђели	ángeles	angels
анђео	un ángel	angel
аорта	aorta	mini aorta
апарат	aparato	apparatus
апатит	apatito	apetit
аполон	apolo	apollonius
апостола	apóstol	apostles
април	abril	april
априла	abril	april
априлу	abril	april
апсентизам	absentismo	absenteesm
апсолутни	absoluto	apsolute
арапа	arapa	arabs
арапи	arábica	arabs
арапска	arábica	arab
арапске	arábica	arab
арапски	arábica	arabic
арапским	arábica	arab
арапских	arábica	arab
арапског	arábica	arabic
арапском	arábica	arabic
аргентина	argentina	argentina
аргентине	argentina	argentina
аргумент	argumento	argument
арена	arena	arena
аристотел	aristóteles	aristotel
аристофан	aristófanes	aristofan
армија	ejército	army
армије	ejército	army
армији	ejército	army
армијом	ejército	army
армију	ejército	army
арно	arno	arno
арсен	arsénico	arsenic
артиљерија	artillería	artillery
артиљерије	artillería	artillery
артиљерију	artillería	artillery
археолошка	arqueológico	archaeological
археолошки	arqueológicamente	archeological
археолошких	arqueológico	archaeological
архив	archivo	archive
архива	archivo	archives
архиепископ	arzobispo	archbishop
архиепископа	arzobispo	archbishop
архимед	arquímedes	archimed
архитекта	arquitecto	architect
архитекте	arquitectos	architects
архитектонски	arquitectónicamente	architectural
архитектура	arquitectura	architecture
архитектуре	arquitectura	achitecture
архитектури	arquitectura	architecture
архитектуру	arquitectura	architecture
асонанца	asonancia	assonance
асоцијација	asociación	association
аспекти	aspectos	aspects
астронаутика	astronáutica	astronautics
астрономија	astronomía	astronomy
астрономије	astronomía	astronomy
асурбанипал	asurbanipal	ashurbanipal
атентат	asesinato	assassination
атентата	asesinato	assassination
атентату	asesinato	assassination
атеље	estudio	studio
атила	atila	attila
атина	atenas	athens
атине	atenas	athens
атини	atenas	athens
атлантски	atlántico	atlantic
атлантског	atlántico	atlantic
атмосфера	atmósfera	atmosphere
атмосфере	atmósfera	atmosphere
атмосфери	atmósfera	atmosphere
атмосферу	atmósfera	atmosphere
атол	atolón	soldier
атом	átomo	atom
атома	átomo	atoms
атон	aton	aten
атп	atp	atp
атракције	atracciones	attraction
атрибута	atributos	attribute
аугит	augit	augite
аустралија	australia	australia
аустралије	australia	australia
аустралији	australia	australia
аустралијски	australiano	australian
аустрија	austria	austria
аустријанци	austriacos	austrians
аустрије	de austria	austria
аустрији	austria	austria
аустријом	austria	austria
аустријске	austriaco	austrian
аустријски	austriaco	austrian
