$	usd	a sign of doller
+	+	+
=	=	equal to
==	==	==
===	===	===
>	&gt;	"mathematical sign for denoting ""greater than"""
|	|	|
°	°	digree
×	×	into
λ	λ	lambda-a greek alfabet
इतिहास	vēsture	history [hindi word]
और	un	and
का	no	of
की	no	's [hindi word]
के	k.	's, of [hindi word]
गया	pagājis	went on [hindi word]
में	iekšā	in [hindi]
है	ir	is there [hindi word]
ઃ	kritums	symbol
અ	a	a
અંક	izdevums	number
અંકલેશ્વર	ankleshwar	ankleshwar
અંકુશ	kontrole	control
અંકુશિત	kontrolēts	controlled
અંકુશો	kontroles	control
અંકો	cipari	edition
અંગ	ērģeles	part
અંગત	personīga	private / personal
અંગીકાર	pieņemšana	to change religion
અંગે	par	about
અંગેના	par	regarding
અંગેની	par	about
અંગેનું	no	about
અંગેનો	par	about
અંગો	ērģeles	parts
અંગ્રજોના	no angļiem	of british
અંગ્રેજ	angļu	foreigner
અંગ્રેજ઼ી	angļu	english
અંગ્રેજી	angļu	english
અંગ્રેજીના	no angļu valodas	of english
અંગ્રેજીનાં	no angļu valodas	of english
અંગ્રેજીની	no angļu valodas	of english
અંગ્રેજીનું	no angļu valodas	english
અંગ્રેજીને	angļu	to english
અંગ્રેજીનો	no angļu valodas	of the english
અંગ્રેજીમાં	angliski	in the english
અંગ્રેજીમાંથી	no angļu valodas	from english
અંગ્રેજો	angļu	britishers
અંગ્રેજોએ	angļu	foreigners
અંગ્રેજોના	no angļiem	britisher's
અંગ્રેજોની	no angļiem	britisher
અંગ્રેજોને	angļiem	to the british
અંજાર	anjārs	anjar [name of a city]
અંત	beigas	at the end
અંતમાં	pēdējā laikā	in the end
અંતર	attālums	distance
અંતરના	no attāluma	distance
અંતરની	no attāluma	distance
અંતરાલ	intervāls	interval
અંતરિયાળ	iekšzemē	internal
અંતરે	no attāluma	distance
અંતર્ગત	iekšējais	included
અંતિમ	fināls	final
અંતે	beigās	at last
અંદર	iekšā	inside
અંદરથી	no iekšpuses	inner
અંદરના	iekšā	inner
અંદરની	iekšā	inside
અંદાજ	novērtēt	approx
અંદાજિત	paredzētais	approximate
અંદાજે	aptuveni	approximate
અંદાજો	aplēses	estimates
અંદાઝ	aplēses	andaaz
અંદામાન	andaman	andaman
અંધ	akls	blind
અંબા	amba	amba
અંબાજી	ambaji	ambaji
અંબાણી	ambani	ambani
અંબાણીએ	ambani	by ambani
અંબાણીની	ambani&#39;s	ambani's
અંબાલિકા	ambalika	ambalika
અંબિકા	ambika	ambika
અંશ	izraksts	part
અંશતઃ	daļēji	partly
અંશે	zināmā mērā	by percentage
અંશો	izraksts	parts / particles
અંહી	šeit	here
અંહીના	šeit	this
અકબંધ	neskarts	intact
અકબર	akbar	akbar
અકબરના	akbar&#39;s	of akbar
અકબરે	akbar	akbar
અકાદમી	akadēmija	academy
અક્ષર	raksturs	letter
અક્ષરજ્ઞાન	lasītprasme	literacy
અક્ષરધામ	akshardham	akshardham
અક્ષરબ્રહ્મ	aksharbrahms	aksharbrahm
અક્ષરો	burti	letters
અક્ષાંશ	platums	latitude
અખંડ	neskarts	intact
અખબાર	laikraksts	newspaper
અખબારો	laikraksti	news paper
અખાત	līcis	gulf
અખિલ	akhil	all
અગત્યતા	svarīgums	importance
અગત્યના	svarīgs	important
અગત્યની	svarīgs	important, of importance
અગત્યનું	svarīgs	important
અગત્યનો	svarīgs	important
અગાઉ	iepriekš	previously
અગાઉથી	iepriekš	from ahead
અગાઉના	iepriekšējais	earlier
અગાઉની	iepriekšējais	past
અગિયાર	vienpadsmit	eleven
અગ્નિ	uguns	fire
અગ્ની	uguns	fire
અગ્ર	frontend	or / principal
અગ્રગણ્ય	galvenais	famous
અગ્રણી	vadošais	front-runner / trialblazer
અગ્રેસર	vadošais	leading
અઘરી	grūts	hard
અચાનક	pēkšņi	suddenly
અચોક્કસ	neprecīzs	indefinite
અજ઼ીજ઼	azeezo	aziz [arabic written in gujarati script]
અજાણ	nezina	unknown
અજાણ્યા	svešinieki	stranger
અજાયબી	brīnums	wonder
અજાયબીઓ	brīnumi	wonders
અજાયબીઓની	no brīnumiem	of wonderful things
અજેય	neuzvarams	unbrakable
અજોડ	unikāls	uncomparable
અજ્ઞાત	nezināms	unknown
અજ્ઞાન	vienaldzība	unknown,
અટકાવવા	lai novērstu	to prevent
અટકાવી	novērsts	prevent
અટકાવે	novērš	prevents
અટકાવ્યા	apstājās	prevented
અટકી	piekārti	stopped
અટલ	neatvairāms	surname
અઠવાડિયા	nedēļas	week
