$ tỉ	miljardu dolāru	$ billion
abc	abc	abc
abdul	abduls	abdul
abkhazia	abhāzija	a name
about	par	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	konts	account
aceh	aceh	(proper noun) aceh
achilles	ahilleja	achilles
acia	acija	acia
acid	skābe	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrians	(proper noun) adrian
adsl	adsl	adsl
advanced	uzlabotas	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	afēra	aff
afghanistan	afganistāna	afghanistan
africa	āfrika	(proper noun) africa
african	afrikāņu	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	pvo	who
ailen	īru	ailen
aim	mērķis	aim
air	gaiss	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	sveiki	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albānija	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	alberts	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albions	albion, an ancient name for great britain
albuquerque	albukerke	albuquerque
albus	albuss	albus
alexa	aleksa	alexa
alexandra	aleksandra	alexandra
alexandria	aleksandrija	alexandria
alexandros	aleksandros	alexandros
alexey	aleksijs	alexey
alfred	alfrēds	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alise	this is a name
allan	alans	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alfa	(proper noun) alpher
alps	alpi	alps
altai	altaja	altai
always	vienmēr	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	amī	ami
amiens	amiens	amiens
amin	amīns	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amonjaks	ammonium (n.)
amphitrite	amfitrīts	(proper noun) amphitrite, a greek sea goddess
an	an	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolija	anatolia
andalusia	andalūzija	andalusia
andaman	andamans	andaman
anderson	andersons	anderson
andes	andes	andes
andorra	andora	andorra
andrew	iemeta	andrew
andré	andrē	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	brālis	english
anhmỹ	britu	"(term should be ""anh mỹ"") english or american"
anhpháp	angļu franču valoda	england-france
ankara	ankara	ankara
ankyl	ankil	ankly
anna	anna	anna
annam	nam	a name the way french called middle vietnam as a colony
annan	annans	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	antonijs	anthony
antigua	antigva	(proper noun) antigua
anton	antons	anton
antonov	antonovs	antonov
any	jebkura	any
anđêhít	aldehīds	aldehydes
ao	dīķis	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	ābolu	apple
aquinas	akvīnas	a name
arab	arābu	(proper noun) arab
archetypal	arhetipisks	archetypal
archive	arhīvs	archive
arctan	arktāns	a function
ares	āri	ares
argentina	argentīna	(proper noun) the south american nation of argentina
argo	argo	argo
arias	ārijas	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotelis	aristotle
arizona	arizona	arizona, as in the state
ark	šķirsts	ark
arkansas	arkansas	arkansas
arlington	ārlingtons	(proper noun) arlington
armenia	armēņu	(proper noun) armenia
armstrong	ieročos	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnolds	arnold
arsenal	arsenāls	arsenal
artemis	artemija	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	pelni	a name
ashikaga	ašikaga	ashikaga
ashley	ešlija	(proper noun) ashley
asia	āzija	asia
asm	asm	asm
asoka	asoka	asoka
association	asociācija	association
assyria	asīrija	assyria
aston	izbrīns	(proper noun) aston, as in aston villa
atkinson	atkinsons	atkinson
atlanta	atlanta	atlanta
atlantic	atlanti	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	klausīšanās	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	austrālija	(proper noun) australia
austria	austrijā	(proper noun) the country of austria
austrian	austrietis	austrian
avar	avar	a name
aviation	aviācija	aviation
awad	awad	awad
award	balvu	award
axit	skābe	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ajumi	(proper noun) ayumi
ayutthaya	ajutihaja	(proper noun) ayutthaya
azerbaijan	azerbaidžāna	(proper noun) azerbaijan
aztec	acteki	aztec, as in the aztec people (adj.)
ba	tēvs	three
babylon	babilons	babylon
bacon	speķis	bacon
baden	bādene	baden
baghdad	bagdāde	(proper noun) baghdad
bago	bago	bago
bahamas	bahamu salas	bahamas
bahrain	bahreina	bahrain
baháí	baháí	bahai
balearic	baleāru	balearic
bali	bali	bali
balkan	balkāns	(proper adjective) balkan
balkans	balkāni	balkans
ballard	ballard	ballard
bamar	bamārs	bamar
ban	aizliegums	the
bang	sprādziens	state
banh	bumba	ball
banner	reklāmkarogs	banner
bantam	bantam	bantam
bantu	tu aizliedz	bantu
bao	maiss	bao giờ= ever
barack	baraks	barack
barak	baraks	barak
barbados	barbadosa	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	baroka	baroque
barquin	bariņš	barquin, as in ramon barquin, the cuban military colonel
barrichello	barichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	barons	baryon
barça	barca	(proper noun) barca
base	bāze	base
basel	bāzele	basel, a city in switzerland
basil	baziliks	basil
baskervilles	baskervilles	baskervilles
bass	bass	bass
bator	batoru	bator
battambang	battambangs	battambang
bauer	bauers	bauer
bay	lidot	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	bazalts	basalt (n.)
bazơ	pamata	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	pārspēt	beat
beatles	sitieni	the beatles
beauty	skaistums	beauty
beckenbauer	bekenbauers	beckenbauer, as in franz beckenbauer
becker	bekeris	(proper noun) becker
beckham	bekhems	beckam
bedloe	gultasveļa	bedloe
beethoven	bēthovens	beethoven
beethovens	bietes	beethoven's
beginbmatrix	iesākuma matrica	this is a code
behind	aizmugurē	behind
beijing	pekina	beijing
bel	bel	bel
bell	zvans	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedikt	benedict
benetton	benettons	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	benningtona	bennigton
berber	berberu	berber
bergen	bergen	(proper noun) bergen
berger	bergers	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	bermanis	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernards	bernard
bertrand	bertrand	bertrand
better	labāk	better
betty	betty	betty
bhutan	butāna	bhutan
bia	alus	beer (n.)
biang	bianga	biang
bic	bic	bic
bikini	bikini	bikini
bill	rēķins	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarks	bismarck, as in otto von bismarck
bitmap	bitkarte	bitmap
biên	ieraksts	bien
biếc	zīle	a bluish-green color (adj.)
biếm	neuzmanīgs	"(term should be ""biếm họa"") cartoon (n.)"
biến	ārā	other
biếng	slinks	lose interest in
biếu	izrādīt cieņu	present
biều	bieu	bieu
biển	jūra	ocean
biểuthứcđiềukiện	jāzina apstākļi	conditional expression
biện	atvainojos	"(term should be ""biện pháp"") a method (n.)"
biệt	atšķirīgs	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	melnplauka	this is a name
blair	blair	blair
blaise	vainot	blaise
blanc	blanc	blanc
blues	blūza	blues
bo	bo	a curl, as in a biceps curl exercise
bob	boba	bob
bobby	bobijs	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohēmija	bohemia
bolivia	bolīvija	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bumba	bomb
bonaparte	bonaparte	bonaparte
bong	bongs	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	kaulains	bonnal
bonobo	bonobo	bonono
bool	bols	bool
boolean	būla	(proper adjective) boolean, as in boolean algebra
boom	uzplaukums	boom
boong	klāja	a deck (n.)
boongke	bunkuri	bunker
bop	bop	bop
boris	boriss	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseinšteins	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnija	(proper noun) bosnia
botswana	botsvāna	botswana
bottom	apakšā	bottom
boulder	laukakmens	boulder
bourbon	burbonu	bourbon
boxing	bokss	boxing
brain	smadzenes	brain
brandenburg	brandenburga	(proper noun) brandenburg
brandt	brendijs	brandt
braun	braun	braun
brazil	brazīlija	brazil
bremen	bremeni	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	bretoņa	(proper noun) breton
bretton	brettons	hoi nghi
brezhnev	brežņevs	brezhnev
brian	braiens	a name
bridge	tilts	bridge
britannic	britannic	(proper noun) britannic
britney	britnija	britney
brooklyn	bruklina	brooklyn
brot	buljons	this is german not vietnamese
brown	brūns	brown
browne	brūns	browne
browning	brūnēšana	(proper noun) browning
bruce	bruce	bruce
brunei	bruneja	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilovs	brusilov
brussels	brisele	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapesta	budapest, the capital of hungary
bulgaria	bulgārija	bulgaria
bulletin	biļetens	thong bao
bungary	bungari	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	birma	burma
burundi	burundi	burundi
busan	busans	a korean city
busby	busby	busby
bush	krūms	bush
bushy	kupls	bushy
buôn	vairumtirdzniecība	commerce
buông	atlaisties	to release, to let loose
buýt	autobuss	bus
