aajo	nực cười	hospitality
aala	biên giới	border
aanu	thương hại	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	tê liệt	fasting
abala	phần	division
abeikojopo	người thừa kế	subset
abeorile	về nhà	nation
abesahara	rắc	under the sahara
abidi	bảng chữ cái	abidi
abidjan	không bao giờ	abidjan
abo	giống cái	security
aburunmu	gớm ghiếc của chúng tôi	reduced in value, diminished
abálájo	có kinh nghiệm	that is why
abé	cây kim	under
abínibí	quốc tịch	inborn
abúléko	làng	village
accra	accra	accra
adaba	tiện lợi	factor
adabaye	được rồi	previously-existing
adarihunrun	sạch hơn	human
addis	nghiện	addis
adeda	thiên nhiên	creator
adiokan	đơn độc	stubbornness
adágbà	đàn anh	adagba
adúgbò kútò	hàng xóm trên đường	kuto area
adúgbò mókóla	niêm mạc	mokola area
adúgbò quarry	mỏ đá hàng xóm	neighborhood
adúgbò ìdí	lý do khu phố	area
afida	gia đình	element
afomo	ví dụ	cleansing
afoyemo	tóm tắc	abstract
africa	châu phi	africa
african	người châu phi	ara afrika
africans	người châu phi	africans
aféfé	cối xay gió	air
agba	sơn	principal
agbado	bắp	maize
agbara	quyền lực	power
agbaye	thế giới	world
agbeinadie	đất nông nghiệp	semi-conductor
agbà	một người trưởng thành	adult
agbàbò	bảo vệ	adopted child
agbára	quyền lực	power
agbéiná	lính cứu hỏa	conductor
agio	khóc	agio
aintimulo	aintimulo	un-exploited
aisi	thiếu sót	lack
ajagun	con chó	ajagun
aje	nên kinh tê	trade
ajemoroyin	thẩm vấn	reporting
ajibola	chương trình nghị sự	ajibola
ajo	du lịch	firms
ajoro	du lịch	discussion
ajọra	bản sao	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	pháo binh	akinpelu
akokolo	giai đoạn = stage	period
akole	chúng tôi không thể	title
akoni	chúng tôi không có	teacher
akopa	đầu tiên và quan trọng nhất	participant
akopo	biên soạn	assembly
akátá	chó rừng	african american
akíkanjú	dũng cảm	courageous
akíngbógun	tiểu đoàn	akingbogun
akẹ́kọ̀ọ́	sinh viên	students
ala	xuống	limit
alaabo	tàn tật	protection
alaadanida	không mong muốn	individual
alaafia	sự thanh bình	peace
alaafin	bất hợp pháp	alaafin
aladaani	riêng tư	privately-owned
aladani	riêng tư	self-owned
aladanida	bất kỳ	private
alaidogba	mất cân bằng	unequal
alaigbara	không thể cưỡng lại	neutron
alaini	túng thiếu	the poor
alakitiyan	nhà hoạt động	activist
alakobere	người mới	primary
alalaye	đất	explanatory
alawose	thuật bói toán	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	tất cả	allah
alominira	sự độc lập	independent
alpha	alpha	alpha
alubàbá	bố	drummer
alukuraani	koran	quran
alumoni	chữa bệnh	minerals
alumíníọ̀mù	nhôm	aluminium
alákọ̀bẹ̀rẹ̀	người khởi xướng	primary education
alápapò	thay thế	general
alátise	họa sĩ	alatise
aláyèwò	thanh tra	expert
aláísàn	đau ốm	the sick
alúwo	bùng nổ	traditional cults
alọ́po	ví tiền	tied
amazonas	amazon	amazonas
americas	mỹ	americas
amerika	mỹ	america
amojeoyipada	chuyển đổi	reform
amosi	nhà thờ hồi giáo	amos
améríkà	người mỹ	america
améríkà	người mỹ	america
an	một	him
anabi	nhà tiên tri	prophet
anc	anc	anc
andaman	và con người	andaman
angkor	thiên thần	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	phía nam	southern
apaguusuilaorun	tây nam	south-western
apaguusuiwoorun	tây nam	part of the south
apailaorun	bình minh	east side
apaiwoorun	miền tây	eastern side
aparapo	sự phối hợp	confederation
apeja	ngư dân	fisherman
apeere	ví dụ	example
apis	apis	apis
apòmù	tạp dề	apomu
apẹ̀rè	tạp dề	example
arabu	ả rập	arab
aralíle	nhiệt đới	healthy body
arinkankan	cái này	nationalist
ariso	aris	oral tradition
ariwaarin	trung đông	mid-north
ariwaguusu	tây nam	north-south
arkansas	ark kansas	arkansas
aroko	thảm thực vật	composition
aruleyin	xin chào	carried on the back
arun	bệnh	disease
aryan	người aryan	aryan
aráa	anh trai	people from
arábíà	bảng chữ cái	arabia
aráròmí	xin chào	araromi
arópò	hối lộ	substitute
arúgbó	tuổi già	elderly
arọ	què	cripple
asagun	chiến thắng	intial, first (referring to the 13 colonies)
ascii	tìm ra	ascii
aseeto	giải quyết	unfair
aseyori	sự thành công	success
asipa	sai lệch	first to kill
assessment	thẩm định, lượng định, đánh giá	ayewo
asìko	vô lý	time; ni asiko=when
asèdá	tự nhiên	origination
atangbona	nguyên tử	emission
atanna	nguyên tử	emitter
atigba	được chấp nhận	from time
atimo	kế hoạch	inland
atinrin	cười	thin
atun	tua lại	also
atunse	điều chỉnh	revision
australia	châu úc	australia
austriahumgary	austriahum tổng	austria-hungary
austronesian	người úc	austronesian
austríà	châu úc	austria
avar	avar	avar
awari	khám phá	discovery
awo	đĩa	of
awonara	cảm xúc	people of
awoòn	bản mẫu	people
awon	họ	they
awuruju	huyền diệu	shady
awùjo	lịch sự	society
awújẹ	vụ bê bối	root
aya	thơ	chest
ayeye	vĩnh cửu	celebration
ayàfi	nó ổn	only if
ayò	ay	game
azikiwe	lẽ thường	azikwe
aṣòkan	cá nhân	united
baa	là	be with
babaláwo	nhà tiên tri	herbalist
bahrain	bahrain	bahrain
balẹ̀	để cho anh ta được	settled
bang	bang	bang
banle	ban	banle
bara	năm ngoái	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	hiện nay	like this
bayìí	hiện nay	this
bce	xa	bce
beauharnais	beauharnais	beauharnais
beijing	bắc kinh	beijing
belarus	belarus	belarus
belgium	nước bỉ	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	băng ghế	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	quay lại	bharata
bibeli	kinh thánh	bible
biribiri	đã bị nghiền nát	intense
black	đen	dudu
bodies	cơ thể	ara
bojú	hãy xem	take care
bole	thân cây	ground
bolt	chớp	bolt
bolívar	bolívar	bolivar
brasil	áo lót	brazil
brazzaville	brazzaville	brazzaville
bridgeport	cầu nối	bridgeport
britain	người anh	britain
brítánì	người anh	britain
bu	đó là	give
buenaventura	buenaventura	buenaventura
bujumbura	mở rộng	bujumbura
burúkú	tà ác	bad
by	bởi	does not translate directly, does not exist
bàbá	người cha	father
bákannáà	cũng	likewise
bálè	quả bóng bay	lying on the ground
bárakú	nghiện	habitual
báyìí	hiện nay	this
bèrẹ̀	đầu tiên là	started
béè	chỉ như thế	than
bòtswánà	xe buýt	botswana
búburú	xấu	bad
búrú	dũng cảm	wicked
bẹ̀rẹ̀	để bắt đầu	started
bẹ́	đã phá vỡ	also
bẹ́ljíọ̀m	beryl	belgium
bẹ́ẹ̀ni	đúng	yes
bẹ́ẹ̀sìni	đúng	that is it
cairo	cơn thịnh nộ	cairo
calabar	kẹo cao su	calabar
canaria	canaria	canaria
cape	áo choàng	cape
casablanca	casifer	casablanca
caslon	sòng bạc	caslon
cathedral	thánh đường	cathedral (katidral)
catherine	cinda	catherine
cauchy	cauch	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	xe ngựa	charles
chaskalson	chaskalson	chaskalson
chebbi	suy nghĩ	chebbi
cherished	ấp ủ	mu lokunkundun
china	trung quốc	china
cipollone	cipollone	cipollone
clear	thông thoáng	danmanran
code	mã	code
coetsee	đồng quản trị	coetese
coloured	màu sắc rực rỡ	alawo dudu
coming	sắp tới	yo jade
compared	so	does not directly translate
computers	máy tính	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	họng	cunha
da	và	back; but in this form it is unnecessary
dagbasoke	lớn lên	developing
dandan	bắt buộc	a must
dani	giữ	hand-held
darapo	tham gia	joinedd
daru	hủy hoại	scattered
dates	ngày	pada si
delhi	đừng	delhi
denver	từ chối	denver
des	des	des
describes	mô tả	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	hạnh nhân	desmond
development	phát triển	idagbasoke
didagba	bình đẳng	growing
didasile	thành lập	established
different	khác nhau	iyato
din	chiên	reduced
dinwoju	tra cứu	suitable
divoire	chia sẻ	d'ivoire
doju	mặt đối mặt	face
dojú	mặt đối mặt	turn face (full phrase is doju ko, to face)
dominic	thống trị	dominic
doni	doni	this day
dote	cống hiến	rebel
doublehelix	doublercix	hiliksi abara meji
doublestrand	đôi	double-strand
dover	dover	dova
du	du	hustle
due	do	nitori
dun	ngon	sound
dàbíi	như thế này	like
dàpò	thay thế chúng	mix
dá	tạo	intervene
dágbó	tuổi già	forest
dájó	ổn thỏa	pass judgement
dálóríi	cảm ơn bạn	about
dáradára	tốt	well
dásà	một chiếc áo choàng	peculiar way of saying
dáwó	tặng	undertake
dé	đã đến	reach
délànà	về nguyên tắc	delana
dépò	đến mức	to a position
dì	tấm	be
dìde	nảy sinh	stand
dìró	phía bên phải	hang on
dìtẹ̀	âm mưu	rebel
díè	bẩn quá	few
dóko	tốt	upstanding
dólà	tốt	dollar
dún	âm thanh	sound
dúró	đứng	stand (been in existence)
dọ́gba	công bằng	equal
ea	đúng	ea
eba	eba	shore
ebi	gia đình	family
ecomog	sinh thái	ecomog
ede	ngôn ngữ	language
efrem	hiệu ứng	efrem
egba	chắc chắn rồi	cane
egbe	súng	group
egberundun	một nghìn năm	a thousand year
egbo	một vết thương	brother
egbé	khốn	party
egbò	một vết thương	chemicals
egbògi	y khoa	don't know this
eighteen	mười tám	ejidinlogun
eka	phức tạp	branch, department, part
ekeji	cai khac	second
eko	giáo dục	lagos
elede	lợn	speaker
eleyi	điều này	this
eleyii	như thế này	this
elláda	sự sáng tạo	ellada
eléde	trừu tượng	pig
eléré	lực sĩ	performer
elòmírà	rong biển	freedom
elòmíràn	khác	another person
emerging	mới nổi	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	tất cả mọi người	whoever
enter	đi vào	wole
enì	con voi	person
eníbá	sốt	such person
epa	đậu phụng	groundnut
ernst	ernst	ernst
erofo	trầm tích	swamp
erékùsù	đảo	island
eréonítàn	từ viết tắt	written play
eseese	biểu đồ	step by step
esia	đang đến	asia
esteri	esteri	ester
etisalat	etaluat	etisalat
etymologiae	từ nguyên	etymologiae
etíòkun	bờ biển	beach
euro	euro	euro
euroasia	đồng euro	uro-esia
ewe	lá cây	ewe
ewé	lá cây	leaf
ewì	thơ	traditional poem
example	thí dụ	apere
eya	thể loại	tribe
eyin	trứng	previous
eyonomba	eyonomba	digit
eléja	đánh bắt cá	fisherman
elòmíràn	một người nào khác	another person
eka	hiệu ứng	branches
eléyàmèyà	dân tộc	tribalism
enu	mồm	mouth
esin	tôn giáo	horse
esè	tiền thu được	leg
ewà	hạnh kiểm	beauty
fagile	hủy bỏ	cancel
fail	thất bại	padanu
fan	quạt	spread
faramó	tuân thủ	accept
faranse	người pháp	french
farsi	nghệ nhân	farsi
felifeli	nhung	fuming
ferde	ferde	verde
fesèmúlè	nguồn tạm thời	established
fe	muốn	want
fi	tiết kiệm	by
fifihan	hiển thị	revealed
