$	usd	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;smags&gt;	mend
<நிரை>	&lt;row&gt;	hirsels
<நேர்>	&lt;persona&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	|	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	α	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	ja hvin	a chemaical name
அ	a	a
அ.கே.கே	buj	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	infrasarkanais	dark red
அகதிகள்	bēgļi	refugees
அகத்தியர்	gudrais	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	agams	inside
அகர	alfabētiski	alphabetically
அகரமுதலி	wiktionary	alphabets
அகரம்	agaram	agaram, a dictionary
அகரவரிசை	alfabētiski	alphabet
அகராதி	vārdnīca	dictionary
அகராதிகள்	vārdnīcas	alphabets
அகற்ற	likvidēt	remove
அகற்றி	noņemts	destroy
அகலம்	platums	width
அகலாங்கு	latitude	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	augusts	aghastas
அகிம்சை	nevardarbība	ahimsa, and non violence
அகில	visi	all india
அகிலத்தின்	starptautiskā	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	starptautiskā	world
அக்கட்சியின்	zimmermans	that party
அக்கறை	rūpes	other side bank
அக்கால	laiks	during those days
அக்காலகட்டத்தில்	periodā	during that time
அக்காலத்தில்	tajā laikā,	at the time
அக்காலத்து	senie cilvēki	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	oktobris	october
அக்பரின்	akbar&#39;s	king
அக்பருக்கு	akbar	to akbar
அக்பரை	akbar	akbar
அக்பர்	akbar	akbar
அங்கமாக	daļa	is a part
அங்கம்	elements	part
அங்காரா	ankara	ankara
அங்கிருந்த		there
அங்கிருந்து	no turienes	approve
அங்கீகரிக்கப்பட்ட	pilnvarots	authorised
அங்கீகாரம்	autentifikācija	recognition
அங்கு	tur	there
அங்குள்ள		on that
அங்கூர்	ankur	angur
அங்கே	tur	there
அசல்	oriģināls	original
அசாதாரண	ārkārtas	extraordinary
அசாம்	assam	assam
அசினின்	kā	asin
அசின்	drukāt	asin
அசோகர்	ašokā	the king asoka
அச்	drukāt	that
அச்சகம்	nospiediet	press
அச்சின்	drukāt	axis of
அச்சில்	drukāt	in axis
அச்சு	drukāt	axis
அச்சுப்	drukāt	print
அஜித்	ajith	ajith a name
அடக்கம்	apbedīts	included
அடக்கும்	supresors	contains
அடங்கிய	kas satur	consisting, based
அடங்கியுள்ள	sastāvā	with
அடங்கியுள்ளது	sastāvā	contains
அடங்கியுள்ளன	ietilpst	included
அடங்குகின்றன	tajos ietilpst	included
அடங்கும்	ietilpst	included
அடங்குவர்	ieskaitot	including
அடர்த்தி	blīvums	volume
அடர்த்தியான	biezais	dark
அடி	solis	feet
அடிகள்	pakāpieni	hits
அடிக்கடி	bieži	often
அடிக்குறிப்புகளும்	kājenes	footnotes
அடிப்படை	pamata	fundamental
அடிப்படைகள்	pamati	fundamentals
அடிப்படைக்	pamata	fundamentally
அடிப்படைத்	pamata	fundamentally
அடிப்படைப்	pamata	basic of
அடிப்படையாகக்	ieslēgts	based on the
அடிப்படையாகும்	ir fundamentāls	is the fundamental
அடிப்படையான	pamata	fundamentally
அடிப்படையிலான	balstīts	basics
அடிப்படையிலும்	pamats	fundamentals
அடிப்படையிலேயே	pamatā	basically
அடிப்படையில்	būtībā	fundamentally
அடிமை	atkarīgais	slave
அடிமைகளாக	verdzība	like slaves
அடிமைகள்	vergi	slaves
அடியில்	zem	under
அடுக்கு	slānis	layer
அடுக்குகளில்	slāņos	layer
அடுக்குகள்	slāņi	outer layers
அடுத்த	nākamais	next
அடுத்தடுத்த	secīgi	next to next
அடுத்ததாக	nākamais	next after
அடுத்தபடியாக	nākamais	after
அடுத்து	nākamais	next
அடைகிறது	sasniedz	is
அடைந்த	sasniegts	got
அடைந்தது	sasniegts	reach
அடைந்தன	sasniegts	is reached
அடைந்து	sasniegts	reached
அடைய	sasniedziet	attain
அடையாளங்களை	identitātes	identities
