aajo	bema&#39;ni	hospitality
aala	chegara	border
aanu	rahm-shafqat	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	falaj	fasting
abala	qismi	division
abeikojopo	merosxo&#39;r	subset
abeorile	uyga qaytish	nation
abesahara	sepmoq	under the sahara
abidi	alifbo	abidi
abidjan	har doim	abidjan
abo	nazokatli	security
aburunmu	bizning jirkanchligimiz	reduced in value, diminished
abálájo	tajribali	that is why
abé	igna	under
abínibí	millati	inborn
abúléko	qishloq	village
accra	accra	accra
adaba	qulay	factor
adabaye	hammasi joyida	previously-existing
adarihunrun	tozalovchi	human
addis	qo&#39;shadi	addis
adeda	tabiat	creator
adiokan	yakka	stubbornness
adágbà	oqsoqol	adagba
adúgbò kútò	ko&#39;chada qo&#39;shnilar	kuto area
adúgbò mókóla	mukola shilliq qavati	mokola area
adúgbò quarry	karerning qo&#39;shnilari	neighborhood
adúgbò ìdí	mahalla sabablari	area
afida	oila	element
afomo	misol uchun	cleansing
afoyemo	tezis	abstract
africa	afrika	africa
african	afrika	ara afrika
africans	afrikaliklar	africans
aféfé	shamol tegirmoni	air
agba	bo&#39;yamoq	principal
agbado	makkajo&#39;xori	maize
agbara	quvvat	power
agbaye	dunyo	world
agbeinadie	qishloq xo&#39;jaligi erlari	semi-conductor
agbà	kattalar	adult
agbàbò	himoyachi	adopted child
agbára	quvvat	power
agbéiná	o&#39;t o&#39;chiruvchi	conductor
agio	yig‘lamoq	agio
aintimulo	aintimulo	un-exploited
aisi	etishmasligi	lack
ajagun	it	ajagun
aje	iqtisodiyot	trade
ajemoroyin	so&#39;roq qilish	reporting
ajibola	kun tartibi	ajibola
ajo	sayohat	firms
ajoro	sayohat	discussion
ajọra	nusxa	resemblance
akiidah	korida	(non-standard yoruba, this maybe from benin)
akinpelu	artilleriya	akinpelu
akokolo	davri	period
akole	biz qila olmaymiz	title
akoni	bizda yo&#39;q	teacher
akopa	birinchi navbatda	participant
akopo	jamlama	assembly
akátá	chakalak	african american
akíkanjú	jasur	courageous
akíngbógun	batalyon	akingbogun
akẹ́kọ̀ọ́	talaba	students
ala	pastga	limit
alaabo	nogiron	protection
alaadanida	nomaqbul	individual
alaafia	tinchlik	peace
alaafin	noqonuniy	alaafin
aladaani	xususiy	privately-owned
aladani	xususiy	self-owned
aladanida	o&#39;zboshimchalik bilan	private
alaidogba	muvozanatsiz	unequal
alaigbara	qaytarib bo&#39;lmaydigan	neutron
alaini	muhtoj	the poor
alakitiyan	faol	activist
alakobere	ajam	primary
alalaye	tuproqli	explanatory
alawose	folbinlik	mentor
albany	albany	albany
albert	albert	albert
alexandra	aleksandra	alexandra
alicia	alisiya	alicia
allāh	allohim	allah
alominira	mustaqillik	independent
alpha	alfa	alpha
alubàbá	otasi	drummer
alukuraani	qur’on	quran
alumoni	shifobaxsh	minerals
alumíníọ̀mù	alyuminiy	aluminium
alákọ̀bẹ̀rẹ̀	tashabbuskori	primary education
alápapò	almashtirish	general
alátise	rassom	alatise
aláyèwò	tekshiruvchi	expert
aláísàn	kasal	the sick
alúwo	portlash	traditional cults
alọ́po	hamyon	tied
amazonas	amazonka	amazonas
americas	amerikaliklar	americas
amerika	amerika	america
amojeoyipada	ayirboshlanadigan	reform
amosi	masjid	amos
améríkà	amerikalik	america
améríkà	amerikalik	america
an	an	him
anabi	payg&#39;ambar	prophet
anc	eski	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	janubi	southern
apaguusuilaorun	janubi-g&#39;arbiy	south-western
apaguusuiwoorun	janubi-g&#39;arbiy	part of the south
apailaorun	quyosh chiqishi	east side
apaiwoorun	g&#39;arbiy	eastern side
aparapo	birikmasi	confederation
apeja	baliqchi	fisherman
apeere	misol uchun	example
apis	apis	apis
apòmù	apron	apomu
apẹ̀rè	apron	example
arabu	arab	arab
aralíle	tropik	healthy body
arinkankan	bunisi	nationalist
ariso	aris	oral tradition
ariwaarin	o&#39;rta sharq	mid-north
