$	dollarni tashkil etadi	dollars
<	&lt;	<
 г	d	y. (year)
 година	yil	year
 €	€	euro
­	­	-
°	°	degrees
°с	° s	degree celsius
π	π	pi
φ	φ	f
а	a	a
абдикира	bekor qiladi	abdicate
абридж	qisqartirish	abridge
абритус	abritus	abrittus
абсолютна	mutlaq	absolute
абсолютно	mutlaqo	absolutely
абу	abu	abu
абълин	abulin	ablin
аварията	baxtsiz hodisa	breakdown
август	avgust	august
авиация	aviatsiya	aviation
авив	aviv	aviv
австралия	avstraliya	australia
австрийска	avstriya	austrian
австрия	avstriya	austria
австроунгария	avstriya-vengriya	austria-hungary
автобуси	avtobuslar	buss
автогара	avtobus bekati	bus station
автомагистрала	avtomagistral	motorway
автоматично	avtomatik ravishda	automatic
автомобил	mashina	automobile
автомобила	mashina	car
автомобили	avtomobillar	automobiles
автомобилите	avtomobillar	cars
автономен	avtonom	self-governing
автономия	avtonomiya	autonomy
автономна	avtonom	autonomous
автономни	avtonom	autonomous
автор	muallif	author
автора	muallif	author
автори	mualliflar	authors
авторите	mualliflar	the autors
авторитет	hokimiyat	authority
авторитета	hokimiyat	authority
авторски	mualliflik huquqi	author's
авторът	muallif	author
ага	ha	agha
агамемнон	agamemnon	agamemnon
агент	agent	agent
агенти	agentlar	agents
агенция	agentligi	agency
агенцията	agentligi	the agency
агрипина	agrippina	agrippina
ад	dan	ad
адам	odam	adam
адаптация	moslashish	adaptation
адекватно	etarli darajada	adequate
административен	ma&#39;muriy	administrative
административна	ma&#39;muriy	administrative
административната	ma&#39;muriy	the administrative
административни	ma&#39;muriy	administrative
административните	ma&#39;muriy	administrative
административно	ma&#39;muriy	administrative
администрация	ma&#39;muriyati	administration
администрацията	ma&#39;muriyati	administration
адолф	adolf	adolf
адрес	manzili	address
адреси	manzillari	addresses
адрианопол	adrianople	adrianopol
адриатическо	adriatik	adriatic
аз	men	i
азбука	alifbo	alphabet
азбуката	alifbo	alphabet
азбуки	alifbolar	alphabets
азбучен	alifbo tartibida	alfabetic
азербайджан	ozarbayjon	azerbaijan
азид	azid	azide
азис	azis	azis
азия	osiyo	asia
азот	azot	nitrogen
азотът	azot	nitrogen
айлънд	orol	island
айнщайн	eynshteyn	einstein
айнщайний	eynshteyn	ainsteinium
айрес	havolar	aires
айсберг	aysberg	iceberg
айфеловата	eyfel	eiffel
ак	ak	ak
акад	akad	prof.
академик	akademik	academician
академия	akademiyasi	academy
академията	akademiyasi	academy
ако	agar	if
акт	harakat qilmoq	act
активен	faol	active
активи	aktivlar	assets
активите	aktivlar	assets
активна	faol	active
активната	faol	active
активни	faol	active
активните	faol	active
активно	faol	actively
активност	faoliyat	activity
активността	faoliyat	activity
актове	harakat qiladi	acts
актриса	aktrisa	actress
актриси	aktrisalar	actresses
актуална	joriy	current
актьор	aktyor	actor
актьори	aktyorlar	actors
ал	al	al
албания	albaniya	albania
албански	alban	albanian
албанци	albanlar	albanians
албена	albena	albena
алберт	albert	albert
албум	albom	album
албума	albom	album
албуми	albomlar	album
