$ tỉ	বিলিয়ন ডলার	$ billion
abc	অ আ ক খ	abc
abdul	আবদুল	abdul
abkhazia	আবখাজিয়া	a name
about	সম্পর্কিত	about
abraham	আব্রাহাম	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	হিসাব	account
aceh	aceh	(proper noun) aceh
achilles	অ্যাকিলিস	achilles
acia	acia	acia
acid	অ্যাসিড	acid
ada	ada	ada
adams	অ্যাডামস	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	এডিএন	adn
adobe	রৌদ্রপক্ব ইষ্টক	adobe
adrian	আদ্রিয়ান	(proper noun) adrian
adsl	adsl- এর	adsl
advanced	অগ্রসর	advanced
aedes	এডিস	aedes
aegypti	ইজিপ্টি	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	এএফসি	afc
aff	aff	aff
afghanistan	আফগানিস্তান	afghanistan
africa	আফ্রিকা	(proper noun) africa
african	আফ্রিকান	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	আগাসি	agassi
ai	who	who
ailen	আইরিশ	ailen
aim	লক্ষ্য	aim
air	বায়ু	air
airbus	বিমান	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	হ্যালো	ako
al	আল	al
alabama	আলাবামা	alabama
alaska	আলাস্কা	alaska
albania	আল্বেনিয়া	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	আলবার্ট	(proper noun) albert
alberto	আলবার্তো	(proper noun) alberto
albion	ইংলণ্ড	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	সাদা	albus
alexa	আলেক্সা	alexa
alexandra	আলেকজান্দ্রা	alexandra
alexandria	আলেক্জান্দ্রি়া	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	আলফ্রেড	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	আলী	ali
alice	এলিস	this is a name
allan	অ্যালান	(proper noun) allan, as in edgar allan poe
allen	অ্যালেন	(proper noun) allen
allmusic	allmusic	allmusíc
alois	অ্যালোয়িজ্	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	আল্প্স	alps
altai	আলতাই	altai
always	সর্বদা	luon luon
amaravati	amaravati	amaravati
amazon	নারী-সৈনিক	amazon
amdo	amdo	(proper noun) amdo
ame	আমে	ame
ami	আমি কি	ami
amiens	amiens	amiens
amin	amine	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	অ্যামোনিয়া	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	একটি	"(should be ""an toàn"") safe"
anand	আনন্দ	anand
anata	anata	anata
anatolia	আনাতোলিয়া	anatolia
andalusia	আন্দালুসিয়া	andalusia
andaman	আন্দামান	andaman
anderson	অ্যান্ডারসন	anderson
andes	আন্দিজ	andes
andorra	এ্যান্ডোরা	andorra
andrew	অ্যান্ড্রু	andrew
andré	আঁদ্রে	andre, as in andre morval
andy	অ্যান্ডি	(proper noun) andy, as in andy warhol
anfield	অ্যানফিল্ডে	anfield
ang	আগে	ang
angkor	আংকর	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	ভাই	english
anhmỹ	ব্রিটিশ	"(term should be ""anh mỹ"") english or american"
anhpháp	ইংরেজি, ফরাসি	england-france
ankara	আঙ্কারা	ankara
ankyl	ankyl	ankly
anna	আনা	anna
annam	আন নাম	a name the way french called middle vietnam as a colony
annan	আন্নান	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	এন্থনি	anthony
antigua	অ্যান্টিগুয়া	(proper noun) antigua
anton	আন্তন	anton
antonov	antonov	antonov
any	কোন	any
anđêhít	এ্যাল্ডেহাইড	aldehydes
ao	পুকুর	pond
aotearoa	aotearoa	aotearoa
apollo	অ্যাপোলো	apollo
apple	আপেল	apple
aquinas	অ্যাকুইনাস	a name
arab	আরব	(proper noun) arab
archetypal	আদিরূপাত্মক	archetypal
archive	সংরক্ষণাগার	archive
arctan	arctan	a function
ares	ares	ares
argentina	আর্জিণ্টিনা	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	অ্যারিস্টট্ল	aristotle
arizona	অ্যারিজোনা	arizona, as in the state
ark	সিন্দুক	ark
arkansas	আরকানসাস	arkansas
arlington	আর্লিংটন	(proper noun) arlington
armenia	armenian	(proper noun) armenia
armstrong	আর্মস্ট্রং	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	আর্নল্ড	arnold
arsenal	সহায়	arsenal
artemis	আর্টেমিসের	(proper noun) artemis, the greek goddess of the hunt
aruba	আরুবা	aruba
arunachal	অরুনাচল	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	উচ্চক্রমে	asc
ash	ছাই	a name
ashikaga	ashikaga	ashikaga
ashley	অ্যাশলে	(proper noun) ashley
asia	এশিয়া	asia
asm	এ এস এম	asm
asoka	অশোক	asoka
association	সংঘ	association
assyria	আশেরিয়ার	assyria
aston	অ্যাস্টন	(proper noun) aston, as in aston villa
atkinson	অ্যাটকিনসন	atkinson
atlanta	আটলান্টা	atlanta
atlantic	আটলান্টিক	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	শ্রুতি	audition
auflage	auflage	auflage
auguste	অগাস্ট	auguste
australia	অস্ট্রেলিয়া	(proper noun) australia
austria	অস্ট্রিয়া	(proper noun) the country of austria
austrian	অস্ট্রি়াবাসী	austrian
avar	avar	a name
aviation	বিমানচালনা	aviation
awad	আওয়াদ	awad
award	পুরস্কার	award
axit	অ্যাসিড	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	আজেরবাইজান	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	পিতা	three
babylon	ব্যাবিলনের	babylon
bacon	বেকন	bacon
baden	baden	baden
baghdad	বাগদাদ	(proper noun) baghdad
bago	bago	bago
bahamas	বাহামা	bahamas
bahrain	বাহরাইন	bahrain
baháí	বাহাই	bahai
balearic	বেলারিক	balearic
bali	বালি	bali
balkan	বলকান	(proper adjective) balkan
balkans	বালকানস	balkans
ballard	ব্যালার্ড	ballard
bamar	bamar	bamar
ban	নিষেধাজ্ঞা	the
bang	ঠুং	state
banh	বল	ball
banner	পতাকা	banner
bantam	bantam	bantam
bantu	তু নিষিদ্ধ	bantu
bao	ছালা	bao giờ= ever
barack	বারাক	barack
barak	বারাক	barak
barbados	বার্বাডোস	(proper noun) barbados
barbara	বারবারা	barbara
barbary	বার্বার	barbary
barca	বার্সার	barca
barnes	বার্নস	barnes
barone	barone	barone
baroque	বারোক	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	বার্সার	(proper noun) barca
base	ভিত্তি	base
basel	basel	basel, a city in switzerland
basil	পুদিনা	basil
baskervilles	baskervilles	baskervilles
bass	খাদ	bass
bator	বাতোর	bator
battambang	ব্যাটামবং	battambang
bauer	বাউইর	bauer
bay	মাছি	"(should be ""tuyến bay"") an airline"
bayern	বায়ার্ন	bayern
bazan	অগ্নিয়গিরিজাত শিলা	basalt (n.)
bazơ	মৌলিক	base
bb	বেড এন্ড ব্রেকফাস্ট	bb
bbc	বিবিসি	bbc
