$	ps	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ	una	a
అంకారా	ankara	ankara
అంకితం	dedicado	dedicated
అంకురార్పణ	iniciativa	start
అంకె	número	digit
అంకెల	dígito	numbers
అంకెలను	dígitos	digits
అంకెలు	dígitos	numerics
అంగదుని	angad	during the period of angadh
అంగారక	marte	mars
అంగారకుడిపై	angarakudipai	on mars
అంగాలు	único	parts
అంగిలి	el paladar	angali
అంగీకరించరు	aceptar	accept
అంగీకరించలేదు	aceptado	did not accept
అంగీకరించారు	aceptado	agreed
అంచనా	estimado	estimate
అంచనాల	estimados	estimates
అంచనాలు	predicciones	estimates
అంజలి	anjali	anjali
అంటాం	llamado	speaken
అంటాడు	dice	he says
అంటారు	es	tell
అంటార్కిటికా	antártida	antarctica
అంటుంటారు	referido a	tell
అంటున్నారు	dice	telling
అంటూ	ahí	say
అంటే	qué	it menns
అండ	apoyo	shelter
అండమాన్	andaman	andaman
అండ్	y	and
అంత	yo	that much
అంతం	final	end
అంతకంటే	más	earlier
అంతకు	más temprano	then
అంతగా	mucho	so much
అంతటా	en todo	all over
అంతటి	encima	famous
అంతటితో	en ese punto	with that
అంతము	final	end
అంతరించిన	extinto	ending
అంతరిక్ష	espacio	space
అంతర్	enterrar	inter
అంతర్గత	interno	seeply
అంతర్జాతీయ	internacional	international
అంతర్జాతీయంగా	internacionalmente	antarjateeyam
అంతర్జాలం	internet	internet
అంతర్జీవ	antarjiva	inside water
అంతర్భాగం	el interior	internal earth
అంతర్ముఖం	interfaz	interface
అంతర్యుద్ధం	guerra civil	battle
అంతర్వేది	enterrar	anthervedi(place name)
అంతస్తుల	historia	stories
అంతా	todo	all
అంతిమ	el final	end
అంతిమంగా	finalmente	at last
అంతే	eso es	thats it
అంతేకాక	y	not only that
అంతేకాదు	los	thats not
అంతేగాక	más lejos,	not only this
అంత్య	final	last
అందం	belleza	beauty
అందంగా	bonita	beautifully
అందకుండా	prohibir	not reachable
అందమయిన	hermoso	beautiful
అందము	guapo	beautiful
అందమైన	hermoso	beautiful
అందరి	todo el mundo	of all
అందరికి	todas	to everybody
అందరికీ	todo el mundo	for everyone
అందరినీ	todas	all
అందరు	todas	all
అందరూ	todas	all
అందానికి	belleza	to beauty
అందాల	belleza	beauty
అందించడం	proporcionar	giving to
అందించాడు	previsto	given
అందించారు	previsto	has given
అందించింది	previsto	gave
అందించిన	previsto	provided
అందించే	oferta	giving
అందిన	recibo	received
అందిస్తాయి	oferta	gives
అందిస్తారు	oferta	provided
అందిస్తుంది	ofertas	gives
అందిస్తున్నాయి	oferta	providing
అందుకని	como tal,	thats way
అందుకనే	por qué	because
అందుకు	los	thats way
అందుకున్నాడు	recibido	received
అందుకున్నారు	recibido	taken
అందుకే	por qué	thats way
అందుచేత	por lo tanto	so that
అందునా	dentro	in that
అందుబాటులో	disponible	available
అందుబాటులోకి	disponible	nearer
అందురు	conocido	all
అందువలన	por lo tanto	because of that
అందువల్ల	por lo tanto	because
అందువల్లనే	por lo tanto,	that is why
అంపైర్	árbitro	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	ambedkar	ambedkar
అంశం	articulo	topic
అంశాన్ని	articulo	the subject
అంశాల	artículos	subjects
అంశాలను	artículos	things
అంశాలపై	en	issues
అంశాలు	artículos	parts
అకరణీయ	racional	rational
అకస్మాత్తుగా	repentinamente	suddenly
అకాంథేసి	akanthesi	acantaceae
అకాడమీ	academia	academy
అకారాది	léxico	alphabatical order
అకృత్యాలు	negligencia	cases
అక్క	hermana	sister
అక్కడ	ahí	there
అక్కడకు	ahí	there
అక్కడక్కడా	dispersado	some places
అక్కడి	los	that place
అక్కడికి	ahí	there
అక్కడినుండి	desde allí	that place
అక్కడే	ahí	there
అక్కినేని	akkineni	akkineni
అక్క్రీషణ్	acreción	accretion disk
అక్టోబరు	octubre	october
అక్టోబర్	octubre	october
అక్బరు	akbar	akbar
అక్బర్	akbar	akbar
అక్షర	personaje	letter
అక్షరం	alfabeto	letter
అక్షరమాల	alfabeto	alphabets
అక్షరాల	letras	letters
అక్షరాస్యత	literatura	literacy
అఖండ	intacto	great
అఖిల	todas	all
అగస్త్యుడు	agastya	agasthyudu
అగ్గిపుల్ల	partido	matchstick
అగ్ని	fuego	fire
అగ్నికి	fuego	for fire
అగ్నిపర్వత	volcánico	volcano
అగ్నిపర్వతం	volcán	mountains
అగ్నిపర్వతములు	volcanes	volcanos
అగ్నిపర్వతాల	volcanes	volacano mountains
అగ్నిపర్వతాలు	volcanes	volcanos
అగ్ర	parte superior	top
అగ్రచర్వణకాలు	agracarvanakalu	agracharvanakaalu
అగ్రశ్రేణి	parte superior	topline
అచ్చంపేట	accampeta	acchampet
అచ్చమ్మ	accamma	achhamma
అచ్చుతో	vocal	with a vowel
అజయ్	ajay	ajay
అజర్‌బైజాన్	azerbaiyán	ajarbaijan
అటవీ	silvicultura	gungle
అటు	los	other side
అటువంటి	tal	like that
అటూ	ligeramente	that side
అట్టి	tal	such
అట్లాంటిక్	atlántico	atlantic
అడవి	bosque	forest
అడవిలో	bosque	forest
అడవులకు	bosque	to the jungle/forest
అడవులలో	en la naturaleza	in forests
అడవులు	los bosques	forests
అడిగాడు	preguntó	asked
అడిగి	pose	ask
అడిగిన	preguntó	asked
అడిగే	preguntó	ask
అడుగు	pie	ask
అడుగున	debajo	below
అడుగులు	pie	steps
అడోబీ	adobe	aadobi
అడ్డం	barricada	across
అడ్డంకులు	barreras	blockades
అడ్డంగా	horizontalmente	obstracle
అడ్డు	fila	came in between
అణు	nuclear	anu
అణుధార్మికత	radiación	radiation
అణువు	átomo	molecule
అణువుల	moléculas	atom's
అణువులు	moléculas	anuvulu
అణ్వస్త్ర	nuclear	nuclear
అణ్వాయుధ	armas nucleares	nuclear weapons
అతడు	él	him
అతడ్ని	él	him
అతని	su	his
అతనికి	a él	him
అతనితో	con él	calling him
అతనిని	él	him
అతను	él	thar person
అతన్ని	él	him
అతి	lo mas	ati
అతిగా	comer en exceso	over
అతిధి	invitado	guest
అతిపెద్ద	más grande	athipeddha
అతిముఖ్యమైన	el más importante	very important
అతివాద	extremista	over arguing
అతివేగంగా	el más rápido	with high speed
అతిశయోక్తి	exagerado	athisayokthi
అతిశీతల	frío	very
అతీతంగా	más allá	different
అత్త	tía	mother-in-law
అత్యంత	los	special
అత్యధిక	más alto	majority
అత్యధికంగా	más	very importantly
అత్యధికులు	la mayoría de	superiors
అత్యల్ప	más bajo	least
అత్యవసర	emergencia	very important
అత్యవసరం	esencial	much needed
అత్యాధునిక	sofisticado	latest
