aajo	gülünc	hospitality
aala	haşiyə	border
aanu	şəfqət	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	iflic	fasting
abala	hissə	division
abeikojopo	varis	subset
abeorile	evə qayıdır	nation
abesahara	səpmək	under the sahara
abidi	əlifba	abidi
abidjan	heç	abidjan
abo	qadın	security
aburunmu	hisslərimiz	reduced in value, diminished
abálájo	təcrübəli	that is why
abé	iynə	under
abínibí	milliyyət	inborn
abúléko	kənd	village
accra	akkra	accra
adaba	əlverişlidir	factor
adabaye	yaxşı	previously-existing
adarihunrun	təmiz	human
addis	addis	addis
adeda	təbiət	creator
adiokan	tək	stubbornness
adágbà	ağsaqqal	adagba
adúgbò kútò	küçədəki qonşular	kuto area
adúgbò mókóla	mukoza mukozası	mokola area
adúgbò quarry	karxana qonşuları	neighborhood
adúgbò ìdí	qonşuluq səbəbləri	area
afida	ailə	element
afomo	misal üçün	cleansing
afoyemo	tezis	abstract
africa	afrika	africa
african	afrika	ara afrika
africans	afrika	africans
aféfé	yel dəyirmanı	air
agba	çəkmək	principal
agbado	qarğıdalı	maize
agbara	güc	power
agbaye	dünya	world
agbeinadie	əkinçilik ərazisi	semi-conductor
agbà	bir yetkin	adult
agbàbò	qoruyucu	adopted child
agbára	güc	power
agbéiná	yanğınsöndürən	conductor
agio	ağlamaq	agio
aintimulo	aintimulo	un-exploited
aisi	çatışmazlığı	lack
ajagun	köpək	ajagun
aje	iqtisadiyyat	trade
ajemoroyin	dindirmə	reporting
ajibola	gündəliyi	ajibola
ajo	səyahət etmək	firms
ajoro	səyahət etmək	discussion
ajọra	replika	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artilleriya	akinpelu
akokolo	dövrü	period
akole	biz edə bilmərik	title
akoni	bizdə yoxdur	teacher
akopa	hər şeydən əvvəl	participant
akopo	tərtib	assembly
akátá	çaqqal	african american
akíkanjú	cəsur	courageous
akíngbógun	batalyon	akingbogun
akẹ́kọ̀ọ́	tələbə	students
ala	aşağı	limit
alaabo	əlil	protection
alaadanida	istenmeyen	individual
alaafia	barış	peace
alaafin	qanunsuz	alaafin
aladaani	özəl	privately-owned
aladani	özəl	self-owned
aladanida	ixtiyari	private
alaidogba	balanssızdır	unequal
alaigbara	qarşısıalınmaz	neutron
alaini	ehtiyaclı	the poor
alakitiyan	aktivist	activist
alakobere	təcrübəsiz	primary
alalaye	torpaq	explanatory
alawose	kehanet	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	müstəqillik	independent
alpha	alfa	alpha
alubàbá	ata	drummer
alukuraani	quran	quran
alumoni	müalicəvi	minerals
alumíníọ̀mù	alüminium	aluminium
alákọ̀bẹ̀rẹ̀	təşəbbüskar	primary education
alápapò	yerdəyişmə	general
alátise	rəssam	alatise
aláyèwò	müfəttiş	expert
aláísàn	xəstə	the sick
alúwo	partlama	traditional cults
alọ́po	cüzdan	tied
amazonas	amazonalar	amazonas
americas	amerika	americas
amerika	amerika	america
amojeoyipada	konvertasiya edilə bilər	reform
amosi	məscid	amos
améríkà	amerika	america
améríkà	amerika	america
an	bir	him
anabi	peyğəmbər	prophet
anc	qoca	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	cənub	southern
apaguusuilaorun	cənub-qərb	south-western
apaguusuiwoorun	cənub-qərb	part of the south
apailaorun	günəş çıxdı	east side
apaiwoorun	qərb	eastern side
aparapo	birləşmə	confederation
apeja	balıqçı	fisherman
apeere	misal üçün	example
apis	apis	apis
apòmù	önlük	apomu
apẹ̀rè	önlük	example
arabu	ərəb	arab
aralíle	tropik	healthy body
arinkankan	bu bir	nationalist
ariso	aris	oral tradition
ariwaarin	orta şərq	mid-north
ariwaguusu	cənub-qərb	north-south
arkansas	arkanzas	arkansas
aroko	bitki örtüyü	composition
aruleyin	salam	carried on the back
arun	xəstəlikdir	disease
aryan	aryan	aryan
