$ tỉ	milyar dolar	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abhazya	a name
about	hakkında	about
abraham	ibrahim	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	hesapları	account
aceh	aceh	(proper noun) aceh
achilles	aşil	achilles
acia	acia	acia
acid	asit	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	kerpiç	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	gelişmiş	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	uçak	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afganistan	afghanistan
africa	afrika	(proper noun) africa
african	afrika	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	kim	who
ailen	ailen	ailen
aim	amaç	aim
air	hava	air
airbus	hava otobüsü	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	ako	ako
al	ark	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	arnavutluk	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	köstek	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	iskenderiye	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	alyan	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpler	alps
altai	altay	altai
always	hep	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amonyak	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	güvenlik	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anadolu	anatolia
andalusia	andalusia	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	sen	english
anhmỹ	anhmy	"(term should be ""anh mỹ"") english or american"
anhpháp	bay fransa	england-france
ankara	ankara	ankara
ankyl	alkil	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anortozit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	herhangi	any
anđêhít	aldehit	aldehydes
ao	gölet	pond
aotearoa	aotearoa	aotearoa
apollo	apollon	apollo
apple	elma	apple
aquinas	aquinas	a name
arab	arap	(proper noun) arab
archetypal	arketip	archetypal
archive	arşiv	archive
arctan	arctan	a function
ares	ares	ares
argentina	arjantin	(proper noun) the south american nation of argentina
argo	argo	argo
arias	aryalar	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristo	aristotle
arizona	arizona	arizona, as in the state
ark	sandık	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	ermenistan	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	tophane	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunaçal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	artan	asc
ash	kül	a name
ashikaga	aşikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asya	asia
asm	asm	asm
asoka	asoka	asoka
association	birleşme	association
assyria	asur	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantik	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	işitme	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	avustralya	(proper noun) australia
austria	avusturya	(proper noun) the country of austria
austrian	avusturya	austrian
avar	avar	a name
aviation	havacılık	aviation
awad	awad	awad
award	ödül	award
axit	asit	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbeycan	(proper noun) azerbaijan
aztec	aztek	aztec, as in the aztec people (adj.)
ba	üç	three
babylon	babil	babylon
bacon	domuz pastırması	bacon
baden	baden	baden
baghdad	bağdat	(proper noun) baghdad
bago	bago	bago
bahamas	bahamalar	bahamas
bahrain	bahreyn	bahrain
baháí	bahai	bahai
balearic	balear	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkanlar	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	bölüm	the
bang	devletler	state
banh	top	ball
banner	afiş	banner
bantam	ufak tefek	bantam
bantu	bantu	bantu
bao	çanta	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	berberi	barbary
barca	barca&#39;nın	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barok	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryonlar	baryon
barça	barça	(proper noun) barca
base	baz	base
basel	basel	basel, a city in switzerland
basil	fesleğen	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	sinek	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	bazalt	basalt (n.)
bazơ	bazlar	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	merkez komitesi	central executive
beat	yendi	beat
beatles	beatles	the beatles
beauty	güzellik	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	arkasında	behind
beijing	pekin	beijing
bel	bel	bel
bell	çan	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	evin en küçüğü	(proper noun) benjamin
bennington	bennington	bennigton
berber	berberi	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	daha iyi	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	bira	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	fatura	(proper noun) bill, as in former president bill clinton
billy	cop	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	nbspbitmap&#39;lerdir	bitmap
biên	kayıt	bien
biếc	lacivert	a bluish-green color (adj.)
biếm	karikatürleri	"(term should be ""biếm họa"") cartoon (n.)"
biến	değişken	other
biếng	tembel	lose interest in
biếu	teklif	present
biều	tabloları ve	bieu
biển	deniz	ocean
biểuthứcđiềukiện	koşulları bilmek	conditional expression
biện	önlemler	"(term should be ""biện pháp"") a method (n.)"
biệt	özel	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	hüzün	blues
bo	bo	a curl, as in a biceps curl exercise
bob	şilin	bob
bobby	aynasız	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemia	bohemia
bolivia	bolivya	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonapart	bonaparte
bong	kabarcık	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boole	(proper adjective) boolean, as in boolean algebra
boom	patlama	boom
boong	güverte	a deck (n.)
boongke	sığınak	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosna	(proper noun) bosnia
botswana	botswana	botswana
bottom	alt	bottom
boulder	aşınmış kaya parçası	boulder
bourbon	burbon	bourbon
boxing	boks	boxing
brain	beyin	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brezilya	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brejnev	brezhnev
brian	brian	a name
bridge	köprü	bridge
britannic	britanya ile ilgili	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	kahverengi	brown
browne	browne	browne
browning	esmerleşme	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brüksel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapeşte	budapest, the capital of hungary
bulgaria	bulgaristan	bulgaria
bulletin	bülten	thong bao
bungary	bulgar	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	boğmak	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	birmanya	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	kürk başlık	busby
bush	çalı	bush
bushy	gür	bushy
buôn	kaçakçılık	commerce
buông	bırak gitsin	to release, to let loose
buýt	otobüs	bus
buốt	düşkün	sharp
buồm	yelken	sail
buồn	üzgün	sad
buồng	dolap	chamber
buổi	gün	session
byzantine	bizans	byzantine
bà	o	woman or lady (n.)
bài	mesajlar	articles
bàn	tablo	table
bàng	kartal	eagle
bành	pack	armchair
bào	hücre	compatriot
bàu	bau	bau
bày	hediyeler	"(term should be ""trưng bày"") to display (v.)"
bác	dayı	doctor
bách	selvi	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	tarikat	to bow (v.)
bám	yapışmak	cling
bán	satmak	sell
báng	krup hastalığı	"(term should be ""phỉ báng"") to defame or slander"
báo	gazete	newspaper (n.)
bát	kâse	eight (n.)
báu	hazine	valuable
bây	şimdi	now
bã	tortu	"(term should be ""buồn bã"") sad (adj.)"
bãi	park	beach
bão	fırtına	storm
bèn	sonra	then
bé	küçük	baby
bén	keskin	sharp (adj.)
béo	şişman	fat
bên	yan	side
bênh	savundu	advocate
bì	ambalaj	foreskin (n.)
bìa	kapak	cover
bìu	skrotum	sac (n.)
bí	balkabağı	secret
bính	pinyin	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	bíró	biro
bò	inek	beef
bó	küme	bound (adj.)
bói	falcılık	to foretell (v.)
bón	gübre	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	top	sphere or ball
bóp	sıkmak	squeeze
