aajo	ridicule	hospitality
aala	frontière	border
aanu	la compassion	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	paralysie	fasting
abala	la partie	division
abeikojopo	héritière	subset
abeorile	retour à la maison	nation
abesahara	saupoudrer	under the sahara
abidi	alphabet	abidi
abidjan	déjà	abidjan
abo	féminin	security
aburunmu	nos sens	reduced in value, diminished
abálájo	expérimenté	that is why
abé	aiguille	under
abínibí	nationalité	inborn
abúléko	village	village
accra	accra	accra
adaba	pratique	factor
adabaye	d&#39;accord	previously-existing
adarihunrun	nettoyeur	human
addis	addis	addis
adeda	la nature	creator
adiokan	solitaire	stubbornness
adágbà	aîné	adagba
adúgbò kútò	voisins dans la rue	kuto area
adúgbò mókóla	mucola mucosa	mokola area
adúgbò quarry	voisins de carrière	neighborhood
adúgbò ìdí	raisons du quartier	area
afida	la famille	element
afomo	par exemple	cleansing
afoyemo	synopsis	abstract
africa	afrique	africa
african	africain	ara afrika
africans	les africains	africans
aféfé	moulin à vent	air
agba	peindre	principal
agbado	maïs	maize
agbara	puissance	power
agbaye	le monde	world
agbeinadie	les terres agricoles	semi-conductor
agbà	un adulte	adult
agbàbò	protecteur	adopted child
agbára	puissance	power
agbéiná	pompier	conductor
agio	pleurer	agio
aintimulo	aintimulo	un-exploited
aisi	manquer de	lack
ajagun	un chien	ajagun
aje	économie	trade
ajemoroyin	interrogatoire	reporting
ajibola	ordre du jour	ajibola
ajo	voyage	firms
ajoro	voyage	discussion
ajọra	réplique	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artillerie	akinpelu
akokolo	période	period
akole	nous ne pouvons pas	title
akoni	nous n&#39;avons pas	teacher
akopa	tout d&#39;abord	participant
akopo	compilation	assembly
akátá	chacal	african american
akíkanjú	vaillant	courageous
akíngbógun	bataillon	akingbogun
akẹ́kọ̀ọ́	étudiant	students
ala	vers le bas	limit
alaabo	désactivé	protection
alaadanida	indésirable	individual
alaafia	paix	peace
alaafin	illégitime	alaafin
aladaani	privé	privately-owned
aladani	privé	self-owned
aladanida	arbitraire	private
alaidogba	déséquilibré	unequal
alaigbara	irrésistible	neutron
alaini	nécessiteux	the poor
alakitiyan	activiste	activist
alakobere	novice	primary
alalaye	terreux	explanatory
alawose	divination	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	indépendance	independent
alpha	alpha	alpha
alubàbá	père	drummer
alukuraani	coran	quran
alumoni	curatif	minerals
alumíníọ̀mù	aluminium	aluminium
alákọ̀bẹ̀rẹ̀	initiateur	primary education
alápapò	remplacement	general
alátise	artiste	alatise
aláyèwò	inspecteur	expert
aláísàn	malade	the sick
alúwo	boom	traditional cults
alọ́po	portefeuille	tied
