aajo	nacasnimo	hospitality
aala	xadka	border
aanu	naxariis	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	curyaannimo	fasting
abala	qaybta	division
abeikojopo	heiress	subset
abeorile	soo-galitaan	nation
abesahara	saydhis	under the sahara
abidi	alifbeetada	abidi
abidjan	waligaa	abidjan
abo	dhedig	security
aburunmu	karaahiyadayada	reduced in value, diminished
abálájo	khibrad leh	that is why
abé	irbad	under
abínibí	dhalasho	inborn
abúléko	tuulo	village
accra	accra	accra
adaba	ku habboon	factor
adabaye	waa hagaag	previously-existing
adarihunrun	nadiifiye	human
addis	addis	addis
adeda	dabeecadda	creator
adiokan	kelinimo	stubbornness
adágbà	oday	adagba
adúgbò kútò	dariska wadada	kuto area
adúgbò mókóla	xuubka xabka	mokola area
adúgbò quarry	deriska jajaban	neighborhood
adúgbò ìdí	sababaha xaafadaha	area
afida	reerka	element
afomo	tusaale ahaan	cleansing
afoyemo	koorso	abstract
africa	afrika	africa
african	african	ara afrika
africans	afrikaanka	africans
aféfé	mashiinka dabaysha	air
agba	rinjiga	principal
agbado	galley	maize
agbara	awood	power
agbaye	aduunka	world
agbeinadie	dhul beereed	semi-conductor
agbà	qof weyn	adult
agbàbò	ilaaliye	adopted child
agbára	awood	power
agbéiná	dab-damiye	conductor
agio	ooyaya	agio
aintimulo	aintimulo	un-exploited
aisi	la&#39;aanta	lack
ajagun	eey	ajagun
aje	dhaqaalaha	trade
ajemoroyin	weydiin	reporting
ajibola	ajandaha	ajibola
ajo	safarka	firms
ajoro	safarka	discussion
ajọra	beddelaad	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	madaafiicda	akinpelu
akokolo	muddo	period
akole	ma awoodno	title
akoni	ma haysano	teacher
akopa	marka ugu horreysa	participant
akopo	uruurinta	assembly
akátá	dawacada	african american
akíkanjú	xoog leh	courageous
akíngbógun	guuto	akingbogun
akẹ́kọ̀ọ́	arday	students
ala	hoos	limit
alaabo	naafo ah	protection
alaadanida	aan loo baahnayn	individual
alaafia	nabad	peace
alaafin	sharci darro ah	alaafin
aladaani	gaar ahaaneed	privately-owned
aladani	gaar ahaaneed	self-owned
aladanida	sabab la’aan	private
alaidogba	aan isku dheelitirnayn	unequal
alaigbara	aan la xakamayn karin	neutron
alaini	baahan	the poor
alakitiyan	u ololeeya	activist
alakobere	laydin	primary
alalaye	earthy	explanatory
alawose	sixirbararka	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	aliciya	alicia
allāh	allaahh	allah
alominira	madaxbanaanida	independent
alpha	alfa	alpha
alubàbá	aabe	drummer
alukuraani	quraanka	quran
alumoni	daaweyn	minerals
alumíníọ̀mù	aluminium	aluminium
alákọ̀bẹ̀rẹ̀	soo saare	primary education
alápapò	beddelaad	general
alátise	fanaaniinta	alatise
aláyèwò	kormeere	expert
aláísàn	jiran	the sick
alúwo	kacsi	traditional cults
alọ́po	boorso	tied
amazonas	amazonas	amazonas
americas	ameerika	americas
amerika	ameerika	america
amojeoyipada	la bedeli karo	reform
amosi	masaajidka	amos
améríkà	mareykan ah	america
améríkà	mareykan ah	america
an	a	him
anabi	nebiga	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	koonfurta	southern
apaguusuilaorun	koonfur-galbeed	south-western
apaguusuiwoorun	koonfur-galbeed	part of the south
apailaorun	qorrax soo bax	east side
apaiwoorun	galbeed	eastern side
aparapo	isku darka	confederation
apeja	kalluumaysi	fisherman
apeere	tusaale ahaan	example
apis	apis	apis
apòmù	geed	apomu
apẹ̀rè	geed	example
arabu	arab	arab
aralíle	kuleylaha	healthy body
arinkankan	kan	nationalist
ariso	aris	oral tradition
ariwaarin	bariga dhexe	mid-north
ariwaguusu	koonfur-galbeed	north-south
arkansas	arkansas	arkansas
aroko	doogga	composition
aruleyin	haye	carried on the back
arun	cudur	disease
aryan	aryan	aryan
aráa	walaal	people from
arábíà	alifbeetada	arabia
aráròmí	haye	araromi
arópò	laaluush	substitute
arúgbó	gabow	elderly
arọ	curyaan	cripple
asagun	guul	intial, first (referring to the 13 colonies)
ascii	soo hel	ascii
aseeto	dejinta	unfair
aseyori	guul	success
asipa	leexasho	first to kill
assessment	qiimeyn	ayewo
asìko	macno darro	time; ni asiko=when
asèdá	dabiiciga ah	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	la ogolaan karo	from time
atimo	qorshe	inland
atinrin	qosol	thin
atun	dib u noqo	also
atunse	sixitaan	revision
australia	australia	australia
austriahumgary	austriyaumgary	austria-hungary
austronesian	austronesian	austronesian
austríà	australia	austria
avar	avar	avar
awari	daahfurka	discovery
awo	saxanka	of
awonara	shucuur	people of
awoòn	shaxanka	people
awon	iyaga	they
awuruju	sixir	shady
awùjo	xushmad	society
awújẹ	fadeexad	root
aya	aayadda	chest
ayeye	daa&#39;in	celebration
ayàfi	way fiican tahay	only if
ayò	ay	game
azikiwe	dareenka guud	azikwe
aṣòkan	shaqsi	united
baa	waa	be with
babaláwo	waxsheegaha	herbalist
bahrain	bahrain	bahrain
balẹ̀	ha noqdo	settled
bang	bangi	bang
banle	banle	banle
bara	sanadkii la soo dhaafay	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	hadda	like this
bayìí	hadda	this
bce	ka fog	bce
beauharnais	beauharnais	beauharnais
beijing	be beijing	beijing
belarus	belarus	belarus
belgium	belgium	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	keydka	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	soo noqo	bharata
bibeli	kitaabka quduuska ah	bible
biribiri	la jajabiyey	intense
black	madow	dudu
bodies	meydadka	ara
bojú	fiirso	take care
bole	bole	ground
bolt	xabbad	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	buundada	bridgeport
britain	britain	britain
brítánì	ingiriiska	britain
bu	taasi waa	give
buenaventura	buenaventura	buenaventura
bujumbura	ballaariyey	bujumbura
burúkú	shar	bad
by	by	does not translate directly, does not exist
bàbá	aabaha	father
bákannáà	sidoo kale	likewise
bálè	buufin	lying on the ground
bárakú	qabatinka	habitual
báyìí	hadda	this
bèrẹ̀	in lagu bilaabo	started
béè	waa sidaa oo kale	than
bòtswánà	baska	botswana
búburú	xun	bad
búrú	geesi noqo	wicked
bẹ̀rẹ̀	si loo bilaabo	started
bẹ́	jabsaday	also
bẹ́ljíọ̀m	beryl	belgium
bẹ́ẹ̀ni	haa	yes
bẹ́ẹ̀sìni	haa	that is it
cairo	xanaaq	cairo
calabar	xanjada	calabar
canaria	kansar	canaria
cape	cape	cape
casablanca	casablanca	casablanca
caslon	khamaarka	caslon
cathedral	cathedral	cathedral (katidral)
catherine	kaabash	catherine
cauchy	caleen	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	gawaarida	charles
chaskalson	chaskalson	chaskalson
chebbi	ka fikir	chebbi
cherished	jecel	mu lokunkundun
china	shiinaha	china
cipollone	cipollone	cipollone
clear	caddee	danmanran
code	koodh	code
coetsee	coetsee	coetese
coloured	midab leh	alawo dudu
coming	soo socda	yo jade
compared	isbarbar dhig	does not directly translate
computers	kumbuyuutaro	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	cunaha	cunha
da	iyo	back; but in this form it is unnecessary
dagbasoke	kori	developing
dandan	qasab	a must
dani	haysta	hand-held
darapo	ku biir	joinedd
daru	burburin	scattered
dates	taariikhaha	pada si
delhi	ha	delhi
denver	diido	denver
des	des	des
describes	sharraxaa	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	horumarin	idagbasoke
didagba	sinnaan	growing
didasile	aasaasid	established
different	kala duwan	iyato
din	shiil	reduced
dinwoju	fiiri	suitable
divoire	divoire	d'ivoire
doju	waji ka waji	face
dojú	waji ka waji	turn face (full phrase is doju ko, to face)
