$	usd	dollarsign
+	+	+
=	=	=
>	&gt;	>
a	a	a
aa	aa	aa
aad	aad	aad
aan	ieslēgts	on
aanbevolen	ieteicams	featured
aanbidden	pielūgt	to worship
aanbieden	piedāvāt	kerstman
aanbod	piedāvājums	offer/ demand
aanbrengen	pieteikties	apply
aandacht	uzmanību	attention
aandeel	daļa	share
aandeelhouders	akcionāriem	shareholders
aandelen	akcijas	shares
aandoening	stāvoklis	ailment
aandoeningen	slimības	sicknesses
aandringen	uzstāt	urge
aanduiding	apzīmējums	indication
aangeboden	piedāvāja	offered
aangeboren	iedzimts	congenital
aangebracht	pielietots	attached
aangedaan	skarto	call in
aangedreven	darbina	driven
aangeduid	norādīts	indicated
aangeeft	norāda	indicates
aangegeven	norādīts	indicated
aangehaald	citēts	quote/ engage
aangekomen	ieradās	arrived
aangekondigd	paziņoja	announced
aangelegd	izklāstīts	applied
aangelegde	labiekārtots	landscaped
aangelegenheden	svarīgi	affairs
aangemerkt	atzīmēts	regarded
aangemoedigd	iedrošināja	encouraged
aangenomen	pieņemts	accepted
aangepast	koriģēts	adapted
aangeraden	ieteicams	recommended
aangesloten	iesprausts	connected
aangesteld	iecelts	appointed
aangetast	skarto	corroded
aangetoond	demonstrēja	shown
aangetroffen	atrasts	found
aangetrokken	piesaistīja	attracted
aangevallen	uzbruka	attacked
aangevoerd	piezemējās	delivered
aangevuld	papildināts	supplemented
aangewezen	izraudzīts	designated
aangezien	kopš	as
aangrenzende	blakus	adjoining
aanhang	sekotāji	followers
aanhanger	piekabe	follower
aanhangers	sekotāji	supporters
aanhoudende	noturīgs	ongoing
aanklacht	apsūdzība	accusation
aankomst	ierašanās	arrival
aankoop	pirkumu	purchase
aanleg	piemērotība	construction
aanleiding	iemesls	occasion
aanloop	uzskriet	run-up
aanmerkelijk	nozīmīgs	considerably
aanmerking	apsvērums	consider
aannemen	ņemt	assume
aanpak	pieeja	approach
aanpassen	pielāgot	adapt
aanpassing	pielāgošana	adjustment
aanpassingen	modifikācijas	adjustments
aanraking	pieskarties	touch
aanslag	uzbrukums	assault
aanslagen	uzbrukumiem	attacks
aansluiten	savienot	join
aansluiting	savienojums	entry
aanspraak	prasība	claim
aanstelling	pieraksts	appointment
aantal	numuru	amound
aantallen	skaitļi	numbers
aantonen	demonstrēt	demonstrate
aantreden	stājies amatā	make entry
aantrekkelijk	pievilcīgs	appealing
aantrekken	piesaistīt	tighten
aantrekkingskracht	piesaiste	attraction
aanvaard	pieņemts	accepted
aanvaarden	pieņemt	accept
aanval	uzbrukums	attack
aanvallen	uzbrukt	attacks
aanvaller	uzbrucējs	attacker
aanvallers	uzbrucēji	attackers
aanvang	pirmsākumi	started
aanvankelijk	vispirms	at first
aanvankelijke	sākotnējais	initial
aanvaring	sadursme	collision
aanvoer	piegādi	landing
aanvoerder	kapteinis	leader
aanvraag	pieteikums	application
aanvulling	papildinājums	addition
aanwezig	klāt	present
aanwezigheid	klātbūtne	presence
aanwijzing	apzīmējums	instruction
aanwijzingen	clues	instructions
aanzet	sākums	onset
aanzien	uzskatīts	appearance
aanzienlijk	nozīmīgs	considerably
aanzienlijke	nozīmīgs	significant
