$	dollar təşkil edib	dollars
<	&lt;	<
 г	d	y. (year)
 година	il	year
 €	€	euro
­	­	-
°	°	degrees
°с	° s	degree celsius
π	π	pi
φ	φ	f
а	a	a
абдикира	imtina edir	abdicate
абридж	qısaltmaq	abridge
абритус	abritus	abrittus
абсолютна	mütləq	absolute
абсолютно	tamamilə	absolutely
абу	abu	abu
абълин	abulin	ablin
аварията	hadisə	breakdown
август	avqust	august
авиация	aviasiya	aviation
авив	aviv	aviv
австралия	avstraliya	australia
австрийска	avstriya	austrian
австрия	avstriya	austria
австроунгария	avstriya-macarıstan	austria-hungary
автобуси	avtobuslar	buss
автогара	avtobus dayanacağı	bus station
автомагистрала	magistral yol	motorway
автоматично	avtomatik olaraq	automatic
автомобил	maşın	automobile
автомобила	maşın	car
автомобили	avtomobillər	automobiles
автомобилите	avtomobillər	cars
автономен	muxtar	self-governing
автономия	muxtariyyət	autonomy
автономна	muxtar	autonomous
автономни	muxtar	autonomous
автор	müəllif	author
автора	müəllif	author
автори	müəlliflər	authors
авторите	müəlliflər	the autors
авторитет	səlahiyyət	authority
авторитета	səlahiyyət	authority
авторски	müəllif hüquqları	author's
авторът	müəllif	author
ага	bəli	agha
агамемнон	agamemnon	agamemnon
агент	agent	agent
агенти	agentlər	agents
агенция	agentlik	agency
агенцията	agentlik	the agency
агрипина	agrippina	agrippina
ад	dən	ad
адам	adəm	adam
адаптация	uyğunlaşma	adaptation
адекватно	adekvat olaraq	adequate
административен	inzibati	administrative
административна	inzibati	administrative
административната	inzibati	the administrative
административни	inzibati	administrative
административните	inzibati	administrative
административно	inzibati qaydada	administrative
администрация	idarəetmə	administration
администрацията	idarəetmə	administration
адолф	adolf	adolf
адрес	ünvanı	address
адреси	ünvanları	addresses
адрианопол	adrianople	adrianopol
адриатическо	adriatik	adriatic
аз	mən	i
азбука	əlifba	alphabet
азбуката	əlifba	alphabet
азбуки	əlifbalar	alphabets
азбучен	əlifba sırası ilə	alfabetic
азербайджан	azərbaycan	azerbaijan
азид	azide	azide
азис	azis	azis
азия	asiya	asia
азот	azot	nitrogen
азотът	azot	nitrogen
айлънд	ada	island
айнщайн	eynşteyn	einstein
айнщайний	eynşteyn	ainsteinium
айрес	havalar	aires
айсберг	aysberq	iceberg
айфеловата	eyfel	eiffel
ак	ak	ak
акад	akad	prof.
академик	akademik	academician
академия	akademiya	academy
академията	akademiya	academy
ако	əgər	if
акт	hərəkət etmək	act
активен	aktivdir	active
активи	aktivlər	assets
активите	aktivlər	assets
активна	aktivdir	active
активната	aktivdir	active
активни	aktivdir	active
активните	aktivdir	active
активно	aktivdir	actively
активност	fəaliyyət	activity
активността	fəaliyyət	activity
актове	fəaliyyət göstərir	acts
актриса	aktrisa	actress
актриси	aktrisalar	actresses
актуална	cərəyan	current
актьор	aktyor	actor
актьори	aktyorlar	actors
ал	əl	al
албания	albaniya	albania
албански	alban	albanian
албанци	albanlar	albanians
албена	albena	albena
алберт	albert	albert
албум	albom	album
албума	albom	album
албуми	albomlar	album
