aajo	löjlig	hospitality
aala	gräns	border
aanu	medkänsla	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	förlamning	fasting
abala	delen	division
abeikojopo	arvtagerska	subset
abeorile	hemkomst	nation
abesahara	stänk	under the sahara
abidi	alfabet	abidi
abidjan	någonsin	abidjan
abo	feminin	security
aburunmu	vår styggedom	reduced in value, diminished
abálájo	erfaren	that is why
abé	nål	under
abínibí	nationalitet	inborn
abúléko	by	village
accra	accra	accra
adaba	bekväm	factor
adabaye	okej	previously-existing
adarihunrun	rengöringsmedel	human
addis	addis	addis
adeda	natur	creator
adiokan	enslig	stubbornness
adágbà	äldre	adagba
adúgbò kútò	grannar på gatan	kuto area
adúgbò mókóla	mukolaslimhinna	mokola area
adúgbò quarry	stenbrott grannar	neighborhood
adúgbò ìdí	grannskapsskäl	area
afida	familjen	element
afomo	till exempel	cleansing
afoyemo	synopsis	abstract
africa	afrika	africa
african	afrikansk	ara afrika
africans	afrikaner	africans
aféfé	väderkvarn	air
agba	måla	principal
agbado	majs	maize
agbara	kraft	power
agbaye	världen	world
agbeinadie	jordbruksmark	semi-conductor
agbà	en vuxen	adult
agbàbò	beskyddare	adopted child
agbára	kraft	power
agbéiná	brandman	conductor
agio	gråta	agio
aintimulo	aintimulo	un-exploited
aisi	brist	lack
ajagun	en hund	ajagun
aje	ekonomi	trade
ajemoroyin	förhör	reporting
ajibola	dagordning	ajibola
ajo	resa	firms
ajoro	resa	discussion
ajọra	kopia	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artilleri	akinpelu
akokolo	period	period
akole	vi kan inte	title
akoni	vi har inte	teacher
akopa	först och främst	participant
akopo	kompilering	assembly
akátá	schakal	african american
akíkanjú	tapper	courageous
akíngbógun	bataljon	akingbogun
akẹ́kọ̀ọ́	studerande	students
ala	ner	limit
alaabo	inaktiverad	protection
alaadanida	oönskade	individual
alaafia	fred	peace
alaafin	olaglig	alaafin
aladaani	privat	privately-owned
aladani	privat	self-owned
aladanida	slumpmässig	private
alaidogba	obalanserad	unequal
alaigbara	oemotståndligt	neutron
alaini	behövande	the poor
alakitiyan	aktivist	activist
alakobere	nybörjare	primary
alalaye	jordnära	explanatory
alawose	spådom	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	oberoende	independent
alpha	alfa	alpha
alubàbá	far	drummer
alukuraani	koranen	quran
alumoni	botande	minerals
alumíníọ̀mù	aluminium	aluminium
alákọ̀bẹ̀rẹ̀	initiator	primary education
alápapò	ersättning	general
alátise	konstnär	alatise
aláyèwò	inspektör	expert
aláísàn	sjuk	the sick
alúwo	bom	traditional cults
alọ́po	plånbok	tied
amazonas	amazonas	amazonas
americas	americas	americas
amerika	amerika	america
amojeoyipada	konvertibel	reform
amosi	moské	amos
améríkà	american	america
améríkà	american	america
an	en	him
anabi	profeten	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	södern	southern
apaguusuilaorun	sydväst	south-western
apaguusuiwoorun	sydväst	part of the south
apailaorun	soluppgång	east side
apaiwoorun	västra	eastern side
aparapo	kombination	confederation
apeja	fiskare	fisherman
apeere	till exempel	example
apis	apis	apis
apòmù	förkläde	apomu
apẹ̀rè	förkläde	example
arabu	arab	arab
aralíle	tropisk	healthy body
arinkankan	den här	nationalist
ariso	aris	oral tradition
ariwaarin	mellanöstern	mid-north
ariwaguusu	sydvästlig	north-south
arkansas	arkansas	arkansas
aroko	vegetation	composition
aruleyin	hallå	carried on the back
arun	sjukdom	disease
aryan	den ariska	aryan
aráa	bror	people from
arábíà	alfabetisk	arabia
aráròmí	hallå	araromi
arópò	bestickning	substitute
arúgbó	gammal ålder	elderly
arọ	lam	cripple
asagun	seger	intial, first (referring to the 13 colonies)
ascii	ta reda på	ascii
aseeto	lösning	unfair
