$	dollar təşkil edib	(dollar sign)
=	=	=
a	a	has
ab	ab	ab
abandon	təslim olmaq	abandonment
abandonne	imtina etmək	abandoned
abandonner	imtina etmək	abandon
abandonné	tərk edilmiş	abandoned
abandonnée	tərk edilmiş	abandoned
abandonnés	tərk edilmiş	abandonned
abc	abc	abc
abd	qarın	abd
abondante	bol	abundant
aborde	toxunuşlar	addresses
aborigènes	aborigenlər	aborigines
abou	abou	abou
about	haqqında	about
abouti	uğurlu	led
aboutir	bacar	lead
aboutit	müvəffəq olur	results
abraham	i̇brahim	abraham
abrite	sığınacaqlar	shelter
absence	yoxluğu	lack of
absent	yox	absent
absolu	mütləq	absolute
absolue	mütləq	absolute
absolument	tamamilə	absolutely
absurde	absurd	absurd
abu	abu	(name)
abus	sui-istifadə	abuse
ac	ac	ac
académie	akademiya	academy
académique	akademik	academical
accepte	qəbul edin	agrees
acceptent	qəbul edin	agree
accepter	qəbul edin	accept
accepté	qəbul edildi	agreed
accessible	əlçatan	accessible
accessibles	əlçatan	accessible
accident	qəza	accident
accidents	qəzalar	accidents
accompagne	müşayiət edir	accompanied
accompagné	müşayiət etdi	accompanied
accompagnée	müşayiət etdi	accompanied
accompagnés	müşayiət etdi	accompanied
accompli	başa çatdırdı	accomplished
accord	tamam	agreement
accorde	qrant	grants
accorder	qrant	to give
accords	akkordlar	agreements
accordé	verilmişdir	provided
accordée	verilmişdir	assigned
accrue	artdı	increased
accueil	ev	welcoming center
accueille	xoş gəldin	welcome
accueillent	xoş gəldin	welcome
accueilli	qarşıladı	welcomed
accueillir	xoş gəldin	welcome
accusations	ittihamlar	charges
accuse	ittiham etmək	accuses
accusé	ittiham olunur	accused
accusés	ittiham olunur	accused
accède	giriş	access
accès	giriş	access
accéder	giriş	access
acdc	acdc	ac/dc (rock band)
ace	ace	ace
acheter	almaq	buy
acheté	alınıb	purchased
achevé	tamamlandı	complete
achevée	tamamlandı	completed
achille	axilles	achille
achromatie	akromatiya	a
achète	almaq	buy
achève	tamamlandı	achieves
acide	turşu	acid
acides	turşular	acidic
acier	polad	steel
aciers	çeliklər	steel
acoustique	akustik	acoustic
acquiert	əldə edir	acquire
acquis	əldə	acquired
acquise	əldə	acquired
acquérir	əldə etmək	acquire
act	hərəkət etmək	act
acte	hərəkət etmək	deed
actes	fəaliyyət göstərir	acts
acteur	aktyor	actor
acteurs	aktyorlar	actors
actif	aktivdir	active
actifs	aktivdir	active
action	fəaliyyət	action
actionnaires	səhmdarlar	shareholders
actions	hərəkətlər	actions
active	aktivdir	active
activement	fəal şəkildə	actively
activité	fəaliyyət	activity
activités	fəaliyyətlər	activities
actors	aktyorlar	actors
actrice	aktrisa	actress
actrices	aktrisalar	actresses
