$ tỉ	milijardu dolara	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abhazija	a name
about	otprilike	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	račun	account
aceh	aceh	(proper noun) aceh
achilles	ahila	achilles
acia	acia	acia
acid	kiselina	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	napredni	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	af	aff
afghanistan	afganistan	afghanistan
africa	afrika	(proper noun) africa
african	afrički	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	szo	who
ailen	irski	ailen
aim	cilj	aim
air	zrak	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	zdravo	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	aleksandrija	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpe	alps
altai	altai	altai
always	uvek	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	amonijak	ammonium (n.)
amphitrite	amfritrit	(proper noun) amphitrite, a greek sea goddess
an	an	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolija	anatolia
andalusia	andaluzija	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andora	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosakson	anglo-saxon
anh	brate	english
anhmỹ	britanski	"(term should be ""anh mỹ"") english or american"
anhpháp	engleski francuski	england-france
ankara	ankara	ankara
ankyl	ankil	ankly
anna	anna	anna
annam	an nam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	bilo koji	any
anđêhít	aldehid	aldehydes
ao	ribnjak	pond
aotearoa	aotearoa	aotearoa
apollo	apolon	apollo
apple	jabuka	apple
aquinas	akvinski	a name
arab	arapski	(proper noun) arab
archetypal	arhetipski	archetypal
archive	arhiva	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arije	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotel	aristotle
arizona	arizona	arizona, as in the state
ark	ark	ark
arkansas	arkanzas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenski	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	pepeo	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	azija	asia
asm	asm	asm
asoka	asoka	asoka
association	udruženje	association
assyria	asirija	assyria
aston	zapanjenost	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantski	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audicija	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australia	(proper noun) australia
austria	austria	(proper noun) the country of austria
austrian	austrijski	austrian
avar	avar	a name
aviation	vazduhoplovstva	aviation
awad	awad	awad
award	nagrada	award
axit	kiselina	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbejdžan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	otac	three
babylon	babylon	babylon
bacon	slanina	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahami	bahamas
bahrain	bahrein	bahrain
baháí	baháí	bahai
balearic	balearski	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkans	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	zabrana	the
bang	prasak	state
banh	lopta	ball
banner	baner	banner
bantam	bantam	bantam
bantu	tu zabrana	bantu
bao	vreća	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbar	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barok	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	barion	baryon
barça	barça	(proper noun) barca
base	baza	base
basel	bazel	basel, a city in switzerland
basil	bosiljak	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	letjeti	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	bazalt	basalt (n.)
bazơ	osnovni	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	tukli	beat
beatles	beatles	the beatles
beauty	ljepota	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	posteljica	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	iza	behind
beijing	peking	beijing
bel	bel	bel
bell	zvono	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedikt	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	bolje	better
betty	betty	betty
bhutan	butan	bhutan
bia	pivo	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	račun	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	rekord	bien
biếc	čajka	a bluish-green color (adj.)
biếm	bezbrižan	"(term should be ""biếm họa"") cartoon (n.)"
biến	napolje	other
biếng	lijen	lose interest in
biếu	odati počast	present
biều	bieu	bieu
biển	more	ocean
biểuthứcđiềukiện	znati uvjete	conditional expression
biện	izvini se	"(term should be ""biện pháp"") a method (n.)"
biệt	izrazito	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	boemija	bohemia
bolivia	bolivija	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	bum	boom
boong	paluba	a deck (n.)
boongke	bunkeri	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnia	(proper noun) bosnia
botswana	bocvana	botswana
bottom	dno	bottom
boulder	balvan	boulder
bourbon	burbon	bourbon
boxing	boks	boxing
brain	mozak	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brazil	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	brian	a name
bridge	most	bridge
britannic	britannic	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	smeđa	brown
browne	browne	browne
browning	smeđe korenje	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	briselu	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bugarska	bulgaria
bulletin	bilten	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	grm	bush
bushy	bujan	bushy
buôn	veleprodaja	commerce
buông	pusti	to release, to let loose
buýt	autobus	bus
buốt	oštar	sharp
buồm	jedriti	sail
buồn	tužan	sad
buồng	soba	chamber
buổi	sesija	session
byzantine	vizantijski	byzantine
bà	baka	woman or lady (n.)
bài	postovi	articles
bàn	stola	table
bàng	orao	eagle
bành	peng	armchair
bào	rendisanje	compatriot
bàu	bau	bau
bày	prezentacija	"(term should be ""trưng bày"") to display (v.)"
bác	stric	doctor
bách	čempres	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	kult	to bow (v.)
bám	prilijepiti	cling
bán	prodati	sell
báng	prasak	"(term should be ""phỉ báng"") to defame or slander"
báo	novine	newspaper (n.)
bát	posuda	eight (n.)
báu	blago	valuable
bây	sad	now
bã	ostatak	"(term should be ""buồn bã"") sad (adj.)"
bãi	dvorišta	beach
bão	oluja	storm
bèn	onda	then
bé	malo	baby
bén	oštar	sharp (adj.)
béo	debeo	fat
bên	strana	side
bênh	bolestan	advocate
bì	pakovanje	foreskin (n.)
bìa	poklopac	cover
bìu	skrotum	sac (n.)
bí	tikvice	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	tikva	biro
bò	krava	beef
bó	gomila	bound (adj.)
bói	sreća	to foretell (v.)
bón	oploditi	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	lopta	sphere or ball
bóp	stisnuti	squeeze
bô	otac	"(term should be ""bôxit"") the mineral bauxite"
bôi	razmazani	to apply (as in oil)
bông	pamuk	flower
bù	šminka	compensate
bùa	amulet	talisman
bùn	blato	mud
