aajo	ridicol	hospitality
aala	frontieră	border
aanu	compasiune	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	paralizie	fasting
abala	partea	division
abeikojopo	moştenitoare	subset
abeorile	homecoming	nation
abesahara	presăra	under the sahara
abidi	alfabet	abidi
abidjan	vreodată	abidjan
abo	feminin	security
aburunmu	urâciunea noastră	reduced in value, diminished
abálájo	cu experienta	that is why
abé	ac	under
abínibí	naţionalitate	inborn
abúléko	sat	village
accra	accra	accra
adaba	convenabil	factor
adabaye	in regula	previously-existing
adarihunrun	curățător	human
addis	addis	addis
adeda	natură	creator
adiokan	solitar	stubbornness
adágbà	mai mare	adagba
adúgbò kútò	vecini în stradă	kuto area
adúgbò mókóla	mucoasa mucoasa	mokola area
adúgbò quarry	vecini de carieră	neighborhood
adúgbò ìdí	motive de vecinătate	area
afida	familia	element
afomo	de exemplu	cleansing
afoyemo	rezumat	abstract
africa	africa	africa
african	african	ara afrika
africans	africani	africans
aféfé	moara de vant	air
agba	a picta	principal
agbado	porumb	maize
agbara	putere	power
agbaye	lumea	world
agbeinadie	teren agricol	semi-conductor
agbà	un adult	adult
agbàbò	protector	adopted child
agbára	putere	power
agbéiná	pompier	conductor
agio	strigăt	agio
aintimulo	aintimulo	un-exploited
aisi	lipsă	lack
ajagun	un caine	ajagun
aje	economie	trade
ajemoroyin	interogare	reporting
ajibola	agendă	ajibola
ajo	voiaj	firms
ajoro	voiaj	discussion
ajọra	copie	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artilerie	akinpelu
akokolo	perioadă	period
akole	nu putem	title
akoni	nu avem	teacher
akopa	primul si cel mai important	participant
akopo	compilare	assembly
akátá	şacal	african american
akíkanjú	viteaz	courageous
akíngbógun	batalion	akingbogun
akẹ́kọ̀ọ́	student	students
ala	jos	limit
alaabo	dezactivat	protection
alaadanida	nedorit	individual
alaafia	pace	peace
alaafin	nelegitim	alaafin
aladaani	privat	privately-owned
aladani	privat	self-owned
aladanida	arbitrar	private
alaidogba	dezechilibrat	unequal
alaigbara	irezistibil	neutron
alaini	nevoiaș	the poor
alakitiyan	activist	activist
alakobere	novice	primary
alalaye	pământesc	explanatory
alawose	divinaţie	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allāh	allah
alominira	independenţă	independent
alpha	alfa	alpha
alubàbá	tată	drummer
alukuraani	coran	quran
alumoni	curativ	minerals
alumíníọ̀mù	aluminiu	aluminium
alákọ̀bẹ̀rẹ̀	iniţiator	primary education
alápapò	înlocuire	general
alátise	artist	alatise
aláyèwò	inspector	expert
aláísàn	bolnav	the sick
alúwo	bum	traditional cults
alọ́po	portofel	tied
amazonas	amazonas	amazonas
americas	americas	americas
amerika	america	america
