+	+ +	plus sign
=	=	equal to
 °ซ  °ฟ 	° c ° f	เซลเซียส ฟาเรนไฮต์
 ซม	সেমি	cm.
 −°ซ  °ฟ	- ° c ° f	thai letters
×	×	letter x
γ	γ	y
π	π	pi
กกกก	কেজি	a thai letter repeated 4 times
กกกข	খোর খোর	4 thai alphabets - jibberish
กขขข	এবি খ	4 of thai letters
กขขขขขขข	ক খ ক খ খ খ	abbbbbbb
กฎ	নিয়ম	law, rule
กฎของโคไซน์	কোসিন আইন	law of cosines
กฎแห่งกรรม	কর্মফল	bad karma
กติกา	নিয়ম	rule
กทม	ব্যাংকক	agency
กนู	নাইট	gnu - computer related acronym
กบ	ব্যাঙ	frog
กบฏทหารนอกราชการ	সামরিক বিদ্রোহ	coup de lat
กมล	কমল	kamon
กมลรัตน์	kamonrat	kamolrat - a surname
กรณีที่	কেস	case
กรมขุนอิศเรศรังสรรค์	ক্রোম খুন আইসেট রাঙসান	the convention of angels
กรมขุนเพ็ชรบูรณ์อินทราชัย	kromkhunpetchaboon-indachai	department of....
กรมข่าวทหารอากาศ	বিমান বাহিনী নিউজ বিভাগ	communication department of the thai air force
กรมควบคุมโรค	রোগ নিয়ন্ত্রণ অধিদফতর	department of disease control
กรมทหารราบที่	পদাতিক রেজিমেন্ট	infantry regiment
กรมรบพิเศษที่	বিশেষ বাহিনী বিভাগ	special force group
กรมศิลปากร	চারুকলা বিভাগ	fine arts department
กรมหลวงนราธิวาสราชนครินทร์	ক্রোম লুয়াং নারথিওয়াত্রতাখানাখরিন	krom ma loung naratifatrachanakarin - the name of a royal family member
กรมหลวงสงขลานครินทร์	ক্রমলুং সোনখলা নাকারিন	prince of songkla
กรมอุตุนิยมวิทยา	আবহাওয়া অধিদফতর	the meteorology department
กรรชัย	kanchai	kanchai
กรอง	ছাঁকনি	screen
กระดูกค้อน	হাতুড়ি হাড়	malleus, hammer bone
กระดูกต้นแขน	প্রগণ্ডাস্থি	humerus
กระดูกฝ่ามือ	বাঁশজাতীয়	metacapus
กระดูกสะบัก	অংসফলক	scapula
กระดูกสะบ้า	চক্রিকা	kneecap
กระทรวงกลาโหม	প্রতিরক্ষা মন্ত্রণালয়	defense ministry
กระทรวงการคลัง	অর্থ মন্ত্রণালয়	ministry of finance
กระทรวงการต่างประเทศ	পররাষ্ট্র মন্ত্রণালয়	ministry of foreign affairs
กระทรวงวัฒนธรรม	সংস্কৃতি মন্ত্রণালয়	ministry of culture
กระทรวงศึกษาธิการ	শিক্ষা মন্ত্রণালয়	ministry of education
กระทรวงสาธารณสุข	জনস্বাস্থ্য মন্ত্রক	ministry of public health
กระทรวงอุตสาหกรรม	শিল্প মন্ত্রক	ministry of industry
กระทรวงเกษตรและสหกรณ์	কৃষি ও সমবায় মন্ত্রক	ministry of agriculture and cooperatives
กระทรวงเศรษฐการ	অর্থনীতি বিষয়ক মন্ত্রণালয়	ministry of commerce
กระทุ่มแบน	ছোট ঝুড়ি	krathum baen district, samut songkram province
กระนวน	পিচ	granuan - location in knon kan province
กระนั้น	তবু	however
กระบวนการสร้าง	বিল্ডিং প্রক্রিয়া	anabolism
กระบวนการสร้างและสลาย	তৈরি এবং বিচ্ছেদ প্রক্রিয়া	metabolism
กระบอง	blackjack	club
กระบะทราย	বালির বাক্স	litter box or sand box
กระบี่กระบอง	তরোয়াল দিয়ে প্রতিযোগিতা	krabi krabong (swordplay)
กระรอก	কাঠবিড়াল	squirrel
กระวนกระวาย	উদ্বিগ্ন	nervous
กระหม่อม	মাথা	fontanelle
กระเพาะอาหาร	পেট	stomach
กระแต	কাঠবিড়ালবিশেষ	wasp
กรับ	তোলা	wooden rhythm clappers
กรับพวง	একটি গুচ্ছ বাছুন	krap phuang
กรับเสภา	krapao	wooden rhythm clappers
กรัม	গ্রাম	gram
กรัยวิเชียร	kraiwichian	krivician - a surname
กรานาดา	গ্রানাডা	granada
กริม	গ্রিম	grim
กรี	ধূসর	karee
กรุง	রাজধানী	city
กรุงธนบุรี	থোন বুড়ি	thonburi city
กรุงลอนดอน	লণ্ডন	london
กรุงศรีอยุธยา	ayutthaya,	sri ayuttaya city - former capital of thailand
กรุงเทพ	ব্যাংকক	bangkok
กรุงเทพเชียงใหม่กรุงเทพ	ব্যাংকক, চিয়াং মাই, ব্যাংকক	bangkok changmai bangkok
กรุงเทพโพลล์	ব্যাংকক পোল	bangkok poll
กรุ๊ป	গ্রুপ	group
กลอง	ড্রাম	drum
กลองมโหระทึก	বড় umোল	big drum
กลองยาว	ড্রাম	tom-tom
กลองสองหน้า	দ্বি-মুখী umোল	glong songna
กลอน	শ্লোক	poem
กลอบูลิน	চকচকে	globulin
กลาง	মধ্যম	in the middle
กลิ่น	গন্ধ	odor
กลุ่มดาวกล้องจุลทรรศน์	মাইক্রোস্কোপের নক্ষত্রমণ্ডল	microscopium
กลุ่มดาวนกทูแคน	দীর্ঘচঁচু পাখী	tucana
กลุ่มดาวสิ่ว	বাটালি	siu star
กลุ่มดาวเข็มทิศ	নক্ষত্রমণ্ডল কম্পাস	pyxis constellation
กลุ่มดาวเตาหลอม	বিস্ফোরিত অগ্নিকুন্ড	fornax
กลุ่มดาวแมงป่อง	বৃশ্চিকরাশি	scorpion constellation
กลุ่มดาวแมลงวัน	ক্রোধে উন্মত্ত হয়ে পড়ে	musca
กลุ่มที่	দলটি	group
กลุ่มแสงอุษา	ইউএসএ লাইট গ্রুপ	light at dawn
กลูคากอน	glucon	glucagon
กล่าวคือ	ঐটাই বলতে হবে	that is
กล้วยไม้ดาว	স্টার অর্কিড	type of orchid that have slim petal like star
กล้องถ่ายภาพ	ক্যামেরা	camera
กล้ามเนื้อ	পেশী	muscle
กวม	গুয়াম	obscure
กวาง	হরিণ	deer
กวิน	kawin	gwen - a name
กวี	কবি	poet
กว่า	চেয়ে	than
กองกลาง	মিডফিল্ডার	headquarter
กองการบินทหารเรือ	নেভাল এভিয়েশন বিভাগ	the flying section of the navy
กองการศึกษา	শিক্ষা বিভাগ	education group
กองการเจ้าหน้าที่	কর্মীদের বিভাগ	division of personnel
กองกำลังกึ่งทหาร	আধা-সামরিক বাহিনী	armforces
กองคลัง	কোষাগার	division of finance
กองทัพ	সেনাবাহিনী	arm forces
กองทัพบกไทย	থাই আর্মি	thai army
กองทัพภาคที่	অঞ্চলের সেনা	army area
กองทัพเรือ	নৌবাহিনী	navy
