$	$ $	(dollar sign)
=	=	=
a	un	has
ab	ab	ab
abandon	rendirse	abandonment
abandonne	rendirse	abandoned
abandonner	rendirse	abandon
abandonné	abandonado	abandoned
abandonnée	abandonado	abandoned
abandonnés	abandonado	abandonned
abc	abc	abc
abd	abd	abd
abondante	abundante	abundant
aborde	aborda	addresses
aborigènes	aborígenes	aborigines
abou	abou	abou
about	acerca de	about
abouti	exitoso	led
aboutir	tener éxito	lead
aboutit	tiene éxito	results
abraham	abraham	abraham
abrite	refugios	shelter
absence	ausencia	lack of
absent	ausente	absent
absolu	absoluto	absolute
absolue	absoluto	absolute
absolument	absolutamente	absolutely
absurde	absurdo	absurd
abu	ha bebido	(name)
abus	abuso	abuse
ac	ac	ac
académie	academia	academy
académique	académica	academical
accepte	aceptar	agrees
acceptent	aceptar	agree
accepter	aceptar	accept
accepté	aceptado	agreed
accessible	accesible	accessible
accessibles	accesible	accessible
accident	accidente	accident
accidents	accidentes	accidents
accompagne	acompaña	accompanied
accompagné	acompañado	accompanied
accompagnée	acompañado	accompanied
accompagnés	acompañado	accompanied
accompli	cumplido	accomplished
accord	esta bien	agreement
accorde	conceder	grants
accorder	conceder	to give
accords	acordes	agreements
accordé	concedido	provided
accordée	concedido	assigned
accrue	aumentado	increased
accueil	bienvenida	welcoming center
accueille	bienvenido	welcome
accueillent	bienvenido	welcome
accueilli	bienvenido	welcomed
accueillir	bienvenido	welcome
accusations	acusaciones	charges
accuse	acusar	accuses
accusé	acusado	accused
accusés	acusados	accused
accède	acceso	access
accès	acceso	access
accéder	acceso	access
acdc	acdc	ac/dc (rock band)
ace	as	ace
acheter	comprar	buy
acheté	comprado	purchased
achevé	completado	complete
achevée	completado	completed
achille	aquiles	achille
achromatie	acromatia	a
achète	comprar	buy
achève	completar	achieves
acide	acido	acid
acides	ácidos	acidic
acier	acero	steel
aciers	aceros	steel
acoustique	acústica	acoustic
acquiert	adquiere	acquire
acquis	adquirido	acquired
acquise	adquirido	acquired
acquérir	para adquirir	acquire
act	actuar	act
acte	actuar	deed
actes	actos	acts
acteur	actor	actor
acteurs	actores	actors
actif	activo	active
actifs	activo	active
action	acción	action
actionnaires	accionistas	shareholders
actions	acciones	actions
active	activo	active
activement	activamente	actively
activité	actividad	activity
activités	actividades	activities
actors	actores	actors
actrice	actriz	actress
actrices	actrices	actresses
actuel	corriente	current
actuelle	corriente	current
actuellement	actualmente	current
actuelles	corriente	current
actuels	corriente	current
adam	adam	adam
adams	adams	adams
adaptation	adaptación	adaptation
adaptations	adaptaciones	adaptations
adapté	adaptado	adapted
adaptée	adaptado	adapted
adaptées	adaptado	suited
adaptés	adaptado	adapted
adhésion	membresía	adhesion
adjoint	asistente	assistant
admet	admite	admits
administratif	administrativo	administrative
administratifs	administrativo	administrative
administration	administracion	administration
administrations	administraciones	administrations
administrative	administrativo	administrative
administratives	administrativo	administration
admiration	admiración	admiration
admis	admitido	accept
adn	adn	dna
adolescence	adolescencia	adolescence
adolescent	adolescente	teenager
adolescents	adolescentes	teenagers
adolf	adolf	adolf
adopte	adopta	adopt
adopter	adoptar	adopt
adopté	adoptado	adopted
adoptée	adoptado	adopted
adresse	dirección	address
adresses	direcciones	addresses
adulte	adulto	adult
adultes	adultos	adults
adversaire	adversario	adversary
adversaires	oponentes	adversaries
affaibli	debilitado	weakened
affaire	negocio	case
affaires	negocio	scandals
affecte	afecta	affect
affecté	afectado	affects
affiche	cartel	poster
affiches	carteles	posters
affiliation	afiliacion	affiliation
affirmant	reclamando	declaring
affirme	dice	assert
affirment	reclamar	maintain
affirmer	afirmar	assert
affirmé	afirmó	declared
affronte	confrontar	fights
affronter	confrontar	confront
afghanistan	afganistán	afghanistan
afin	entonces	to
africain	africana	african
africaine	africano	african
africaines	africano	african
africains	africanos	aficans
afrique	áfrica	africa
afro-asiatique	afroasiático	of africa & asia
afroaméricain	afroamericano	afro-american
age	edad	age
agence	agencia	agency
agences	agencias	agencies
agent	agente	agent
agents	agentes	agents
agglomération	aglomeración	metropolis
agglomérations	aglomeraciones	settlements
agir	actuar	act
agit	actos	acts
agricole	agricola	agricultural
agricoles	agricola	agricultural
agriculture	agricultura	farming
ahmed	ahmed	ahmed
ai	tener	have
aide	ayuda	aid
aider	ayudar	help
aides	ayudantes	aid
aidé	ayuda	helped
aient	tener	had
aiguë	agudo	acute
ailes	alas	wings
ailleurs	en otra parte	otherwise or furthermore
aime	amor	love
aimé	amado	loved
ainsi	entonces	also
air	aire	air
airbus	airbus	airbus
aire	área	saccompagne
aires	áreas	areas
airs	melodías	sky
aisément	fácilmente	easily
ait	tener	has
ajoutant	agregando	adding
ajoute	agregar	add
ajouter	agregar	add
ajouté	añadido	added
ajoutée	añadido	added
akon	akon	akon
al	al	al
alain	alain	alain
alan	alan	alan
albanais	albanés	albanian
albert	albert	albert
alberto	alberto	alberto
albin	albin	albin
album	album	album
albums	álbumes	albums
alentours	entorno	vicinity, environs
alex	alex	alex
alexander	alexander	alexander
alexandre	alexander	alexander
alexandrie	alejandria	alexandria
alfred	alfred	alfred
alger	argel	alger
algérie	argelia	algeria
algérien	argelino	algerian
algérienne	argelina	algerian
algériens	argelinos	algerian
ali	ali	ali
alias	alias	alias
alice	alice	alice
alimentaire	comida	alimentary
alimentaires	comida	food
alimentation	comida	food
aliments	comida	food
alive	vivo	alive
allah	allah	allah
allaient	iban	were going to
allait	iba	will
allan	allan	allan
allant	yendo	going
allemagne	alemania	allemagne
allemand	aleman	german
allemandes	aleman	german
allemands	aleman	german
allen	allen	allen
aller	ir	go
alliages	aleaciones	alloy
alliance	alianza	alliance
alliances	alianzas	alliance
allié	aliado	allied
alliées	aliados	allied
alliés	aliados	allies
allusion	pista	allusion
alors	entonces	and so
alpes	alpes	alps
alpha	alfa	alpha
alphabet	abecedario	alphabet
alphonse	alphonse	alponse
alsace	alsacia	alsace
alsacien	alsaciano	alsacian
alsacienne	alsaciano	alsacian
alsaciens	alsacianos	alsacian
alternatif	alternativa	alternative
alternative	alternativa	alternative
alternatives	alternativas	alternatives
altitude	altitud	altitude
aléatoire	al azar	random
amants	amantes	lovers
amateur	aficionado	amateur
amateurs	amantes	amateurs
ambiance	ambiente	environment
ambitieux	ambicioso	ambitious
ambition	ambición	ambition
amené	traído	brought
america	america	america
american	americano	american
ami	amigo	friend
amie	amiga	friend
aminés	aminas	amino
amis	amigos	friends
amitié	amistad	friendship
amour	amor	amour
amoureuse	enamorado	lovely
amoureux	enamorado	in love
amours	ama	love affairs
ampleur	magnitud	magnitude
amsterdam	amsterdam	amsterdam
amène	traer	brings
amélioration	mejora	improvement
améliorer	mejorar	to improve
aménagements	servicios	set-up
américain	americano	american
américaine	americana	american
américaines	americano	u.s.
américains	americano	american
amérindiens	nativo americano	american indians
amérique	america	america
amériques	americas	america
an	año	year
analogue	análogo	analogous
analyse	análisis	analysis
analyses	análisis	analyzes
ancien	viejo	ancient
ancienne	viejo	ancient
anciennement	anteriormente	formerly
anciennes	viejo	ancient
anciens	viejo	ancient
ancêtre	antepasado	ancestor
ancêtres	antepasados	ancestors
and	y	and
anderson	anderson	anderson
andes	andes	andes
andrea	andrea	andrea (man's name)
andrew	andrew	andrew
andromède	andromeda	andromede
andré	andré	andre
andy	andy	andy
anecdotes	anécdotas	anecdotes
angel	angel	angel
angeles	angeles	angeles
angelina	angelina	angelina
anges	ángeles	angels
anglais	ingles	english
anglaise	inglesa	english
anglaises	ingles	english
angle	ángulo	angle
angles	ángulos	angle
angleterre	inglaterra	england
anglophone	habla ingles	englis-speaking
anglophones	angloparlantes	english-speaking
anglosaxons	anglosajones	anglosaxons
animal	animal	animal
animale	animal	animal
animales	animal	animals
animation	entretenimiento	animation
animaux	animales	animals
anime	anime	animate
animé	animado	animated
animée	animado	animated
animés	animada	motion
ann	ann	ann
anna	anna	anna
anne	anne	anne
anneaux	anillos	rings
annexe	apéndice	annexe
annexes	apéndices	annexes
annie	annie	annie
anniversaire	cumpleaños	birthday
annonce	anuncio	announces
annoncé	anunciado	announced
annoncée	anunciado	announced
annuel	anual	yearly
annuelle	anual	yearly
annuelles	anual	annual
annulé	cancelado	cancelled
année	año	years
annéelà	año	that year
années	años	years
anomalies	anomalías	anormalities
anonyme	anónimo	anonymous
anorchidie	anorquidia	anorchide
ans	años	years old
antarctique	antártida	antarctica
antenne	antena	antenna
antennes	antenas	antennas
anthony	anthony	anthony
anthropologie	antropología	anthropology
anticorps	anticuerpo	antibody
antigènes	antígenos	antigens
antilles	antillas	west indies
antique	antiguo	ancient
antiques	antiguo	antique
antiquité	antigüedad	antiquity
antisémite	antisemita	anti-semite
antoine	antoine	anthony
antonio	antonio	antonio (man's name)
antérieure	anterior	previous
antérieurs	anterior	former
août	agosto	august
aphrodite	afrodita	aphrodite
apogée	clímax	highest point
apollo	apolo	apollo
apothécie	apotecia	apothecie
apparaissent	aparecer	appear
apparait	aparece	appears
apparaît	aparece	appeared
apparaître	aparecer	appear
appareil	dispositivo	device
appareils	electrodomésticos	devices
apparemment	aparentemente	apparently
apparence	apariencia	appearance
apparition	apariencia	appearance
apparitions	apariciones	appearances
appartement	apartamento	flat
appartements	apartamentos	apartments
appartenance	pertenecer	membership
appartenant	propiedad	belonging
appartiennent	pertenecer	belongs
appartient	pertenece	belongs
apparu	apareció	appeared
apparue	apareció	appeared
apparues	apareció	appeared
apparus	apareció	appeared
appel	llamar	call
appeler	llamar	call
appellation	denominación	name
appelle	llamar	call
appellent	llamar	call
appelé	llamado	called
appelée	llamado	called
appelées	llamado	called
appelés	llamado	called
apple	manzana	apple
application	aplicación	application
applications	aplicaciones	applications
applique	aplicar	apply
appliquer	aplicar	apply
appliqué	aplicado	applied
appliquée	aplicado	applied
appliquées	aplicado	applied
apport	entrada	contribution
apporte	traer	brings
apportent	traer	bring
apporter	traer	bring
apports	contribuciones	contribution
apporté	traído	brought
apportées	traído	brought
apprenant	aprendiendo	learner
apprend	aprender	learns
apprendre	aprender	learn
apprentissage	aprendiendo	learning
appris	aprendido	learned
approche	acercamiento	approach
approches	enfoques	approaches
approximativement	aproximadamente	approximately
apprécie	disfrutar	appreciate
apprécié	apreciado	liked
appui	apoyo	support
après	despues	after
apôtres	apóstoles	apostles
ar	ar	ar
arabe	árabe	arab
arabes	árabe	arab
arabie	arabia	arabia
aragon	aragon	aragon
arbitraire	arbitrario	arbitrary
arbre	arbol	tree
arbres	arboles	trees
arc	proa	arc
archaïque	arcaico	archaic
architecte	arquitecto	architect
architectes	arquitectos	architects
architectural	arquitectonico	architectural
architecture	arquitectura	architecture
archives	archivos	archives
archéologique	arqueologico	archaeological
archéologiques	arqueologico	archeological
arcs	arcos	arches
arcsboutants	arcos altos	arch
arctique	ártico	arctic
are	son	are
argent	dinero	money
argentin	argentino	argentinian
argentine	argentina	argentina
argument	argumento	plea
arguments	argumentos	case
aristote	aristóteles	aristotle
armageddon	armagedón	armageddon
armand	armand	armand
arme	arma	weapon
armes	armas	weapons
armoiries	escudo de armas	arms
armstrong	armstrong	armstrong
armé	armado	armed
armée	ejercito	army
armées	ejércitos	armies
arménien	armenio	armenian
arnaud	arnaud	arnaud
arnold	arnold	arnold
arrangements	arreglos	arrangements
arrivant	llegando	arriving
arrive	llegar	arrive
arrivent	llegar	arrive
arriver	llegar	arrive to (achieve)
arrivé	llegó	arrived
arrivée	llegada	arrival
arrivés	llegó	arrives
arrière	volver	back
arrondissement	distrito	ward
arrondissements	municipios	wards
arrêt	parar	stoppage
arrêter	parar	arrest
arrêté	arrestado	decree
arrêtés	arrestado	arrested
arsenal	arsenal	arsenal
art	arte	art
arthur	arthur	arthur
article	articulo	article
articles	articulos	articles
artificielle	artificial	artificial
artisans	artesanos	artisans
artiste	artista	artist
artistes	artistas	artists
artistique	artística	artistic
artistiques	artística	artistic
arts	artes	arts
as	as	as
asiatique	asiático	asian
asiatiques	asiáticos	asiatics
asie	asia	asia
aspect	aspecto	aspect
aspects	aspectos	aspects
assassinat	asesinato	murder
assassiné	asesinado	murdered
assassinés	asesinado	assasinated
assemblée	asamblea	assembly
assemblées	asambleas	assemblies
assez	suficiente	enough
assis	sentado	to sit down
assiste	asistir	aids
assister	asistir	witness(1st one) help (2nd) attending (for the german emperor)
assisté	asistido	asisted
association	asociación	partnership
associations	asociaciones	associations
associe	asociado	associates
associé	asociado	associated
associée	asociado	associated
associées	asociado	associated
associés	asociados	associates
assurant	asegurando	assuring
assure	asegura	ensures
assurent	asegurar	assure
assurer	asegurar	ensure
assuré	asegurado	ensured
assurée	asegurado	ensured
astier	más astuto	astier
astronomique	astronómico	astronomical
asynchrone	asincrónico	asynchronous
at	a las	at
ateliers	talleres	workshop
athènes	atenas	athens
athéna	atenea	athena
atlantique	atlántico	atlantic
atlas	atlas	atlas
atmosphère	ambiente	atmosphere
atmosphérique	atmosférico	atmospheric
atome	átomo	atom
atomes	átomos	atoms
atomique	atómico	atomic
atomiques	atómico	atomic
atp	atp	atp
attaché	adjunto	attached
attachée	adjunto	attached
attaquant	atacando	attacker
attaque	atacar	attack
attaquer	atacar	attack
attaques	ataques	attacks
attaqué	atacado	attack
atteignant	alcanzando	tu atte'ignant
atteignent	alcanzar	reach
atteindre	alcanzar	reach
atteint	alcanzado	reached
atteinte	alcanzado	danger
atteintes	alcanzado	reached
atteints	alcanzado	hit
attend	espera	expected
attendant	esperando	waiting
attendre	esperar	expect
attendu	esperado	expected
attentat	atacar	attack
attentats	ataques	attacks
attention	atención	attention
attire	atrae	attracts
attirent	atraer	attract
attirer	atraer	to attract
attiré	atraído	drawn
attitude	actitud	attitude
attribue	asigna	attribute
attribuer	atribuir	granted
attribué	asignado	attributes
attribuée	asignado	attributed
attribuées	asignado	granted
attribués	asignado	assigned
au	a las	at
aucun	ninguno	none
aucune	ninguno	none
audelà	mas alla	beyond
audessus	encima	on top
audience	audiencia	audience
audiences	audiencias	audience
audio	audio	audio
augmentant	creciente	increasing
