$	dollarni tashkil etadi	dollar
+	+	+
<	&lt;	<
=	=	equal
a	a	and
abc	abc	abc
ac	ak	ac
ako	agar	if
al	al	al
alat	vositasi	tool
ali	lekin	but
alveolata	alveolalar	regnum
amor	sevgi	amor
and	va	and
at	da	at
atmosfere	atmosfera	atmosphere
autora	muallif	authors
autorsko	mualliflik	copyright
autorskog	mualliflik	authorial
b	b	b
beograd	oq shahar	beograd
beograda	belgrad	belgrad
beogradu	belgrad	belgrade
berlin	berlin	berlin
bez	holda	without
bi	bo&#39;lardi	to
bila	bo&#39;lgan	was
bile	safro	were
bili	edi	were
bilo	bor edi	was
bio	edi	was/nije bio-wasn't
biti	bolmoq	be
bolesnika	bemorlar	patients
bolest	kasallik	illness
bolesti	kasalliklar	diseases
brena	brena	brena
broj	raqam	number
bwv	bwv	bmw
by	tomonidan	by
c	v	s (letter)
cd	cd	cd
colorgray	rangtasvir	color gray
colors	ranglar	colors
d	d	d
da	ha	yes
daje	bu	gives
dan	kun	day
dana	kunning	days
danas	bugun	today
dece	bolalar	kids
del	del	del
dela	ishlaydi	work
delo	ishlash	the act
delu	qismi	part
deo	qismi	part
di	di	di
dijego	diego	diego
do	uchun	to
dobija	qabul qildi	obtained
dok	vaqt	until
dovodi	olib boradi	leads
dr	dr	dr
druga	ikkinchisi	second
druge	boshqalar	other
drugi	ikkinchi	second
drugih	boshqalar	other
dva	ikkita	two
dvd	dvd	dvd
dve	ikkita	two
e	e	e
epizoda	epizod	episode
epizode	epizodlar	episodes
fefec	fefec	fefec
film	film	movie
filmu	film	movie
for	uchun	for
free	ozod	free
freud	erkin	freud
ftp	ftp	ftp
g	g	g
ga	ga	to
gde	qayerda	where
glavni	asosiy	major
gledaoci	tomoshabinlar	auditory
godina	yillar	year
godine	yillar	age
google	google	google
goriva	yoqilg&#39;i	fuel
gps	gps	gps
grupa	bir guruh	group
grupe	guruhlari	group
h	h	h
hdi	hdi	hdi
hipi	hippi	hippie
history	tarixi	history
hn	hn	hn
homo	homo	homo
hrvatska	xorvatiya	croatia
html	html	html
http	http	http
i	i	i
iako	va agar	strong
ieee	yaee	ieee
if	agar	if
ih	ularni	them
ii	ii	ii
iii	iii	iii
il	il	or
ili	yoki	or
im	va m	them
ima	ega	there are
imaju	bor	have
imala	edi	has
imati	bor	having
ime	ism	name
international	xalqaro	international
internet	internet	internet
ip	ip	ip
ipak	hali	still
ipv	ipv	ipv
isbn	isbn	isbn
istorija	tarixi	history
istraživanja	tadqiqot	researches
it	u	it
ix	ix	9
iz	dan	from
između	orasida	between
j	j	j (letter)
ja	ha	i
jako	meni kim	very
java	java	java
javlja	hisobotlar	checks in
javnosti	jamoatchilik	public
je	hisoblanadi	is
jedan	bitta	one
jedna	bitta	one of
jednog	bitta	one
jednom	bir martada	once
jer	chunki	because
jesus	iso	jesus
joj	uni	her
još	hali	still
k	k	k
ka	ka	to
kada	qachon	when
kako	qanday	how
kaligrafija	xattotlik	calligraphy
kao	kabi	as
kasnije	keyinroq	thereafter
km	km	kilometer
kod	kodi	with
koja	qaysi	whom
koje	kim	who
koji	qaysi biri	which
kojih	qaysi	whose
kojima	qaysi	which
kojoj	kimga	which
koju	qaysi	which
koriste	foydalanish	used
koristi	foydalanadi	use
kraj	tamom	end
kraju	oxirida	end
kroz	orqali	through
krvi	qon	blood
l	l	i
latinica	lotin	latin
le	le	french word
lekovi	dorilar	drugs
lepa	juda chiroyli	beautiful
letter	xat	letter
lečenje	davolash	treatment
life	hayot	life
lik	belgi	character
likova	belgilar	characters
likovi	belgilar	characters
link	aloqa	link
ljubav	sevgi	love
ljudi	odamlar	people
london	london	london
los	yo&#39;qotish	los
m	m	m
mac	qilich	mac
majkl	maykl	michael
man	kishi	man
maplandia	xarlandiya	maplandia
marija	mariya	mary
me	meni	me
među	orasida	among
međutim	ammo	however
mi	biz	we
mitrovica	mitrovitsa	mitrovica
mišića	muskul	muscles
mm	mm	mm
mnoge	juda ko&#39;p	many
mnogi	juda ko&#39;p	many
mnogo	ko&#39;p	a lot
mogu	qo&#39;limdan keladi	may
mora	kerak	have to
most	ko&#39;prik	bridge
mosta	ko&#39;prik	bridge
motora	dvigatel	engine
motori	dvigatellar	combustions
mozga	miya	brain
može	mumkin	may
mreža	tarmoq	net
mreže	tarmoqlar	nets
mu	mu	him
multipla	ko&#39;p	multiple
n	n	n
na	ustida	on
nagrade	mukofotlar	rewards
najčešće	odatda	most commonly
nakon	keyin	after
nalazi	natijalar	located
name	nomi	name
naruta	naruta	naruta (name)
naruto	naruto	naruto
naziv	nomi	name
način	yo&#39;l	way
ne	emas	can't
nedostatak	etishmasligi	deficiency
nego	uni	but
neke	biroz	some
neki	biroz	some
nekoliko	ozgina	a few
nema	ega emas	have no
nervnog	asabiy	nervous
newton	nyuton	newton
nešto	nimadur	some
ni	ni	not
nije	bunday emas	not
nikola	nikola	nikola
nisu	ular emas	not
njega	uni	his
njih	ularni	them
njihov	o&#39;zlarining	their
njihova	ularning	their
njima	ularga	them
no	yo&#39;q	than
nove	yangi	new
novi	yangi	new
npr	misol uchun	for example
o	haqida	about
obično	odatda	usually
oblik	shakli	shape
obliku	shakl	shape
od	dan	from
odnosno	anavi	respectively
oko	ko&#39;z	about
on	u	it
ona	u	she
one	oh yo&#39;q	they
oni	ular	they
online	tarmoqda	online
opnokrilci	membranalar	hymenoptera (latin - it's a group of insects)
os	os	os
osim	tashqari	exept
osnovu	asos	based on
osoba	odam	person
ostali	boshqalar	other
ostrvu	orol	island
ova	bu	this
ovaj	bunisi	this
ove	bular	this
ovim	shu bilan	this
ovo	bu	this
ovog	bu	this
ovom	bu m	this
ovu	bunisi	this
oštećenja	zarar	damages
p	p	p
pa	yaxshi	and
panthera	pantera	panthera
pc	dona	pc
period	vaqt davri	period
php	php	php
po	tomonidan	on
pod	qavat	under
podataka	ma&#39;lumotlar	informations
pojava	paydo bo&#39;lishi	appearance
pomoć	yordam	help
ponovo	yana	again
pored	ning yonida	beside
porodica	oila	family
posle	keyinroq	after
postoje	beri	exist
postoji	mavjud	exist
potrebe	ehtiyojlar	needs
pozicije	pozitsiyalari	positions
početku	boshida	start
pošto	beri	because
prava	huquqlari	right
pravo	to&#39;g&#39;ri	right
pre	oldin	before
preko	bo&#39;ylab	over
prema	ga ko&#39;ra	according to
prenos	yuqish	transmission
pri	da	during
prijemnika	qabul qilgich	receiver
primer	misol	example
promene	o&#39;zgaradi	changes
prva	birinchi	first
prvi	birinchidan	first
psilocibin	psilotsibin	psilocybin
put	yo&#39;l	way
puta	marta	way
q	q	q
r	r	r
rad	ishlash	work
radi	sababli	works
radio	radio	radio
različitih	boshqacha	different
različitim	har xil	different
razvoj	rivojlanish	development
realizam	realizm	realism
reference	ma&#39;lumotnoma	reference
región	viloyati	region
regnum	regnum	regnum
rh	rh	rh
rizik	xavf	risk
roma	roma	rome
s	s	s
sa	bilan	from
sad	aqsh	sad
sada	hozir	now
sadrži	o&#39;z ichiga oladi	contains
samo	faqat	only
san	tush	san
santa	santa	santa
sarkofag	sarkofag	sarcophagus
sastoji	iborat	contains
satelita	sun&#39;iy yo&#39;ldosh	satellite
se	se	is
sekreta	sekretsiya	discharge
serano	serano	serano
serija	qator	series
serije	qator	series
seriji	qator	series
seriju	qator	series
server	server	server
sezona	mavsum	season
sezone	mavsum	season
signal	signal	signal
signala	signal	signals
simptoma	alomatlar	symptoms
simptomi	alomatlar	symptoms
sistem	tizimi	system
sistema	tizimi	system
skleroza	skleroz	sclerosis
skleroze	skleroz	sclerosis
sloj	qatlam	layer
slova	so&#39;zlar	letters
smatra	deb hisoblanadi	considered
spoljašnje	tashqi	external
srbije	serbiya	serbia
srbiji	serbiya	serbia
srpska	serb	sebian
srpske	serb	serbian
start	boshlash	start
strane	tomonlar	side of
stvari	narsalar	things
su	bor	"are /in ""kao sto su hlamidije""doesn't translate, just ""such as chlamydia"", etc/"
svaki	har bir	every
sve	hammasi	all
svet	dunyo	world
sveta	avliyo	world
svetu	dunyo	world
svi	hammasi	all
svih	hammasidan	all
svog	uning	his
svoj	shaxsiy	own
svoje	o&#39;zlarining	own
svojim	uning	my
svoju	sizning o&#39;zingizniki	own
t	t	t
ta	ha	these
tada	keyin	then
taj	bu	that
tako	shunday qilib	so
takođe	juda ham	also
tardigrada	tardigrada	tardigrad
tcp	tcp	tcp
te	va	theese
tehnika	texnikasi	technique
tela	tanalar	body
telenovela	telenovela	telenovela
telenovele	telenovelalar	telenovelas
terapija	terapiya	territory
tesla	tesla	tesla
the	the	the
thriller	triller	thriller (music album)
ti	siz	those
tim	jamoa	those
time	vaqt	thereby
timeaxis	vaqtaksis	time axis
tj	ya&#39;ni	that is
to	bu	that
toga	bu	this
tokom	davomida	during
toku	joriy	during
tom	tom	that
treba	kerak	shall
tri	uch	three
tu	siz	that
tuja	xorijiy	tuja
tv	televizor	tv
u	u	in
uloge	rollarda	part
ulogu	roli	part
umesto	ning o&#39;rniga	instead
umetnosti	san&#39;at	arts
un	un	un
university	universitet	university
uspeh	muvaffaqiyat	succes
utc	utc	utc
uvek	doim	always
uz	uz	through
v	v	v
van	mikroavtobus	d. van nostrand company
veliki	katta	large
veoma	juda	very
verzija	versiyasi	version
veze	ulanishlar	connection
već	allaqachon	already
vi	siz	vi
vidi	qarang	see
viii	viii	viii
vitamin	vitamin	vitamin
vitamina	vitamin	vitamin
više	ko&#39;proq	more
vreme	vaqt	time
vremena	marta	time
vrlo	juda	very
vrste	turlari	types
w	w	w
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii  (thirteen )
xiv	xiv	hiv
xix	xix	xix
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii (18)
xx	xx	xx
y	y	in
yo	yo	me
za	uchun	for
zagreb	zagreb	zagreb
zajedno	birga	together
zato	shuning uchun	because
zatvora	qamoqxona	prison
zbog	chunki	because
značajno	sezilarli darajada	significantly
||	||	||
|гшир=	| kengligi =	gsir
|датум	| sana	date
|држава	| davlat	country
|име	| nomi	name
|место	| joy	place
|позивни	| qo&#39;ng&#39;iroq	positive
|поп=	| pop =	pop
|поштански	| pochta	postal
|приступница	| ariza shakli	application form
|регион=	| mintaqasi =	region
|регистарска	| registri	|registration
|слика	| tasvir	picture
~	~	~
°с	° s	celsius
×	×	multiply (in mathematics)
će	irodasi	will
ćelija	hujayra	cell
čak	hatto	even
često	ko&#39;pincha	often
četiri	to&#39;rtta	four
što	stol	what
žena	ayol	woman
žene	ayollar	womens
život	hayot	life
života	hayotning	life
а	a	and
абу	abu	abu
авганистан	afg&#39;oniston	avganistan
авганистану	afg&#39;oniston	avganistan
август	avgust	august
августа	avgust	august
августу	avgust	august
авион	samolyot	airplane
авиона	samolyotlar	airplane
авионе	samolyotlar	airplanes
авиони	samolyotlar	airplanes
авионима	samolyotda	airplanes
авионом	samolyotda	airplane
авиону	samolyotda	airplane
авијација	aviatsiya	aviation
авијације	aviatsiya	aviation
авноја	avnoja	avnoj
агенција	agentligi	agency
агенције	agentliklari	agency
агломерација	aglomeratsiya	agglomeration
агресије	tajovuz	aggression
ада	river island	ada
адам	odam	adam
адаптација	moslashish	adaptation
административна	ma&#39;muriy	administrative
административни	ma&#39;muriy	administrational
административно	ma&#39;muriy	administrative
адолф	adolf	adolph
адреса	manzili	adress
адресе	manzillari	addresses
адресу	manzili	address
аеродром	aeroporti	airport
аеродрома	aeroporti	airport
аеродроми	aeroportlar	airports
аеродрому	aeroporti	airport
азербејџан	ozarbayjon	azerbaijan
азербејџана	ozarbayjon	azerbaijan
азија	asiya	asia
азије	osiyo	asia
азији	osiyo	asia
азот	azot	nitrogen
азра	azra	azra
академик	akademik	academician
академија	akademiyasi	academy
академије	akademiyasi	academy
академији	akademiyasi	academy
академију	akademiyasi	academy
ако	agar	if
акредитација	akkreditatsiya	acreditation
акт	harakat qilmoq	deed
активан	faol	active
активна	faol	active
активни	faol	active
активно	faol	active
активност	faoliyat	activity
активности	faoliyati	activities
активностима	faoliyati	activities
акценат	urg&#39;u	accent
акција	harakat	action
акцијама	ulushlar	actions
акције	harakatlar	actions
акцију	harakat	action
алата	asboblar	tool
албанаца	albanlar	albanians
албанија	albaniya	albania
албаније	albaniya	albania
албанији	albaniya	albania
албанијом	albaniya	albania
албанију	albaniya	albania
албанска	alban	albanian
албанске	alban	albanian
албански	alban	albanian
албанских	alban	albanian
албанског	alban	albanian
албанском	alban	albanian
албанце	alban	albanians
албанци	albanlar	albanians
алберт	albert	albert
алберта	alberta	albert
албум	albom	album
албума	albomlar	album
албуми	albomlar	albums
албуму	albom	album
алгоритам	algoritm	algorithm
алгоритама	algoritmlari	algorithms
алгоритма	algoritm	algorithm
алгоритми	algoritmlari	algorithms
алдехид	aldegid	aldehide
алекса	alexa	alexa
александар	aleksandr	alexander
александра	aleksandr	alexandra
александру	aleksandr	aleksandar
алексић	aleksik	aleksic
алел	allele	allele
алеји	xiyobonlar	mall
али	lekin	but
алија	lekin men	alija
алпа	alpa	alps
алпи	alp tog&#39;lari	alpes
алфабет	alifbo	alphabet
амбасаде	elchixona	embassies
амбасадор	elchi	ambassador
амбиваленција	ambivalence	ambivalence
аменореја	amenore	amanorrhea
америка	amerika	america
американци	amerikaliklar	american
америке	amerika	america
америку	amerika	america
америци	amerika	america
америчка	amerikalik	american
америчке	amerikalik	american
амерички	amerikalik	american
америчким	amerikalik	american
америчких	amerikalik	u.s.
америчког	amerikalik	american
америчком	amerikalik	american
америчкој	amerikalik	american
амино	amino	amino
амфора	amfora	amphora
ана	ana	ana
анализа	tahlil	analysis
анализе	tahlil	analysis
анализом	tahlil	analysis
анални	anal	anal
анатомија	anatomiya	anatomy
анатомије	anatomiya	anatomy
анда	va	andes
андреј	andrej	andrej
андрић	andrić	andric
андромеда	andromeda	andromed
андроника	andronika	andronikos
ане	emas	ane
анкара	ankara	ankara
антанте	oldin	entente
антарктик	antarktida	antarctic
антарктика	antarktida	antartics
анте	ante	ante
антике	antik davr	antique
антипатија	antipatiya	aversion
антисемитизам	antisemitizm	antisemitism
антитела	antikorlar	antibodies
античке	qadimiy	antique
антички	qadimiy	antique
античких	qadimiy	antique
античко	qadimiy	antique
античког	qadimiy	antique
античкој	qadimiy	antique
антонио	antonio	antonio
антонија	antoniya	anthony
анубис	anubis	anubis
анђела	farishtalar	andjela
анђелес	farishtalar	angeles
анђели	farishtalar	angels
анђео	farishta	angel
аорта	aorta	mini aorta
апарат	apparati	apparatus
апатит	apatit	apetit
аполон	apollon	apollonius
апостола	havoriy	apostles
април	aprel	april
априла	aprel	april
априлу	aprel	april
апсентизам	qatnashmaslik	absenteesm
апсолутни	mutlaq	apsolute
арапа	arapa	arabs
арапи	arabcha	arabs
арапска	arabcha	arab
арапске	arabcha	arab
арапски	arabcha	arabic
арапским	arabcha	arab
арапских	arabcha	arab
арапског	arabcha	arabic
арапском	arabcha	arabic
аргентина	argentina	argentina
аргентине	argentina	argentina
аргумент	dalil	argument
арена	maydon	arena
аристотел	aristotel	aristotel
аристофан	aristofanlar	aristofan
армија	armiya	army
армије	armiya	army
армији	armiya	army
армијом	armiya	army
армију	armiya	army
арно	arno	arno
арсен	mishyak	arsenic
артиљерија	artilleriya	artillery
артиљерије	artilleriya	artillery
артиљерију	artilleriya	artillery
археолошка	arxeologik	archaeological
археолошки	arxeologik jihatdan	archeological
археолошких	arxeologik	archaeological
архив	arxiv	archive
архива	arxiv	archives
архиепископ	yepiskop	archbishop
