aajo	ridicolo	hospitality
aala	confine	border
aanu	compassione	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	paralisi	fasting
abala	la parte	division
abeikojopo	ecosistema	subset
abeorile	ritorno a casa	nation
abesahara	spruzzatina	under the sahara
abidi	alfabeto	abidi
abidjan	mai	abidjan
abo	femminile	security
aburunmu	il nostro abominio	reduced in value, diminished
abálájo	esperto	that is why
abé	ago	under
abínibí	nazionalità	inborn
abúléko	villaggio	village
accra	accra	accra
adaba	conveniente	factor
adabaye	tutto ok	previously-existing
adarihunrun	addetto alle pulizie	human
addis	addis	addis
adeda	natura	creator
adiokan	solitario	stubbornness
adágbà	sambuco	adagba
adúgbò kútò	vicini di casa	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	vicini di cava	neighborhood
adúgbò ìdí	ragioni di vicinato	area
afida	la famiglia	element
afomo	per esempio	cleansing
afoyemo	sinossi	abstract
africa	africa	africa
african	africano	ara afrika
africans	africani	africans
aféfé	mulino a vento	air
agba	dipingere	principal
agbado	mais	maize
agbara	energia	power
agbaye	il mondo	world
agbeinadie	terreni agricoli	semi-conductor
agbà	un adulto	adult
agbàbò	protettore	adopted child
agbára	energia	power
agbéiná	vigile del fuoco	conductor
agio	piangere	agio
aintimulo	aintimulo	un-exploited
aisi	mancanza	lack
ajagun	un cane	ajagun
aje	economia	trade
ajemoroyin	interrogatorio	reporting
ajibola	ordine del giorno	ajibola
ajo	viaggio	firms
ajoro	viaggio	discussion
ajọra	replica	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artiglieria	akinpelu
akokolo	periodo	period
akole	non possiamo	title
akoni	non abbiamo	teacher
akopa	innanzitutto	participant
akopo	compilazione	assembly
akátá	sciacallo	african american
akíkanjú	valoroso	courageous
akíngbógun	battaglione	akingbogun
akẹ́kọ̀ọ́	alunno	students
ala	giù	limit
alaabo	disabilitato	protection
alaadanida	non desiderato	individual
alaafia	pace	peace
alaafin	illegittimo	alaafin
aladaani	privato	privately-owned
aladani	privato	self-owned
aladanida	arbitrario	private
alaidogba	squilibrato	unequal
alaigbara	irresistibile	neutron
alaini	bisognoso	the poor
alakitiyan	attivista	activist
alakobere	novizio	primary
alalaye	terroso	explanatory
alawose	divinazione	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	indipendenza	independent
alpha	alfa	alpha
alubàbá	padre	drummer
alukuraani	corano	quran
alumoni	curativo	minerals
alumíníọ̀mù	alluminio	aluminium
alákọ̀bẹ̀rẹ̀	iniziatore	primary education
alápapò	sostituzione	general
alátise	artista	alatise
aláyèwò	ispettore	expert
aláísàn	malato	the sick
alúwo	boom	traditional cults
alọ́po	portafoglio	tied
amazonas	amazonas	amazonas
americas	americhe	americas
amerika	america	america
amojeoyipada	convertibile	reform
amosi	moschea	amos
améríkà	americano	america
améríkà	americano	america
an	un	him
anabi	il profeta	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	il sud	southern
apaguusuilaorun	sud-ovest	south-western
apaguusuiwoorun	sud-ovest	part of the south
apailaorun	alba	east side
apaiwoorun	occidentale	eastern side
aparapo	combinazione	confederation
