$ tỉ	milliárd dollár	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abházia	a name
about	ról ről	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	számla	account
aceh	aceh	(proper noun) aceh
achilles	achilles	achilles
acia	acia	acia
acid	sav	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	vályogtégla	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	fejlett	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afganisztán	afghanistan
africa	afrika	(proper noun) africa
african	afrikai	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	who	who
ailen	ír	ailen
aim	cél	aim
air	levegő	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	szia	ako
al	al	al
alabama	alabama	alabama
alaska	alaszka	alaska
albania	albánia	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	minden zene	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpok	alps
altai	altai	altai
always	mindig	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	egy én	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	ammónia	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	egy	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalúzia	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrás	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	angolszász	anglo-saxon
anh	fiú testvér	english
anhmỹ	angol	"(term should be ""anh mỹ"") english or american"
anhpháp	angol francia	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	egy nam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	bármi	any
anđêhít	aldehid	aldehydes
ao	tavacska	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	alma	apple
aquinas	aquinói	a name
arab	arab	(proper noun) arab
archetypal	archetipikus	archetypal
archive	archív	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentína	(proper noun) the south american nation of argentina
argo	argo	argo
arias	áriák	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	arisztotelész	aristotle
arizona	arizona	arizona, as in the state
ark	bárka	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	örmény	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	fegyverraktár	arsenal
artemis	artemisz	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	növekvő	asc
ash	hamu	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	ázsia	asia
asm	asm	asm
asoka	asoka	asoka
association	egyesület	association
assyria	asszíria	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlanti	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	meghallgatás	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	ausztrália	(proper noun) australia
austria	ausztria	(proper noun) the country of austria
austrian	osztrák	austrian
avar	avar	a name
aviation	repülés	aviation
awad	awad	awad
award	díj	award
axit	sav	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbajdzsán	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	apa	three
babylon	babilon	babylon
bacon	szalonna	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamák	bahamas
bahrain	bahrain	bahrain
baháí	bahai	bahai
balearic	balearic	balearic
bali	bali	bali
balkan	balkán	(proper adjective) balkan
balkans	balkán	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	tilalom	the
bang	bumm	state
banh	labda	ball
banner	transzparens	banner
bantam	bantam	bantam
bantu	tu tilalom	bantu
bao	zsák	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	berber	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barokk	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	barion	baryon
barça	barça	(proper noun) barca
base	bázis	base
basel	basel	basel, a city in switzerland
basil	bazsalikom	basil
baskervilles	baskervilles	baskervilles
bass	basszus	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	légy	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	bazalt	basalt (n.)
bazơ	alapvető	base
bb	bb	bb
bbc	bbc	bbc
bc	időszámításunk előtt	bc
bchtư	bchtư	central executive
beat	üt	beat
beatles	bogarak	the beatles
beauty	szépség	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	mögött	behind
beijing	peking	beijing
bel	bel	bel
bell	harang	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjámin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	jobb	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	sör	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	számla	(proper noun) bill, as in former president bill clinton
billy	fütykösbot	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	rekord	bien
biếc	a zöldeskék	a bluish-green color (adj.)
biếm	gondatlan	"(term should be ""biếm họa"") cartoon (n.)"
biến	ki	other
biếng	lusta	lose interest in
biếu	tisztelettel adózik	present
biều	bieu	bieu
biển	tenger	ocean
biểuthứcđiềukiện	ismeri a feltételeket	conditional expression
biện	bocsánatot kér	"(term should be ""biện pháp"") a method (n.)"
biệt	különböző	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bubifrizura	bob
bobby	londoni rendőr	bobby, as in bobby day
boeing	boeing	boeing
bohemia	csehország	bohemia
bolivia	bolívia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	logikai	(proper adjective) boolean, as in boolean algebra
boom	bumm	boom
boong	fedélzet	a deck (n.)
boongke	bunkerek	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosznia	(proper noun) bosnia
botswana	botswana	botswana
bottom	alsó	bottom
boulder	szikladarab	boulder
bourbon	bourbon whisky	bourbon
boxing	dobozolás	boxing
brain	agy	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brazília	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezsnyev	brezhnev
brian	brian	a name
bridge	híd	bridge
britannic	brit	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	barna	brown
browne	browne	browne
browning	pirítás	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brüsszel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgária	bulgaria
bulletin	hirdetőtábla	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	elfojt	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	bokor	bush
bushy	bokros	bushy
buôn	nagybani	commerce
buông	elengedtem	to release, to let loose
buýt	busz	bus
buốt	lelkes	sharp
buồm	vitorla	sail
buồn	szomorú	sad
buồng	szoba	chamber
buổi	ülés	session
byzantine	bizánci	byzantine
bà	nagymama	woman or lady (n.)
bài	hozzászólások	articles
bàn	asztal	table
bàng	sas	eagle
bành	peng	armchair
bào	gyalulás	compatriot
bàu	bau	bau
bày	bemutatás	"(term should be ""trưng bày"") to display (v.)"
bác	nagybácsi	doctor
bách	ciprus	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	kultusz	to bow (v.)
bám	ragaszkodik	cling
bán	elad	sell
báng	bumm	"(term should be ""phỉ báng"") to defame or slander"
báo	újság	newspaper (n.)
bát	tál	eight (n.)
báu	kincs	valuable
bây	most	now
bã	maradvány	"(term should be ""buồn bã"") sad (adj.)"
bãi	yard	beach
bão	vihar	storm
bèn	azután	then
bé	kis	baby
bén	éles	sharp (adj.)
béo	zsír	fat
bên	oldal	side
bênh	beteg	advocate
bì	csomagolás	foreskin (n.)
bìa	borító	cover
bìu	herezacskó	sac (n.)
bí	fallabda	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	tök	biro
bò	tehén	beef
bó	csomó	bound (adj.)
bói	jóslás	to foretell (v.)
bón	termékenyít	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	labda	sphere or ball
bóp	présel	squeeze
bô	apa	"(term should be ""bôxit"") the mineral bauxite"
