$	usd	dollar
+	+	+
<	&lt;	<
=	=	equal
a	a	and
abc	abc	abc
ac	ac	ac
ako	ja	if
al	al	al
alat	rīks	tool
ali	bet	but
alveolata	alveolu	regnum
amor	mīlestība	amor
and	un	and
at	plkst	at
atmosfere	atmosfēra	atmosphere
autora	autore	authors
autorsko	autora	copyright
autorskog	autora	authorial
b	b	b
beograd	baltā pilsēta	beograd
beograda	belgrada	belgrad
beogradu	belgrada	belgrade
berlin	berlīns	berlin
bez	bez	without
bi	būtu	to
bila	bijis	was
bile	žults	were
bili	bija	were
bilo	tur bija	was
bio	bija	was/nije bio-wasn't
biti	būt	be
bolesnika	pacientiem	patients
bolest	slimība	illness
bolesti	slimības	diseases
brena	brena	brena
broj	skaits	number
bwv	bwv	bmw
by	autors	by
c	c	s (letter)
cd	cd	cd
colorgray	krāsu pelēks	color gray
colors	krāsas	colors
d	d	d
da	jā	yes
daje	ka	gives
dan	dienā	day
dana	dienas	days
danas	šodien	today
dece	bērni	kids
del	del	del
dela	darbojas	work
delo	darbs	the act
delu	daļa	part
deo	daļa no	part
di	di	di
dijego	diego	diego
do	uz	to
dobija	saņemts	obtained
dok	kamēr	until
dovodi	ved	leads
dr	dr	dr
druga	cits	second
druge	citi	other
drugi	otrais	second
drugih	citi	other
dva	divi	two
dvd	dvd	dvd
dve	divi	two
e	e	e
epizoda	epizode	episode
epizode	epizodes	episodes
fefec	fefec	fefec
film	filma	movie
filmu	filma	movie
for	priekš	for
free	bez maksas	free
freud	freids	freud
ftp	ftp	ftp
g	g	g
ga	ga	to
gde	kur	where
glavni	galvenais	major
gledaoci	skatītājiem	auditory
godina	gados	year
godine	gados	age
google	google	google
goriva	degviela	fuel
gps	gps	gps
grupa	grupa	group
grupe	grupas	group
h	h	h
hdi	hdi	hdi
hipi	hipiji	hippie
history	vēsture	history
hn	hn	hn
homo	homo	homo
hrvatska	horvātija	croatia
html	html	html
http	http	http
i	i	i
iako	un ja	strong
ieee	ieee	ieee
if	ja	if
ih	viņiem	them
ii	ii	ii
iii	iii	iii
il	il	or
ili	vai	or
im	un m	them
ima	ir	there are
imaju	ir	have
imala	bija	has
imati	ir	having
ime	vārds	name
international	starptautiskā	international
internet	internets	internet
ip	ip	ip
ipak	tomēr	still
ipv	ipv	ipv
isbn	isbn	isbn
istorija	vēsture	history
istraživanja	izpēte	researches
it	tā	it
ix	ix	9
iz	no plkst	from
između	starp	between
j	j	j (letter)
ja	jā	i
jako	es kurš	very
java	java	java
javlja	ziņojumi	checks in
javnosti	sabiedrībai	public
je	ir	is
jedan	viens	one
jedna	viens	one of
jednog	viens	one
jednom	vienu reizi	once
jer	jo	because
jesus	jēzus	jesus
joj	viņu	her
još	tomēr	still
k	k	k
ka	ka	to
kada	kad	when
kako	kā	how
kaligrafija	kaligrāfija	calligraphy
kao	piemēram	as
kasnije	vēlāk	thereafter
km	km	kilometer
kod	kods	with
koja	kas	whom
koje	kurš ir	who
koji	kurš	which
kojih	kas	whose
kojima	kas	which
kojoj	kam	which
koju	kas	which
koriste	izmantot	used
koristi	izmanto	use
kraj	beigas	end
kraju	beigās	end
kroz	caur	through
krvi	asinis	blood
l	l	i
latinica	latīņu valoda	latin
le	le	french word
lekovi	narkotikas	drugs
lepa	glīti	beautiful
letter	vēstule	letter
lečenje	ārstēšana	treatment
life	dzīvi	life
lik	raksturs	character
likova	rakstzīmes	characters
likovi	rakstzīmes	characters
link	saite	link
ljubav	mīlestība	love
ljudi	cilvēki	people
london	londona	london
los	los	los
m	m	m
mac	zobens	mac
majkl	maikls	michael
man	cilvēks	man
maplandia	maplandia	maplandia
marija	marija	mary
me	es	me
među	starp	among
međutim	tomēr	however
mi	mēs	we
mitrovica	mitrovica	mitrovica
mišića	muskulis	muscles
mm	mm	mm
mnoge	daudzi	many
mnogi	daudzi	many
mnogo	daudz	a lot
mogu	es varu	may
mora	obligāti	have to
most	tilts	bridge
mosta	tilts	bridge
motora	dzinējs	engine
motori	dzinēji	combustions
mozga	smadzenes	brain
može	var	may
mreža	tīkls	net
mreže	tīkli	nets
mu	mu	him
multipla	vairākas	multiple
n	n	n
na	uz	on
nagrade	balvas	rewards
najčešće	parasti	most commonly
nakon	pēc	after
nalazi	rezultāti	located
name	vārds	name
naruta	naruta	naruta (name)
naruto	naruto	naruto
naziv	vārds	name
način	ceļš	way
ne	nē	can't
nedostatak	trūkums	deficiency
nego	viņu	but
neke	daži	some
neki	daži	some
nekoliko	daži	a few
nema	nav	have no
nervnog	nervozs	nervous
newton	ņūtons	newton
nešto	kaut kas	some
ni	ni	not
nije	tas nav	not
nikola	nikola	nikola
nisu	tie nav	not
njega	viņu	his
njih	viņiem	them
njihov	viņu pašu	their
njihova	viņu	their
njima	viņiem	them
no	nē	than
nove	jauns	new
novi	jauns	new
npr	piemēram	for example
o	par	about
obično	parasti	usually
oblik	forma	shape
obliku	forma	shape
od	no	from
odnosno	tas ir	respectively
oko	acs	about
on	viņš	it
ona	viņa	she
one	ak nē	they
oni	viņi	they
online	tiešsaistē	online
opnokrilci	membrānas	hymenoptera (latin - it's a group of insects)
os	os	os
osim	izņemot	exept
osnovu	pamats	based on
osoba	cilvēks	person
ostali	citi	other
ostrvu	sala	island
ova	šo	this
ovaj	šī	this
ove	šie	this
ovim	ar šo	this
ovo	šo	this
ovog	no šī	this
ovom	šis m	this
ovu	šī	this
oštećenja	bojājumi	damages
p	lpp	p
pa	labi	and
panthera	pantera	panthera
pc	pc	pc
period	laika periods	period
php	php	php
po	autors	on
pod	grīda	under
podataka	dati	informations
pojava	rašanās	appearance
pomoć	palīdzēt	help
ponovo	atkal	again
pored	blakus	beside
porodica	ģimene	family
posle	vēlāk	after
postoje	kopš	exist
postoji	pastāv	exist
potrebe	vajadzībām	needs
pozicije	pozīcijas	positions
početku	sākumā	start
pošto	kopš	because
prava	tiesības	right
pravo	taisnība	right
pre	pirms tam	before
preko	pāri	over
prema	saskaņā ar	according to
prenos	pārnešana	transmission
pri	plkst	during
prijemnika	uztvērējs	receiver
primer	piemērs	example
promene	izmaiņas	changes
prva	vispirms	first
prvi	pirmkārt	first
psilocibin	psilocibīns	psilocybin
put	ceļš	way
puta	reizes	way
q	q	q
r	r	r
rad	darbs	work
radi	tāpēc ka	works
radio	radio	radio
različitih	savādāk	different
različitim	savādāk	different
razvoj	attīstību	development
realizam	reālisms	realism
reference	atsauce	reference
región	novads	region
regnum	regnum	regnum
rh	rh	rh
rizik	risks	risk
roma	roma	rome
s	s	s
sa	ar	from
sad	asv	sad
sada	tagad	now
sadrži	satur	contains
samo	tikai	only
san	sapnis	san
santa	santa	santa
sarkofag	sarkofāgs	sarcophagus
sastoji	sastāv	contains
satelita	satelīts	satellite
se	se	is
sekreta	sekrēcija	discharge
serano	serano	serano
serija	sērijas	series
serije	sērijas	series
seriji	sērijas	series
seriju	sērijas	series
server	serveris	server
sezona	gada sezonu	season
sezone	gada sezonu	season
signal	signāls	signal
signala	signāls	signals
simptoma	simptomi	symptoms
simptomi	simptomi	symptoms
sistem	sistēma	system
sistema	sistēma	system
skleroza	skleroze	sclerosis
skleroze	skleroze	sclerosis
sloj	slānis	layer
slova	vārdi	letters
smatra	uzskatīts	considered
spoljašnje	ārējs	external
srbije	no serbijas	serbia
srbiji	serbija	serbia
srpska	serbu	sebian
srpske	serbu	serbian
start	sākt	start
strane	sānos	side of
stvari	lietas	things
su	ir	"are /in ""kao sto su hlamidije""doesn't translate, just ""such as chlamydia"", etc/"
svaki	katrs	every
sve	visiem	all
svet	pasaule	world
sveta	svētais	world
svetu	pasaule	world
svi	viss no	all
svih	no visa	all
svog	viņa	his
svoj	savu	own
svoje	viņu pašu	own
svojim	tā	my
svoju	tavs	own
t	t	t
ta	jā	these
tada	tad	then
taj	ka	that
tako	tātad	so
takođe	pārāk	also
tardigrada	tardigrada	tardigrad
tcp	tcp	tcp
te	un	theese
tehnika	tehnika	technique
tela	ķermeņi	body
telenovela	telenovela	telenovela
telenovele	telenovelas	telenovelas
terapija	terapija	territory
tesla	tesla	tesla
the		the
thriller	trilleris	thriller (music album)
ti	tu	those
tim	komanda	those
time	laiks	thereby
timeaxis	laikaaxis	time axis
tj	ti	that is
to	ka	that
toga	ka	this
tokom	laikā	during
toku	pašreizējais	during
tom	tom	that
treba	vajadzētu	shall
tri	trīs	three
tu	tu	that
tuja	ārzemju	tuja
tv	tv	tv
u	u	in
uloge	lomas	part
ulogu	lomu	part
umesto	tā vietā	instead
umetnosti	māksla	arts
un	un	un
university	universitāte	university
uspeh	veiksme	succes
utc	utc	utc
uvek	vienmēr	always
uz	uz	through
v	v	v
van	van	d. van nostrand company
veliki	liels	large
veoma	ļoti	very
verzija	versija	version
veze	savienojumi	connection
već	jau	already
vi	jūs	vi
vidi	redzēt	see
viii	viii	viii
vitamin	vitamīns	vitamin
vitamina	vitamīns	vitamin
više	vairāk	more
vreme	laiks	time
vremena	reizes	time
vrlo	ļoti	very
vrste	veidi	types
w	w	w
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii  (thirteen )
xiv	xiv	hiv
xix	xix	xix
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii (18)
xx	xx	xx
y	y	in
yo	yo	me
za	priekš	for
zagreb	zagrebs	zagreb
zajedno	kopā	together
zato	tāpēc	because
zatvora	cietums	prison
zbog	jo	because
značajno	ievērojami	significantly
||	||	||
|гшир=	| platums =	gsir
|датум	| datums	date
|држава	| valsts	country
|име	| vārds	name
|место	| vieta	place
|позивни	| zvana	positive
|поп=	| pop =	pop
|поштански	| pasta	postal
|приступница	| pieteikuma forma	application form
|регион=	| reģions =	region
|регистарска	| reģistrs	|registration
|слика	| attēls	picture
~	~	~
°с	° s	celsius
×	×	multiply (in mathematics)
će	būs	will
ćelija	šūna	cell
čak	pat	even
često	bieži vien	often
četiri	četri	four
što	galds	what
žena	sieviete	woman
žene	sievietes	womens
život	dzīve	life
života	dzīves	life
а	a	and
абу	abu	abu
авганистан	afganistāna	avganistan
авганистану	afganistāna	avganistan
август	augusts	august
августа	augusts	august
августу	augusts	august
авион	lidmašīna	airplane
авиона	lidmašīnas	airplane
авионе	lidmašīnas	airplanes
авиони	lidmašīnas	airplanes
авионима	ar lidmašīnu	airplanes
авионом	ar lidmašīnu	airplane
авиону	lidmašīnā	airplane
авијација	aviācija	aviation
авијације	aviācija	aviation
авноја	avnoja	avnoj
агенција	aģentūra	agency
агенције	aģentūras	agency
агломерација	aglomerācija	agglomeration
агресије	agresija	aggression
ада	upes sala	ada
адам	ādams	adam
адаптација	adaptācija	adaptation
административна	administratīvā	administrative
административни	administratīvā	administrational
административно	administratīvi	administrative
адолф	ādolfs	adolph
адреса	adrese	adress
адресе	adreses	addresses
адресу	adrese	address
аеродром	lidosta	airport
аеродрома	lidosta	airport
аеродроми	lidostas	airports
аеродрому	lidosta	airport
азербејџан	azerbaidžāna	azerbaijan
азербејџана	azerbaidžāna	azerbaijan
азија	āzija	asia
азије	āzija	asia
азији	āzija	asia
азот	slāpeklis	nitrogen
азра	azra	azra
академик	akadēmiskais	academician
академија	akadēmija	academy
академије	akadēmija	academy
академији	akadēmija	academy
академију	akadēmija	academy
ако	ja	if
акредитација	akreditācija	acreditation
акт	tēlot	deed
активан	aktīvs	active
активна	aktīvs	active
активни	aktīvs	active
активно	aktīvs	active
активност	aktivitāte	activity
активности	aktivitātes	activities
активностима	aktivitātes	activities
акценат	akcents	accent
акција	darbība	action
акцијама	akcijas	actions
акције	darbības	actions
акцију	darbība	action
алата	darbarīki	tool
албанаца	albāņi	albanians
албанија	albānija	albania
албаније	albānija	albania
албанији	albānija	albania
албанијом	albānija	albania
албанију	albānija	albania
албанска	albāņu	albanian
албанске	albāņu	albanian
албански	albāņu	albanian
албанских	albāņu	albanian
албанског	albāņu	albanian
албанском	albāņu	albanian
албанце	albāņu	albanians
албанци	albāņi	albanians
алберт	alberts	albert
алберта	alberta	albert
албум	albumu	album
албума	albumus	album
албуми	albumus	albums
албуму	albumu	album
алгоритам	algoritms	algorithm
алгоритама	algoritmi	algorithms
алгоритма	algoritms	algorithm
алгоритми	algoritmi	algorithms
алдехид	aldehīds	aldehide
алекса	aleksa	alexa
александар	aleksandrs	alexander
александра	aleksandrs	alexandra
александру	aleksandrs	aleksandar
алексић	aleksic	aleksic
алел	alēle	allele
алеји	alejas	mall
али	bet	but
алија	bet es	alija
алпа	alpa	alps
алпи	alpi	alpes
алфабет	alfabēts	alphabet
амбасаде	vēstniecība	embassies
амбасадор	vēstnieks	ambassador
амбиваленција	ambivalence	ambivalence
аменореја	amenoreja	amanorrhea
америка	amerika	america
американци	amerikāņi	american
америке	amerika	america
америку	amerika	america
америци	amerika	america
америчка	amerikāņu	american
америчке	amerikāņu	american
амерички	amerikāņu	american
америчким	amerikāņu	american
америчких	amerikāņu	u.s.
америчког	amerikāņu	american
америчком	amerikāņu	american
америчкој	amerikāņu	american
амино	aminogrupa	amino
амфора	amfora	amphora
ана	ana	ana
анализа	analīze	analysis
анализе	analīze	analysis
анализом	analīze	analysis
анални	anālais	anal
анатомија	anatomija	anatomy
анатомије	anatomija	anatomy
анда	anda	andes
андреј	andrej	andrej
андрић	andričs	andric
андромеда	andromeda	andromed
андроника	andronika	andronikos
ане	nē	ane
анкара	ankara	ankara
антанте	pirms tam	entente
антарктик	antarktīda	antarctic
антарктика	antarktīda	antartics
анте	ante	ante
антике	senatne	antique
антипатија	antipātijas	aversion
антисемитизам	antisemītisms	antisemitism
антитела	antivielas	antibodies
античке	senais	antique
антички	senais	antique
античких	senais	antique
античко	senais	antique
античког	senais	antique
античкој	senais	antique
антонио	antonio	antonio
антонија	antonija	anthony
анубис	anubis	anubis
анђела	eņģeļi	andjela
анђелес	eņģeļi	angeles
анђели	eņģeļi	angels
анђео	enģelis	angel
аорта	aorta	mini aorta
апарат	aparāti	apparatus
апатит	apatīts	apetit
аполон	apollo	apollonius
апостола	apustulis	apostles
април	aprīlī	april
априла	aprīlī	april
априлу	aprīlī	april
апсентизам	prombūtne	absenteesm
апсолутни	absolūts	apsolute
арапа	arapa	arabs
арапи	arābu valodā	arabs
арапска	arābu valodā	arab
арапске	arābu valodā	arab
арапски	arābu valodā	arabic
арапским	arābu valodā	arab
арапских	arābu valodā	arab
арапског	arābu valodā	arabic
арапском	arābu valodā	arabic
аргентина	argentīna	argentina
аргентине	argentīna	argentina
аргумент	arguments	argument
арена	arēnā	arena
аристотел	aristotelis	aristotel
аристофан	arisofāni	aristofan
армија	armija	army
армије	armija	army
армији	armija	army
армијом	armija	army
армију	armija	army
арно	arno	arno
арсен	arsēns	arsenic
артиљерија	artilērija	artillery
артиљерије	artilērija	artillery
артиљерију	artilērija	artillery
археолошка	arheoloģisko	archaeological
археолошки	arheoloģiski	archeological
археолошких	arheoloģisko	archaeological
архив	arhīvs	archive
архива	arhīvs	archives
архиепископ	arhibīskaps	archbishop
архиепископа	arhibīskaps	archbishop
архимед	arhimēdi	archimed
архитекта	arhitekts	architect
архитекте	arhitekti	architects
архитектонски	arhitektoniski	architectural
архитектура	arhitektūra	architecture
архитектуре	arhitektūra	achitecture
архитектури	arhitektūra	architecture
архитектуру	arhitektūra	architecture
асонанца	asonanse	assonance
асоцијација	asociācija	association
аспекти	aspektiem	aspects
астронаутика	astronautika	astronautics
астрономија	astronomija	astronomy
астрономије	astronomija	astronomy
асурбанипал	asurbanipal	ashurbanipal
атентат	slepkavība	assassination
