$ tỉ	milliard dollar	$ billion
abc	abc	abc
abdul	qorin	abdul
abkhazia	abxaziya	a name
about	haqida	about
abraham	abraham	abraham
abrams	abramlar	abrams
abscbn	abscbn	abscbn
account	hisob	account
aceh	aceh	(proper noun) aceh
achilles	axilles	achilles
acia	akia	acia
acid	kislota	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	rivojlangan	advanced
aedes	aedes	aedes
aegypti	misr	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afg&#39;oniston	afghanistan
africa	afrika	(proper noun) africa
african	afrika	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	jssv	who
ailen	irlandiya	ailen
aim	maqsad	aim
air	havo	air
airbus	samolyot	airbus
aisne	koridorda	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	aktsiyalar	akms
akô	salom	ako
al	al	al
alabama	alabama	alabama
alaska	alyaskada	alaska
albania	albaniya	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	aleksandra	alexandra
alexandria	aleksandriya	alexandria
alexandros	aleksandros	alexandros
alexey	aleksey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algéri	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	cho&#39;pon	(proper noun) alpher
alps	alp tog&#39;lari	alps
altai	oltoy	altai
always	har doim	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	omin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	ammiak	ammonium (n.)
amphitrite	amfitrit	(proper noun) amphitrite, a greek sea goddess
an	an	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatoliya	anatolia
andalusia	andalusiya	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andalar	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
