$ tỉ	$ r $	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	nipa	about
abraham	rabúráhámù	abraham
abrams	abramu	abrams
abscbn	abscbn	abscbn
account	akọọlẹ	account
aceh	aceh	(proper noun) aceh
achilles	awọn eegun	achilles
acia	acia	acia
acid	acid	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	ẹmọ	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	ti ni ilọsiwaju	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	afẹfẹ	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	fihan	aff
afghanistan	afiganisitani	afghanistan
africa	afirika	(proper noun) africa
african	afirika	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	àjọ who	who
ailen	irish	ailen
aim	ifọkansi	aim
air	ategun	air
airbus	ategun afẹfẹ	airbus
aisne	ibo	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	pẹlẹ o	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	ominira	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	iyọ	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	ile ologbo	albus
alexa	gbo	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	sẹsẹ	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	pẹlẹ	(proper noun) allen
allmusic	ohun gbogbogbo	allmusíc
alois	ariwo	alois
alonso	alonso	alonso
alpher	alufaa	(proper noun) alpher
alps	alps	alps
altai	altai	altai
always	nigbagbogbo	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ma	ame
ami	ami	ami
amiens	amiens	amiens
amin	amine	(proper noun) amin, as in nagib amin
amm	àm	amm
amoniac	amonia	ammonium (n.)
amphitrite	ikọwe	(proper noun) amphitrite, a greek sea goddess
an	á	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalusia	andalusia
andaman	ati hamani	andaman
anderson	anderson	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	éù	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	arakunrin	english
anhmỹ	ara ilu gẹẹsi	"(term should be ""anh mỹ"") english or american"
anhpháp	faranse gẹẹsi	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	mánà	anna
annam	an nam	a name the way french called middle vietnam as a colony
annan	ananí	annan
anne	arene	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	oloye	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	eyikeyi	any
anđêhít	aldehyde	aldehydes
ao	omi ikudu	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	apu	apple
aquinas	aquinas	a name
arab	arab	(proper noun) arab
archetypal	archetypal	archetypal
archive	ile ifi nkan pamosi	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotle	aristotle
arizona	arizona	arizona, as in the state
ark	ọkọ	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	ara ilu armenia	(proper noun) armenia
armstrong	amusowo	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	àríyá	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arun inu	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	gòke	asc
ash	eeru	a name
ashikaga	ashikaga	ashikaga
ashley	eeru	(proper noun) ashley
asia	asia	asia
asm	asm	asm
asoka	asoka	asoka
association	ẹgbẹ	association
assyria	assyria	assyria
aston	yà	(proper noun) aston, as in aston villa
atkinson	eefin	atkinson
atlanta	lodun	atlanta
atlantic	atẹgun	atlantic
aua	uaùù	aua
aubrac	aubrac	aubrac
audition	idanwo afẹnuka	audition
auflage	ibikan omi	auflage
auguste	auguste	auguste
australia	ilu oyinbo	(proper noun) australia
austria	ilu olominira	(proper noun) the country of austria
austrian	ara ilu	austrian
avar	avar	a name
aviation	ọkọ ofurufu	aviation
awad	awad	awad
award	eye	award
axit	acid	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaijan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	baba	three
babylon	omo kekere	babylon
bacon	bekin eran elede	bacon
baden	ṣe	baden
baghdad	baghdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrain	bahrain
baháí	baháí	bahai
balearic	alainibaba	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	baluku	balkans
ballard	baluu	ballard
bamar	bamar	bamar
ban	gbesele	the
bang	bangi	state
banh	bọọlu	ball
banner	asia	banner
bantam	bantam	bantam
bantu	tu wiwọle	bantu
bao	àpo	bao giờ= ever
barack	baraki	barack
barak	bukun	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	alaigbede	barbary
barca	barca	barca
barnes	abà	barnes
barone	barone	barone
baroque	baroki	baroque
barquin	agbọnrin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barikẹli	barrichello
bartholdi	bartholdi	bartholdi
baryon	agba	baryon
barça	barça	(proper noun) barca
base	mimọ	base
basel	agbọn	basel, a city in switzerland
basil	agbọn	basil
baskervilles	baskervilles	baskervilles
bass	baasi	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	fò	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basil	basalt (n.)
bazơ	ipilẹ	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	lu	beat
beatles	awọn iṣẹgun	the beatles
beauty	ẹwa	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	alagbata	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	akobere	this is a code
behind	sile	behind
beijing	ilu beijing	beijing
bel	bel	bel
bell	agogo	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedict	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	ata	berber
bergen	bergen	(proper noun) bergen
berger	alagbẹdẹ	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	dara julọ	better
betty	tẹtẹ	betty
bhutan	bhutan	bhutan
bia	oti sekengberi	beer (n.)
biang	ẹyẹ	biang
bic	bic	bic
bikini	bikini	bikini
bill	owo	(proper noun) bill, as in former president bill clinton
billy	oniruru	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	igbasilẹ	bien
biếc	tẹẹrẹ	a bluish-green color (adj.)
biếm	aibikita	"(term should be ""biếm họa"") cartoon (n.)"
biến	jade	other
biếng	ọlẹ	lose interest in
biếu	san owo ori	present
biều	bieu	bieu
biển	okun	ocean
biểuthứcđiềukiện	mọ awọn ipo	conditional expression
biện	gafara	"(term should be ""biện pháp"") a method (n.)"
biệt	yàtọ	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	dudu	this is a name
blair	blir	blair
blaise	fẹẹrẹ	blaise
blanc	òfo	blanc
blues	awọn blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	ariwo	bobby, as in bobby day
boeing	ariwo	boeing
bohemia	bohemia	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	gbamu	bomb
bonaparte	bonaparte	bonaparte
bong	bọngò	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	ọpagun	bonnal
bonobo	bonobo	bonono
bool	agba	bool
boolean	ariwo	(proper adjective) boolean, as in boolean algebra
boom	ariwo	boom
boong	deki	a deck (n.)
boongke	bunkers	bunker
bop	bop	bop
boris	boris	boris
borland	olu ilu	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	oorun ara ilu	(proper noun) bosnia
botswana	botswana	botswana
bottom	isalẹ	bottom
boulder	okuta nla	boulder
bourbon	bourbon	bourbon
boxing	boxing	boxing
brain	ọpọlọ	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	iyasọtọ	brandt
braun	braun	braun
brazil	brazil	brazil
bremen	awon alabo	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	bretoni	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brezhnev	brezhnev
brian	bẹtẹli	a name
bridge	afara	bridge
britannic	ede oyinbo	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	brown	brown
browne	atare	browne
browning	brown	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	biroseli	brussels, the capital of belgium
btr	btr	btr
bubalis	bobali	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgaria	bulgaria
bulletin	iwe iroyin	thong bao
bungary	igbesoke	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	buruku	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	akero	a korean city
busby	akero	busby
bush	igbo	bush
bushy	bushy	bushy
buôn	osunwon	commerce
buông	jẹ ki o	to release, to let loose
buýt	bosi	bus
buốt	islam	sharp
buồm	ta asia	sail
buồn	ibanujẹ	sad
buồng	yara	chamber
buổi	igba	session
byzantine	byzantine	byzantine
bà	iya agba	woman or lady (n.)
bài	awọn ifiweranṣẹ	articles
bàn	tabili	table
bàng	idì	eagle
bành	peng	armchair
bào	pẹtẹlẹ	compatriot
bàu	bau	bau
bày	igbejade	"(term should be ""trưng bày"") to display (v.)"
bác	aburo	doctor
bách	igi afikọti	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	egbeokunkun	to bow (v.)
bám	rirọ	cling
bán	ta	sell
báng	bangi	"(term should be ""phỉ báng"") to defame or slander"
báo	iwe iroyin	newspaper (n.)
bát	ekan	eight (n.)
báu	iṣura	valuable
bây	ni bayi	now
bã	iṣẹku	"(term should be ""buồn bã"") sad (adj.)"
bãi	ese	beach
bão	ìjì	storm
bèn	lẹhinna	then
bé	diẹ	baby
bén	didasilẹ	sharp (adj.)
béo	ọra	fat
bên	ẹgbẹ	side
