$	dollarni tashkil etadi	dollar
+	+	+
a	a	and
abc	abc	abc
abdić	qorin	abdić
abdića	abdiya	abdic
abdul	qorin	abdul
abdulah	abdula	abdulah (name)
abdullah	abdulloh	abdullah
abortus	abort	abortus
abraham	abraham	abraham,first name
abu	abu	abu
ad	reklama	ad
adam	odam	adam
administrativna	ma&#39;muriy	administrative
administrativne	ma&#39;muriy	administrative
administrativni	ma&#39;muriy	administrative
administrativno	ma&#39;muriy	administrative
adnan	adnan	adnan
adobe	adobe	adobe
adolf	adolf	adolph
adresa	manzili	address
adresu	manzili	address
adsorpcija	adsorbsiya	absorption
aerodrom	aeroporti	airport
aerodroma	aeroporti	airport
afera	ish	affair
afganistan	afg&#39;oniston	afghanistan
africi	afrika	africa
afrika	afrika	africa
afrike	afrika	africa
afriku	afrika	africa
afričke	afrika	african
agencija	agentligi	agency
agencije	agentliklari	agency
agresija	tajovuz	agression
agresije	tajovuz	agression
agresora	tajovuzkor	aggressor
ahilej	axilles	achilles
ahmed	ahmed	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	oysha	aisha
ajet	oyat	ayet
ak	ak	ak
akademija	akademiyasi	academy
akademije	akademiyasi	academy
akademiji	akademiyasi	academy
akademiju	akademiyasi	academy
akcija	harakat	action
akcije	harakatlar	action
ako	agar	if
akrozom	akrosoma	akrosome
akt	harakat qilmoq	act
aktivan	faol	active
aktivna	faol	active
aktivni	faol	active
aktivno	faol	active
aktivnost	faoliyat	activity
aktivnosti	faoliyati	activities
aktualizirano	yangilandi	actualized
akumulacije	to&#39;planishi	accumulation
akutnog	o&#39;tkir	acute
al	al	al
alat	vositasi	tool
alata	asboblar	tools
alate	asboblar	tools
alati	asboblar	tools
albanaca	albanlar	albanians
albanci	albanlar	albanians
albanija	albaniya	albania
albanije	albaniya	albania
albaniji	albaniya	albania
albanski	alban	albanian
albert	albert	albet
alberto	alberto	aberto
album	albom	album
albuma	albomlar	album
albumi	albomlar	albums
albumu	albom	album
aleksa	alexa	aleksa
aleksandar	aleksandr	aleksandar
aleksandra	aleksandr	alexandra
alen	alen	alen
alexis	aleksiya	alexis
alge	yosunlar	alga
algi	yosunlar	alga
algoritam	algoritm	algorithm
algoritma	algoritm	agorithm
algoritmi	algoritmlari	algorithms
alhamijado	alhamijado	alhamijado
ali	lekin	but
alija	alija	ali
alije	lekin	alija
alkini	alkinlar	alkyns
alkohol	alkogol	alcohol
alkohola	alkogol	alcohol
alkoholizam	alkogolizm	alcoholism
alkoholizma	alkogolizm	alcoholism
allah	alloh	allah
allaha	alloh	allah
allahov	allohdan	allah's
allahu	alloh	allah
alma	alma	alma
almir	almir	almir
alpa	alpa	alps
alpha	alfa	alpha
alternativni	muqobil	alternative
aluminij	alyuminiy	aluminium
aluminija	alyuminiy	aluminium
alžir	jazoir	algiers
alžira	jazoir	algeria
amar	sevgi	amar
american	amerikalik	american
americi	amerika	america
americijum	amerikalik	ameritium
amerika	amerika	america
amerikanci	amerikaliklar	americans
amerike	amerika	america
ameriku	amerika	america
američka	amerikalik	american
američke	amerikalik	american
američki	amerikalik	american
američkih	amerikalik	american
američkim	amerikalik	american
američkog	amerikalik	american
američkoj	amerikalik	american
američkom	amerikalik	american
amir	amir	amir
amonijum	ammiak	amonium
an	an	an
ana	ana	ana
analiza	tahlil	analysis
analize	tahlil	analysis
analizi	tahlil	analysis
analizu	tahlil	analyses
analogni	analog	analogue
anatomija	anatomiya	anatomy
and	va	and
andora	andorra	andorra
andrić	andrić	andrić
andrića	andrić	andric
anemije	anemiya	anemia
animacija	animatsiya	animation
anne	anne	anne
anoda	anod	anoda
ansambl	ansambli	group
antarktika	antarktida	antarctica
ante	ante	ante
antibiotik	antibiotik	antibiotics
antigona	antigon	antigone
antioksidant	antioksidant	anti-oxides
antivirus	antivirus	anti-virus
antička	qadimiy	antique
antičke	qadimiy	ancient
antički	qadimiy	antique
antičkih	qadimiy	antique
antičko	qadimiy	antique
antičkog	qadimiy	antique
antičkoj	qadimiy	antique
anto	anto	anto
antoaneta	antoaneta	antoanete
anton	anton	anton
antonija	antoniya	antonia
antonije	antonije	anthony
antonio	antonio	anthonio
antropologija	antropologiya	anthropology
antropologije	antropologiya	anthropology
antropologiju	antropologiya	anthropology
antropolozi	antropologlar	anthropologists
aparat	apparati	apparatus
aparata	apparati	device
aplikacija	dastur	application
aplikacije	ilovalar	applications
apostola	havoriy	apostles
april	aprel	april
aprila	aprel	april
aprilu	aprel	april
apsolutna	mutlaq	absloute
apsolutni	mutlaq	apsolute
apsolutno	mutlaqo	absolutely
ar	ar	arabic
arabija	arabiston	arabia
arabije	arabiston	arabia
arabiji	arabiston	arabia
arapa	arapa	arab
arapi	arabcha	arabs
arapska	arabcha	arab
arapske	arabcha	arabian
arapski	arabcha	arabic
arapskih	arabcha	arab
arapskim	arabcha	arab
arapskog	arabcha	arab
arapskom	arabcha	arabic
arbih	arbix	arbih
argentina	argentina	argentina
arheolozi	arxeologlar	archaeologists
arheološka	arxeologik	archaeological
arheološki	arxeologik jihatdan	archaeological
arhipelag	arxipelagi	archipelago
arhitekt	me&#39;mor	architect
arhitekta	me&#39;mor	architect
arhitektonski	me&#39;moriy jihatdan	architectural
arhitektura	arxitektura	architecture
arhitekture	arxitektura	architecture
arhitekturi	arxitektura	architecture
arhitekturu	arxitektura	architecture
arhiv	arxiv	archive
arhiva	arxiv	archive
arija	ariya	aria
aristotel	aristotel	aristotle
aristotela	aristotel	aristotelis name
aritmetika	arifmetik	aritmetics
armija	armiya	army
armije	armiya	armies
arsen	mishyak	arsenic
arslanagić	arslanagić	arslanagic
art	san&#39;at	art
arterija	arteriya	artery
arterije	arteriyalar	artery
artritis	artrit	artritis
as	sifatida	a.s. (peace be upon him)
asim	asim	asim
asocijacija	uyushma	association
aspekt	tomoni	aspect
aspekta	tomoni	aspect
aspekte	jihatlari	aspects
aspirin	aspirin	aspirin
aspirina	aspirin	aspirin
at	da	at
atina	afina	athens
atine	afina	athens
atini	afina	"(in the picture: olympic torch for oi in athens 2008. those games, in athens 2004., are actually not 28 olympics (since athens 1896th onwards)- which were held - but ""only"" 25. but despite everything, despite all the examples, warnings and threats to the xxviii olympic games in athens, 2004 23 (twenty three) athletes and female athletes were disqualified because of doping."
atlantski	atlantika	atlantic
atlantskog	atlantika	atlantic
atmosfera	atmosfera	atmosphere
atmosfere	atmosfera	athmosphere
atmosferi	atmosfera	atmosphere
atmosferu	atmosfera	atmosphere
atom	atom	atom
atoma	atom	atom
atomci	atomlari	atomci
atomsko	atom	atomic
atomskog	atom	atomic
aton	aton	eaton
atp	atp	atp
atrakcija	diqqatga sazovor joy	attraction
atrakcije	diqqatga sazovor joylar	attractions
august	avgust	august
augusta	avgust	august
augustin	avustin	augustine
augustu	avgust	august
auschwitz	auschwitz	auschwitz
australija	avstraliya	australija
australije	avstraliya	austria
australiji	avstraliya	austria
austrija	avstriya	austria
austrijanci	avstriyaliklar	austrians
austrije	avstriya	austria
austriji	avstriya	austria
austrijom	avstriya	austria
austrijska	avstriya	austrian
austrijske	avstriya	austrian
austrijski	avstriya	austrian
austrijskog	avstriyalik	austrian
austriju	avstriya	austria
austrougarska	avstriya-vengriya	austro-hungarian
austrougarske	avstriya-vengriya	austro-hungarian
austrougarski	avstriya-venger	austro-hungarian
austrougarsko	avstriya-venger	austro-hungarian
austrougarskog	avstriya-vengriya	austro-hungarian
autizam	autizm	autizm
automatski	avtomatik ravishda	automatic
automobila	mashina	cars
autonomije	avtonomiya	autonomy
autonomiju	avtonomiya	autonomy
autonomna	avtonom	autonomous
autonomne	avtonom	autonomous
autoput	avtomagistral	highway
autoputa	avtomagistral	highway
autoputeva	avtomagistrallar	highways
autor	muallif	author
autora	muallif	author
autori	mualliflar	authors
autorima	mualliflar	authors
autoritet	hokimiyat	authority
autoru	muallifga	author
avaz	avaz	avaz
avgust	avgust	august
avijacija	aviatsiya	aviation
avion	tekislik	aircraft
aviona	samolyotlar	plane
avioni	samolyotlar	planes
azerbejdžan	ozarbayjon	azerbaijan
azija	asiya	asia
azije	osiyo	asia
aziji	osiyo	asia
aziju	osiyo	asia
b	b	b
bacanje	otish	throwing
bach	bach	bach,last name
bacte	bakte	throw
bad	yomon	bad
bajram	hayit	bayram
bajrama	hayit	bayram
bajramović	bajramović	bajramovic
bakar	mis	copper
bakra	mis	copper
bakterija	bakteriyalar	bacteria
bakterije	bakteriyalar	bacteries
balada	ballada	ballad
balade	balladalar	balads
baljić	baljić	baljic
balkan	balkon	balkan
balkana	bolqonlar	balkan
balkanski	bolqon	balkan
balkanskih	bolqon	balkan
balkanskog	bolqon	balkan
balkanskom	bolqon	balkan
balkanu	bolqonlar	balkans
ban	taqiq	ban
bana	bana	ban
banja	kurort	spa
banje	kurort	spas
banjoj	banjoj	banja
banka	bank	bank
banke	banklar	banks
banovina	banovina	banovina
banovine	banovina	banovina
banovići	banovići	banovich
bar	bar	at least
barbarez	barbares	barbarez(name)
barcelona	barselona	barcelona
bare	yalang&#39;och	bare
barem	kamida	at least
barometar	barometr	barometer
barry	barry	barry
bas	bas	bass
basicu	asosiy	basic
baterija	batareya	battery
baterije	batareyalar	battery
bave	pishirmoq	deal with
bavi	bitimlar	deals
bavili	o&#39;yin-kulgi	dealt with
bavilo	unashtirilgan	dealt with
baviti	bilan shug&#39;ullanish	do
baza	tayanch	base
baze	tayanch	base
bazen	basseyn	pool
bazena	basseyn	pool
bazi	tayanch	base
bazilika	bazilik	basilica
bazira	asoslangan	based on
baziran	asoslangan	based
bazirana	asoslangan	based
bazu	tayanch	base
baš	shunchaki	exactly
bašagić	boshagíћ	basagic
bašagića	boshagiћa	bašagić
bašeskija	bosheskiјa	bašeskija
baština	meros	heritage
baštine	meros	heritage
baštini	meros	inheritance
baščaršija	boshšaršija	bascarsija (part of the city of sarajevo)
bdp	bdp	gdp
bdpa	bdpa	bdp
be	bo&#39;lmoq	be
bebek	chaqaloq	bebek
bedema	rampartlar	rampart
beg	tilanchilik	bey
begova	yolvoradi	duke
bejrut	bayrut	beirut
belgija	belgiya	belgium
belgije	belgiya	belgium
belgiji	belgiya	belgium
bell	qo&#39;ng&#39;iroq	bell
bend	egilish	band
benda	benda	band
bendu	egilish	band
benjamin	benjamin	benjamin
benu	benu	ben
beograd	belgrad	beograd
beograda	belgrad	belgrade
beogradskom	belgrad	belgrade
beogradu	belgrad	belgrade
berlin	berlin	berlin
berlinu	berlin	berlin
besplatni	ozod	free
beta	beta-versiya	beta
bez	holda	without
beč	vena	vienna
beča	vena	wien
beču	vena	vienna
bešlagić	beslagic	beslagic,last name
bešlić	beso&#39;naqay	beslic
bh	bh	bh
bi	bi	to
biblije	injil	bible
bibliji	bibliya	bible
bibliografija	bibliografiya	bibliography
biblioteka	kutubxonasi	library
biblioteke	kutubxonalar	libraries
bici	bibi	battle
bih	men .. istayman	bih
bihać	bihać	bihać
bihaća	bihaća	bihac
bihaćki	bihaćki	bihac
bihaću	men qilaman	bihac
bijaše	bu bo&#39;lgandi	was
bijela	oq rang	white
bijele	oq	white
bijeli	oq rang	white
bijelim	oq	white
bijeljina	oqlik	bijeljina
bijelo	oq	white
bijelog	oq	white
bijelu	oq	white
bila	edi	was
bile	safro	were
bileća	safro	bileca
bili	edi	were
biljaka	o&#39;simliklar	plants
bilje	giyohlar	plants
bilješke	eslatmalar	notes
bilježe	yozib olishadi	note
bilježi	eslatmalar	notes down
biljka	o&#39;simlik	plant
biljkama	o&#39;simliklar	plants
biljke	o&#39;simliklar	plants
biljne	o&#39;simlik	herbal
biljnih	o&#39;simlik	plant
biljnog	o&#39;simlik	herbal
bill	hisob-kitob	bill
bilo	edi	was
bin	axlat qutisi	bin
binarni	ikkilik	binary
bint	bandaj	bint
bio	edi	was
biofizika	biofizika	biofysics
biografija	tarjimai hol	biogeography
biologija	biologiya	biology
biološka	biologik	biological
biološki	biologik	biological
biosfera	biosfera	biosphere
bira	pivo	elected
biraju	ular tanlaydilar	chosen
