$	ps	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;suave&gt;	mend
<நிரை>	&lt;fila&gt;	hirsels
<நேர்>	&lt;persona&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	el |	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	α	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	si hvin	a chemaical name
அ	una	a
அ.கே.கே	preguntas más frecuentes	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	infrarrojo	dark red
அகதிகள்	refugiados	refugees
அகத்தியர்	sabio	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	agam	inside
அகர	alfabéticamente	alphabetically
அகரமுதலி	wikcionario	alphabets
அகரம்	agaram	agaram, a dictionary
அகரவரிசை	alfabético	alphabet
அகராதி	diccionario	dictionary
அகராதிகள்	diccionarios	alphabets
அகற்ற	eliminar	remove
அகற்றி	remoto	destroy
அகலம்	anchura	width
அகலாங்கு	latitud	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	augusto	aghastas
அகிம்சை	no violencia	ahimsa, and non violence
அகில	todas	all india
அகிலத்தின்	internacional	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	internacional	world
அக்கட்சியின்	zimmermann	that party
அக்கறை	cuidado	other side bank
அக்கால	hora	during those days
அக்காலகட்டத்தில்	en el periodo	during that time
அக்காலத்தில்	en ese tiempo,	at the time
அக்காலத்து	antiguos	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	octubre	october
அக்பரின்	akbar&#39;s	king
அக்பருக்கு	akbar	to akbar
அக்பரை	akbar	akbar
அக்பர்	akbar	akbar
அங்கமாக	parte	is a part
அங்கம்	elemento	part
அங்காரா	ankara	ankara
அங்கிருந்த	los	there
அங்கிருந்து	desde allí	approve
அங்கீகரிக்கப்பட்ட	autorizado	authorised
அங்கீகாரம்	autenticación	recognition
அங்கு	ahí	there
அங்குள்ள	los	on that
அங்கூர்	ankur	angur
அங்கே	ahí	there
அசல்	original	original
அசாதாரண	extraordinario	extraordinary
அசாம்	assam	assam
அசினின்	como en	asin
அசின்	impresión	asin
அசோகர்	ashoka	the king asoka
அச்	impresión	that
அச்சகம்	prensa	press
அச்சின்	impresión	axis of
அச்சில்	impresión	in axis
அச்சு	impresión	axis
அச்சுப்	impresión	print
அஜித்	ajith	ajith a name
அடக்கம்	enterrado	included
அடக்கும்	supresor	contains
அடங்கிய	que contiene	consisting, based
அடங்கியுள்ள	contenida	with
அடங்கியுள்ளது	contenida	contains
அடங்கியுள்ளன	incluye	included
அடங்குகின்றன	incluyen el	included
அடங்கும்	incluye	included
அடங்குவர்	incluso	including
அடர்த்தி	densidad	volume
அடர்த்தியான	grueso	dark
அடி	paso	feet
அடிகள்	pasos	hits
அடிக்கடி	frecuentemente	often
அடிக்குறிப்புகளும்	pies de página	footnotes
அடிப்படை	básico	fundamental
அடிப்படைகள்	lo esencial	fundamentals
அடிப்படைக்	lo básico	fundamentally
அடிப்படைத்	básico	fundamentally
அடிப்படைப்	básico	basic of
அடிப்படையாகக்	en	based on the
அடிப்படையாகும்	es fundamental	is the fundamental
அடிப்படையான	lo básico	fundamentally
அடிப்படையிலான	establecido	basics
அடிப்படையிலும்	base	fundamentals
அடிப்படையிலேயே	fundamentalmente	basically
அடிப்படையில்	básicamente	fundamentally
அடிமை	adicto	slave
அடிமைகளாக	esclavitud	like slaves
அடிமைகள்	esclavos	slaves
அடியில்	debajo	under
அடுக்கு	capa	layer
அடுக்குகளில்	en capas	layer
அடுக்குகள்	capas	outer layers
அடுத்த	próximo	next
அடுத்தடுத்த	sucesivo	next to next
அடுத்ததாக	próximo	next after
அடுத்தபடியாக	próximo	after
அடுத்து	próximo	next
அடைகிறது	alcanza	is
அடைந்த	alcanzado	got
அடைந்தது	alcanzado	reach
அடைந்தன	alcanzado	is reached
அடைந்து	alcanzado	reached
அடைய	alcanzar	attain
அடையாளங்களை	identidades	identities
அடையாளங்கள்	señales	identifications
அடையாளத்தை	identidad	identity
அடையாளமாக	indicación	symbolic
