$	usd	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ	a	a
అంకారా	ankara	ankara
అంకితం	veltīts	dedicated
అంకురార్పణ	iniciatīvs	start
అంకె	skaits	digit
అంకెల	cipars	numbers
అంకెలను	cipari	digits
అంకెలు	cipari	numerics
అంగదుని	angad	during the period of angadh
అంగారక	marss	mars
అంగారకుడిపై	angarakudipai	on mars
అంగాలు	zole	parts
అంగిలి	aukslējas	angali
అంగీకరించరు	piekrītu	accept
అంగీకరించలేదు	pieņemts	did not accept
అంగీకరించారు	pieņemts	agreed
అంచనా	paredzētais	estimate
అంచనాల	aplēses	estimates
అంచనాలు	prognozes	estimates
అంజలి	anjali	anjali
అంటాం	zvanīja	speaken
అంటాడు	saka	he says
అంటారు	ir	tell
అంటార్కిటికా	antarktīda	antarctica
అంటుంటారు	atsaucās uz	tell
అంటున్నారు	saka	telling
అంటూ	tur	say
అంటే	kas	it menns
అండ	atbalsts	shelter
అండమాన్	andaman	andaman
అండ్	un	and
అంత	es	that much
అంతం	beigas	end
అంతకంటే	vairāk	earlier
అంతకు	iepriekš	then
అంతగా	daudz	so much
అంతటా	visā	all over
అంతటి	beigās	famous
అంతటితో	tajā brīdī	with that
అంతము	beigas	end
అంతరించిన	izmiris	ending
అంతరిక్ష	kosmoss	space
అంతర్	starp	inter
అంతర్గత	iekšējais	seeply
అంతర్జాతీయ	starptautiskā	international
అంతర్జాతీయంగా	starptautiski	antarjateeyam
అంతర్జాలం	internets	internet
అంతర్జీవ	antarjiva	inside water
అంతర్భాగం	interjers	internal earth
అంతర్ముఖం	saskarne	interface
అంతర్యుద్ధం	pilsoņu karš	battle
అంతర్వేది	starp	anthervedi(place name)
అంతస్తుల	stāsts	stories
అంతా	viss	all
అంతిమ	fināls	end
అంతిమంగా	visbeidzot	at last
అంతే	tas ir	thats it
అంతేకాక	un	not only that
అంతేకాదు		thats not
అంతేగాక	tālāk,	not only this
అంత్య	beigas	last
అందం	skaistums	beauty
అందంగా	diezgan	beautifully
అందకుండా	aizliegts	not reachable
అందమయిన	skaists	beautiful
అందము	skaistums	beautiful
అందమైన	skaists	beautiful
అందరి	visi	of all
అందరికి	visi	to everybody
అందరికీ	visi	for everyone
అందరినీ	visi	all
అందరు	visi	all
అందరూ	visi	all
అందానికి	skaistums	to beauty
అందాల	skaistums	beauty
అందించడం	nodrošinot	giving to
అందించాడు	ar nosacījumu	given
అందించారు	ar nosacījumu	has given
అందించింది	ar nosacījumu	gave
అందించిన	ar nosacījumu	provided
అందించే	piedāvājums	giving
అందిన	kvīts	received
అందిస్తాయి	piedāvājums	gives
అందిస్తారు	piedāvājums	provided
అందిస్తుంది	piedāvājumi	gives
అందిస్తున్నాయి	piedāvājums	providing
అందుకని	kā,	thats way
అందుకనే	kāpēc	because
అందుకు		thats way
అందుకున్నాడు	saņemts	received
అందుకున్నారు	saņemts	taken
అందుకే	kāpēc	thats way
అందుచేత	tāpēc	so that
అందునా	ietvaros	in that
అందుబాటులో	pieejams	available
అందుబాటులోకి	pieejams	nearer
అందురు	zināms	all
అందువలన	tāpēc	because of that
అందువల్ల	tāpēc	because
అందువల్లనే	tāpēc	that is why
అంపైర్	tiesnesis	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	ambedkar	ambedkar
అంశం	lieta	topic
అంశాన్ని	lieta	the subject
అంశాల	priekšmeti	subjects
అంశాలను	priekšmeti	things
అంశాలపై	ieslēgts	issues
అంశాలు	priekšmeti	parts
అకరణీయ	racionāla	rational
అకస్మాత్తుగా	pēkšņi	suddenly
అకాంథేసి	akanthesi	acantaceae
అకాడమీ	akadēmija	academy
అకారాది	leksikons	alphabatical order
అకృత్యాలు	nolaidība	cases
అక్క	māsa	sister
అక్కడ	tur	there
అక్కడకు	tur	there
అక్కడక్కడా	izkaisīti	some places
అక్కడి		that place
అక్కడికి	tur	there
అక్కడినుండి	no turienes	that place
అక్కడే	tur	there
అక్కినేని	akkineni	akkineni
అక్క్రీషణ్	akrecija	accretion disk
అక్టోబరు	oktobris	october
అక్టోబర్	oktobris	october
అక్బరు	akbar	akbar
అక్బర్	akbar	akbar
అక్షర	raksturs	letter
అక్షరం	alfabēts	letter
అక్షరమాల	alfabēts	alphabets
అక్షరాల	burti	letters
అక్షరాస్యత	lasītprasme	literacy
అఖండ	neskarts	great
అఖిల	visi	all
అగస్త్యుడు	agastja	agasthyudu
అగ్గిపుల్ల	sakritība	matchstick
అగ్ని	uguns	fire
అగ్నికి	uguns	for fire
అగ్నిపర్వత	vulkāns	volcano
అగ్నిపర్వతం	vulkāns	mountains
అగ్నిపర్వతములు	vulkāni	volcanos
అగ్నిపర్వతాల	vulkāni	volacano mountains
అగ్నిపర్వతాలు	vulkāni	volcanos
అగ్ర	tops	top
అగ్రచర్వణకాలు	agrakarvanakalu	agracharvanakaalu
అగ్రశ్రేణి	tops	topline
అచ్చంపేట	akampeta	acchampet
అచ్చమ్మ	accamma	achhamma
అచ్చుతో	patskaņis	with a vowel
అజయ్	ajay	ajay
అజర్‌బైజాన్	azerbaidžāna	ajarbaijan
అటవీ	mežsaimniecība	gungle
అటు		other side
అటువంటి	tādas	like that
అటూ	nedaudz	that side
అట్టి	tādas	such
అట్లాంటిక్	atlantijas okeāns	atlantic
అడవి	mežs	forest
అడవిలో	mežs	forest
అడవులకు	mežs	to the jungle/forest
అడవులలో	savvaļā	in forests
అడవులు	meži	forests
అడిగాడు	prasīja	asked
అడిగి	poza	ask
అడిగిన	prasīja	asked
అడిగే	prasīja	ask
అడుగు	pēdu	ask
అడుగున	zem	below
అడుగులు	ft	steps
అడోబీ	adobe	aadobi
అడ్డం	barikāde	across
అడ్డంకులు	barjeras	blockades
అడ్డంగా	horizontāli	obstracle
అడ్డు	rinda	came in between
అణు	kodols	anu
అణుధార్మికత	starojums	radiation
అణువు	atoms	molecule
అణువుల	molekulas	atom's
అణువులు	molekulas	anuvulu
అణ్వస్త్ర	kodols	nuclear
అణ్వాయుధ	atomieroči	nuclear weapons
అతడు	viņš	him
అతడ్ని	viņu	him
అతని	viņa	his
అతనికి	viņam	him
అతనితో	ar viņu	calling him
అతనిని	viņu	him
అతను	viņš	thar person
అతన్ని	viņu	him
అతి	visvairāk	ati
అతిగా	pārēšanās	over
అతిధి	viesis	guest
అతిపెద్ద	lielākais	athipeddha
అతిముఖ్యమైన	svarīgākā	very important
అతివాద	ekstrēmists	over arguing
అతివేగంగా	ātrākais	with high speed
అతిశయోక్తి	pārspīlēti	athisayokthi
అతిశీతల	auksts	very
అతీతంగా	tālāk	different
