$	usd	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	°	degrees
°م	° c	°c
آثار	efekti	ruins
آثارها	tās sekas	its antiques
آخر	cits	last
آخرها	jaunākais	last one
آخرون	citi	others
آخرين	citi	others
آخيل	ahillejs	acheles
آدم	ādams	adam
آراء	atzinumi	opinions
آسكي	ascii	ascian
آسيا	āzija	asia
آشوربانيبال	ašurbanipal	ashorbanibal
آل		the
آلات	mašīnas	tools
آلاف	tūkstošiem	thousands
آلام	māte	pain
آلة	mašīna	machine
آلهة	dievi	gods
آلية	mehānisms	mechanism
آمن	drošība	safe
آمنة	droši	amina
آمون	amons	amon
آن	ka	the same time
آنذاك	tajā laikā	by then
آي	kura	i
آيات	panti	quran verses
آية	vārsma	verse
أ	a	a
أئمة	imāmi	leaders
أب	tēvs	august
أبا	oppa	aba
أباتيت	apetīte	apatit
أباه	viņa tētis	his father
أبحاث	pētījumi	researches
أبدا	sākt	never
أبداً	sākt	at all
أبدًا	sākt	never
أبرز	visievērojamākais	most conspicuous
أبرزها	visievērojamākais	the most obvious of them
أبريل	aprīlī	april
أبطال	čempioni	heroes
أبعد	tālu	far
أبناء	bērni	sons
أبنائه	viņa dēli	his sons
أبو	abu	abou
أبواب	durvis	gates
أبوظبي	abu dabī	abu dhabi
أبوه	viņa tētis	his father
أبى	mans tēvs	dad
أبي	mans tēvs	father of
أبيب	tālr	aviv
أبيه	viņa tēvs	his father
أتاتورك	ataturks	atatork
أتباع	sekojošs	followers
أتباعه	viņa sekotāji	his followers
أتت	nāca	came
أتى	atnāca	came up
أثار	efekti	effected
أثارت	uzmodināja	provoked
أثبت	pierādīts	proofed
أثبتت	demonstrēts	proved
أثر	efekts	effect
أثرت	ietekmēts	affect
أثره	tā iedarbība	his trace
أثرية	antīkās	antique
أثناء	laikā	during
أثينا	atēna	athene
أجبر	piespiedu kārtā	forced
أجرام	noziegums	celestial bodies
أجراها	ražots	conducted by the
أجرى	ej skriet	conducted
أجريت	vada	conducted
أجزاء	daļas	parts
أجسام	ķermeņi	bodies
أجل	jā	sake
أجمع	es vācu	agreed
أجمل	visskaistākā	the most beautiful
أجنبية	ārzemju	foreign
أجنحة	spārni	sections
أجهزة	ierīces	equipment
أحادي	viens	single
أحاديث	hadīti	ahaadeeth
أحب	es mīlu	the most loved
أحجية	mīkla	mystery
أحد	vienu	one of
أحداث	notikumi	event
أحدث	pēdējais	the latest
أحدهم	kāds	one of them
أحدهما	viens no viņiem	one of them
أحزاب	ballītes	parties
أحسن	labākais	best
أحكام	uzkrājumi	decisions
أحلام	sapņi	ahlam
أحمد	ahmads	ahmed
أحمدي	ahmadi	ahmade
أحمر	sarkans	red
أحوال	nosacījumi	matters
أحياء	bioloģija	districts
أحيان	dažreiz	sometimes
أحيانا	dažreiz	sometimes
أحياناً	dažreiz	often
أحيانًا	dažreiz	sometimes
أخاه	viņa brālis	his brother
أخبار	jaunumi	news
أخت	māsa	sister
أخته	viņa māsa	his sister
أخذ	ņemot	take
أخذت	es paņēmu	took
أخر	cits	another
أخرج	pazūdi	go out
أخرى	cits	other
أخطاء	kļūdas	mistakes
أخطر	visbīstamākais	the most serious
أخلاقية	ētiski	morality
أخوه	brāļi	his brother
أخيرا	beidzot	finally
أخيه	viņa brālis	his brother
أخيون	brālis	achaens
أداء	izpildījums	performance
أداة	rīks	tool
أدب	literatūra	literature
أدبية	literāri	literary
أدت	led	resulted
أدخل	ievadiet	have been entered
أدرك	sapratu	realized
أدلة	clues	evidences
أدناه	zemāk	down
أدنى	minimums	lowest
أدوار	injings	roles
أدولف	ādolfs	adolf
أدوية	zāles	drugs
أدى	led	resulted
أدّت	led	it caused
أدّى	izpildīts	led to
أذربيجان	azerbaidžāna	azerbaijan
أراد	gribu	wanted
أرادت	viņa gribēja	wants to
أراض	zemes	territories
أراضي	zemes	lands
أراضيها	tās teritorija	lands
