aajo	హాస్యాస్పదంగా	hospitality
aala	సరిహద్దు	border
aanu	కరుణ	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	ఆరే	president
aawe	పక్షవాతం	fasting
abala	భాగం	division
abeikojopo	వారసురాలైన	subset
abeorile	హోమ్కమింగ్	nation
abesahara	చల్లుకోవటానికి	under the sahara
abidi	అక్షరం	abidi
abidjan	ఎప్పుడైనా	abidjan
abo	స్త్రీ	security
aburunmu	మా అసహ్యం	reduced in value, diminished
abálájo	అనుభవం	that is why
abé	సూది	under
abínibí	జాతీయత	inborn
abúléko	గ్రామం	village
accra	అక్ర	accra
adaba	సౌకర్యవంతంగా	factor
adabaye	అయితే సరే	previously-existing
adarihunrun	క్లీనర్	human
addis	ఆడిస్	addis
adeda	ప్రకృతి	creator
adiokan	ఒంటరి	stubbornness
adágbà	పెద్ద	adagba
adúgbò kútò	వీధిలో పొరుగువారు	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	క్వారీ పొరుగువారు	neighborhood
adúgbò ìdí	పొరుగు కారణాలు	area
afida	కుటుంబం	element
afomo	ఉదాహరణకి	cleansing
afoyemo	సంక్షిప్తముగా	abstract
africa	ఆఫ్రికా	africa
african	ఆఫ్రికన్	ara afrika
africans	ఆఫ్రికన్లు	africans
aféfé	విండ్మిల్	air
agba	పెయింట్	principal
agbado	మొక్కజొన్న	maize
agbara	శక్తి	power
agbaye	ప్రపంచం	world
agbeinadie	భూములను	semi-conductor
agbà	ఒక వయోజనుడు	adult
agbàbò	రక్షక	adopted child
agbára	శక్తి	power
agbéiná	ఆర్చేవాడు	conductor
agio	క్రై	agio
aintimulo	aintimulo	un-exploited
aisi	లేకపోవడం	lack
ajagun	ఒక కుక్క	ajagun
aje	ఆర్థిక	trade
ajemoroyin	ప్రశ్నించే	reporting
ajibola	ఎజెండా	ajibola
ajo	ప్రయాణ	firms
ajoro	ప్రయాణ	discussion
ajọra	ప్రతిరూప	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	ఫిరంగి	akinpelu
akokolo	కాలం	period
akole	మా వల్ల కాదు	title
akoni	మా దగ్గర లేదు	teacher
akopa	ప్రప్రదమముగా	participant
akopo	సంగ్రహం	assembly
akátá	నక్క	african american
akíkanjú	వాలియంట్	courageous
akíngbógun	బెటాలియన్	akingbogun
akẹ́kọ̀ọ́	విద్యార్ధి	students
ala	డౌన్	limit
alaabo	వికలాంగ	protection
alaadanida	అవాంఛిత	individual
alaafia	శాంతి	peace
alaafin	అక్రమ	alaafin
aladaani	ప్రైవేట్	privately-owned
aladani	ప్రైవేట్	self-owned
aladanida	ఏకపక్ష	private
alaidogba	అసమతుల్య	unequal
alaigbara	ఎదురులేని	neutron
alaini	ఆదుకోవాల్సిన	the poor
alakitiyan	కార్యకర్త	activist
alakobere	అనుభవం లేని	primary
alalaye	భూసంబంధమైన	explanatory
alawose	భవిష్యవాణి	mentor
albany	అల్బానీ	albany
albert	ఆల్బర్ట్	albert
alexandra	alexandra	alexandra
alicia	అలిసియా	alicia
allāh	అల్లాహ్	allah
alominira	స్వాతంత్య్రం	independent
alpha	ఆల్ఫా	alpha
alubàbá	తండ్రి	drummer
alukuraani	ఖురాన్	quran
alumoni	నివారణ	minerals
alumíníọ̀mù	అల్యూమినియం	aluminium
alákọ̀bẹ̀rẹ̀	ప్రారంబిక	primary education
alápapò	భర్తీ	general
alátise	కళాకారుడు	alatise
aláyèwò	ఇన్స్పెక్టర్	expert
aláísàn	అనారోగ్యం	the sick
alúwo	బూమ్	traditional cults
alọ́po	జేబు	tied
amazonas	అమెజోనాస్	amazonas
americas	అమెరికాలు	americas
amerika	అమెరికా	america
amojeoyipada	కన్వర్టిబుల్	reform
amosi	మసీదు	amos
améríkà	అమెరికన్	america
améríkà	అమెరికన్	america
an	ఒక	him
anabi	ప్రవక్తయైన	prophet
anc	anc	anc
andaman	andman	andaman
angkor	ఆంగ్కోర్	angkor
anita	అనితా	anita
anschluss	అన్స్చ్లుస్స్	anschluss
apagusu	దక్షిణం	southern
apaguusuilaorun	నైరుతీ	south-western
apaguusuiwoorun	నైరుతీ	part of the south
apailaorun	సూర్యోదయం	east side
apaiwoorun	పశ్చిమ	eastern side
aparapo	కలయిక	confederation
apeja	మత్స్యకారులు	fisherman
apeere	ఉదాహరణకి	example
apis	నంది	apis
apòmù	ఆప్రాన్	apomu
