$ tỉ	milyard dollar	$ billion
abc	abc	abc
abdul	qarın	abdul
abkhazia	abxaziya	a name
about	haqqında	about
abraham	abraham	abraham
abrams	abramlar	abrams
abscbn	abscbn	abscbn
account	hesabı	account
aceh	aceh	(proper noun) aceh
achilles	axilles	achilles
acia	acia	acia
acid	turşu	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	qabaqcıl	advanced
aedes	aedes	aedes
aegypti	ae misir	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	əfqanıstan	afghanistan
africa	afrika	(proper noun) africa
african	afrika	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	kim	who
ailen	i̇rland	ailen
aim	məqsədi	aim
air	hava	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	salam	ako
al	əl	al
alabama	alabama	alabama
alaska	alyaska	alaska
albania	albaniya	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	çoban	(proper noun) alpher
alps	alplar	alps
altai	altai	altai
always	həmişə	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
