$  	dollar təşkil edib	dollar
=	=	=
>	&gt;	>
a	the	the
ab	ab	ab
aba	aba	aba
abba	içinə	into
abban	orada	"in that ""abban az esetben"" means ""in (that) case"""
abból	oradan	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absinte	absynth
abszintot	absinte	absinthe
abszolút	mütləq	absolute
abu	abu	abu
ac	ac	ac milan (football)
acdc	acdc	acdc
achát	agat	agate
act	hərəkət etmək	act
acél	polad	steel
ad	vermək	give
adam	adəm	adam
adams	adams	adams
adat	məlumatları	data
adatai	məlumat	data
adatait	məlumat	data of
adatok	məlumatları	data
adatokat	məlumatları	data
adatot	məlumatları	data
addig	o vaxta qədər	will
addigi	əvvəlki	current
addigra	sonra	by then
adja	girmək	give
adjon	vermək	so he give
adminisztratív	inzibati	administrative
admirális	admiral	admiral
adnak	onlar	they
adni	vermək	to give
adolf	adolf	adolf
adott	verilmişdir	specific
adrian	adrian	adrian
adta	verdi	he performed
adtak	onlar	gave
adták	sərbəst buraxıldı	gave
ady	ady	ady
adó	vergi	provider
adódik	görə	given
adók	verirəm	taxes
adót	vergilər	tax
afganisztán	əfqanıstan	afghanistan
afganisztáni	əfqanıstan	of afghanistan
afgán	əfqan	afghani
afrika	afrika	africa
afrikai	afrika	african
afrikában	afrika	in africa
agatha	agata	agatha
agy	beyin	brain
ahhoz	ona	thereto
ahogy	kimi	as
ahogyan	kimi	as
ahol	harada	where
ahonnan	haradan	from where
ahova	harada	to where
ahová	harada	where
ai	ai	this word does not make sense on its own
aids	qi̇çs	aids
air	hava	air
aires	havalar	aires
airsoft	airsoft	airsoft
ajánlatot	təklif	offer
ajánlott	tövsiyə	recommended, offered
ajánlotta	tövsiyə	recommended
akad	laglar	there
akadt	tutuldu	had
akadtak	var idi	could be found
akadályozta	qarşısını aldı	obstructed
akadémia	akademiya	academy
akadémiai	akademik	academical
akadémián	akademiya	academy
akar	edəcək	wants to
akarat	edəcək	will
akarata	edəcək	will of
akarja	üçün	wants
akarnak	istəyərlər	they want
akart	istədi	he wanted
akarta	istədi	wanted
akartak	onlar istəyirdilər	wanted
akarták	onlar istəyirdilər	wanted
akció	fəaliyyət	action
akhilleusz	axilles	achilles
aki	üst	who
akik	üst	who
akiket	üst	who
akikkel	kiminlə	with whom
akiknek	kimə	whom
akinek	kimə	whom
akiről	üst	of whom
akit	kimə	whom
akitől	kimə	from whom
akivel	kiminlə	whom
akkor	sonra	then
akkora	ölçü	the size
akkori	sonra	then
akkoriban	geri sonra	at that time
aktuális	cərəyan	actual
aktív	aktivdir	active
aktívan	fəal şəkildə	actively
akusztikus	akustik	acoustic
akác	akasiya	akacia
akár	edəcək	just like
akárcsak	sadəcə	just like
al	əl	al
alacsony	aşağı	low
alacsonyabb	aşağı	shorter
aladár	aladar	aladar
alagút	tunel	tunnel
alajos	alajos	alajos (forename)
alak	forma	shape
alakban	forma	in form
alakja	forma	person of sg
alakjai	rəqəmlər	characters of sy's
alakjában	forma	in the form of
alakját	forma	shape
alakok	rəqəmlər	shapes
alakot	forma	character
alakul	inkişaf edir	evolve
