$	$ $	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	el |	|
°	°	degrees
°م	° c	°c
آثار	monumentos	ruins
آثارها	sus efectos	its antiques
آخر	otro	last
آخرها	el mas reciente	last one
آخرون	otros	others
آخرين	otros	others
آخيل	aquiles	acheles
آدم	adam	adam
آراء	opiniones	opinions
آسكي	ascii	ascian
آسيا	asia	asia
آشوربانيبال	ashurbanipal	ashorbanibal
آل	al	the
آلات	maquinas	tools
آلاف	miles	thousands
آلام	dolores	pain
آلة	máquina	machine
آلهة	dioses	gods
آلية	mecanismo	mechanism
آمن	seguro	safe
آمنة	seguro	amina
آمون	amón	amon
آن	ann	the same time
آنذاك	en aquel entonces	by then
آي	yo	i
آيات	versos	quran verses
آية	verso	verse
أ	a.	a
أئمة	imanes	leaders
أب	un padre	august
أبا	oppa	aba
أباتيت	apatita	apatit
أباه	su padre	his father
أبحاث	investigación	researches
أبدا	nunca	never
أبداً	nunca	at all
أبدًا	nunca	never
أبرز	más notable	most conspicuous
أبرزها	más notable	the most obvious of them
أبريل	abril	april
أبطال	héroes	heroes
أبعد	más allá	far
أبناء	hijos	sons
أبنائه	sus hijos	his sons
أبو	abu	abou
أبواب	puertas	gates
أبوظبي	abu dhabi	abu dhabi
أبوه	su padre	his father
أبى	papa	dad
أبي	papa	father of
أبيب	tel	aviv
أبيه	su padre	his father
أتاتورك	ataturk	atatork
أتباع	seguidores	followers
أتباعه	sus seguidores	his followers
أتت	ella vino	came
أتى	el vino	came up
أثار	monumentos	effected
أثارت	despertó	provoked
أثبت	probar	proofed
أثبتت	demostrado	proved
أثر	efecto	effect
أثرت	afectado	affect
أثره	su efecto	his trace
أثرية	antiguo	antique
أثناء	mientras que	during
أثينا	atenea	athene
أجبر	forzado	forced
أجرام	cuerpos	celestial bodies
أجراها	hecho por	conducted by the
أجرى	conducido	conducted
أجريت	conducido	conducted
أجزاء	partes	parts
أجسام	cuerpos	bodies
أجل	si	sake
أجمع	yo colecciono	agreed
أجمل	la mas bella	the most beautiful
أجنبية	mujer extranjera	foreign
أجنحة	alas	sections
أجهزة	dispositivos	equipment
أحادي	mono	single
أحاديث	hadices	ahaadeeth
أحب	yo amo	the most loved
أحجية	rompecabezas	mystery
أحد	uno	one of
أحداث	eventos	event
أحدث	lo ultimo	the latest
أحدهم	alguien	one of them
أحدهما	uno de ellos	one of them
أحزاب	fiestas	parties
أحسن	mejor	best
أحكام	provisiones	decisions
أحلام	sueños	ahlam
أحمد	ahmed	ahmed
أحمدي	ahmadi	ahmade
أحمر	rojo	red
أحوال	condiciones	matters
أحياء	vivo	districts
أحيان	a veces	sometimes
أحيانا	a veces	sometimes
أحياناً	a veces	often
أحيانًا	a veces	sometimes
أخاه	su hermano	his brother
أخبار	noticias	news
أخت	hermana	sister
أخته	su hermana	his sister
أخذ	tomó	take
أخذت	ella tomó	took
أخر	otro	another
أخرج	yo salgo	go out
أخرى	otras	other
أخطاء	errores	mistakes
أخطر	el mas peligroso	the most serious
أخلاقية	ética	morality
أخوه	su hermano	his brother
أخيرا	finalmente	finally
أخيه	su hermano	his brother
أخيون	hermano	achaens
أداء	realizar	performance
أداة	herramienta	tool
أدب	literatura	literature
أدبية	literario	literary
أدت	led	resulted
أدخل	entrar	have been entered
أدرك	darse cuenta	realized
أدلة	evidencia	evidences
أدناه	abajo	down
أدنى	más bajo	lowest
أدوار	innings	roles
أدولف	adolf	adolf
أدوية	medicinas	drugs
أدى	led	resulted
أدّت	realizado	it caused
أدّى	realizado	led to
أذربيجان	azerbaiyán	azerbaijan
أراد	quería	wanted
أرادت	ella queria	wants to
أراض	tierras	territories
أراضي	tierras	lands
أراضيها	su territorio	lands
أرباع	cuartos	quarters
أربع	cuatro	four
أربعة	cuatro	four
أربعين	cuarenta	forty
أرجاء	deferente	sides
أرخبيل	archipiélago	archipelago
أرخميدس	arquímedes	archimed
